Week,TotalActions,UniqueUsers
2024-01-01/2024-01-07,127,9
2024-01-08/2024-01-14,122,9
2024-01-15/2024-01-21,119,9
2024-01-22/2024-01-28,131,9
2024-01-29/2024-02-04,128,9
2024-02-05/2024-02-11,132,9
2024-02-12/2024-02-18,138,9
2024-02-19/2024-02-25,136,9
2024-02-26/2024-03-03,124,9
2024-03-04/2024-03-10,129,9
2024-03-11/2024-03-17,124,9
2024-03-18/2024-03-24,116,9
2024-03-25/2024-03-31,137,9
2024-04-01/2024-04-07,126,9
2024-04-08/2024-04-14,128,9
2024-04-15/2024-04-21,145,9
2024-04-22/2024-04-28,119,9
2024-04-29/2024-05-05,135,9
2024-05-06/2024-05-12,137,9
2024-05-13/2024-05-19,128,9
2024-05-20/2024-05-26,129,9
2024-05-27/2024-06-02,125,9
2024-06-03/2024-06-09,119,9
2024-06-10/2024-06-16,122,9
2024-06-17/2024-06-23,128,9
2024-06-24/2024-06-30,117,9
2024-07-01/2024-07-07,138,9
2024-07-08/2024-07-14,133,9
2024-07-15/2024-07-21,131,9
2024-07-22/2024-07-28,141,9
2024-07-29/2024-08-04,124,9
2024-08-05/2024-08-11,149,9
2024-08-12/2024-08-18,131,9
2024-08-19/2024-08-25,108,9
2024-08-26/2024-09-01,122,9
2024-09-02/2024-09-08,153,9
2024-09-09/2024-09-15,129,9
2024-09-16/2024-09-22,130,9
2024-09-23/2024-09-29,119,9
2024-09-30/2024-10-06,115,9
2024-10-07/2024-10-13,114,9
2024-10-14/2024-10-20,141,9
2024-10-21/2024-10-27,141,9
2024-10-28/2024-11-03,128,9
2024-11-04/2024-11-10,136,9
2024-11-11/2024-11-17,122,9
2024-11-18/2024-11-24,132,9
2024-11-25/2024-12-01,128,9
2024-12-02/2024-12-08,119,9
2024-12-09/2024-12-15,100,9
2024-12-16/2024-12-22,130,9
2024-12-23/2024-12-29,140,9
2024-12-30/2025-01-05,121,9
2025-01-06/2025-01-12,149,9
2025-01-13/2025-01-19,140,9
2025-01-20/2025-01-26,120,9
2025-01-27/2025-02-02,172,9
2025-02-03/2025-02-09,140,9
2025-02-10/2025-02-16,141,9
2025-02-17/2025-02-23,161,9
2025-02-24/2025-03-02,159,9
2025-03-03/2025-03-09,152,9
2025-03-10/2025-03-16,145,9
2025-03-17/2025-03-23,155,9
2025-03-24/2025-03-30,153,9
2025-03-31/2025-04-06,160,9
2025-04-07/2025-04-13,148,9
2025-04-14/2025-04-20,136,9
2025-04-21/2025-04-27,169,9
2025-04-28/2025-05-04,156,9
2025-05-05/2025-05-11,158,9
2025-05-12/2025-05-18,128,9
2025-05-19/2025-05-25,152,9
2025-05-26/2025-06-01,145,9
2025-06-02/2025-06-08,153,9
2025-06-09/2025-06-15,147,9
2025-06-16/2025-06-22,151,9
2025-06-23/2025-06-29,150,9
