Id,UserId,DepartmentId,DepartmentName,YearId,YearLevelName,SquadronId,AdmissionYear,EnrolledCourseCount,TotalCreditLoad,RiskScore
2404,1546.0,3,Cyber Security,1,First Year,4,2024,0,0,1.0
3388,1724.0,1,Computer Science,3,Third Year,1,2026,0,0,1.0
3128,1003.0,2,Artificial Intelligence,2,Second Year,2,2023,0,0,1.0
3978,358.0,3,Cyber Security,1,First Year,4,2025,0,0,1.0
2824,807.0,3,Cyber Security,4,Fourth Year,1,2025,0,0,1.0
3694,1880.0,1,Computer Science,1,First Year,1,2022,0,0,1.0
4714,13.0,2,Artificial Intelligence,2,Second Year,3,2024,0,0,1.0
2904,801.0,1,Computer Science,1,First Year,3,2024,0,0,1.0
4677,1003.0,1,Computer Science,2,Second Year,4,2024,0,0,1.0
1517,632.0,1,Computer Science,2,Second Year,4,2023,0,0,1.0
4723,884.0,2,Artificial Intelligence,2,Second Year,3,2024,0,0,1.0
4565,98.0,1,Computer Science,1,First Year,5,2021,0,0,1.0
1659,563.0,2,Artificial Intelligence,1,First Year,1,2021,0,0,1.0
3409,850.0,3,Cyber Security,3,Third Year,3,2023,0,0,1.0
3010,1807.0,1,Computer Science,1,First Year,5,2022,0,0,1.0
4007,1888.0,2,Artificial Intelligence,3,Third Year,2,2024,0,0,1.0
59,1322.0,1,Computer Science,4,Fourth Year,5,2025,0,0,1.0
1327,1488.0,2,Artificial Intelligence,1,First Year,3,2023,0,0,1.0
4927,1474.0,2,Artificial Intelligence,1,First Year,5,2022,0,0,1.0
4770,351.0,1,Computer Science,1,First Year,5,2023,0,0,1.0
1383,1113.0,1,Computer Science,1,First Year,3,2024,0,0,1.0
4242,90.0,2,Artificial Intelligence,3,Third Year,1,2024,0,0,1.0
4385,554.0,1,Computer Science,1,First Year,4,2022,0,0,1.0
1034,99.0,2,Artificial Intelligence,2,Second Year,3,2025,0,0,1.0
780,50.0,1,Computer Science,3,Third Year,4,2024,0,0,1.0
2458,1133.0,1,Computer Science,2,Second Year,1,2023,0,0,1.0
3529,1494.0,2,Artificial Intelligence,3,Third Year,2,2026,0,0,1.0
233,1116.0,3,Cyber Security,2,Second Year,3,2025,0,0,1.0
3526,1593.0,1,Computer Science,3,Third Year,1,2023,0,0,1.0
2748,2054.0,2,Artificial Intelligence,1,First Year,2,2026,0,0,1.0
649,2040.0,1,Computer Science,1,First Year,3,2026,0,0,1.0
1222,551.0,1,Computer Science,3,Third Year,3,2025,0,0,1.0
2048,318.0,2,Artificial Intelligence,1,First Year,5,2023,0,0,1.0
1077,9824.0,1,Computer Science,4,Fourth Year,2,2024,0,0,1.0
684,1687.0,1,Computer Science,4,Fourth Year,4,2024,0,0,1.0
756,985.0,1,Computer Science,2,Second Year,1,2021,0,0,1.0
2085,843.0,2,Artificial Intelligence,1,First Year,3,2024,0,0,1.0
2717,998.0,1,Computer Science,1,First Year,4,2024,0,0,1.0
1329,14.0,2,Artificial Intelligence,4,Fourth Year,2,2023,0,0,1.0
4452,1337.0,1,Computer Science,1,First Year,5,2025,0,0,1.0
582,1604.0,3,Cyber Security,4,Fourth Year,5,2023,0,0,1.0
4500,9294.0,1,Computer Science,2,Second Year,2,2026,0,0,1.0
3885,996.0,3,Cyber Security,1,First Year,5,2026,0,0,1.0
1949,1496.0,1,Computer Science,2,Second Year,4,2024,0,0,1.0
2710,,3,Cyber Security,2,Second Year,4,2026,0,0,1.0
4413,931.0,2,Artificial Intelligence,1,First Year,3,2025,0,0,1.0
1765,2035.0,2,Artificial Intelligence,1,First Year,5,2023,0,0,1.0
4435,9283.0,1,Computer Science,3,Third Year,2,2022,0,0,1.0
4151,121.0,2,Artificial Intelligence,1,First Year,2,2025,0,0,1.0
2242,659.0,2,Artificial Intelligence,2,Second Year,5,2024,0,0,1.0
4402,1013.0,1,Computer Science,2,Second Year,5,2023,0,0,1.0
2438,1591.0,1,Computer Science,1,First Year,2,2024,0,0,1.0
3183,584.0,1,Computer Science,3,Third Year,3,2024,0,0,1.0
3819,48.0,1,Computer Science,1,First Year,2,2025,0,0,1.0
3723,588.0,3,Cyber Security,2,Second Year,1,2024,0,0,1.0
4760,1361.0,1,Computer Science,1,First Year,2,2023,0,0,1.0
3176,,3,Cyber Security,3,Third Year,3,2021,0,0,1.0
652,1166.0,2,Artificial Intelligence,3,Third Year,5,2026,0,0,1.0
1828,2010.0,2,Artificial Intelligence,2,Second Year,3,2025,0,0,1.0
851,126.0,1,Computer Science,3,Third Year,1,2025,0,0,1.0
1408,1302.0,2,Artificial Intelligence,3,Third Year,3,2025,0,0,1.0
3907,9310.0,1,Computer Science,2,Second Year,1,2024,0,0,1.0
3877,74.0,3,Cyber Security,1,First Year,2,2024,0,0,1.0
4371,323.0,1,Computer Science,1,First Year,5,2024,0,0,1.0
1467,942.0,1,Computer Science,2,Second Year,3,2023,0,0,1.0
240,1467.0,1,Computer Science,2,Second Year,4,2024,0,0,1.0
46,85.0,3,Cyber Security,1,First Year,3,2025,0,0,1.0
1560,1315.0,1,Computer Science,1,First Year,2,2024,0,0,1.0
3277,1783.0,1,Computer Science,1,First Year,4,2023,0,0,1.0
2897,579.0,1,Computer Science,2,Second Year,5,2026,0,0,1.0
1070,203.0,3,Cyber Security,2,Second Year,3,2025,0,0,1.0
4306,295.0,1,Computer Science,4,Fourth Year,1,2023,0,0,1.0
279,953.0,3,Cyber Security,4,Fourth Year,3,2025,0,0,1.0
311,352.0,1,Computer Science,1,First Year,4,2025,0,0,1.0
3645,860.0,2,Artificial Intelligence,1,First Year,5,2026,0,0,1.0
3358,1215.0,1,Computer Science,4,Fourth Year,5,2023,0,0,1.0
4761,1699.0,1,Computer Science,4,Fourth Year,5,2024,0,0,1.0
4888,700.0,2,Artificial Intelligence,1,First Year,3,2024,0,0,1.0
1705,1038.0,1,Computer Science,3,Third Year,4,2022,0,0,1.0
2599,466.0,1,Computer Science,1,First Year,2,2025,0,0,1.0
2516,907.0,1,Computer Science,2,Second Year,3,2026,0,0,1.0
2023,151.0,2,Artificial Intelligence,1,First Year,2,2023,0,0,1.0
2218,2021.0,1,Computer Science,1,First Year,2,2024,0,0,1.0
1231,192.0,3,Cyber Security,1,First Year,4,2023,0,0,1.0
2332,1970.0,1,Computer Science,2,Second Year,5,2023,0,0,1.0
3209,9033.0,1,Computer Science,1,First Year,4,2022,0,0,1.0
3150,9462.0,2,Artificial Intelligence,1,First Year,1,2025,0,0,1.0
1378,211.0,3,Cyber Security,3,Third Year,3,2024,0,0,1.0
1943,745.0,2,Artificial Intelligence,3,Third Year,2,2023,0,0,1.0
2753,1393.0,1,Computer Science,3,Third Year,1,2024,0,0,1.0
4400,194.0,1,Computer Science,1,First Year,5,2025,0,0,1.0
21,498.0,1,Computer Science,1,First Year,5,2022,0,0,1.0
39,1045.0,1,Computer Science,1,First Year,5,2022,0,0,1.0
2240,1382.0,1,Computer Science,4,Fourth Year,1,2025,0,0,1.0
474,705.0,2,Artificial Intelligence,1,First Year,2,2025,0,0,1.0
1161,1268.0,2,Artificial Intelligence,3,Third Year,1,2022,0,0,1.0
490,1289.0,2,Artificial Intelligence,4,Fourth Year,1,2023,0,0,1.0
3580,393.0,3,Cyber Security,3,Third Year,5,2025,0,0,1.0
918,114.0,2,Artificial Intelligence,1,First Year,2,2022,0,0,1.0
2860,1811.0,1,Computer Science,2,Second Year,3,2026,0,0,1.0
3420,251.0,2,Artificial Intelligence,3,Third Year,2,2023,0,0,1.0
985,228.0,1,Computer Science,1,First Year,3,2022,0,0,1.0
4984,,2,Artificial Intelligence,3,Third Year,4,2025,0,0,1.0
1004,1235.0,1,Computer Science,4,Fourth Year,4,2024,0,0,1.0
1610,9902.0,2,Artificial Intelligence,1,First Year,5,2022,0,0,1.0
3280,1587.0,1,Computer Science,2,Second Year,5,2022,0,0,1.0
3241,960.0,1,Computer Science,2,Second Year,3,2024,0,0,1.0
227,153.0,2,Artificial Intelligence,3,Third Year,2,2023,0,0,1.0
45,146.0,2,Artificial Intelligence,1,First Year,2,2022,0,0,1.0
448,1167.0,1,Computer Science,1,First Year,3,2025,0,0,1.0
2945,1874.0,1,Computer Science,1,First Year,2,2024,0,0,1.0
4870,40.0,1,Computer Science,1,First Year,3,2023,0,0,1.0
426,250.0,2,Artificial Intelligence,1,First Year,4,2026,0,0,1.0
1235,1657.0,3,Cyber Security,3,Third Year,5,2024,0,0,1.0
2711,648.0,2,Artificial Intelligence,1,First Year,2,2024,0,0,1.0
2544,1223.0,1,Computer Science,1,First Year,5,2024,0,0,1.0
1737,46.0,1,Computer Science,1,First Year,3,2022,0,0,1.0
3053,1937.0,3,Cyber Security,2,Second Year,1,2024,0,0,1.0
4214,233.0,2,Artificial Intelligence,2,Second Year,5,2025,0,0,1.0
2132,984.0,3,Cyber Security,1,First Year,5,2024,0,0,1.0
3926,104.0,2,Artificial Intelligence,3,Third Year,4,2023,0,0,1.0
1911,9925.0,1,Computer Science,1,First Year,2,2021,0,0,1.0
2836,77.0,2,Artificial Intelligence,2,Second Year,5,2021,0,0,1.0
4023,,1,Computer Science,1,First Year,4,2023,0,0,1.0
4012,356.0,1,Computer Science,3,Third Year,2,2022,0,0,1.0
4077,1920.0,1,Computer Science,1,First Year,3,2026,0,0,1.0
2406,590.0,1,Computer Science,2,Second Year,5,2025,0,0,1.0
271,888.0,2,Artificial Intelligence,1,First Year,5,2022,0,0,1.0
3610,1726.0,1,Computer Science,2,Second Year,1,2022,0,0,1.0
3854,813.0,1,Computer Science,2,Second Year,5,2025,0,0,1.0
1016,1860.0,1,Computer Science,2,Second Year,5,2024,0,0,1.0
159,395.0,1,Computer Science,1,First Year,4,2023,0,0,1.0
2497,9987.0,3,Cyber Security,2,Second Year,4,2024,0,0,1.0
824,333.0,3,Cyber Security,2,Second Year,5,2026,0,0,1.0
3386,495.0,2,Artificial Intelligence,3,Third Year,4,2022,0,0,1.0
4929,646.0,2,Artificial Intelligence,1,First Year,5,2024,0,0,1.0
529,257.0,2,Artificial Intelligence,4,Fourth Year,5,2022,0,0,1.0
4787,514.0,2,Artificial Intelligence,3,Third Year,2,2021,0,0,1.0
373,1473.0,1,Computer Science,1,First Year,2,2022,0,0,1.0
361,1335.0,1,Computer Science,2,Second Year,5,2026,0,0,1.0
1540,,1,Computer Science,1,First Year,5,2024,0,0,1.0
1242,1476.0,1,Computer Science,1,First Year,3,2025,0,0,1.0
3247,1055.0,2,Artificial Intelligence,2,Second Year,3,2025,0,0,1.0
3001,857.0,1,Computer Science,2,Second Year,3,2026,0,0,1.0
4597,1347.0,1,Computer Science,2,Second Year,4,2024,0,0,1.0
151,9826.0,2,Artificial Intelligence,1,First Year,5,2026,0,0,1.0
585,1864.0,1,Computer Science,1,First Year,4,2024,0,0,1.0
2768,479.0,1,Computer Science,3,Third Year,2,2025,0,0,1.0
878,1175.0,1,Computer Science,1,First Year,5,2022,0,0,1.0
4990,37.0,2,Artificial Intelligence,1,First Year,4,2022,0,0,1.0
4872,635.0,1,Computer Science,1,First Year,5,2023,0,0,1.0
834,815.0,1,Computer Science,2,Second Year,4,2024,0,0,1.0
3287,,1,Computer Science,4,Fourth Year,1,2025,0,0,1.0
2803,302.0,3,Cyber Security,2,Second Year,2,2025,0,0,1.0
1804,571.0,2,Artificial Intelligence,1,First Year,3,2023,0,0,1.0
4962,281.0,1,Computer Science,3,Third Year,5,2024,0,0,1.0
487,1470.0,1,Computer Science,1,First Year,1,2024,0,0,1.0
1763,810.0,3,Cyber Security,4,Fourth Year,4,2025,0,0,1.0
181,1751.0,2,Artificial Intelligence,2,Second Year,4,2025,0,0,1.0
806,1758.0,1,Computer Science,3,Third Year,1,2024,0,0,1.0
999,1570.0,3,Cyber Security,1,First Year,2,2024,0,0,1.0
2014,1379.0,3,Cyber Security,1,First Year,4,2023,0,0,1.0
989,,2,Artificial Intelligence,1,First Year,3,2023,0,0,1.0
1371,876.0,1,Computer Science,2,Second Year,2,2026,0,0,1.0
4574,1463.0,1,Computer Science,2,Second Year,3,2024,0,0,1.0
1291,1461.0,1,Computer Science,1,First Year,4,2026,0,0,1.0
2280,726.0,1,Computer Science,1,First Year,5,2026,0,0,1.0
3824,1412.0,1,Computer Science,3,Third Year,5,2026,0,0,1.0
2974,465.0,1,Computer Science,3,Third Year,5,2022,0,0,1.0
2991,1836.0,1,Computer Science,1,First Year,5,2023,0,0,1.0
3502,1199.0,1,Computer Science,2,Second Year,5,2024,0,0,1.0
4438,1006.0,3,Cyber Security,2,Second Year,3,2024,0,0,1.0
4340,1888.0,1,Computer Science,1,First Year,1,2022,0,0,1.0
2914,1630.0,1,Computer Science,2,Second Year,4,2024,0,0,1.0
1469,548.0,1,Computer Science,2,Second Year,1,2024,0,0,1.0
1192,36.0,1,Computer Science,1,First Year,4,2022,0,0,1.0
1691,670.0,3,Cyber Security,3,Third Year,5,2025,0,0,1.0
3856,598.0,2,Artificial Intelligence,3,Third Year,5,2026,0,0,1.0
1918,525.0,2,Artificial Intelligence,3,Third Year,5,2022,0,0,1.0
782,9130.0,1,Computer Science,3,Third Year,5,2024,0,0,1.0
247,1074.0,3,Cyber Security,3,Third Year,2,2026,0,0,1.0
592,1797.0,1,Computer Science,1,First Year,4,2025,0,0,1.0
1724,1486.0,1,Computer Science,2,Second Year,3,2024,0,0,1.0
3589,1897.0,2,Artificial Intelligence,3,Third Year,4,2023,0,0,1.0
2586,32.0,2,Artificial Intelligence,2,Second Year,4,2024,0,0,1.0
207,1422.0,1,Computer Science,1,First Year,3,2024,0,0,1.0
2140,1512.0,2,Artificial Intelligence,2,Second Year,5,2023,0,0,1.0
164,1833.0,1,Computer Science,3,Third Year,2,2022,0,0,1.0
2055,1532.0,1,Computer Science,3,Third Year,5,2024,0,0,1.0
903,862.0,3,Cyber Security,2,Second Year,5,2022,0,0,1.0
4548,,2,Artificial Intelligence,4,Fourth Year,2,2023,0,0,1.0
4283,454.0,1,Computer Science,1,First Year,5,2025,0,0,1.0
963,277.0,1,Computer Science,4,Fourth Year,1,2023,0,0,1.0
4294,424.0,1,Computer Science,2,Second Year,1,2022,0,0,1.0
1843,852.0,3,Cyber Security,1,First Year,1,2022,0,0,1.0
2495,853.0,3,Cyber Security,4,Fourth Year,4,2022,0,0,1.0
1071,924.0,3,Cyber Security,3,Third Year,5,2025,0,0,1.0
558,1196.0,2,Artificial Intelligence,2,Second Year,3,2022,0,0,1.0
70,1107.0,2,Artificial Intelligence,1,First Year,3,2024,0,0,1.0
972,880.0,3,Cyber Security,3,Third Year,3,2026,0,0,1.0
4031,817.0,1,Computer Science,1,First Year,5,2022,0,0,1.0
2317,1689.0,1,Computer Science,2,Second Year,2,2025,0,0,1.0
3993,328.0,2,Artificial Intelligence,2,Second Year,2,2024,0,0,1.0
1614,505.0,3,Cyber Security,1,First Year,5,2022,0,0,1.0
3023,268.0,2,Artificial Intelligence,2,Second Year,5,2024,0,0,1.0
4743,870.0,1,Computer Science,4,Fourth Year,1,2024,0,0,1.0
2892,1177.0,1,Computer Science,1,First Year,2,2024,0,0,1.0
3964,1568.0,2,Artificial Intelligence,4,Fourth Year,3,2023,0,0,1.0
1014,364.0,1,Computer Science,3,Third Year,2,2026,0,0,1.0
2475,1931.0,1,Computer Science,2,Second Year,4,2025,0,0,1.0
1880,1430.0,1,Computer Science,1,First Year,2,2024,0,0,1.0
1429,1135.0,1,Computer Science,4,Fourth Year,2,2025,0,0,1.0
4508,876.0,1,Computer Science,1,First Year,1,2024,0,0,1.0
363,479.0,3,Cyber Security,2,Second Year,5,2023,0,0,1.0
1136,1303.0,1,Computer Science,1,First Year,4,2022,0,0,1.0
4731,1300.0,1,Computer Science,2,Second Year,2,2025,0,0,1.0
3370,9846.0,1,Computer Science,3,Third Year,5,2023,0,0,1.0
220,894.0,3,Cyber Security,1,First Year,2,2022,0,0,1.0
671,441.0,1,Computer Science,1,First Year,5,2023,0,0,1.0
890,,1,Computer Science,1,First Year,5,2024,0,0,1.0
2743,1063.0,1,Computer Science,1,First Year,4,2023,0,0,1.0
4956,835.0,1,Computer Science,1,First Year,1,2022,0,0,1.0
2568,1054.0,1,Computer Science,1,First Year,2,2022,0,0,1.0
40,,3,Cyber Security,2,Second Year,3,2024,0,0,1.0
1084,1369.0,2,Artificial Intelligence,1,First Year,1,2024,0,0,1.0
2225,525.0,3,Cyber Security,3,Third Year,1,2026,0,0,1.0
1895,859.0,2,Artificial Intelligence,3,Third Year,4,2025,0,0,1.0
3850,762.0,1,Computer Science,1,First Year,4,2025,0,0,1.0
3528,778.0,2,Artificial Intelligence,2,Second Year,4,2024,0,0,1.0
144,727.0,1,Computer Science,2,Second Year,5,2024,0,0,1.0
282,322.0,1,Computer Science,1,First Year,5,2024,0,0,1.0
4412,564.0,1,Computer Science,4,Fourth Year,3,2022,0,0,1.0
1913,933.0,1,Computer Science,1,First Year,1,2023,0,0,1.0
1370,1516.0,3,Cyber Security,2,Second Year,3,2023,0,0,1.0
2867,586.0,2,Artificial Intelligence,1,First Year,3,2024,0,0,1.0
3627,1782.0,1,Computer Science,1,First Year,2,2024,0,0,1.0
4563,1220.0,1,Computer Science,1,First Year,2,2022,0,0,1.0
1640,982.0,2,Artificial Intelligence,1,First Year,5,2025,0,0,1.0
292,356.0,1,Computer Science,1,First Year,2,2026,0,0,1.0
3071,44.0,1,Computer Science,1,First Year,4,2021,0,0,1.0
3714,1360.0,1,Computer Science,1,First Year,5,2024,0,0,1.0
991,1458.0,1,Computer Science,2,Second Year,3,2022,0,0,1.0
4068,785.0,3,Cyber Security,1,First Year,2,2024,0,0,1.0
1832,1964.0,2,Artificial Intelligence,3,Third Year,4,2023,0,0,1.0
4395,544.0,1,Computer Science,1,First Year,5,2024,0,0,1.0
3364,574.0,3,Cyber Security,2,Second Year,3,2026,0,0,1.0
1699,4.0,2,Artificial Intelligence,3,Third Year,2,2025,0,0,1.0
1442,266.0,1,Computer Science,3,Third Year,3,2025,0,0,1.0
537,331.0,1,Computer Science,1,First Year,1,2023,0,0,1.0
3473,1505.0,1,Computer Science,1,First Year,3,2024,0,0,1.0
462,1041.0,1,Computer Science,2,Second Year,2,2025,0,0,1.0
2593,31.0,1,Computer Science,1,First Year,5,2024,0,0,1.0
4024,151.0,1,Computer Science,3,Third Year,5,2022,0,0,1.0
1488,819.0,1,Computer Science,3,Third Year,1,2022,0,0,1.0
2457,313.0,1,Computer Science,1,First Year,2,2022,0,0,1.0
1974,1294.0,2,Artificial Intelligence,1,First Year,3,2024,0,0,1.0
2864,271.0,3,Cyber Security,1,First Year,1,2023,0,0,1.0
1871,9000.0,1,Computer Science,3,Third Year,2,2025,0,0,1.0
967,601.0,1,Computer Science,2,Second Year,5,2022,0,0,1.0
4376,,1,Computer Science,1,First Year,5,2024,0,0,1.0
3590,858.0,2,Artificial Intelligence,3,Third Year,2,2025,0,0,1.0
874,478.0,1,Computer Science,1,First Year,4,2023,0,0,1.0
595,1108.0,1,Computer Science,2,Second Year,2,2022,0,0,1.0
1703,1818.0,1,Computer Science,4,Fourth Year,1,2025,0,0,1.0
3428,646.0,1,Computer Science,1,First Year,1,2021,0,0,1.0
1902,172.0,2,Artificial Intelligence,3,Third Year,3,2022,0,0,1.0
2430,56.0,1,Computer Science,2,Second Year,3,2026,0,0,1.0
2604,1038.0,1,Computer Science,2,Second Year,4,2023,0,0,1.0
3415,857.0,1,Computer Science,1,First Year,2,2024,0,0,1.0
2947,1706.0,2,Artificial Intelligence,1,First Year,2,2025,0,0,1.0
216,1994.0,1,Computer Science,4,Fourth Year,5,2023,0,0,1.0
681,,1,Computer Science,4,Fourth Year,2,2026,0,0,1.0
3141,586.0,1,Computer Science,2,Second Year,2,2023,0,0,1.0
118,556.0,1,Computer Science,2,Second Year,5,2025,0,0,1.0
