Id;CourseId;Title;Description;SortOrder;IsVisible;DueDate;TargetSquadronId;CreatedById;CreatedAt;UpdatedAt;ActivityType;AdditionalFileUrls;AiPromptUsed;AiSummary;ContentType;DifficultyLevel;FileUrl;GradingMode;Instructions;MaxGrade;PassingScore;QuizScope;SourceLectureIds;ThumbnailUrl;TotalMarks;Transcript;AllowLateSubmission;TranscriptGeneratedAt;SummaryGeneratedAt;TimeLimitMinutes;MaxAttempts;ShuffleQuestions;ShowCorrectAnswers;ShowExplanations;IsAiGenerated;EstimatedCompletionMinutes;SummaryStatus;AssignmentFileUrls
2214;17;Linked Lists;Description for Linked Lists;4;1;;6.0;11;2025-01-16 12:00:23;2025-02-01 12:00:23;Lecture;;;;;;/uploads/lectures/17/095c28e5-2429-4f64-8d74-224802b069a7.pdf;;;;;;;/uploads/thumbnails/f50618a0-473d-4397-8615-b4146be89fbc.jpg;;;;;;;;;;;0;5.0;Failed;
1626;152;Concurrency;Description for Concurrency;14;1;2024-08-22 09:45:57;63.0;14;2024-07-12 09:45:57;2024-09-22 09:45:57;Lecture;;Summarize this lecture;AI summary for Concurrency;Video;;/uploads/lectures/152/c0fa4a65-aa53-44d7-b110-11cfb92931c0.pdf;;;;;;;;;Auto-generated transcript...;;;;;;;;;1;45.0;;
1956;183;Big Data Overview;Description for Big Data Overview;12;1;2022-10-25 14:13:55;3.0;9;2022-08-26 14:13:55;2022-09-01 14:13:55;Lecture;;Summarize this lecture;;Video;;/uploads/lectures/183/c67a7db1-9746-47c0-93fe-a43c4339e825.pdf;;;;;;;;;;;;2022-08-28 14:13:55;;;;;;0;;Done;
1300;121;Web Development Basics;Description for Web Development Basics;21;1;;;4;2025-06-15 02:38:38;2025-08-08 02:38:38;Quiz;;;AI summary for Web Development Basics;;Easy;;;;10.0;5.5;SingleLecture;[845];;10.0;;;;2025-06-17 02:38:38;15.0;2.0;1.0;0.0;1.0;0;30.0;Pending;
81;8;Big Data Overview;Description for Big Data Overview;3;0;2025-03-18 10:20:09;;9;2025-02-14 10:20:09;;Quiz;/uploads/extra/d9d94e13-50e2-4b90-8056-f890158bc059.pdf;;AI summary for Big Data Overview;;Hard;;;Please complete the quiz carefully.;50.0;31.9;;[59, 59, 59];;50.0;;;;;20.0;2.0;0.0;0.0;0.0;0;30.0;Done;
508;48;Concurrency;Description for Concurrency;2;1;2023-07-08 22:28:32;;5;2023-05-09 22:28:32;2023-08-03 22:28:32;Assignment;/uploads/extra/d84e061b-2d0e-4f06-a2cb-b2eabfd2ba4f.pdf;Summarize this lecture;;;;;Auto;Please complete the assignment carefully.;50.0;22.6;;;/uploads/thumbnails/72e5f240-c027-4fae-90c7-e6ed0a788609.jpg;;;;;;;;;;;0;10.0;Failed;
2078;193;Design Patterns;;18;1;2025-11-11 07:57:30;;12;2025-10-08 07:57:30;2025-10-16 07:57:30;Lecture;/uploads/extra/c0837105-549b-4476-a1cf-43f29488fcd0.pdf;;;Pdf;;/uploads/lectures/193/dcbcecf8-cc8a-4794-bfb5-ad530531bba4.pdf;;;;;;;/uploads/thumbnails/b3dec30d-bd2a-4b6f-8cb9-731f57a1140d.jpg;;;;;;;;;;;0;10.0;Pending;
643;63;Cloud Architecture;Description for Cloud Architecture;19;1;2024-02-09 18:40:42;46.0;14;2023-12-17 18:40:42;2024-02-12 18:40:42;Assignment;;;AI summary for Cloud Architecture;;;;;;50.0;23.3;;;;;;;;;;;;;;0;15.0;Done;
1219;116;Network Protocols;;23;1;2026-05-13 09:23:55;;8;2026-04-05 09:23:55;2026-05-25 09:23:55;Lecture;;;;Pdf;;/uploads/lectures/116/688512ad-708f-4499-80f2-1694e26fc4f6.pdf;;;;;;;;;;;2026-04-06 09:23:55;2026-04-07 09:23:55;;;;;;1;20.0;Pending;
831;81;Data Structures Overview;;26;1;2022-08-26 00:32:55;;2;2022-08-15 00:32:55;2022-09-19 00:32:55;Quiz;;;AI summary for Data Structures Overview;;Hard;;;Please complete the quiz carefully.;20.0;11.3;;[219];;20.0;;;;;30.0;3.0;1.0;0.0;0.0;0;30.0;Done;
313;30;Computer Vision Intro;Description for Computer Vision Intro;27;0;2023-06-05 14:31:09;17.0;15;2023-04-20 14:31:09;2023-06-20 14:31:09;Lecture;;Summarize this lecture;;;;/uploads/lectures/30/6878834e-0567-4437-96e9-30761b8f1c67.pdf;;;;;;;;;;;;;;;;;;0;15.0;Done;
1526;144;REST APIs;Description for REST APIs;19;1;;;2;2023-02-10 22:32:56;;Quiz;/uploads/extra/83c354bd-0c34-4378-b149-15d9a991324d.pdf;;;;Hard;;;Please complete the quiz carefully.;25.0;15.1;;;;25.0;;;2023-02-11 22:32:56;2023-02-12 22:32:56;60.0;;1.0;0.0;1.0;0;10.0;Done;
199;21;Cloud Architecture;Description for Cloud Architecture;3;1;;;7;2025-05-01 21:01:57;;Lecture;;Summarize this lecture;;;;/uploads/lectures/21/af1ad033-515c-43d5-bed7-ac7ae797119a.pdf;;;;;;;/uploads/thumbnails/a5e7fc01-2837-4f00-ab34-a948acd1b1ab.jpg;;;;2025-05-02 21:01:57;;;;;;;0;60.0;;
1098;107;Design Patterns;Description for Design Patterns;6;1;2025-11-22 12:00:27;66.0;1;2025-10-02 12:00:27;;Quiz;;;;;Easy;;;;10.0;6.4;FullCourse;;;10.0;;;;;30.0;1.0;1.0;0.0;1.0;0;60.0;Done;
1497;142;Concurrency;Description for Concurrency;9;1;2023-11-25 18:31:40;;4;2023-10-27 18:31:40;;Lecture;;;;Pdf;;/uploads/lectures/142/f9fd7aa9-cd43-44f0-9a19-c4945ff3b531.pdf;;;;;;;;;;;;;;;;;;0;20.0;Pending;
777;76;Indexing & Performance;Description for Indexing & Performance;35;0;2022-10-26 23:23:48;11.0;3;2022-09-01 23:23:48;;Assignment;;Summarize this lecture;;;;;Auto;Please complete the assignment carefully.;10.0;5.1;;;;;;0.0;;;;;;;;0;5.0;Failed;
1924;181;Concurrency;Description for Concurrency;8;1;;;10;2024-08-04 13:09:00;2024-11-01 13:09:00;Quiz;;;;;Hard;;;;25.0;12.2;;;;25.0;;;;;20.0;2.0;0.0;1.0;1.0;0;15.0;Pending;
1737;161;SQL Joins;Description for SQL Joins;20;0;2025-09-28 16:08:39;;3;2025-08-27 16:08:39;;Lecture;/uploads/extra/a8634fc1-7684-45e7-9af0-1987ede0b5f3.pdf;;;Video;;/uploads/lectures/161/3f84f169-588e-437e-828d-9023bb122758.pdf;;;;;;;/uploads/thumbnails/3ae41ae8-ca1f-4436-8600-abb5140bcd45.jpg;;Auto-generated transcript...;;;;;;;;;0;10.0;;
30;4;OS Scheduling;Description for OS Scheduling;3;1;2025-02-07 07:11:11;;5;2024-12-24 07:11:11;2024-12-29 07:11:11;Quiz;;;;;Hard;;;Please complete the quiz carefully.;100.0;48.6;MultiLecture;;;100.0;;;;;;;1.0;1.0;0.0;0;20.0;Failed;
1699;159;Sorting Algorithms;Description for Sorting Algorithms;20;1;;48.0;15;2026-03-11 23:17:03;;Lecture;;;AI summary for Sorting Algorithms;Video;;/uploads/lectures/159/f2b4e616-8146-4ae6-81c6-b78862796cc0.pdf;;;;;;;;;Auto-generated transcript...;;2026-03-12 23:17:03;;;;;;;0;10.0;;
654;65;SQL Joins;Description for SQL Joins;1;1;2025-10-22 06:07:06;49.0;13;2025-10-15 06:07:06;2026-01-11 06:07:06;Lecture;;;;Pdf;;/uploads/lectures/65/ea69dc3e-b58e-4e07-b78f-bd042242afcc.pdf;;;;;;;/uploads/thumbnails/30612334-cbb4-425a-8786-1abab1833b6c.jpg;;;;;2025-10-17 06:07:06;;;;;;0;30.0;;
2048;882;Cloud Architecture;Description for Cloud Architecture;27;1;;3.0;7;2024-02-22 07:31:13;;Lecture;;Summarize this lecture;AI summary for Cloud Architecture;;;/uploads/lectures/190/a5f34c0d-9d6a-4338-a8de-8e853758da37.pdf;;;;;;;;;;;;;;;;;;0;60.0;Pending;
636;63;Neural Networks;Description for Neural Networks;4;0;;45.0;5;2023-02-28 00:20:31;2023-04-07 00:20:31;Quiz;;;AI summary for Neural Networks;;Easy;;;Please complete the quiz carefully.;10.0;5.8;SingleLecture;;/uploads/thumbnails/5aa28eef-4323-4e40-8f60-3023dfb90c06.jpg;10.0;;;;;90.0;;0.0;0.0;1.0;0;;;
773;76;Network Protocols;Description for Network Protocols;25;0;2022-07-13 14:44:37;43.0;8;2022-07-04 14:44:37;;Quiz;/uploads/extra/931cca4f-6e92-488f-b5a3-ce78be190c8d.pdf;Summarize this lecture;;;Easy;;;;999.0;9.6;MultiLecture;;;999.0;Auto-generated transcript...;;2022-07-05 14:44:37;2022-07-06 14:44:37;20.0;3.0;0.0;0.0;0.0;1;15.0;Pending;
206;22;Linked Lists;Description for Linked Lists;9;0;2024-04-19 15:42:27;70.0;11;2024-02-20 15:42:27;2024-03-15 15:42:27;Assignment;/uploads/extra/971bbaaf-4cbd-4813-b982-c41ac1fb22cd.pdf;;AI summary for Linked Lists;;;;Auto;Please complete the assignment carefully.;50.0;28.0;;;;;Auto-generated transcript...;0.0;;;;;;;;1;45.0;;
1010;97;Computer Vision Intro;Description for Computer Vision Intro;5;0;;;11;2025-11-04 10:24:59;2025-11-05 10:24:59;Lecture;/uploads/extra/5f148f2b-d92b-4166-9215-070908c6391f.pdf;;;Pdf;;/uploads/lectures/97/f88d2c29-027d-4982-b6a9-d5ff77040a52.pdf;;;;;;;/uploads/thumbnails/6d366a63-19bb-4d50-b042-af6426dd842c.jpg;;;;;2025-11-06 10:24:59;;;;;;1;30.0;Pending;
2161;117;;Description for Neural Networks;19;1;2022-11-07 10:59:27;75.0;4;2022-10-19 10:59:27;2022-10-25 10:59:27;Quiz;;;;;;;;Please complete the quiz carefully.;100.0;52.2;SingleLecture;;;100.0;;;;;30.0;1.0;0.0;0.0;0.0;0;5.0;Pending;
1992;186;Sorting Algorithms;;9;0;2026-06-07 06:41:18;;12;2026-05-07 06:41:18;2026-06-23 06:41:18;Quiz;;Summarize this lecture;;;;;;Please complete the quiz carefully.;20.0;11.2;;;;20.0;;;;;15.0;3.0;1.0;0.0;1.0;1;15.0;Failed;
601;58;;Description for Concurrency;15;1;2025-11-14 08:59:36;15.0;12;2025-09-21 08:59:36;2025-09-24 08:59:36;Assignment;;;;;;;;;50.0;30.8;;;/uploads/thumbnails/41a84400-04cc-4bc9-b4c1-1b2466b9ba0c.jpg;;;;;;;;;;;0;10.0;;
356;676;Sorting Algorithms;Description for Sorting Algorithms;18;1;2023-05-03 19:53:15;;5;2023-04-03 19:53:15;;Lecture;/uploads/extra/765e51b7-29f1-4ef9-9b80-6d731de1264e.pdf;;;Pdf;;/uploads/lectures/33/8ba8a49d-17f9-4b07-ae6f-7bcc2625bb4e.pdf;;;;;;;;;;;;2023-04-05 19:53:15;;;;;;1;60.0;;
435;41;Big Data Overview;;28;1;;;3;2025-08-25 11:46:43;2025-09-05 11:46:43;Quiz;;;AI summary for Big Data Overview;;Hard;;;Please complete the quiz carefully.;10.0;4.5;FullCourse;;;10.0;Auto-generated transcript...;;;2025-08-27 11:46:43;60.0;;0.0;1.0;1.0;0;60.0;Done;
748;74;Indexing & Performance;Description for Indexing & Performance;5;0;2023-05-22 01:46:58;;4;2023-03-25 01:46:58;2023-05-02 01:46:58;Lecture;;Summarize this lecture;AI summary for Indexing & Performance;Pdf;;/uploads/lectures/74/59431123-b284-4bb5-86cd-ae6b5eb37e20.pdf;;;;;;;;;;;;;;;;;;0;45.0;;
1406;132;Computer Vision Intro;Description for Computer Vision Intro;12;1;2023-01-27 13:10:03;;3;2023-01-18 13:10:03;2023-03-12 13:10:03;Lecture;;;AI summary for Computer Vision Intro;Video;;/uploads/lectures/132/966c21b0-49fe-494f-a9a0-05f31d03e9e9.pdf;;;;;;;;;;;;2023-01-20 13:10:03;;;;;;0;20.0;Failed;
397;38;Introduction to the Course;Description for Introduction to the Course;19;1;2024-01-25 17:27:44;;10;2023-12-02 17:27:44;;Lecture;;;AI summary for Introduction to the Course;Pdf;;/uploads/lectures/38/064f9546-b8a6-4d7b-aa80-77b80bfe10a2.pdf;;;;;;;;;;;;2023-12-04 17:27:44;;;;;;0;15.0;Pending;
884;85;;Description for Memory Management;36;1;2025-06-21 09:29:16;49.0;10;2025-06-09 09:29:16;;Lecture;/uploads/extra/ad56d11f-4d05-4267-810c-aa1dd064b36d.pdf;;;Pdf;;/uploads/lectures/85/01cfe3a2-5be1-4bde-9cf7-f1c228c5a25e.pdf;;;;;;;;;;;2025-06-10 09:29:16;;;;;;;0;;Done;
1205;115;REST APIs;Description for REST APIs;10;0;2023-02-18 15:25:02;54.0;8;2023-01-28 15:25:02;2023-02-02 15:25:02;Quiz;;;AI summary for REST APIs;;Hard;;;Please complete the quiz carefully.;20.0;13.0;FullCourse;;;20.0;Auto-generated transcript...;;;;30.0;;0.0;0.0;0.0;1;20.0;Pending;
711;71;Encryption Methods;Description for Encryption Methods;12;1;;;10;2025-09-25 12:26:53;;Assignment;;;AI summary for Encryption Methods;;;;Manual;Please complete the assignment carefully.;50.0;30.5;;;;;;1.0;;;;;;;;1;;Pending;
1779;165;Memory Management;Description for Memory Management;24;1;;49.0;5;2023-04-23 17:28:53;2023-05-07 17:28:53;Quiz;;Summarize this lecture;;;Hard;;;Please complete the quiz carefully.;25.0;13.0;FullCourse;;;25.0;;;2023-04-24 17:28:53;;15.0;2.0;1.0;1.0;0.0;0;15.0;;
1746;162;Linked Lists;Description for Linked Lists;9;1;;41.0;14;2026-01-10 08:51:56;;Lecture;;Summarize this lecture;AI summary for Linked Lists;Pdf;;/uploads/lectures/162/bb650a57-9c1e-49c2-9641-85985ac84e7a.pdf;;;;;;;/uploads/thumbnails/a1ae40cf-08c2-40bb-bafb-a7bcac1c62a5.jpg;;;;;;;;;;;0;5.0;;
652;64;Concurrency;Description for Concurrency;3;1;2025-12-03 04:14:01;;12;2025-11-25 04:14:01;2026-02-06 04:14:01;Lecture;;;;Video;;/uploads/lectures/64/9166a6f4-b833-4764-849d-630f465c0ab8.pdf;;;;;;;;;;;;2025-11-27 04:14:01;;;;;;1;30.0;Failed;
2049;190;Web Development Basics;Description for Web Development Basics;30;1;2024-07-13 13:11:07;36.0;7;2024-06-17 13:11:07;2024-09-03 13:11:07;Quiz;;;AI summary for Web Development Basics;;;;;Please complete the quiz carefully.;0.0;60.2;FullCourse;;;0.0;Auto-generated transcript...;;;;20.0;;0.0;1.0;0.0;0;30.0;;
1777;165;Design Patterns;Description for Design Patterns;20;0;2023-04-23 04:36:08;;14;2023-03-06 04:36:08;2023-04-03 04:36:08;Lecture;;;AI summary for Design Patterns;Pdf;;/uploads/lectures/165/323f50b0-d22d-4c4b-b317-2a8a214f83ff.pdf;;;;;;;/uploads/thumbnails/a42fc354-a8ec-450e-8c43-7ca650c3ddbe.jpg;;;;;;;;;;;1;10.0;Failed;
1733;161;Search Algorithms;Description for Search Algorithms;12;1;2025-07-19 10:49:14;;12;2025-07-06 10:49:14;2025-07-15 10:49:14;Quiz;;Summarize this lecture;;;Easy;;;Please complete the quiz carefully.;20.0;9.7;FullCourse;;;20.0;;;;;45.0;;0.0;1.0;1.0;1;15.0;Failed;
212;22;Introduction to the Course;Description for Introduction to the Course;21;0;2024-04-17 10:20:56;;5;2024-03-15 10:20:56;;Assignment;;;;;;;Auto;Please complete the assignment carefully.;50.0;27.6;;;/uploads/thumbnails/f8099aa7-af74-4595-a4ab-c5299459d197.jpg;;;0.0;;;;;;;;0;15.0;Pending;/uploads/assignments/90717462-7119-4bff-9cbb-76e03a1e271a.pdf
139;16;Big Data Overview;Description for Big Data Overview;9;1;;;4;2024-10-24 17:35:29;2024-12-06 17:35:29;Lecture;;;AI summary for Big Data Overview;Pdf;;/uploads/lectures/16/5ccd18ca-833c-4f96-b776-d2ed0266fc16.pdf;;;;;;;;;;;;;;;;;;0;30.0;;
1868;174;Design Patterns;Description for Design Patterns;2;1;2025-06-20 22:05:05;;13;2025-06-08 22:05:05;2025-07-16 22:05:05;Lecture;;;AI summary for Design Patterns;Pdf;;/uploads/lectures/174/ed8ab28f-98dc-4717-b588-d1537d6c609f.pdf;;;;;;;;;;;;;;;;;;0;;Pending;
846;82;OOP Concepts;;15;1;2025-11-30 07:41:09;;10;2025-10-22 07:41:09;2026-01-16 07:41:09;Quiz;;;;;Medium;;;Please complete the quiz carefully.;10.0;4.9;SingleLecture;;;10.0;Auto-generated transcript...;;;;60.0;2.0;0.0;0.0;1.0;0;15.0;Failed;
380;36;Dynamic Programming;Description for Dynamic Programming;13;1;;;8;2025-07-07 18:15:17;2025-08-31 18:15:17;Assignment;;;AI summary for Dynamic Programming;;;;Auto;;10.0;5.6;;;;;;1.0;;;;;;;;0;;Failed;
989;94;Indexing & Performance;;11;1;2022-05-27 10:30:52;;5;2022-05-15 10:30:52;2022-06-19 10:30:52;Assignment;;;AI summary for Indexing & Performance;;;;;Please complete the assignment carefully.;20.0;9.9;;;/uploads/thumbnails/35153a51-843b-41c0-a1d0-5c1cdab4d2ae.jpg;;;;;;;;;;;1;5.0;;
683;68;Concurrency;;9;1;2024-05-05 01:54:26;;1;2024-04-09 01:54:26;2024-04-29 01:54:26;Lecture;;;AI summary for Concurrency;Video;;/uploads/lectures/68/2cac51b3-5096-4b30-ba6b-3b43ce9089ea.pdf;;;;;;;;;;;;;;;;;;0;30.0;Pending;
1477;140;Dynamic Programming;Description for Dynamic Programming;29;1;2022-11-06 02:00:57;;14;2022-10-12 02:00:57;2022-11-03 02:00:57;Quiz;;;;;;;;Please complete the quiz carefully.;100.0;53.5;;;;100.0;;;2022-10-13 02:00:57;;15.0;2.0;1.0;1.0;1.0;0;45.0;Failed;
1344;128;OOP Concepts;Description for OOP Concepts;5;0;;;12;2025-09-12 16:51:24;2025-10-15 16:51:24;Quiz;/uploads/extra/38505bbe-0faa-4395-a896-d76002ad70c3.pdf;;AI summary for OOP Concepts;;;;;Please complete the quiz carefully.;50.0;24.3;MultiLecture;;;50.0;Auto-generated transcript...;;2025-09-13 16:51:24;;15.0;;0.0;1.0;0.0;0;;Failed;
764;76;OS Scheduling;Description for OS Scheduling;5;1;2023-03-11 13:12:04;;6;2023-01-15 13:12:04;2023-04-12 13:12:04;Quiz;;;AI summary for OS Scheduling;;Hard;;;;100.0;50.1;;;;100.0;;;;;45.0;2.0;0.0;0.0;0.0;0;10.0;;
207;22;Big Data Overview;Description for Big Data Overview;10;1;2023-10-20 15:36:45;;13;2023-09-02 15:36:45;2023-11-01 15:36:45;Lecture;;;;Pdf;;/uploads/lectures/22/0c963ee5-9cec-4b1f-b671-4b172fc62582.pdf;;;;;;;;;;;;;;;;;;0;20.0;Failed;
368;35;Cybersecurity Fundamentals;;6;1;2025-06-24 08:45:21;;13;2025-04-30 08:45:21;2025-05-10 08:45:21;Assignment;;;;;;;Auto;Please complete the assignment carefully.;20.0;10.5;;;/uploads/thumbnails/bfcc5d77-60c3-49ca-8cf2-244c44c69380.jpg;;;0.0;;2025-05-02 08:45:21;;;;;;0;30.0;Done;
1954;183;SQL Joins;Description for SQL Joins;8;1;2023-03-16 00:06:06;45.0;15;2023-02-14 00:06:06;2023-03-07 00:06:06;Assignment;;;;;;;Auto;;100.0;56.8;;;;;;0.0;;;;;;;;0;45.0;Done;
716;72;Data Structures Overview;Description for Data Structures Overview;2;1;2022-12-30 10:08:09;65.0;4;2022-11-13 10:08:09;2022-12-13 10:08:09;Quiz;;;AI summary for Data Structures Overview;;;;;Please complete the quiz carefully.;0.0;28.4;;;;0.0;;;;;30.0;1.0;1.0;1.0;0.0;0;20.0;Done;
304;30;Design Patterns;Description for Design Patterns;8;1;;;15;2022-09-08 04:26:03;2022-10-01 04:26:03;Lecture;;;;Video;;/uploads/lectures/30/de06bbc5-db1f-4dd1-8f64-4861e2810d6c.pdf;;;;;;;/uploads/thumbnails/467ef03e-b775-4338-a3b9-28d1832bc245.jpg;;;;2022-09-09 04:26:03;;;;;;;0;15.0;Failed;
1598;773;Cloud Architecture;Description for Cloud Architecture;4;1;2026-04-03 05:09:34;;8;2026-03-15 05:09:34;2026-06-01 05:09:34;Lecture;;Summarize this lecture;AI summary for Cloud Architecture;Pdf;;/uploads/lectures/150/1f73907a-8dfc-42c4-bf22-3a7a81ea4618.pdf;;;;;;;;;;;;;;;;;;0;;;
1802;167;OOP Concepts;Description for OOP Concepts;17;1;;;8;2022-10-11 18:19:39;2022-12-13 18:19:39;Lecture;;Summarize this lecture;AI summary for OOP Concepts;Pdf;;/uploads/lectures/167/ed0571c2-f70d-448b-b26b-2526dc9e9f2a.pdf;;;;;;;/uploads/thumbnails/911c04a1-6b86-45c6-a82f-db7171f247e5.jpg;;;;;;;;;;;0;30.0;;
1695;159;Trees and Graphs;Description for Trees and Graphs;9;1;2026-01-06 02:59:35;20.0;13;2025-11-17 02:59:35;2026-01-10 02:59:35;Quiz;;Summarize this lecture;;;;;;Please complete the quiz carefully.;100.0;50.1;FullCourse;;;100.0;;;2025-11-18 02:59:35;;20.0;2.0;0.0;0.0;0.0;0;45.0;Done;
493;47;Indexing & Performance;Description for Indexing & Performance;2;1;;;5;2022-12-08 07:05:47;2023-02-18 07:05:47;Lecture;;;;Video;;/uploads/lectures/47/3179816a-2564-4e9d-a267-9f5812ce1b05.pdf;;;;;;;;;;;2022-12-09 07:05:47;;;;;;;0;30.0;Done;
1641;153;Web Development Basics;Description for Web Development Basics;25;1;;;9;2023-09-08 06:00:46;;Quiz;;;;;Hard;;;Please complete the quiz carefully.;10.0;5.3;FullCourse;;;10.0;Auto-generated transcript...;;2023-09-09 06:00:46;;60.0;1.0;0.0;0.0;1.0;0;60.0;;
1009;97;Neural Networks;;3;0;2025-08-22 12:34:36;;5;2025-06-29 12:34:36;2025-08-23 12:34:36;Lecture;;Summarize this lecture;;;;/uploads/lectures/97/fca8b774-2ce4-4860-8d3e-c7e9c248dc36.pdf;;;;;;;;;;;;;;;;;;1;30.0;Done;
571;54;Indexing & Performance;Description for Indexing & Performance;17;1;2024-03-19 15:28:34;44.0;4;2024-03-06 15:28:34;2024-03-21 15:28:34;Assignment;;;AI summary for Indexing & Performance;;;;Auto;;50.0;25.4;;;;;;;;2024-03-08 15:28:34;;;;;;0;45.0;;
1511;143;Search Algorithms;Description for Search Algorithms;23;0;2025-12-20 00:53:15;;7;2025-12-07 00:53:15;;Lecture;;Summarize this lecture;;Video;;/uploads/lectures/143/70d77781-4b75-4726-8f5f-878379352821.pdf;;;;;;;/uploads/thumbnails/b72942c2-9f8d-49e6-9ec5-ae12d449e642.jpg;;;;;;;;;;;1;30.0;;
1401;132;Memory Management;Description for Memory Management;5;0;;;13;2023-06-13 03:03:22;2023-08-15 03:03:22;Lecture;;Summarize this lecture;AI summary for Memory Management;Pdf;;/uploads/lectures/132/2a60a0d1-ad8f-4d06-87c2-ff922f44a428.pdf;;;;;;;;;;;;;;;;;;0;10.0;;
449;43;OOP Concepts;Description for OOP Concepts;13;1;;;2;2026-02-27 18:05:56;2026-05-10 18:05:56;Lecture;;Summarize this lecture;;Video;;/uploads/lectures/43/6156a2ed-ad0d-45b0-85cf-da0f270b3a32.pdf;;;;;;;;;;;;2026-03-01 18:05:56;;;;;;1;60.0;Failed;
1757;163;Cloud Architecture;Description for Cloud Architecture;15;1;2025-12-02 00:01:59;;9;2025-10-23 00:01:59;2025-11-05 00:01:59;Lecture;;;;Pdf;;/uploads/lectures/163/fb0b7410-d134-47bd-9e9a-4def48fbdeb9.pdf;;;;;;;/uploads/thumbnails/4ade0ffb-5d1f-4734-a54d-76ae22563d02.jpg;;;;;;;;;;;0;45.0;Pending;
