Id;UserId;Title;Body;Type;IsRead;ReadAt;EmailSent;EmailSentAt;ReferenceActivityId;CreatedAt
912;154.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;0;;0;2023-07-24 01:23:02;897.0;2023-07-24 00:54:02
2183;1806.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;1;2025-07-03 11:49:36;534.0;2025-07-03 11:38:36
13255;1893.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2022-04-25 10:59:54;148.0;2022-04-25 10:37:54
12328;135.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;0;2022-12-05 14:14:54;;2022-12-05 13:58:54
7584;8.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;1;2022-09-05 02:13:14;1;2022-09-04 03:24:14;;2022-09-04 03:13:14
499;1790.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;0;2024-10-22 00:50:45;1426.0;2024-10-22 00:42:45
7935;637.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2025-05-04 00:47:07;1;;763.0;2025-05-01 20:47:07
11346;173.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;;0;2025-02-04 22:04:13;;2025-02-04 21:58:13
1310;1837.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;1;2025-12-04 18:18:13;1119.0;2025-12-04 18:05:13
8552;1201.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;1;;0;2022-12-27 13:25:20;557.0;2022-12-27 13:08:20
12710;1668.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2022-11-04 21:55:05;0;;;2022-11-03 04:55:05
13951;728.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;;0;2025-06-05 03:42:59;;2025-06-05 03:14:59
8517;1903.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;1;;1;2023-07-14 14:54:53;;2023-07-14 14:39:53
10902;698.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2022-01-24 02:30:48;1;2022-01-21 10:36:48;1268.0;2022-01-21 10:30:48
9711;538.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;0;;;2022-12-06 20:42:18
7310;1908.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2025-07-12 05:20:14;;2025-07-12 05:00:14
13774;589.0;Notification: NewLecture;;NewLecture;1;2025-03-11 05:39:09;0;2025-03-10 09:07:09;272.0;2025-03-10 08:39:09
10473;515.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;1;2023-05-07 04:49:45;277.0;2023-05-07 04:35:45
10836;1847.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;0;2022-05-02 17:01:24;639.0;2022-05-02 16:58:24
11276;120.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;;0;2025-04-30 13:30:43;1883.0;2025-04-30 13:12:43
3778;914.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;;1;2022-07-07 19:31:17;;2022-07-07 19:10:17
1363;1041.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;0;2022-02-03 06:29:41;1539.0;2022-02-03 06:04:41
441;1458.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;2024-10-31 11:44:23;0;2024-10-30 13:00:23;;2024-10-30 12:44:23
6568;552.0;Notification: AssignmentDue;;AssignmentDue;0;;0;2022-07-06 07:28:50;259.0;2022-07-06 07:09:50
10618;1810.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;0;;1;2025-09-06 18:48:48;787.0;2025-09-06 18:47:48
1098;1307.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2022-01-01 13:18:34;1370.0;2022-01-01 13:02:34
3697;340.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;2022-03-04 09:01:51;0;2022-03-04 02:28:51;;2022-03-04 02:01:51
2343;96.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;;1;2025-06-07 18:00:00;1300.0;2025-06-07 17:55:00
9613;423.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;2025-08-04 14:35:41;1;;2032.0;2025-08-01 20:35:41
2318;1403.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2023-12-30 18:42:45;1351.0;2023-12-30 18:15:45
1202;903.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2024-10-25 11:32:25;1;2024-10-25 10:41:25;1135.0;2024-10-25 10:32:25
7995;1501.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;1;2026-02-05 23:22:48;200.0;2026-02-05 23:12:48
663;370.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;;1;2022-12-10 07:13:34;;2022-12-10 07:12:34
8670;962.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;;0;2022-02-05 22:30:04;1712.0;2022-02-05 22:15:04
8980;2042.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;1;2025-03-16 12:45:54;1928.0;2025-03-16 12:36:54
153;352.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2025-08-17 18:06:31;;2025-08-17 17:48:31
4719;2011.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;;1;2022-12-17 05:14:28;;2022-12-17 05:09:28
5601;864.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;;1;2022-01-23 21:25:19;810.0;2022-01-23 21:04:19
2596;464.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;;1;;;2024-04-03 07:01:49
10085;1387.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;;1741.0;2023-12-12 20:24:54
3092;895.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;0;;1;;1810.0;2024-07-13 18:21:07
12609;1050.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;1;2022-08-08 02:55:39;589.0;2022-08-08 02:31:39
8096;405.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;0;2025-07-13 17:54:54;948.0;2025-07-13 17:51:54
4652;104.0;Notification: GradeReleased;;GradeReleased;0;;0;2023-04-05 00:46:44;1324.0;2023-04-05 00:21:44
2274;1722.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;2024-09-05 05:23:53;1;2024-09-05 04:36:53;2049.0;2024-09-05 04:23:53
9822;1978.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;1;2023-04-20 04:39:04;1179.0;2023-04-20 04:17:04
9824;1978.0;Notification: SystemAlert;You have a new systemalert available.;SystemAlert;0;;1;;1140.0;2024-12-19 10:53:33
6917;1736.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2024-09-29 18:56:55;;2024-09-29 18:33:55
2771;1989.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;0;2024-08-25 19:07:13;;2024-08-25 18:49:13
3022;743.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;2025-04-18 06:55:23;1;2025-04-17 02:08:23;1653.0;2025-04-17 01:55:23
8225;1811.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;1;2025-05-16 06:51:34;203.0;2025-05-16 06:49:34
12685;1416.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2022-05-09 22:25:26;1;2022-05-07 16:34:26;;2022-05-07 16:25:26
3446;468.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;1;;;2023-06-14 13:53:17
8970;302.0;Notification: Reminder;You have a new reminder available.;Reminder;1;;1;2023-04-14 16:51:01;63.0;2023-04-14 16:45:01
10012;595.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2023-01-05 17:57:46;;2023-01-05 17:29:46
4908;876.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;;0;2026-02-06 13:28:34;1248.0;2026-02-06 13:27:34
2774;1989.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;;0;2025-01-14 09:15:47;2209.0;2025-01-14 08:58:47
1914;1513.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2026-01-25 17:52:59;1;2026-01-24 05:05:59;1472.0;2026-01-24 04:52:59
13868;664.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;;1;2026-02-22 06:54:23;;2026-02-22 06:47:23
11234;412.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;;1;;;2025-11-14 22:11:04
9992;125.0;Notification: AssignmentDue;;AssignmentDue;0;;1;2023-03-20 02:23:31;1480.0;2023-03-20 02:07:31
11479;1294.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;1;2024-01-25 06:10:48;424.0;2024-01-25 05:57:48
7816;1155.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;2025-04-29 05:35:26;1;2025-04-27 22:40:26;1598.0;2025-04-27 22:35:26
14247;662.0;Notification: SystemAlert;You have a new systemalert available.;SystemAlert;1;2023-07-17 13:38:40;1;;245.0;2023-07-16 18:38:40
1485;1299.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;2022-03-07 19:41:43;1;2022-03-07 17:01:43;;2022-03-07 16:41:43
4359;628.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;0;;1041.0;2025-10-10 06:26:55
6661;58.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;1;2022-03-03 00:59:05;;2022-03-03 00:43:05
8395;688.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;1;2023-06-24 22:05:51;;2023-06-24 21:38:51
8787;1064.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;0;;1;2024-03-13 19:05:31;477.0;2024-03-13 18:46:31
3730;772.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2025-02-26 05:36:56;0;2025-02-23 19:58:56;;2025-02-23 19:36:56
6176;1991.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;0;2023-01-18 19:41:44;;2023-01-18 19:31:44
9705;487.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2023-08-25 13:02:49;;2023-08-25 13:01:49
5715;1275.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2024-08-13 13:59:31;0;2024-08-11 23:01:31;;2024-08-11 22:59:31
6948;1402.0;Notification: QuizAvailable;;QuizAvailable;0;;0;2024-07-05 06:40:01;1265.0;2024-07-05 06:29:01
3731;1366.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;1;2023-01-25 13:46:42;785.0;2023-01-25 13:44:42
9781;1420.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;2023-09-20 00:26:58;0;;;2023-09-18 16:26:58
3460;1394.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;0;2025-11-01 02:01:58;1780.0;2025-11-01 01:52:58
1443;1892.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;1;2023-06-25 23:01:13;;2023-06-25 22:53:13
2443;181.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;;1;2025-01-28 00:36:19;;2025-01-28 00:27:19
8637;1962.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;0;2023-09-16 03:31:14;794.0;2023-09-16 03:27:14
2855;1091.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;1;2024-01-30 19:41:16;;2024-01-30 19:23:16
3928;1089.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;;1945.0;2025-03-23 00:55:06
3770;245.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;0;2025-11-12 21:15:36;;2025-11-12 21:12:36
8209;300.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2023-02-11 14:42:05;;2023-02-11 14:14:05
11633;668.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;1;2024-10-24 17:56:14;2010.0;2024-10-24 17:41:14
3846;38.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;2024-08-15 11:22:42;1;2024-08-14 06:50:42;616.0;2024-08-14 06:22:42
12948;1871.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;;1293.0;2024-01-19 11:57:39
12794;656.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;0;2023-11-04 18:51:33;871.0;2023-11-04 18:24:33
13426;843.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2022-11-16 22:23:53;554.0;2022-11-16 22:19:53
5861;1435.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2023-01-02 09:47:30;966.0;2023-01-02 09:24:30
12798;520.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;1;2025-12-26 01:50:26;0;2025-12-23 12:10:26;;2025-12-23 11:50:26
13725;1560.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;0;2023-12-28 01:52:27;;2023-12-28 01:32:27
18;1536.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;1;;2214.0;2026-01-31 05:08:53
4111;95.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2022-11-11 02:37:12;0;2022-11-08 18:57:12;418.0;2022-11-08 18:37:12
9966;623.0;Notification: SystemAlert;You have a new systemalert available.;SystemAlert;1;;0;;;2024-02-13 03:48:21
8178;1188.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;;1;2022-05-22 13:58:04;1967.0;2022-05-22 13:42:04
3722;772.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;0;2024-07-06 05:00:11;;2024-07-06 04:39:11
11305;792.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;;1;2025-01-07 13:53:49;891.0;2025-01-07 13:43:49
29;469.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;;1;2026-01-02 11:54:37;1318.0;2026-01-02 11:30:37
6098;1700.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;1;2025-05-09 20:30:06;0;2025-05-08 10:46:06;;2025-05-08 10:30:06
8151;436.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;2023-11-07 04:41:07;1;;1906.0;2023-11-06 02:41:07
2038;1732.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;1;2023-02-15 12:46:45;;2023-02-15 12:40:45
6198;1127.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2024-08-16 13:47:37;1;2024-08-16 03:05:37;2077.0;2024-08-16 02:47:37
5985;1436.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;1;2023-02-12 20:58:09;;2023-02-12 20:55:09
1190;270.0;Notification: Reminder;You have a new reminder available.;Reminder;0;;1;2023-05-25 03:02:32;1442.0;2023-05-25 02:50:32
5615;1424.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;0;;449.0;2022-07-02 16:41:21
8620;683.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;1;;1;2024-05-07 05:56:49;1366.0;2024-05-07 05:41:49
5306;1690.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2023-02-06 18:06:44;1;2023-02-04 18:35:44;984.0;2023-02-04 18:06:44
7940;637.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2024-05-30 08:45:06;1;;;2024-05-28 17:45:06
8831;1652.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2023-10-26 01:05:29;0;;907.0;2023-10-23 11:05:29
11661;1911.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2024-10-24 07:28:16;1;2024-10-21 23:44:16;;2024-10-21 23:28:16
12672;1161.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2022-02-16 06:11:23;489.0;2022-02-16 05:51:23
820;136.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2023-09-04 13:35:59;665.0;2023-09-04 13:07:59
3219;1939.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;0;;1;2023-08-03 06:43:59;2170.0;2023-08-03 06:29:59
4903;876.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;0;2025-01-05 04:53:27;1946.0;2025-01-05 04:25:27
10693;1182.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;;1;2023-05-11 03:34:04;1693.0;2023-05-11 03:24:04
6940;505.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2022-01-28 13:28:37;;2022-01-28 13:06:37
12541;1733.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2025-07-20 18:46:17;;2025-07-20 18:19:17
4386;393.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2022-10-03 13:22:20;1;;705.0;2022-10-01 01:22:20
6330;1864.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2025-07-25 07:55:42;1971.0;2025-07-25 07:32:42
10781;1374.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2022-08-31 15:05:58;1;;;2022-08-31 11:05:58
13947;728.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2022-05-14 09:56:01;1;2022-05-13 05:09:01;146.0;2022-05-13 04:56:01
11870;1835.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2024-02-21 17:26:41;0;2024-02-20 15:35:41;;2024-02-20 15:26:41
7330;1339.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;0;;1502.0;2024-03-30 07:15:44
2345;1720.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2022-12-07 15:39:38;695.0;2022-12-07 15:21:38
12197;1309.0;Notification: SystemAlert;You have a new systemalert available.;SystemAlert;0;;0;2022-01-22 23:59:27;774.0;2022-01-22 23:45:27
4161;1673.0;Notification: GradeReleased;You have a new gradereleased available.;GradeReleased;0;;0;2022-05-12 08:44:47;850.0;2022-05-12 08:21:47
9406;1985.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;0;2024-06-14 02:48:37;;2024-06-14 02:47:37
13958;64.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;0;;0;;1637.0;2024-10-05 16:53:52
5159;1096.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;0;2022-04-20 04:14:12;241.0;2022-04-20 03:50:12
4056;601.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2025-01-22 16:02:56;1;2025-01-21 18:10:56;533.0;2025-01-21 18:02:56
13429;843.0;Notification: SystemAlert;You have a new systemalert available.;SystemAlert;1;;1;2024-04-15 05:58:06;547.0;2024-04-15 05:40:06
10114;1627.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2023-07-22 20:07:06;1;2023-07-22 06:23:06;1019.0;2023-07-22 06:07:06
2246;1873.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2024-02-18 00:13:53;0;2024-02-17 03:43:53;1400.0;2024-02-17 03:13:53
5129;1277.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2025-01-13 19:51:25;;2025-01-13 19:41:25
5264;969.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2023-02-04 16:53:41;0;;2207.0;2023-02-03 02:53:41
7892;2021.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2024-06-02 06:40:35;0;2024-05-30 17:51:35;67.0;2024-05-30 17:40:35
4185;1331.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2024-08-19 08:22:08;1202.0;2024-08-19 08:07:08
5343;838.0;Notification: CourseEnrollment;You have a new courseenrollment available.;CourseEnrollment;0;;1;2025-03-08 03:52:17;257.0;2025-03-08 03:25:17
11815;734.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;0;2024-06-22 00:19:06;;2024-06-22 00:00:06
4699;1385.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;;1;2022-07-29 03:02:07;927.0;2022-07-29 02:33:07
6655;58.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2023-11-03 04:39:53;1;;;2023-10-31 19:39:53
1416;1080.0;Notification: NewLecture;;NewLecture;1;;1;2024-08-14 23:39:56;;2024-08-14 23:27:56
8289;1183.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;1;2025-11-13 23:10:17;0;;1687.0;2025-11-11 22:10:17
12567;2020.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;0;2025-07-21 17:22:18;742.0;2025-07-21 16:53:18
11478;1294.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;2023-10-01 04:26:03;1;;712.0;2023-09-30 22:26:03
2800;184.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;0;;0;2022-10-26 07:20:57;1975.0;2022-10-26 06:56:57
9615;423.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;1;2023-07-02 06:31:49;0;2023-06-29 20:58:49;304.0;2023-06-29 20:31:49
3380;1551.0;Notification: SystemAlert;;SystemAlert;1;2023-11-27 23:57:15;1;2023-11-26 14:04:15;;2023-11-26 13:57:15
3528;1975.0;Notification: NewLecture;You have a new newlecture available.;NewLecture;0;;1;2025-12-23 15:47:48;34.0;2025-12-23 15:43:48
9323;1422.0;Notification: QuizAvailable;You have a new quizavailable available.;QuizAvailable;0;;1;2022-05-22 05:02:05;;2022-05-22 04:36:05
9718;1363.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;;1;2022-02-05 06:26:10;;2022-02-05 06:12:10
12629;1404.0;Notification: AssignmentDue;You have a new assignmentdue available.;AssignmentDue;1;;1;;;2024-11-22 22:29:31
