Id;ActivityId;StudentId;Status;ProgressPercent;FirstAccessedAt;LastAccessedAt;TotalTimeSpentSeconds;CompletedAt
24488;1905;2218.0;Completed;999;2024-01-17 08:40:38;2024-03-06 08:40:38;2005.0;2024-03-06 08:40:38
25857;455;2535.0;InProgress;17;2022-10-12 18:32:55;2023-02-02 18:32:55;1451.0;
12248;1984;1910.0;Completed;100;2023-04-11 20:08:11;2023-07-17 20:08:11;2591.0;2023-07-17 20:08:11
24459;1162;204.0;InProgress;150;2025-09-26 03:20:11;2025-11-01 03:20:11;3192.0;
17766;9211;347.0;Completed;100;2022-10-18 12:13:52;;3298.0;2022-10-27 12:13:52
8784;1548;1621.0;Completed;100;2023-04-19 10:42:57;2023-08-10 10:42:57;1244.0;2023-08-10 10:42:57
13166;1359;4296.0;Completed;100;2025-02-16 12:00:39;2025-04-04 12:00:39;5545.0;2025-04-04 12:00:39
4474;1311;1217.0;Completed;100;2025-02-13 00:25:32;2025-02-21 00:25:32;5240.0;2025-02-21 00:25:32
17741;379;2489.0;Completed;100;2025-03-19 01:56:11;2025-06-21 01:56:11;4847.0;2025-06-21 01:56:11
11057;73;3123.0;InProgress;70;2024-05-20 17:41:35;2024-08-15 17:41:35;335.0;
18159;648;4989.0;Completed;100;2022-12-14 04:23:19;2023-01-25 04:23:19;3245.0;2023-01-25 04:23:19
4538;9203;3727.0;InProgress;70;2022-10-19 22:38:39;2022-10-20 22:38:39;1199.0;
20086;1153;;InProgress;71;2025-08-18 01:03:44;2025-12-03 01:03:44;2148.0;
9592;2065;1635.0;Completed;100;2025-04-20 09:38:45;2025-07-05 09:38:45;2280.0;2025-07-05 09:38:45
7157;925;3006.0;Completed;100;2024-04-08 10:01:25;;5698.0;2024-05-05 10:01:25
4826;379;1025.0;NotStarted;0;;;;
6157;246;1577.0;InProgress;33;2024-09-23 10:25:21;2024-12-07 10:25:21;309.0;
5172;1338;725.0;Completed;100;2024-05-30 14:50:51;;3677.0;2024-06-18 14:50:51
12460;143;4091.0;Completed;100;2025-06-29 00:06:53;;5327.0;2025-07-27 00:06:53
4757;1602;4755.0;Completed;100;2023-05-09 21:54:22;2023-07-23 21:54:22;5954.0;2023-07-23 21:54:22
11284;240;4475.0;InProgress;999;2025-06-01 00:42:32;2025-07-31 00:42:32;3582.0;
1273;1425;2640.0;InProgress;82;2023-10-07 04:18:05;2024-01-06 04:18:05;2234.0;
22106;439;1892.0;Completed;100;2023-02-25 11:21:12;;4756.0;2023-03-17 11:21:12
20725;1678;755.0;Completed;100;2024-06-08 09:05:43;2024-07-13 09:05:43;2834.0;2024-07-13 09:05:43
5591;1596;2984.0;InProgress;87;2023-09-29 17:30:46;;2483.0;
12147;824;2993.0;InProgress;88;2023-10-05 14:02:33;2023-12-11 14:02:33;1103.0;
4577;786;1772.0;Completed;100;2024-06-04 05:18:01;2024-07-11 05:18:01;625.0;2024-07-11 05:18:01
1046;878;730.0;NotStarted;0;;;;
1128;1728;4825.0;Completed;100;2022-06-02 03:10:07;2022-09-19 03:10:07;2746.0;2022-09-19 03:10:07
6439;2047;3016.0;InProgress;44;2025-02-28 06:23:42;2025-04-05 06:23:42;554.0;
15806;1388;1454.0;NotStarted;0;;;;
19857;1324;2572.0;Completed;100;2024-12-12 03:16:33;2025-03-09 03:16:33;3976.0;2025-03-09 03:16:33
21380;539;4081.0;InProgress;33;2022-10-31 20:13:21;2023-02-23 20:13:21;2308.0;
26526;183;3285.0;NotStarted;0;;;;
24320;213;4893.0;NotStarted;0;;;;
18481;346;3778.0;Completed;100;2022-08-01 06:42:47;2022-09-24 06:42:47;969.0;2022-09-24 06:42:47
11878;1766;4792.0;Completed;100;2023-04-19 15:44:11;2023-06-02 15:44:11;1878.0;2023-06-02 15:44:11
24873;1728;742.0;NotStarted;101;;;;
14887;1375;3097.0;Completed;100;2023-10-16 13:22:30;2024-02-03 13:22:30;712.0;2024-02-03 13:22:30
12774;1068;1929.0;Completed;100;2024-10-01 03:49:32;2025-01-15 03:49:32;2919.0;2025-01-15 03:49:32
11847;156;1858.0;Completed;100;2024-05-20 02:52:46;2024-05-24 02:52:46;1078.0;2024-05-24 02:52:46
19771;1925;808.0;Completed;100;2025-05-30 14:40:14;2025-08-19 14:40:14;4913.0;2025-08-19 14:40:14
12389;1454;4118.0;NotStarted;0;;;;
26836;172;4931.0;NotStarted;0;;;;
647;1931;3989.0;Completed;100;2023-06-10 03:42:10;2023-06-17 03:42:10;3511.0;2023-06-17 03:42:10
23201;1058;4908.0;Completed;100;2024-09-05 15:28:02;2024-12-22 15:28:02;1336.0;2024-12-22 15:28:02
24931;432;;InProgress;70;2024-02-12 19:41:19;2024-05-20 19:41:19;1704.0;
13158;562;4296.0;InProgress;70;2025-08-25 22:42:59;2025-11-08 22:42:59;2734.0;
2845;1017;1215.0;NotStarted;0;;;;
21021;1178;397.0;Completed;100;2023-03-01 19:41:03;2023-05-13 19:41:03;5236.0;2023-05-13 19:41:03
1895;1599;3176.0;Completed;100;2024-07-08 11:39:54;2024-10-27 11:39:54;4771.0;2024-10-27 11:39:54
13266;2070;2298.0;InProgress;55;2025-07-09 11:32:29;2025-10-17 11:32:29;3496.0;
15479;105;149.0;InProgress;34;2023-08-19 18:44:51;2023-09-09 18:44:51;2171.0;
6695;845;886.0;InProgress;26;2024-01-01 19:34:42;2024-02-03 19:34:42;446.0;
9372;326;3305.0;InProgress;80;2023-09-12 03:17:57;2023-11-18 03:17:57;1256.0;
23213;1281;1416.0;Completed;100;2025-11-01 08:01:44;2025-12-30 08:01:44;1863.0;2025-12-30 08:01:44
22607;1230;4516.0;NotStarted;0;;;;
25115;2120;661.0;InProgress;73;2022-09-17 20:48:30;2022-10-25 20:48:30;1022.0;
8513;2209;4866.0;Completed;100;2022-08-12 01:09:00;;3413.0;2022-08-21 01:09:00
26298;2073;2982.0;Completed;100;2025-12-25 21:03:56;2025-12-25 21:03:56;5524.0;2025-12-25 21:03:56
24321;1262;4893.0;Completed;100;2023-11-26 02:10:28;2024-03-12 02:10:28;4255.0;2024-03-12 02:10:28
441;1659;4478.0;Completed;100;2024-02-27 08:42:14;2024-05-25 08:42:14;;2024-05-25 08:42:14
23119;781;4114.0;NotStarted;0;;;;
3042;1141;4349.0;InProgress;40;2025-07-01 11:51:19;2025-10-01 11:51:19;1571.0;
14171;9288;1631.0;Completed;-5;2024-02-03 06:17:06;2024-02-14 06:17:06;3822.0;2024-02-14 06:17:06
21260;36;3249.0;Completed;100;2022-09-20 12:31:27;2022-12-13 12:31:27;886.0;2022-12-13 12:31:27
13298;1053;1673.0;NotStarted;0;;;;
15377;1348;279.0;NotStarted;0;;;;
6057;1132;3600.0;Completed;100;2024-02-03 10:51:06;;5017.0;2024-02-18 10:51:06
972;210;3175.0;InProgress;72;2024-11-30 23:09:53;2025-02-03 23:09:53;152.0;
20589;1824;4541.0;InProgress;28;2024-10-13 05:46:49;2024-12-29 05:46:49;2636.0;
7749;9386;991.0;InProgress;19;2024-08-03 01:02:40;2024-12-01 01:02:40;3575.0;
6616;2143;2295.0;Completed;100;2024-02-25 05:57:54;2024-05-27 05:57:54;2579.0;2024-05-27 05:57:54
19307;1476;2108.0;Completed;96;2024-08-04 19:10:19;2024-10-07 19:10:19;6472.0;2024-10-07 19:10:19
14961;1263;2668.0;NotStarted;0;;;;
1032;27;2558.0;InProgress;29;2024-06-03 17:44:39;2024-09-22 17:44:39;1210.0;
14274;2071;277.0;Completed;100;2026-01-18 08:47:16;2026-03-01 08:47:16;4774.0;2026-03-01 08:47:16
25723;1870;1584.0;Completed;100;2023-01-16 17:04:04;2023-02-12 17:04:04;6777.0;2023-02-12 17:04:04
7686;1909;3322.0;Completed;100;2024-08-19 17:43:13;;2958.0;2024-09-12 17:43:13
17981;1516;2936.0;Completed;100;2024-10-24 23:25:42;2025-01-24 23:25:42;;2025-01-24 23:25:42
12153;1090;2993.0;InProgress;16;2025-08-25 17:07:36;2025-10-07 17:07:36;2862.0;
17172;1215;4981.0;NotStarted;0;;;;
12303;220;496.0;Completed;100;2024-11-21 09:49:30;2025-02-25 09:49:30;422.0;2025-02-25 09:49:30
25096;9059;3346.0;Completed;100;2024-08-24 03:11:05;2024-09-06 03:11:05;4015.0;2024-09-06 03:11:05
8543;1097;2234.0;Completed;100;2022-08-26 17:45:30;2022-10-30 17:45:30;6851.0;2022-10-30 17:45:30
7695;9834;4547.0;Completed;100;2025-11-02 16:33:27;2026-02-16 16:33:27;805.0;2026-02-16 16:33:27
8548;1875;2234.0;Completed;100;2022-12-20 10:38:25;2023-02-09 10:38:25;6532.0;2023-02-09 10:38:25
7235;1107;4362.0;Completed;100;2023-05-01 02:32:20;2023-08-07 02:32:20;3042.0;2023-08-07 02:32:20
13354;668;2859.0;NotStarted;0;;;;
4298;2106;1336.0;Completed;100;2023-11-17 06:30:59;;4664.0;2023-11-27 06:30:59
19011;169;3772.0;Completed;100;2025-05-18 13:58:36;2025-05-25 13:58:36;4868.0;2025-05-25 13:58:36
1085;1958;4363.0;Completed;100;2022-10-05 23:10:22;;3194.0;2022-10-27 23:10:22
22820;1792;2832.0;Completed;100;2023-06-22 13:01:46;2023-09-02 13:01:46;2269.0;2023-09-02 13:01:46
18400;1462;1444.0;Completed;100;2023-04-26 10:53:57;2023-05-31 10:53:57;2570.0;2023-05-31 10:53:57
12646;1099;3896.0;NotStarted;0;;;;
9445;1096;848.0;Completed;100;2022-09-18 23:55:36;2023-01-15 23:55:36;2194.0;2023-01-15 23:55:36
26131;444;849.0;Completed;100;2022-07-28 04:33:22;2022-09-11 04:33:22;6820.0;2022-09-11 04:33:22
7031;1432;1406.0;Completed;100;2025-03-13 14:42:07;2025-07-08 14:42:07;825.0;2025-07-08 14:42:07
10053;635;899.0;NotStarted;0;;;;
19583;1169;3170.0;Completed;100;2024-12-28 05:49:44;2025-03-19 05:49:44;4908.0;2025-03-19 05:49:44
26252;2142;2034.0;Completed;100;2024-10-06 02:38:56;2025-01-09 02:38:56;7115.0;2025-01-09 02:38:56
895;1281;1256.0;Completed;100;2025-03-05 00:33:47;2025-06-22 00:33:47;5758.0;2025-06-22 00:33:47
20168;635;3897.0;Completed;100;2025-07-03 00:42:15;2025-08-08 00:42:15;6845.0;2025-08-08 00:42:15
7220;1941;4381.0;Completed;100;2025-09-22 15:52:58;;1285.0;2025-10-16 15:52:58
21309;983;2905.0;NotStarted;0;;;;
7545;1962;1636.0;Completed;100;2024-03-31 19:39:17;2024-06-28 19:39:17;4034.0;2024-06-28 19:39:17
20061;553;;Completed;100;2022-12-14 19:24:01;2023-04-05 19:24:01;5415.0;2023-04-05 19:24:01
3336;327;3441.0;InProgress;42;2023-12-18 14:05:46;2024-01-26 14:05:46;1862.0;
25059;2096;3948.0;Completed;100;2022-12-07 19:31:19;2023-01-30 19:31:19;486.0;2023-01-30 19:31:19
17281;1798;1325.0;Completed;100;2023-10-27 13:45:03;2024-02-07 13:45:03;4901.0;2024-02-07 13:45:03
11274;1899;4475.0;InProgress;81;2025-05-11 19:39:33;2025-07-23 19:39:33;1561.0;
2015;1432;983.0;Completed;100;2022-08-09 07:43:01;2022-10-05 07:43:01;3829.0;2022-10-05 07:43:01
25283;370;438.0;InProgress;35;2024-01-31 07:28:36;2024-02-26 07:28:36;114.0;
10286;721;3044.0;NotStarted;0;;;;
19159;183;533.0;NotStarted;0;;;;
3237;900;1655.0;Completed;100;2022-11-08 20:28:56;2022-11-30 20:28:56;3399.0;2022-11-30 20:28:56
16805;1178;2815.0;NotStarted;0;;;;
20858;346;3280.0;NotStarted;0;;;;
20508;1047;2547.0;Completed;100;2024-05-23 03:15:05;2024-08-04 03:15:05;860.0;2024-08-04 03:15:05
4317;1892;1593.0;Completed;100;2025-02-14 21:32:35;2025-03-25 21:32:35;5966.0;2025-03-25 21:32:35
5124;1425;;Completed;100;2026-01-23 16:47:30;2026-01-28 16:47:30;3372.0;2026-01-28 16:47:30
24145;462;4938.0;Completed;100;2025-08-14 04:32:46;2025-12-10 04:32:46;;2025-12-10 04:32:46
23398;1844;4074.0;Completed;100;2024-03-29 17:29:58;2024-06-12 17:29:58;6774.0;2024-06-12 17:29:58
19536;445;4833.0;NotStarted;0;;;;
5579;1850;1210.0;Completed;100;2022-06-03 10:42:54;2022-06-15 10:42:54;6371.0;2022-06-15 10:42:54
372;352;1725.0;Completed;100;2023-10-09 21:34:06;2023-10-15 21:34:06;987.0;2023-10-15 21:34:06
2642;1136;2433.0;InProgress;34;2025-10-07 08:34:09;2025-10-19 08:34:09;;
2421;1306;986.0;Completed;100;2023-01-28 01:03:59;2023-04-27 01:03:59;6095.0;2023-04-27 01:03:59
1596;1335;;InProgress;46;2024-08-25 03:18:18;2024-11-03 03:18:18;1491.0;
23263;439;3248.0;NotStarted;0;;;;
12761;1230;;Completed;100;2022-09-10 01:19:13;2022-09-20 01:19:13;4522.0;2022-09-20 01:19:13
6055;1850;3600.0;Completed;100;2024-01-08 15:38:54;2024-01-17 15:38:54;6634.0;2024-01-17 15:38:54
6212;1143;4584.0;Completed;100;2023-09-27 04:31:24;2023-10-27 04:31:24;3244.0;2023-10-27 04:31:24
18754;781;3271.0;Completed;100;2024-09-17 03:58:44;2024-12-24 03:58:44;369.0;2024-12-24 03:58:44
5129;235;4871.0;Completed;100;2024-12-03 14:32:56;2025-01-17 14:32:56;582.0;2025-01-17 14:32:56
1715;1796;1857.0;NotStarted;0;;;;
22663;187;4406.0;Completed;100;2025-09-28 10:20:56;2026-01-24 10:20:56;5354.0;2026-01-24 10:20:56
22577;1980;4789.0;Completed;100;2023-06-29 02:06:57;2023-07-23 02:06:57;6514.0;2023-07-23 02:06:57
3228;346;1655.0;Completed;100;2025-09-03 10:38:03;2025-10-26 10:38:03;5019.0;2025-10-26 10:38:03
26496;902;165.0;Completed;100;2025-09-16 15:16:08;2025-12-22 15:16:08;5327.0;2025-12-22 15:16:08
18548;9096;1389.0;Completed;100;2025-10-14 05:04:29;;6999.0;2025-10-19 05:04:29
24641;635;2748.0;InProgress;54;2023-08-21 20:27:44;2023-12-13 20:27:44;3489.0;
6120;950;3593.0;Completed;100;2023-05-04 15:57:05;2023-08-12 15:57:05;4319.0;2023-08-12 15:57:05
15541;2209;779.0;NotStarted;0;;;;
19287;9793;128.0;InProgress;78;2025-04-24 14:01:01;2025-07-02 14:01:01;200.0;
5982;1964;870.0;Completed;97;2023-05-21 20:29:22;2023-08-19 20:29:22;2542.0;2023-08-19 20:29:22
3023;1661;3819.0;NotStarted;0;;;;
1167;1176;1909.0;Completed;100;2023-09-30 19:22:34;2023-12-22 19:22:34;2887.0;2023-12-22 19:22:34
21927;2096;4803.0;Completed;100;2023-12-21 19:49:48;;2027.0;2024-01-05 19:49:48
12264;1049;2445.0;Completed;100;2023-07-09 09:48:34;2023-09-16 09:48:34;7021.0;2023-09-16 09:48:34
13014;2097;4113.0;InProgress;45;2024-04-23 23:02:27;2024-08-07 23:02:27;1004.0;
9754;230;2677.0;InProgress;75;2023-09-09 03:31:30;2023-12-14 03:31:30;;
18286;1018;1958.0;NotStarted;0;;;;
21780;1497;585.0;InProgress;21;2023-10-29 17:26:08;2023-11-24 17:26:08;;
3561;1443;4387.0;NotStarted;0;;;;
23630;690;739.0;Completed;100;2023-10-13 11:22:29;2024-01-27 11:22:29;5528.0;2024-01-27 11:22:29
27143;1575;2805.0;NotStarted;0;;;;
11742;1522;1880.0;NotStarted;0;;;;
6734;323;4599.0;Completed;100;2025-06-29 06:10:00;2025-09-29 06:10:00;4061.0;2025-09-29 06:10:00
5840;562;3103.0;NotStarted;0;;;;
6000;586;1200.0;Completed;100;2025-01-02 04:05:36;2025-02-05 04:05:36;2784.0;2025-02-05 04:05:36
22261;1833;1324.0;Completed;80;2025-05-07 11:55:45;2025-06-07 11:55:45;4129.0;2025-06-07 11:55:45
8570;1611;4795.0;InProgress;9;2024-04-26 13:08:29;2024-06-27 13:08:29;486.0;
20676;677;1700.0;NotStarted;0;;;;
20196;367;2266.0;NotStarted;0;;;;
26704;1434;4913.0;InProgress;71;2024-02-28 03:49:54;2024-05-17 03:49:54;3125.0;
10182;2103;4947.0;InProgress;89;2024-04-11 05:17:45;2024-06-24 05:17:45;1593.0;
19899;754;360.0;Completed;100;2025-03-16 06:48:39;2025-04-16 06:48:39;3593.0;2025-04-16 06:48:39
6929;1399;3886.0;InProgress;40;2026-01-13 04:47:36;;761.0;
15950;490;393.0;Completed;100;2025-03-10 15:56:34;2025-03-11 15:56:34;3454.0;2025-03-11 15:56:34
6208;586;3959.0;Completed;100;2024-07-04 23:32:02;2024-07-11 23:32:02;6382.0;2024-07-11 23:32:02
22409;1569;603.0;Completed;100;2025-12-14 09:13:28;2026-01-22 09:13:28;;2026-01-22 09:13:28
17382;1185;636.0;Completed;100;2025-05-02 03:38:17;2025-08-22 03:38:17;1482.0;2025-08-22 03:38:17
26326;565;248.0;Completed;100;2025-03-18 14:33:40;;5324.0;2025-03-20 14:33:40
8302;909;2800.0;Completed;100;2024-12-13 16:36:52;2024-12-22 16:36:52;5418.0;2024-12-22 16:36:52
3172;2073;2673.0;Completed;100;2024-11-09 15:50:00;2024-11-24 15:50:00;4116.0;2024-11-24 15:50:00
1910;2206;2341.0;Completed;77;2025-06-26 12:11:42;2025-10-03 12:11:42;5733.0;2025-10-03 12:11:42
16878;1127;2596.0;InProgress;36;2023-07-28 13:56:20;2023-11-20 13:56:20;2347.0;
3327;2051;3188.0;InProgress;93;2023-06-24 10:32:37;2023-07-03 10:32:37;2208.0;
15666;471;3984.0;InProgress;18;2025-01-31 03:59:29;2025-02-13 03:59:29;2920.0;
21030;738;397.0;Completed;100;2022-10-11 17:01:29;2022-12-09 17:01:29;4650.0;2022-12-09 17:01:29
16774;991;4276.0;Completed;100;2023-11-13 20:05:57;2023-12-12 20:05:57;6807.0;2023-12-12 20:05:57
10959;1181;1807.0;InProgress;95;2025-04-29 17:39:53;2025-04-29 17:39:53;486.0;
9366;2160;3305.0;Completed;100;2024-02-07 20:25:50;2024-04-25 20:25:50;;2024-04-25 20:25:50
16286;2194;3082.0;Completed;100;2024-04-06 20:33:10;2024-07-03 20:33:10;2507.0;2024-07-03 20:33:10
589;1018;384.0;NotStarted;0;;;;
18456;1913;3404.0;Completed;100;2023-12-27 09:58:59;2024-01-17 09:58:59;6607.0;2024-01-17 09:58:59
17951;9478;2880.0;Completed;100;2023-03-05 20:27:40;2023-05-11 20:27:40;1568.0;2023-05-11 20:27:40
2759;1925;4112.0;InProgress;33;2024-10-17 11:08:49;2024-12-12 11:08:49;;
16210;1452;2430.0;Completed;100;2025-04-16 00:13:20;;3044.0;2025-05-07 00:13:20
20900;812;519.0;InProgress;95;2023-05-22 22:59:28;2023-06-21 22:59:28;3018.0;
5141;1407;3642.0;Completed;100;2024-10-01 04:56:10;2024-11-15 04:56:10;3888.0;2024-11-15 04:56:10
12158;737;2993.0;NotStarted;0;;;;
12402;388;2561.0;Completed;100;2023-11-20 08:38:16;2024-02-09 08:38:16;6691.0;2024-02-09 08:38:16
19012;452;3772.0;Completed;100;2023-11-03 07:35:11;;631.0;2023-11-22 07:35:11
4780;1689;2294.0;Completed;100;2025-05-26 18:10:29;2025-06-27 18:10:29;3028.0;2025-06-27 18:10:29
4765;646;4507.0;NotStarted;0;;;;
19006;1929;3772.0;Completed;100;2024-03-11 18:23:49;2024-04-29 18:23:49;;2024-04-29 18:23:49
19986;2028;890.0;Completed;100;2023-12-27 13:37:49;2024-01-23 13:37:49;1426.0;2024-01-23 13:37:49
21743;904;1239.0;InProgress;49;2024-02-04 22:46:09;2024-05-08 22:46:09;325.0;
24574;172;864.0;NotStarted;0;;;;
893;1230;1256.0;Completed;100;2025-01-26 06:06:29;2025-02-28 06:06:29;4186.0;2025-02-28 06:06:29
15084;367;1234.0;Completed;100;2022-12-07 03:48:03;2023-02-17 03:48:03;2870.0;2023-02-17 03:48:03
24962;1743;570.0;NotStarted;0;;;;
26833;737;4931.0;Completed;100;2025-11-18 11:10:20;2025-12-21 11:10:20;568.0;2025-12-21 11:10:20
25289;175;438.0;Completed;100;2025-01-11 14:33:22;2025-01-22 14:33:22;1115.0;2025-01-22 14:33:22
3578;2028;4127.0;Completed;100;2025-06-06 05:56:33;2025-09-12 05:56:33;5064.0;2025-09-12 05:56:33
13877;177;1734.0;NotStarted;0;;;;
6802;381;2826.0;InProgress;95;2024-10-12 09:24:10;2024-12-04 09:24:10;2169.0;
22776;9967;3910.0;NotStarted;0;;;;
19247;1718;2256.0;Completed;100;2023-09-30 15:02:22;;6615.0;2023-10-10 15:02:22
422;1046;386.0;Completed;100;2025-05-14 19:27:06;2025-09-02 19:27:06;3595.0;2025-09-02 19:27:06
1439;205;3032.0;InProgress;43;2023-06-29 13:59:44;2023-09-08 13:59:44;822.0;
5525;9398;2990.0;Completed;100;2023-06-23 11:22:44;;1664.0;2023-06-26 11:22:44
24797;1271;2529.0;Completed;60;2025-03-20 01:46:15;2025-06-21 01:46:15;5143.0;2025-06-21 01:46:15
22115;1186;4368.0;Completed;100;2025-02-07 12:32:13;2025-03-04 12:32:13;894.0;2025-03-04 12:32:13
22925;87;2731.0;Completed;100;2023-08-03 16:17:40;2023-08-05 16:17:40;;2023-08-05 16:17:40
