Id,StudentProfileId,CourseId,EnrolledById,EnrollmentDate
1813,3786.0,85,3.0,2026-01-14 07:55:59
3950,1819.0,191,3.0,2024-12-24 07:22:02
7437,3948.0,143,,2026-01-21 17:13:13
3114,16.0,52,2.0,2026-01-24 03:41:25
1515,2106.0,2,,2025-12-11 14:20:36
3776,1869.0,106,3.0,2024-11-03 11:22:12
8878,1513.0,71,3.0,2025-08-07 01:50:24
7849,1050.0,111,2.0,2025-08-25 03:23:55
3174,1051.0,79,2.0,2025-02-11 03:32:48
2881,1105.0,140,1.0,2023-08-14 12:27:41
8563,1382.0,123,2.0,2025-05-26 07:35:37
6622,1862.0,37,2.0,2023-05-23 19:51:46
9310,3076.0,32,1.0,2024-08-07 03:57:10
5452,665.0,149,1.0,2026-01-20 16:38:42
4206,2745.0,67,2.0,2023-09-07 21:24:47
8069,4658.0,182,1.0,2025-06-05 03:03:24
3626,2750.0,86,3.0,2024-11-15 19:08:04
2796,4106.0,7,3.0,2023-12-19 21:39:46
8519,1581.0,71,2.0,2025-06-27 20:39:04
1265,4924.0,35,2.0,2025-07-02 19:56:12
8481,635.0,26,1.0,2022-06-30 00:38:07
3548,2196.0,162,1.0,2025-12-29 08:42:30
4492,4122.0,111,2.0,2025-07-27 09:50:04
128,796.0,134,1.0,2023-04-07 08:24:05
4758,491.0,197,1.0,2026-01-14 04:46:06
2865,1074.0,118,3.0,2023-09-12 02:58:22
2265,1564.0,25,2.0,2023-11-02 22:56:39
9015,814.0,92,2.0,2024-01-15 09:43:59
9375,95.0,124,2.0,2023-12-07 14:00:38
3088,1423.0,3,2.0,2024-06-03 20:37:56
10061,796.0,120,1.0,2024-05-06 14:08:54
10012,1641.0,192,1.0,2025-02-07 01:17:44
8635,255.0,183,,2023-03-24 17:10:34
8411,1193.0,50,2.0,2025-08-21 02:23:28
4666,3080.0,109,3.0,2025-09-08 16:30:28
6816,1311.0,16,2.0,2024-08-11 13:18:44
6048,1528.0,198,3.0,2025-04-21 06:53:57
3,4526.0,136,2.0,2026-02-21 11:10:29
9716,3840.0,48,2.0,2023-09-03 08:45:07
9514,4048.0,157,2.0,2023-01-14 16:06:06
5347,3284.0,48,1.0,2023-09-02 14:50:28
253,3064.0,41,2.0,2026-01-04 02:37:44
7083,703.0,24,3.0,2025-02-11 10:09:15
595,3616.0,182,1.0,2025-04-04 09:24:31
8339,1510.0,101,1.0,2026-01-19 07:56:53
7292,1599.0,152,3.0,2024-12-28 11:59:02
3128,245.0,107,3.0,2026-04-15 21:13:11
8248,3321.0,40,3.0,2025-10-30 02:54:51
841,4189.0,158,2.0,2023-07-16 06:48:26
593,3786.0,41,2.0,2025-12-15 15:59:04
4203,4021.0,56,1.0,2024-01-16 21:35:15
5108,3568.0,136,2.0,2025-07-10 17:19:56
4541,3954.0,24,1.0,2025-03-21 21:40:31
5105,2776.0,9,1.0,2023-03-15 11:56:26
455,783.0,46,3.0,2022-06-18 09:14:04
2317,4902.0,158,1.0,2023-08-21 01:52:02
644,4656.0,200,1.0,2025-07-01 15:56:30
2950,1095.0,21,3.0,2025-11-22 09:57:34
3810,1127.0,43,1.0,2025-09-13 23:38:27
9843,3781.0,77,3.0,2025-04-13 23:19:58
9950,117.0,106,3.0,2024-07-31 17:59:41
2677,4708.0,108,,2025-08-20 06:05:39
8219,2171.0,109,3.0,2025-03-27 15:43:16
8851,4880.0,32,1.0,2024-03-16 12:53:21
3621,2089.0,99,3.0,2025-11-30 11:51:07
9399,3145.0,118,1.0,2024-07-29 04:51:30
7857,2566.0,110,,2025-07-11 12:10:15
10066,2292.0,58,2.0,2025-09-04 23:53:30
8488,497.0,46,3.0,2022-07-27 16:39:11
7780,4949.0,30,3.0,2022-12-30 10:27:42
7912,3540.0,91,2.0,2022-08-26 08:56:51
5055,4801.0,72,3.0,2022-06-09 08:25:57
9410,4453.0,72,2.0,2023-02-06 03:08:16
2160,631.0,36,1.0,2025-04-09 11:29:49
8698,3032.0,190,1.0,2024-10-22 18:43:28
2612,3684.0,62,3.0,2025-05-03 10:25:54
2447,4572.0,6,1.0,2025-04-24 10:41:48
7045,3781.0,74,1.0,2022-04-22 09:46:08
7607,1020.0,73,3.0,2024-10-20 18:43:32
6409,22.0,89,2.0,2024-01-09 13:56:44
2800,2250.0,34,1.0,2025-01-04 17:56:08
1896,2473.0,192,2.0,2025-05-18 09:27:16
476,4632.0,126,2.0,2025-02-12 07:14:10
2763,4735.0,88,2.0,2025-11-19 00:41:07
6268,4906.0,77,2.0,2025-07-27 17:56:52
9440,3650.0,65,3.0,2025-03-24 20:01:10
561,4367.0,43,3.0,2026-01-21 03:45:23
2039,2740.0,61,3.0,2022-06-30 20:28:00
8614,4544.0,98,2.0,2023-01-26 21:04:14
6649,2147.0,22,1.0,2024-03-02 22:04:35
418,2292.0,24,1.0,2025-10-21 16:30:41
3021,3013.0,169,1.0,2022-11-25 17:38:58
1252,4099.0,96,2.0,2025-03-19 10:19:02
2244,1425.0,169,2.0,2022-10-05 00:40:50
9733,3271.0,154,2.0,2025-03-12 06:42:09
10194,533.0,7777,1.0,2024-06-01 00:00:00
7091,4289.0,157,2.0,2023-03-28 17:34:46
3458,3425.0,31,1.0,2023-04-23 19:36:00
153,1577.0,7,2.0,2024-01-26 20:29:20
9756,468.0,89,1.0,2023-12-03 17:08:24
616,131.0,196,2.0,2022-10-02 18:49:56
8944,15.0,197,1.0,2025-02-09 01:45:39
461,783.0,58,3.0,2025-04-12 23:21:53
7537,2982.0,61,,2023-01-19 10:00:22
6571,2190.0,124,1.0,2023-10-11 14:33:39
1192,4478.0,53,3.0,2025-03-20 23:53:21
2510,3346.0,58,2.0,2025-02-23 13:23:16
8237,131.0,12,1.0,2023-10-05 18:30:19
2095,3962.0,107,3.0,2026-06-08 16:47:43
3238,3404.0,197,1.0,2025-04-20 05:16:54
222,3487.0,173,2.0,2022-12-06 06:06:18
5304,657.0,56,2.0,2023-12-25 07:41:41
7822,2909.0,69,,2024-04-29 00:49:18
9827,2887.0,111,3.0,2024-10-23 19:10:12
2158,4867.0,150,2.0,2026-01-22 23:20:31
10005,1642.0,152,1.0,2024-11-09 21:14:34
7992,1132.0,99,2.0,2025-04-27 00:18:50
4547,3255.0,96,3.0,2025-08-20 17:42:02
1743,1554.0,167,1.0,2022-04-05 09:08:49
6795,1451.0,72,3.0,2022-11-16 13:27:49
2504,741.0,156,3.0,2024-08-16 20:10:00
5485,2320.0,121,3.0,2025-07-03 05:26:52
6366,2070.0,37,,2023-07-07 07:52:16
1713,598.0,197,3.0,2025-11-27 09:51:52
9096,2264.0,75,3.0,2024-01-02 09:01:03
135,1642.0,198,1.0,2025-10-19 21:58:39
7256,2900.0,152,2.0,2024-10-20 20:27:43
4448,3115.0,126,2.0,2025-02-18 23:30:23
2935,2372.0,81,2.0,2022-10-15 01:42:36
2729,2346.0,147,1.0,2025-06-10 14:27:55
2602,2110.0,1,1.0,2024-08-28 17:39:02
6192,4289.0,153,3.0,2023-03-18 16:22:13
6483,4087.0,26,3.0,2022-06-13 16:54:06
8885,1254.0,192,3.0,2025-01-07 08:18:22
2764,4291.0,152,3.0,2024-06-09 15:13:13
8396,2354.0,53,1.0,2025-04-19 14:17:00
6520,2448.0,197,1.0,2025-02-09 14:03:32
8278,4025.0,135,2.0,2024-11-06 09:47:24
4526,784.0,198,1.0,2025-06-19 14:29:56
448,2873.0,118,2.0,2023-12-20 06:25:31
2374,4545.0,11,2.0,2023-07-18 18:58:29
98,2519.0,21,3.0,2025-08-25 15:42:00
7146,879.0,143,2.0,2025-11-03 06:54:45
7489,461.0,75,3.0,2024-02-06 07:09:04
7286,773.0,64,,2025-05-22 00:26:31
1279,3711.0,191,3.0,2024-11-15 06:21:39
189,1039.0,63,1.0,2023-02-22 11:38:26
3400,1080.0,41,1.0,2025-06-21 01:20:54
933,4495.0,33,1.0,2023-06-26 14:14:53
3388,2571.0,24,3.0,2025-08-25 00:10:26
2442,3021.0,101,,2025-07-25 12:10:17
7715,4241.0,16,3.0,2025-02-17 02:17:12
4800,3925.0,123,3.0,2025-02-26 16:14:33
797,2086.0,136,3.0,2025-12-18 03:20:31
3953,2871.0,86,1.0,2025-09-17 12:18:57
9218,4706.0,147,1.0,2025-06-16 20:17:21
2964,4632.0,78,2.0,2023-10-16 13:23:09
7814,2478.0,194,1.0,2025-04-02 11:16:27
8018,110.0,168,2.0,2023-07-27 08:10:27
1047,1847.0,9,1.0,2023-09-11 21:57:27
949,3863.0,92,1.0,2023-09-02 22:08:59
6293,3753.0,147,2.0,2025-11-23 02:53:07
2173,1497.0,153,2.0,2023-10-26 00:52:14
7697,2739.0,33,1.0,2023-04-12 16:07:56
1234,4332.0,47,3.0,2022-09-20 01:06:51
9759,225.0,56,2.0,2023-06-30 10:05:51
9194,4980.0,153,3.0,2023-01-01 04:11:51
5185,2403.0,157,3.0,2022-11-02 11:49:41
3355,1733.0,119,3.0,2024-08-16 13:23:28
6266,2679.0,95,2.0,2025-09-04 00:56:31
4327,2465.0,12,3.0,2023-05-07 06:25:07
1298,1476.0,101,,2025-06-30 17:23:22
4906,4567.0,156,3.0,2024-06-28 15:36:39
8294,4687.0,51,3.0,2025-10-08 13:38:57
4340,902.0,191,2.0,2024-09-14 11:58:56
6207,3383.0,58,2.0,2025-08-30 15:18:03
6272,3225.0,64,,2025-10-14 03:09:38
8104,263.0,87,3.0,2024-03-03 05:11:03
7160,1262.0,2,2.0,2025-09-15 19:40:30
9017,1879.0,117,2.0,2022-03-23 12:25:57
7051,2765.0,87,3.0,2024-02-24 20:15:31
9528,3318.0,11,1.0,2024-04-04 16:11:19
1414,1086.0,3,3.0,2024-06-09 23:48:24
7726,2100.0,6,2.0,2024-12-06 22:01:53
8895,2303.0,137,1.0,2025-06-21 16:40:26
5050,1003.0,130,1.0,2024-03-28 18:36:18
1061,3096.0,124,1.0,2023-11-02 04:34:11
2348,793.0,30,1.0,2023-03-07 05:47:33
2585,1693.0,7,2.0,2024-06-02 12:58:01
908,597.0,153,3.0,2023-11-08 15:35:43
7970,2379.0,108,1.0,2025-09-03 15:19:54
86,2877.0,14,2.0,2022-09-20 16:43:39
2772,2110.0,67,2.0,2023-05-05 10:10:00
9124,2412.0,150,3.0,2025-07-24 05:26:07
3647,469.0,152,1.0,2025-01-23 06:27:22
2738,1355.0,153,1.0,2023-06-30 10:37:01
103,2519.0,115,2.0,2023-02-01 07:28:08
5292,273.0,96,1.0,2025-03-07 13:16:36
5692,3418.0,81,3.0,2022-10-07 18:19:09
8032,1791.0,93,2.0,2025-04-15 18:52:30
3627,2970.0,58,1.0,2025-02-17 09:31:14
3013,4041.0,108,,2025-08-14 13:10:57
8447,4058.0,1,3.0,2024-05-17 00:38:06
1837,4699.0,134,1.0,2022-10-24 12:28:26
1991,162.0,189,2.0,2024-11-20 05:55:22
791,3920.0,25,1.0,2023-11-12 23:06:46
4454,1468.0,46,2.0,2022-12-05 15:19:35
10010,3064.0,41,2.0,2026-01-04 02:37:44
7259,2022.0,181,2.0,2024-05-25 03:12:33
3718,3108.0,120,3.0,2024-10-03 09:39:42
1858,1078.0,196,3.0,2022-07-09 18:41:32
1286,902.0,118,3.0,2024-06-28 23:32:56
6053,1677.0,131,3.0,2025-12-24 12:57:45
6810,1789.0,43,3.0,2025-12-13 19:26:30
7149,621.0,18,1.0,2024-07-20 01:50:53
8321,3671.0,127,3.0,2024-06-21 12:35:41
9729,2199.0,57,2.0,2025-02-07 15:35:00
4830,114.0,124,3.0,2024-02-04 07:08:36
1201,697.0,96,,2025-07-28 22:57:10
4802,2806.0,187,1.0,2023-08-30 08:59:51
3619,4978.0,20,,2023-09-28 23:29:44
4621,1304.0,121,2.0,2025-06-20 15:29:27
774,1652.0,124,1.0,2023-08-26 21:04:24
2277,3138.0,179,,2024-02-01 00:56:42
9896,4560.0,79,3.0,2025-01-04 08:26:06
2234,3094.0,50,2.0,2025-06-09 02:39:02
7336,3021.0,182,1.0,2024-09-18 08:16:46
169,4849.0,94,2.0,2022-04-26 03:59:44
3338,4522.0,106,1.0,2024-05-12 21:10:33
3172,4851.0,87,2.0,2024-08-17 08:45:03
3034,3994.0,143,3.0,2025-08-26 20:19:19
9611,3027.0,131,2.0,2025-10-29 03:42:44
9873,1813.0,127,,2024-01-31 22:45:37
7999,3404.0,100,3.0,2025-04-23 04:58:54
3779,334.0,170,2.0,2025-04-21 19:51:37
819,1183.0,200,3.0,2025-09-24 08:50:59
197,3081.0,61,3.0,2022-08-18 12:33:18
8121,1613.0,126,3.0,2025-11-27 09:45:59
7118,4836.0,36,1.0,2025-04-10 19:16:24
2123,3316.0,8,1.0,2024-12-31 09:46:14
8146,3064.0,54,3.0,2024-08-26 20:19:27
1737,2300.0,126,2.0,2025-10-16 01:06:54
1232,3859.0,164,1.0,2025-02-25 22:06:16
1702,1741.0,25,2.0,2023-11-06 03:11:20
8279,344.0,5,2.0,2022-12-01 12:05:15
10145,4526.0,150,1.0,2026-02-20 18:27:51
4971,2437.0,181,1.0,2024-05-28 18:29:11
2922,2119.0,25,3.0,2023-04-28 04:49:40
93,2519.0,64,2.0,2026-01-09 22:48:16
10165,,81,1.0,2022-11-07 03:15:29
8560,648.0,34,3.0,2024-08-11 14:46:18
4359,1707.0,22,3.0,2023-10-16 16:51:30
7103,2528.0,147,2.0,2025-07-25 01:55:48
3097,773.0,62,3.0,2025-05-15 19:13:52
2671,4585.0,41,2.0,2025-06-24 05:32:23
7364,3750.0,87,1.0,2024-06-18 19:03:54
5360,2204.0,183,,2023-02-25 23:13:11
6814,3826.0,26,3.0,2023-02-21 14:45:31
550,1256.0,166,3.0,2024-01-06 00:07:47
9330,4755.0,143,3.0,2025-06-08 06:08:51
8110,4764.0,138,2.0,2025-10-15 08:04:27
5981,3149.0,126,1.0,2025-04-08 03:15:18
6811,1487.0,78,3.0,2024-01-25 20:08:26
2323,4919.0,111,3.0,2025-01-10 06:17:29
2946,1120.0,22,1.0,2024-07-06 23:14:31
5106,2950.0,75,,2024-01-13 10:16:58
6853,3827.0,137,1.0,2025-03-23 02:29:17
5665,2533.0,74,1.0,2022-11-14 01:29:45
1063,3435.0,67,3.0,2022-12-06 17:18:50
832,3861.0,87,3.0,2024-11-12 12:40:59
5498,740.0,2,3.0,2025-12-26 04:32:25
1876,4681.0,67,1.0,2023-09-09 12:59:44
5120,4321.0,147,2.0,2026-04-09 19:12:27
2782,1132.0,53,2.0,2026-02-09 14:17:11
9907,4593.0,36,1.0,2025-07-04 03:43:22
2765,2870.0,8,1.0,2025-06-30 03:50:23
9173,2230.0,160,3.0,2025-04-08 20:13:44
3841,2570.0,62,1.0,2025-11-28 15:58:51
1116,2854.0,119,1.0,2024-04-30 06:41:44
9276,3252.0,34,2.0,2024-08-30 11:46:48
2728,1751.0,98,1.0,2023-02-06 19:21:06
7503,4468.0,73,2.0,2023-11-20 12:25:04
2685,3332.0,29,3.0,2025-05-09 17:50:10
8054,1320.0,159,2.0,2025-11-10 11:21:12
4475,3951.0,108,1.0,2025-10-02 16:42:42
7150,2636.0,54,1.0,2024-07-31 09:29:15
2481,600.0,56,,2024-05-16 23:37:19
3266,996.0,151,1.0,2025-05-18 04:49:36
5977,2415.0,109,1.0,2025-10-22 07:09:23
1746,4279.0,164,1.0,2025-03-28 22:57:37
2630,1137.0,136,3.0,2025-08-19 15:03:55
8080,3724.0,140,3.0,2022-12-17 05:37:49
7714,347.0,34,3.0,2024-09-05 13:51:23
545,1256.0,160,3.0,2025-05-18 00:55:47
1677,2732.0,147,1.0,2026-03-17 23:44:23
5900,1586.0,168,1.0,2023-07-13 01:45:15
4440,3556.0,158,3.0,2023-01-03 00:06:53
2146,286.0,37,3.0,2023-08-12 20:38:20
4676,718.0,75,,2024-05-02 00:49:39
727,3647.0,28,2.0,2022-08-31 10:36:30
1996,4792.0,36,2.0,2025-03-18 07:34:35
488,4051.0,71,2.0,2025-02-15 23:55:14
3790,4642.0,77,3.0,2025-11-23 13:14:17
3305,4216.0,41,2.0,2025-11-03 11:45:48
8263,324.0,12,2.0,2023-04-25 22:02:31
3064,2762.0,120,3.0,2024-07-16 20:37:52
2479,2670.0,146,3.0,2022-06-04 20:56:19
7102,3958.0,188,1.0,2023-12-20 09:51:39
3799,760.0,120,3.0,2024-02-08 20:51:53
7852,4482.0,6,1.0,2025-05-31 18:21:00
6839,2927.0,43,1.0,2026-01-05 16:09:30
5087,244.0,59,1.0,2022-11-24 20:48:57
4358,1743.0,3,,2024-01-23 14:22:05
7558,1515.0,117,2.0,2022-04-02 12:37:00
596,4457.0,32,2.0,2024-03-18 16:27:55
9086,4969.0,99,2.0,2025-03-06 17:40:20
5446,2698.0,38,1.0,2023-02-22 09:41:17
1582,1787.0,100,,2025-08-27 01:45:19
8719,1447.0,88,,2026-04-07 17:54:50
5439,4588.0,5,,2023-04-17 09:02:32
6465,530.0,58,2.0,2024-11-10 05:46:52
8509,3530.0,143,3.0,2025-05-25 00:15:05
2908,2447.0,7,1.0,2024-01-05 17:10:08
4108,3164.0,182,1.0,2024-11-10 18:06:24
3182,1811.0,24,2.0,2025-10-15 10:56:18
7312,2750.0,16,2.0,2025-05-18 22:34:00
6055,606.0,40,3.0,2025-05-22 23:28:58
4625,4612.0,8,2.0,2025-05-09 09:27:01
7094,4425.0,70,2.0,2023-03-02 20:40:33
9228,1335.0,79,1.0,2025-03-24 17:43:23
8708,2095.0,169,1.0,2022-08-07 23:18:33
8008,1186.0,131,,2026-06-19 11:45:54
1213,1976.0,159,1.0,2026-03-28 08:13:42
2665,3548.0,110,1.0,2024-11-19 20:29:26
9074,517.0,62,3.0,2025-06-11 03:30:46
5499,4539.0,166,,2024-01-01 01:52:12
6785,1652.0,128,,2026-02-16 23:47:48
3878,1818.0,115,3.0,2023-03-13 16:05:10
6647,3568.0,81,2.0,2022-11-02 01:36:49
5215,3430.0,194,2.0,2025-02-06 00:54:29
9382,42.0,159,1.0,2025-11-15 20:19:41
3719,1932.0,166,1.0,2023-11-29 16:47:59
5664,3152.0,29,,2025-07-28 20:45:42
3510,1958.0,32,3.0,2024-06-15 23:18:18
2218,2309.0,16,3.0,2025-06-19 05:52:19
5117,2797.0,7,1.0,2024-04-14 21:14:16
7902,4492.0,29,3.0,2026-04-29 02:54:54
3496,2029.0,100,3.0,2025-02-05 21:36:09
4954,635.0,46,3.0,2022-03-26 23:52:22
9766,3469.0,124,,2023-09-26 05:56:43
4154,1857.0,40,,2025-02-28 08:58:13
6946,3217.0,123,2.0,2025-06-13 04:22:24
1753,2128.0,41,1.0,2025-11-19 14:28:45
3930,4988.0,53,2.0,2025-04-10 20:20:40
2152,2777.0,121,1.0,2026-01-11 19:16:40
6126,3678.0,85,3.0,2025-06-20 21:49:46
9630,1887.0,87,3.0,2024-05-21 07:55:41
3885,2595.0,162,3.0,2025-06-19 22:45:20
5547,2683.0,108,1.0,2025-07-08 07:24:04
4396,843.0,127,3.0,2024-02-15 23:38:03
1080,2176.0,167,1.0,2022-10-28 19:36:56
2206,3952.0,128,3.0,2025-05-31 16:26:06
9411,1831.0,41,2.0,2025-08-01 21:04:17
6900,988.0,62,3.0,2025-10-31 10:26:21
5591,4999.0,169,1.0,2023-07-23 15:09:00
5074,2757.0,167,2.0,2022-05-27 06:22:03
3408,3777.0,21,1.0,2025-06-09 05:36:15
438,375.0,76,3.0,2022-10-07 03:25:25
6591,949.0,131,2.0,2025-07-02 15:49:40
270,584.0,94,2.0,2022-09-03 07:50:31
10164,,14,1.0,2022-12-31 13:41:42
3541,1203.0,198,3.0,2025-09-05 23:52:59
8747,4040.0,137,2.0,2025-03-18 13:27:17
6043,3685.0,143,,2025-10-31 00:15:29
8717,2134.0,49,3.0,2024-01-19 11:26:51
6895,2203.0,81,1.0,2023-02-03 09:40:51
8460,1496.0,178,1.0,2025-03-24 01:53:48
781,276.0,200,2.0,2025-04-11 13:43:20
7340,538.0,141,1.0,2025-05-25 16:21:38
5031,2033.0,21,2.0,2025-08-13 21:32:20
3214,3407.0,157,1.0,2022-08-05 19:23:23
5308,850.0,179,1.0,2024-01-08 12:58:58
1944,875.0,46,,2022-07-01 17:11:08
9517,456.0,70,,2023-02-26 03:40:22
5851,316.0,169,3.0,2023-04-10 23:21:03
7636,2651.0,153,2.0,2023-06-13 19:59:20
3768,2467.0,3,2.0,2024-10-11 13:36:43
2330,5000.0,95,3.0,2026-01-28 13:57:53
7801,1847.0,71,2.0,2025-04-23 12:13:14
7167,3351.0,12,3.0,2023-05-22 19:37:27
9794,2027.0,186,2.0,2025-10-20 06:32:29
4921,4230.0,14,3.0,2023-01-27 12:05:08
5795,2781.0,58,3.0,2025-07-21 14:44:16
9991,2354.0,22,1.0,2024-04-19 15:30:45
6267,698.0,188,1.0,2024-06-26 04:36:50
1908,2731.0,59,1.0,2022-09-10 04:23:27
838,486.0,95,2.0,2025-08-03 18:08:01
5567,4480.0,158,3.0,2023-01-26 19:14:13
3288,4682.0,16,1.0,2025-04-30 03:10:23
10124,3064.0,2,3.0,2025-10-23 09:09:39
8348,3026.0,99,2.0,2025-09-08 23:30:53
775,2374.0,100,2.0,2025-04-06 21:42:18
7000,4356.0,6,1.0,2025-10-21 21:13:11
6899,4695.0,47,2.0,2023-02-04 04:54:31
7725,1176.0,1,1.0,2024-04-12 16:20:44
5945,444.0,134,1.0,2022-07-05 22:47:11
3971,299.0,75,3.0,2024-02-27 21:57:35
5183,323.0,126,3.0,2025-07-05 08:32:57
2136,1275.0,3,,2024-08-07 11:25:40
845,404.0,131,2.0,2025-10-23 08:10:54
8775,3909.0,106,1.0,2025-02-04 00:15:19
7938,1443.0,190,3.0,2024-12-04 20:36:29
2824,983.0,123,,2025-12-14 12:58:48
9196,3830.0,37,3.0,2023-10-21 11:17:15
4523,637.0,149,2.0,2025-11-19 07:31:11
9690,3033.0,25,3.0,2023-03-27 02:22:46
4274,1625.0,14,3.0,2022-06-18 05:09:37
7908,4784.0,98,1.0,2022-04-10 09:37:32
4683,2061.0,192,2.0,2024-12-18 19:37:34
5513,1867.0,88,1.0,2025-10-23 03:38:53
574,3322.0,81,3.0,2022-04-06 00:23:58
7112,3337.0,153,3.0,2023-11-05 10:07:28
7132,4078.0,108,3.0,2025-09-24 20:19:15
7622,2530.0,38,2.0,2023-02-16 21:56:55
1105,108.0,33,3.0,2023-02-12 06:45:52
10087,4057.0,134,3.0,2022-10-04 18:38:19
4189,2065.0,140,2.0,2023-05-28 23:13:45
