Id;QuizId;StudentId;AttemptNumber;StartedAt;SubmittedAt;Score;MaxScore;ScorePercent;Status;IsGraded;GradedById;GradedAt;TimeSpentSeconds
3025;1150;4038;3;2024-02-27 14:01:27;2024-02-27 14:33:09;;50;;InProgress;0;;2024-02-27 15:33:09;1902.0
4111;1151;4311;2;2024-12-31 08:08:31;2024-12-31 08:20:00;;25;;InProgress;0;14.0;2025-01-01 05:20:00;689.0
10119;954;3518;2;2025-02-27 03:37:04;;;10;;InProgress;0;;;745.0
5326;1841;4165;2;2022-10-18 01:26:04;2022-10-18 01:37:00;;50;;Abandoned;0;2.0;;656.0
1977;1732;1535;2;2024-04-06 04:14:10;2024-04-06 04:42:06;-0.6;-5;12.0;Completed;1;;2024-04-08 01:42:06;1676.0
3864;1508;1094;1;2024-11-19 15:40:19;2024-11-19 16:30:12;;50;;InProgress;0;10.0;2024-11-21 08:30:12;2993.0
5801;296;2764;1;2024-11-03 04:33:40;2024-11-03 04:48:14;;100;;Abandoned;0;;2024-11-05 01:48:14;874.0
8240;1789;3272;1;2022-11-29 16:14:05;2022-11-29 16:21:49;7.5;10;75.0;Completed;1;;;464.0
8275;745;3655;1;2025-01-13 09:29:14;;;10;;InProgress;0;13.0;;998.0
8565;337;1896;1;2023-11-29 19:07:47;2023-11-29 19:33:12;;10;;Abandoned;0;13.0;2023-12-01 07:33:12;1525.0
7669;1344;3284;1;2022-09-04 00:15:32;2022-09-04 00:26:51;42.3;50;84.6;Completed;0;;2022-09-05 17:26:51;679.0
2776;982;670;2;2022-06-03 07:27:06;2022-06-03 08:27:26;107.0;100;107.0;Completed;1;;;3620.0
4632;122;4862;2;2022-06-17 09:11:48;2022-06-17 09:29:25;7.2;25;28.8;Completed;1;;2022-06-17 22:29:25;1057.0
5291;909;1478;1;2023-02-24 14:11:02;2023-02-24 14:20:06;;100;;InProgress;0;10.0;;544.0
9443;1493;4824;1;2023-08-08 05:07:15;2023-08-08 05:19:19;;10;;InProgress;0;14.0;2023-08-09 11:19:19;724.0
395;389;1494;1;2023-03-25 02:34:14;2023-03-25 03:28:54;93.7;100;93.7;Completed;1;11.0;;3280.0
3339;620;4693;1;2022-08-06 07:30:40;2022-08-06 08:09:24;;100;;Abandoned;0;5.0;2022-08-06 21:09:24;2324.0
3824;846;1255;2;2024-10-17 06:40:21;2024-10-17 07:35:57;4.4;10;44.0;Completed;1;;;3336.0
5699;2212;3590;3;2024-03-02 15:26:39;2024-03-02 15:35:41;;-5;;Abandoned;0;13.0;;542.0
6016;2079;3241;2;2024-10-01 01:50:45;2024-10-01 03:06:46;9.9;20;49.5;Completed;1;7.0;;4561.0
129;1811;3738;1;2023-12-31 04:10:43;2023-12-31 04:17:27;;20;;Abandoned;0;3.0;;404.0
2467;1042;4503;2;2022-12-10 17:59:27;2022-12-10 18:38:43;;20;;InProgress;0;3.0;2022-12-12 11:38:43;2356.0
6166;1789;1604;1;2023-07-03 21:24:56;2023-07-03 22:37:50;1.6;10;16.0;Completed;1;14.0;;4374.0
6188;2114;1675;1;2022-08-20 20:35:40;2022-08-20 20:49:15;13.9;20;69.5;Completed;1;;;815.0
3180;1732;3081;3;2023-12-14 20:09:01;2023-12-14 20:29:37;-4.7;-5;94.0;Completed;1;;2023-12-16 20:29:37;1236.0
10295;2212;3123;3;2022-08-19 17:40:36;2022-08-19 17:47:26;;-5;;InProgress;0;9.0;;410.0
2453;1885;1136;1;2025-08-17 21:26:19;2025-08-17 22:09:06;49.9;100;49.9;Completed;1;;;2567.0
4471;1351;3826;1;2022-11-17 19:58:50;2022-11-17 20:17:13;1.1;10;11.0;Completed;0;;2022-11-18 17:17:13;1103.0
10326;795;2852;2;2024-02-29 08:31:41;2024-02-29 08:36:19;;20;;Abandoned;0;12.0;2024-02-29 09:36:19;278.0
2533;577;291;1;2022-06-25 01:31:01;2022-06-25 01:41:14;16.3;20;81.5;Completed;0;;2022-06-26 00:41:14;613.0
1112;1675;267;1;2025-11-12 12:21:27;2025-11-12 13:04:51;;25;;InProgress;0;13.0;;2604.0
9655;1669;110;1;2025-10-20 00:31:32;2025-10-20 00:50:23;57.8;100;57.8;Completed;0;3.0;2025-10-20 04:50:23;1131.0
743;624;3591;1;2025-09-17 20:00:55;2025-09-17 20:05:08;9.9;50;19.8;Completed;0;6.0;;253.0
6336;2155;894;2;2024-11-29 05:50:37;2024-11-29 06:05:23;51.8;100;51.8;Completed;0;;2024-11-30 15:05:23;886.0
3995;565;2162;1;2024-11-27 18:31:59;2024-11-27 18:36:48;6.3;10;63.0;Completed;0;;2024-11-28 05:36:48;289.0
4241;577;35;1;2025-12-07 20:05:27;2025-12-07 20:09:02;;20;;Abandoned;0;;;215.0
2811;537;1012;1;2023-04-07 07:32:47;2023-04-07 08:00:09;;50;;Abandoned;0;5.0;;1642.0
5741;537;3380;1;2023-04-05 14:36:21;2023-04-05 15:08:35;36.6;50;73.2;Completed;0;5.0;2023-04-07 03:08:35;1934.0
8591;642;3430;1;2024-12-28 07:17:14;2024-12-28 07:30:37;46.0;50;92.0;Completed;1;;;803.0
2800;1997;197;1;2023-05-04 23:22:17;2023-05-04 23:48:54;;100;;InProgress;0;;2023-05-06 03:48:54;1597.0
9888;1828;4885;1;2023-11-30 21:51:41;2023-11-30 22:56:36;4.3;100;4.3;Completed;0;;2023-12-02 16:56:36;3895.0
2894;1048;1942;1;2025-11-30 12:49:03;2025-11-30 13:24:59;;25;;Abandoned;0;;2025-12-01 15:24:59;
10855;1499;1467;2;2024-03-19 17:08:56;2024-03-19 17:29:22;24.7;25;98.8;Completed;1;1.0;2024-03-20 06:29:22;1226.0
4372;160;2052;1;2023-02-25 18:39:16;2023-02-25 18:50:51;8.9;20;44.5;Completed;1;8.0;2023-02-26 00:50:51;
8880;350;2620;1;2023-01-27 07:16:42;2023-01-27 07:48:16;7.8;10;78.0;Completed;1;7.0;;1894.0
4152;2124;4360;3;2024-11-01 22:01:33;2024-11-01 22:04:26;1.3;10;13.0;Completed;0;;;173.0
9706;1080;203;1;2025-05-03 19:10:28;;;100;;InProgress;0;14.0;;1173.0
4009;43;3118;2;2023-10-20 13:45:11;2023-10-20 14:05:19;;100;;Abandoned;0;;2023-10-21 20:05:19;1208.0
3055;411;561;1;2023-01-31 16:56:12;2023-01-31 17:18:05;2.0;20;10.0;Completed;1;7.0;2023-02-02 15:18:05;1313.0
626;510;1048;2;2024-11-11 13:46:28;2024-11-11 13:48:03;5.6;50;11.2;Completed;0;5.0;;95.0
1392;1331;3728;2;2023-12-01 23:14:07;2023-12-01 23:28:34;;50;;Abandoned;0;6.0;;867.0
384;311;3696;1;2024-09-15 21:54:50;2024-09-15 22:07:42;5.6;10;56.0;Completed;1;1.0;;
4047;982;3899;1;2025-12-23 06:01:07;2025-12-23 06:24:45;49.4;100;49.4;Completed;1;;;1418.0
2418;2140;1565;1;2023-07-25 20:22:38;2023-07-25 20:31:04;7.5;10;75.0;Completed;0;4.0;;506.0
3284;670;3895;1;2025-12-17 19:40:28;2025-12-17 19:47:31;47.9;100;47.9;Completed;1;;2025-12-19 05:47:31;423.0
6640;1467;4338;1;2025-07-17 07:41:07;2025-07-17 08:05:28;33.6;50;67.2;Completed;1;;;1461.0
3231;1656;4639;1;2024-07-19 15:06:24;2024-07-19 15:20:58;;10;;InProgress;0;;2024-07-21 01:20:58;874.0
2734;351;763;1;2024-10-27 20:07:09;2024-10-27 20:20:02;23.3;50;46.6;Completed;0;5.0;;773.0
6613;1505;2046;2;2025-04-01 10:16:29;2025-04-01 10:24:19;;100;;Abandoned;0;;;470.0
8140;1932;4444;2;2023-06-06 16:41:21;2023-06-06 16:50:07;5.0;50;10.0;Completed;1;;;526.0
5206;32;948;2;2024-03-19 20:05:48;;;50;;InProgress;0;;;4970.0
2039;1546;4235;1;2025-10-27 07:21:59;2025-10-27 08:07:21;5.1;10;51.0;Completed;0;15.0;2025-10-28 15:07:21;2722.0
6937;846;3923;1;2023-01-15 06:58:46;2023-01-15 07:41:38;;10;;InProgress;0;3.0;2023-01-16 23:41:38;2572.0
2656;1499;4583;2;2026-01-04 17:08:22;2026-01-04 17:17:20;21.4;25;85.6;Completed;1;13.0;2026-01-06 00:17:20;538.0
3316;982;1985;1;2025-08-05 22:38:54;2025-08-05 23:06:21;89.6;100;89.6;Completed;1;;;1647.0
2028;1314;4506;1;2026-01-01 17:12:52;2026-01-01 17:56:24;3.6;50;7.2;Completed;1;5.0;2026-01-03 13:56:24;2612.0
6117;1669;2139;1;2025-11-26 11:16:15;2025-11-26 11:38:42;57.3;100;57.3;Completed;1;3.0;;1347.0
4390;1344;3702;2;2025-02-21 16:54:49;2025-02-21 17:13:47;43.5;50;87.0;Completed;0;1.0;2025-02-22 13:13:47;1138.0
3466;2079;244;2;2022-12-01 15:00:28;2022-12-01 15:54:30;2.8;20;14.0;Completed;1;13.0;;3242.0
6515;21;2995;1;2022-10-17 07:14:47;2022-10-17 07:21:13;64.5;100;64.5;Completed;1;;;386.0
6948;1719;466;1;2023-01-17 18:04:47;2023-01-17 18:36:15;;50;;Abandoned;0;;2023-01-18 14:36:15;1888.0
1259;657;1768;1;2025-10-06 07:19:09;2025-10-06 08:07:58;5.6;25;22.4;Completed;0;8.0;;2929.0
3114;1188;1606;2;2023-08-03 22:46:47;2023-08-03 23:18:07;;20;;InProgress;0;2.0;;1880.0
772;1665;1763;2;2024-01-29 16:16:14;2024-01-29 16:21:11;8.5;10;85.0;Completed;0;;;297.0
9590;1142;3211;1;2024-04-30 09:21:22;2024-04-30 10:07:38;1.7;20;8.5;Completed;1;8.0;2024-05-02 03:07:38;2776.0
633;1984;2788;1;2024-06-28 11:25:25;2024-06-28 11:58:50;6.9;25;27.6;Completed;0;8.0;2024-06-29 18:58:50;2005.0
6850;1021;4051;2;2024-05-11 22:16:33;2024-05-11 23:02:10;;20;;Abandoned;0;6.0;2024-05-13 09:02:10;2737.0
4666;1936;2648;2;2024-11-11 17:47:07;2024-11-11 18:06:25;;25;;Abandoned;0;;;1158.0
10820;1508;3953;1;2026-01-16 23:52:32;2026-01-17 00:14:15;18.9;50;37.8;Completed;0;;;1303.0
3576;887;4389;1;2025-11-20 20:23:37;2025-11-20 20:40:46;5.7;20;28.5;Completed;1;2.0;;1029.0
11120;2039;9625;1;2024-05-01 00:00:00;;;20;;InProgress;0;;;
2154;752;4315;1;2025-04-17 12:58:48;2025-04-17 13:37:41;;-5;;InProgress;0;6.0;;2333.0
7872;727;3852;1;2025-06-04 05:30:04;2025-06-04 06:47:24;12.0;25;48.0;Completed;1;2.0;2025-06-04 22:47:24;
702;986;2270;1;2022-12-21 07:37:07;2022-12-21 08:01:32;;25;;InProgress;0;;;1465.0
9609;1653;2662;1;2023-06-15 05:21:05;2023-06-15 05:35:30;;50;;InProgress;0;9.0;2023-06-15 10:35:30;865.0
5135;1508;1307;1;2025-05-25 00:44:06;2025-05-25 00:54:04;;50;;Abandoned;0;6.0;;598.0
8776;1503;1574;1;2023-12-06 13:01:49;2023-12-06 13:24:20;6.6;10;66.0;Completed;1;6.0;2023-12-07 19:24:20;1351.0
3956;87;3080;1;2022-10-01 22:07:39;2022-10-01 22:11:22;13.8;25;55.2;Completed;0;3.0;2022-10-02 21:11:22;223.0
1813;1042;4651;2;2023-12-05 08:41:21;2023-12-05 08:55:28;10.8;20;54.0;Completed;1;15.0;2023-12-06 15:55:28;847.0
3376;1677;1722;1;2024-03-12 19:34:36;2024-03-12 19:54:20;;10;;InProgress;0;8.0;2024-03-13 08:54:20;1184.0
5691;802;274;1;2025-12-26 14:50:00;2025-12-26 15:14:26;;25;;Abandoned;0;1.0;2025-12-26 17:14:26;1466.0
10324;1408;2564;1;2025-07-28 09:10:35;2025-07-28 09:25:27;;10;;InProgress;0;;2025-07-29 19:25:27;892.0
8212;887;2325;1;2022-08-11 11:40:02;2022-08-11 12:01:03;6.1;20;30.5;Completed;1;;2022-08-12 22:01:03;1261.0
6371;1936;373;2;2023-12-11 20:58:23;2023-12-11 21:23:35;22.2;25;88.8;Completed;0;;2023-12-12 14:23:35;1512.0
7305;2141;236;1;2023-06-25 00:21:00;2023-06-25 00:28:17;;10;;InProgress;0;;;437.0
10934;351;3679;1;2023-07-13 20:11:38;2023-07-13 20:12:42;;50;;InProgress;0;10.0;;64.0
6070;537;3934;1;2024-10-26 23:33:13;2024-10-26 23:38:08;;50;;InProgress;0;2.0;2024-10-27 00:38:08;
2853;1095;744;1;2022-07-15 03:10:42;2022-07-15 03:25:00;23.5;50;47.0;Completed;0;1.0;2022-07-16 02:25:00;858.0
5745;986;3380;1;2025-01-01 03:36:45;2025-01-01 03:58:25;20.2;25;80.8;Completed;1;;;1300.0
8598;795;1809;1;2025-07-25 12:02:53;2025-07-25 12:46:30;;20;;InProgress;0;;2025-07-25 13:46:30;2617.0
4821;888;3192;3;2022-11-16 15:45:40;2022-11-16 16:09:56;;10;;InProgress;0;;2022-11-17 12:09:56;1456.0
4728;1008;3400;2;2024-12-07 12:51:07;2024-12-07 13:25:33;0.6;10;6.0;Completed;1;15.0;2024-12-07 15:25:33;
3281;1036;1852;1;2025-11-29 12:25:56;2025-11-29 13:05:29;8.8;25;35.2;Completed;1;7.0;2025-12-01 05:05:29;2373.0
4651;435;732;2;2023-07-24 14:00:36;2023-07-24 14:57:22;3.7;10;37.0;Completed;1;14.0;2023-07-24 22:57:22;3406.0
3366;1891;2574;1;2023-07-17 12:46:39;2023-07-17 12:49:41;17.3;25;69.2;Completed;1;;;182.0
9089;682;1180;1;2024-06-09 22:32:50;2024-06-09 22:50:04;5.6;20;28.0;Completed;0;;2024-06-10 18:50:04;1034.0
4318;1189;201;2;2023-11-22 05:12:56;2023-11-22 05:27:23;1.7;25;6.8;Completed;0;6.0;2023-11-23 14:27:23;867.0
10275;1042;2117;1;2022-07-29 12:22:23;2022-07-29 12:55:01;8.8;20;44.0;Completed;0;8.0;2022-07-30 02:55:01;1958.0
6506;1500;2197;2;2022-09-28 12:54:31;2022-09-28 12:59:15;47.5;50;95.0;Completed;0;1.0;;284.0
1254;1685;1768;3;2025-01-24 19:31:43;2025-01-24 20:02:45;4.7;10;47.0;Completed;1;10.0;2025-01-26 16:02:45;1862.0
4042;328;3899;1;2025-09-24 14:04:42;2025-09-24 14:21:33;2.0;20;10.0;Completed;1;;;1011.0
7419;2141;4573;1;2024-11-10 16:22:54;2024-11-10 16:41:00;7.6;10;76.0;Completed;1;12.0;;
7880;1890;4166;1;2025-10-28 12:25:43;2025-10-28 12:48:57;;50;;Abandoned;0;7.0;2025-10-28 21:48:57;1394.0
6917;1389;3787;1;2022-08-30 12:34:54;2022-08-30 12:44:48;17.5;50;35.0;Completed;0;14.0;2022-09-01 03:44:48;594.0
8968;1891;1468;1;2022-12-22 08:17:59;;;25;;InProgress;0;;;1635.0
5428;1841;1444;1;2024-08-04 05:53:51;2024-08-04 06:18:40;20.2;50;40.4;Completed;0;4.0;;1489.0
10480;122;1850;1;2024-11-30 22:48:06;2024-11-30 22:54:00;;25;;Abandoned;0;14.0;;354.0
9958;595;4759;2;2025-11-08 16:21:29;;;100;;InProgress;0;6.0;;327.0
782;2192;2348;1;2025-04-23 19:21:08;2025-04-23 19:36:41;15.8;20;79.0;Completed;0;11.0;;933.0
3267;1570;459;3;2025-03-21 21:00:29;2025-03-21 21:08:32;84.8;100;84.8;Completed;1;;2025-03-22 17:08:32;483.0
10115;708;3518;1;2022-09-24 00:01:29;2022-09-24 00:07:26;10.6;20;53.0;Completed;0;2.0;2022-09-25 23:07:26;357.0
6240;1493;1131;3;2024-06-18 13:25:58;2024-06-18 13:48:08;9.9;10;99.0;Completed;0;;;1330.0
6788;2141;3725;2;2023-06-07 00:28:14;2023-06-07 00:44:25;;10;;Abandoned;0;15.0;;971.0
5468;196;4120;1;2022-06-27 21:31:17;2022-06-27 22:02:48;4.7;25;18.8;Completed;1;4.0;2022-06-28 01:02:48;1891.0
5359;610;4409;2;2024-10-27 20:49:41;2024-10-27 21:09:04;88.7;100;88.7;Completed;0;;;1163.0
1047;1665;3542;2;2022-07-11 21:20:36;2022-07-11 21:41:36;;10;;InProgress;0;11.0;2022-07-12 20:41:36;
3396;2212;2961;2;2024-04-05 08:05:11;;;-5;;InProgress;0;7.0;;1077.0
8613;785;1344;1;2025-08-18 20:18:30;2025-08-18 20:36:53;29.0;100;29.0;Completed;0;15.0;;1103.0
9599;1225;2562;1;2024-03-11 20:23:47;2024-03-11 20:53:42;45.7;100;45.7;Completed;1;;;1795.0
6382;535;3594;1;2023-01-28 01:59:29;2023-01-28 03:01:48;;25;;Abandoned;0;;2023-01-28 17:01:48;3739.0
5237;1685;1944;1;2025-12-31 20:56:51;2025-12-31 21:02:36;;10;;InProgress;0;;;345.0
896;1675;1208;2;2023-03-27 20:00:13;2023-03-27 20:26:47;11.8;25;47.2;Completed;1;13.0;;1594.0
6368;642;4970;1;2022-10-29 06:35:04;2022-10-29 06:48:47;2.2;50;4.4;Completed;0;12.0;2022-10-29 16:48:47;823.0
2552;620;2391;1;2024-02-28 13:02:39;2024-02-28 14:10:03;;100;;InProgress;0;11.0;2024-02-28 21:10:03;4044.0
4007;2192;3118;2;2025-03-25 18:32:32;2025-03-25 18:47:04;8.2;20;41.0;Completed;1;;;872.0
4788;122;2561;1;2023-12-15 03:34:50;2023-12-15 03:53:08;10.2;25;40.8;Completed;0;9.0;;1098.0
6293;537;1817;1;2026-01-08 10:53:33;2026-01-08 11:05:50;;50;;InProgress;0;;;737.0
1952;1079;28;1;2024-03-25 06:59:20;2024-03-25 07:10:36;;10;;Abandoned;0;;;676.0
4896;646;111;1;2024-12-18 04:58:38;2024-12-18 05:05:45;;100;;Abandoned;0;;2024-12-20 03:05:45;427.0
6707;1383;1504;1;2024-03-30 16:55:30;2024-03-30 18:17:13;0.4;25;1.6;Completed;1;13.0;2024-04-01 00:17:13;4903.0
1731;1351;4184;1;2024-09-24 13:14:20;2024-09-24 13:37:54;4.0;10;40.0;Completed;1;4.0;;1414.0
10552;776;2240;1;2024-03-13 11:28:11;2024-03-13 11:42:56;37.7;100;37.7;Completed;0;7.0;2024-03-15 05:42:56;885.0
3547;2140;118;2;2024-10-11 16:13:58;2024-10-11 16:39:47;;10;;Abandoned;0;12.0;2024-10-12 21:39:47;1549.0
9938;535;1297;3;2025-12-25 19:53:59;2025-12-25 20:42:04;;25;;InProgress;0;2.0;2025-12-27 20:42:04;2885.0
482;1115;1613;1;2023-02-15 19:12:35;;;10;;InProgress;0;5.0;;1427.0
7832;1772;3886;2;2024-05-20 19:38:51;2024-05-20 19:40:49;;20;;Abandoned;0;;2024-05-20 20:40:49;118.0
79;742;902;2;2026-01-05 01:42:57;2026-01-05 02:14:47;;100;;Abandoned;0;;2026-01-06 13:14:47;1910.0
2950;122;121;2;2026-01-28 11:23:11;2026-01-28 11:38:02;;25;;InProgress;0;;2026-01-30 07:38:02;891.0
10143;547;3576;1;2023-02-27 13:07:50;2023-02-27 13:26:20;;10;;Abandoned;0;;;1110.0
9262;1189;3688;1;2024-11-02 12:20:46;;;25;;InProgress;0;11.0;;530.0
9099;1499;461;1;2025-12-16 04:21:27;2025-12-16 04:26:16;17.6;25;70.4;Completed;0;6.0;2025-12-16 15:26:16;289.0
5896;327;4835;1;2023-01-09 23:21:53;2023-01-09 23:46:57;4.7;25;18.8;Completed;1;;;1504.0
8072;1564;4186;3;2025-12-29 21:32:03;2025-12-29 22:15:26;4.5;10;45.0;Completed;1;1.0;;2603.0
5131;1042;4790;2;2024-02-08 19:30:58;2024-02-08 20:07:42;7.5;20;37.5;Completed;1;3.0;2024-02-09 13:07:42;2204.0
2756;1080;1178;1;2024-08-29 08:20:32;2024-08-29 08:51:50;61.9;100;61.9;Completed;1;8.0;2024-08-30 00:51:50;1878.0
4837;1070;1552;2;2024-04-27 12:20:37;2024-04-27 12:34:18;4.1;25;16.4;Completed;1;6.0;;821.0
7409;1590;3603;1;2025-09-15 04:41:55;2025-09-15 05:10:13;;20;;Abandoned;0;8.0;;1698.0
6074;1175;2264;1;2023-08-06 14:50:31;2023-08-06 16:08:37;;20;;InProgress;0;14.0;2023-08-08 00:08:37;4686.0
5839;1656;4661;1;2023-04-25 08:53:04;2023-04-25 09:33:00;2.0;10;20.0;Completed;0;;;2396.0
9574;87;2625;1;2024-10-08 03:25:50;2024-10-08 03:37:19;;25;;Abandoned;0;;2024-10-08 19:37:19;689.0
2407;999;2091;1;2023-05-26 02:43:38;2023-05-26 03:15:41;2.5;10;25.0;Completed;1;4.0;;1923.0
2821;2003;1562;1;2024-10-17 12:34:42;2024-10-17 13:50:00;;25;;InProgress;0;;2024-10-19 01:50:00;4518.0
5037;337;1950;1;2022-06-22 13:04:48;2022-06-22 13:46:32;;10;;Abandoned;0;;;2504.0
5441;795;215;1;2024-12-10 14:59:03;2024-12-10 15:24:28;5.2;20;26.0;Completed;1;5.0;2024-12-10 16:24:28;1525.0
1199;655;793;1;2022-07-08 23:39:05;2022-07-08 23:42:01;;-5;;InProgress;0;10.0;2022-07-09 01:42:01;176.0
1810;2124;4651;1;2023-09-17 17:10:51;2023-09-17 17:41:52;;10;;InProgress;0;1.0;;1861.0
4518;785;2989;1;2024-09-09 02:46:07;2024-09-09 03:17:24;;100;;InProgress;0;;2024-09-09 10:17:24;1877.0
2706;1217;1440;1;2023-06-22 01:11:54;;;25;;InProgress;0;14.0;;4771.0
7423;518;4719;2;2022-10-14 08:12:30;2022-10-14 08:40:50;;25;;Abandoned;0;5.0;2022-10-14 14:40:50;1700.0
7381;1398;2837;1;2025-01-14 02:33:11;2025-01-14 03:32:22;39.6;100;39.6;Completed;1;4.0;2025-01-15 01:32:22;3551.0
9019;1938;2286;1;2023-07-14 19:29:52;2023-07-14 19:37:38;;10;;InProgress;0;4.0;2023-07-14 21:37:38;
7285;311;4378;1;2025-02-11 16:52:19;2025-02-11 16:54:58;;10;;Abandoned;0;;2025-02-13 13:54:58;159.0
2587;1493;1706;3;2023-04-02 06:26:25;2023-04-02 06:33:32;8.0;10;80.0;Completed;0;;;427.0
2974;1667;4464;1;2022-06-05 20:42:25;2022-06-05 20:59:01;;50;;InProgress;0;6.0;;996.0
9058;1408;3579;1;2022-11-03 19:51:22;;;10;;InProgress;0;12.0;;631.0
10489;222;907;2;2025-08-02 04:12:21;;;50;;InProgress;0;4.0;;930.0
5613;1828;2704;2;2024-08-31 08:59:47;2024-08-31 09:27:39;;100;;Abandoned;0;10.0;2024-08-31 21:27:39;1672.0
9568;1938;2625;1;2023-09-18 05:01:22;2023-09-18 05:04:17;;10;;Abandoned;0;;2023-09-19 00:04:17;175.0
6777;196;4081;1;2024-11-22 08:04:16;2024-11-22 09:00:08;;25;;Abandoned;0;;2024-11-23 09:00:08;3352.0
1221;1978;4872;1;2023-03-25 07:25:43;2023-03-25 07:29:27;;20;;InProgress;0;;;224.0
844;785;3387;2;2025-01-04 04:06:16;2025-01-04 04:10:28;67.6;100;67.6;Completed;0;5.0;2025-01-05 09:10:28;252.0
10300;1972;4541;2;2024-07-29 04:32:43;2024-07-29 06:05:59;53.6;100;53.6;Completed;1;5.0;2024-07-30 05:05:59;5596.0
1157;410;4930;1;2022-07-21 01:07:31;2022-07-21 01:35:36;3.9;20;19.5;Completed;0;;2022-07-22 09:35:36;1685.0
1963;795;128;1;2025-11-14 16:20:46;2025-11-14 16:29:56;;20;;InProgress;0;13.0;;550.0
4640;657;3224;1;2024-07-20 00:35:11;2024-07-20 01:37:27;;25;;InProgress;0;1.0;;3736.0
8035;1864;4999;1;2024-11-03 11:11:44;2024-11-03 11:21:41;35.0;100;35.0;Completed;1;12.0;2024-11-03 14:21:41;597.0
5654;1051;3456;1;2025-09-23 21:10:54;2025-09-23 21:12:00;55.0;100;55.0;Completed;1;1.0;;66.0
3804;1888;1387;1;2025-11-07 01:21:29;2025-11-07 01:25:19;5.9;25;23.6;Completed;0;8.0;;230.0
3846;1677;4217;3;2022-10-05 07:02:32;2022-10-05 07:11:24;5.4;10;54.0;Completed;1;11.0;;532.0
9640;795;4007;1;2026-01-26 17:16:22;2026-01-26 17:36:37;10.0;20;50.0;Completed;0;6.0;;1215.0
9983;389;826;3;2022-06-23 08:23:53;2022-06-23 08:43:53;27.9;100;27.9;Completed;1;8.0;2022-06-24 21:43:53;1200.0
9260;1289;3688;3;2024-01-29 17:51:25;2024-01-29 19:11:14;16.7;25;66.8;Completed;0;;;4789.0
4248;1607;4103;1;2026-01-13 11:58:53;2026-01-13 12:00:03;19.5;20;97.5;Completed;0;;2026-01-14 18:00:03;70.0
10308;1189;4541;2;2023-11-07 13:58:53;2023-11-07 14:18:14;;25;;InProgress;0;7.0;2023-11-07 16:18:14;1161.0
5297;1972;4708;1;2023-08-30 16:56:25;2023-08-30 17:00:43;;100;;Abandoned;0;;;258.0
4437;893;935;1;2023-10-08 21:06:04;2023-10-08 21:11:27;;10;;Abandoned;0;9.0;2023-10-09 15:11:27;323.0
351;1789;2849;2;2023-04-16 08:53:02;2023-04-16 10:14:28;8.9;10;89.0;Completed;0;3.0;;4886.0
7656;1732;4220;2;2025-04-14 02:39:04;2025-04-14 03:10:07;;-5;;InProgress;0;10.0;2025-04-14 11:10:07;1863.0
