Id,StudentProfileId,CourseId,EnrolledById,EnrollmentDate,EnrollmentDate_Year,EnrollmentDate_Month,EnrollmentDate_Weekday,DaysSinceEnrollment,CreditHours,DepartmentId,IsArchived,TotalCreditLoad,DepartmentName
4330,2760,48,2,2023-10-19 09:35:50,2023,10,3,877,4,3,True,7,Cyber Security
7130,375,151,1,2024-11-27 01:46:57,2024,11,2,472,3,1,False,47,Computer Science
373,1813,171,3,2022-04-26 07:57:54,2022,4,1,1418,2,2,True,31,Artificial Intelligence
8516,1719,54,2,2025-01-05 07:22:16,2025,1,6,433,3,3,True,9,Cyber Security
4198,4139,141,1,2024-11-28 17:39:13,2024,11,3,471,4,3,True,10,Cyber Security
2680,803,23,2,2024-08-12 01:56:02,2024,8,0,579,4,1,True,8,Computer Science
9322,1212,92,2,2023-12-28 16:21:19,2023,12,3,807,4,2,False,13,Artificial Intelligence
255,4171,156,1,2024-01-08 08:07:02,2024,1,0,796,4,3,True,49,Cyber Security
8329,1606,166,3,2024-03-27 21:14:34,2024,3,2,717,1,2,True,2,Artificial Intelligence
296,1641,2,3,2025-12-24 19:12:50,2025,12,2,80,3,1,True,48,Computer Science
3767,3201,198,2,2025-04-23 01:42:43,2025,4,2,325,4,3,True,13,Cyber Security
7093,4593,78,3,2024-02-26 02:09:25,2024,2,0,747,2,2,False,11,Artificial Intelligence
9960,2891,198,1,2025-04-03 05:59:58,2025,4,3,345,4,3,True,12,Cyber Security
4447,4568,99,1,2025-07-11 21:07:47,2025,7,4,246,3,3,True,6,Cyber Security
3620,2087,162,2,2025-10-18 12:54:38,2025,10,5,147,1,1,True,1,Computer Science
6331,3668,138,3,2025-09-14 01:21:04,2025,9,6,181,4,1,False,13,Computer Science
5694,1080,173,3,2022-11-27 15:25:11,2022,11,6,1203,1,3,False,5,Cyber Security
628,1771,109,3,2025-10-29 23:03:32,2025,10,2,136,4,1,False,8,Computer Science
7246,3156,84,2,2024-04-05 14:36:17,2024,4,4,708,1,2,True,15,Artificial Intelligence
4741,2029,67,-1,2023-03-03 02:36:31,2023,3,4,1107,3,1,False,12,Computer Science
6057,3829,158,3,2023-08-30 19:04:14,2023,8,2,927,3,2,False,15,Artificial Intelligence
6377,4973,26,1,2023-01-23 12:12:04,2023,1,0,1146,6,1,False,15,Computer Science
998,853,57,3,2025-06-06 08:44:37,2025,6,4,281,3,1,True,5,Computer Science
1609,611,25,2,2023-04-25 15:37:01,2023,4,1,1054,3,2,False,9,Artificial Intelligence
2430,3623,78,2,2023-08-13 12:13:15,2023,8,6,944,2,2,False,2,Artificial Intelligence
1606,2304,18,2,2024-07-29 09:47:54,2024,7,0,593,3,3,True,7,Cyber Security
7023,404,41,1,2025-05-29 04:58:25,2025,5,3,289,4,1,False,15,Computer Science
6231,2195,49,2,2023-12-01 21:50:52,2023,12,4,834,3,2,True,48,Artificial Intelligence
9217,2891,89,2,2023-10-15 22:26:35,2023,10,6,881,4,1,False,12,Computer Science
3395,4310,71,1,2025-11-05 04:33:18,2025,11,2,129,2,2,True,3,Artificial Intelligence
2979,4361,18,2,2025-04-09 02:45:06,2025,4,2,339,3,3,True,9,Cyber Security
7753,4579,43,3,2025-08-10 22:23:03,2025,8,6,216,2,3,False,7,Cyber Security
2232,4857,128,1,2025-12-25 11:32:49,2025,12,3,79,4,2,False,7,Artificial Intelligence
3163,3828,16,1,2024-11-15 16:24:40,2024,11,4,484,3,2,True,12,Artificial Intelligence
8144,3496,35,3,2025-10-10 17:28:48,2025,10,4,155,2,2,False,7,Artificial Intelligence
8706,4875,35,1,2025-10-19 05:55:24,2025,10,6,146,2,2,False,10,Artificial Intelligence
8424,2756,43,2,2025-06-29 05:56:21,2025,6,6,258,2,3,False,12,Cyber Security
7482,4897,38,1,2023-04-14 13:23:42,2023,4,4,1065,2,2,False,2,Artificial Intelligence
20,4377,178,2,2025-01-02 16:34:47,2025,1,3,436,2,3,False,26,Cyber Security
5794,590,159,1,2026-05-07 21:18:12,2026,5,3,0,6,1,True,8,Computer Science
3274,3689,31,2,2023-07-07 10:41:08,2023,7,4,981,4,3,True,8,Cyber Security
6549,187,77,2,2025-10-27 21:04:19,2025,10,0,138,2,1,True,6,Computer Science
8074,4807,135,1,2024-10-10 01:27:32,2024,10,3,520,4,2,True,6,Artificial Intelligence
43,1374,192,1,2025-05-22 19:56:49,2025,5,3,296,3,2,False,39,Artificial Intelligence
1813,3786,85,3,2026-01-14 07:55:59,2026,1,2,59,1,2,False,8,Artificial Intelligence
3950,1819,191,3,2024-12-24 07:22:02,2024,12,1,445,3,2,False,10,Artificial Intelligence
7437,3948,143,-1,2026-01-21 17:13:13,2026,1,2,52,3,1,True,13,Computer Science
3114,16,52,2,2026-01-24 03:41:25,2026,1,5,49,3,1,False,5,Computer Science
1515,2106,2,-1,2025-12-11 14:20:36,2025,12,3,93,3,1,True,3,Computer Science
3776,1869,106,3,2024-11-03 11:22:12,2024,11,6,496,4,2,False,10,Artificial Intelligence
8878,1513,71,3,2025-08-07 01:50:24,2025,8,3,219,2,2,True,12,Artificial Intelligence
7849,1050,111,2,2025-08-25 03:23:55,2025,8,0,201,3,2,False,5,Artificial Intelligence
3174,1051,79,2,2025-02-11 03:32:48,2025,2,1,396,3,1,False,3,Computer Science
2881,1105,140,1,2023-08-14 12:27:41,2023,8,0,943,3,3,True,11,Cyber Security
8563,1382,123,2,2025-05-26 07:35:37,2025,5,0,292,3,1,False,14,Computer Science
6622,1862,37,2,2023-05-23 19:51:46,2023,5,1,1026,6,3,True,8,Cyber Security
9310,3076,32,1,2024-08-07 03:57:10,2024,8,2,584,3,2,False,4,Artificial Intelligence
5452,665,149,1,2026-01-20 16:38:42,2026,1,1,53,4,3,True,14,Cyber Security
4206,2745,67,2,2023-09-07 21:24:47,2023,9,3,919,3,1,False,7,Computer Science
8069,4658,182,1,2025-06-05 03:03:24,2025,6,3,282,1,3,False,5,Cyber Security
3626,2750,86,3,2024-11-15 19:08:04,2024,11,4,484,3,3,False,6,Cyber Security
2796,4106,7,3,2023-12-19 21:39:46,2023,12,1,816,2,3,False,6,Cyber Security
8519,1581,71,2,2025-06-27 20:39:04,2025,6,4,260,2,2,True,14,Artificial Intelligence
1265,4924,35,2,2025-07-02 19:56:12,2025,7,2,255,2,2,False,11,Artificial Intelligence
8481,635,26,1,2022-06-30 00:38:07,2022,6,3,1353,6,1,False,18,Computer Science
3548,2196,162,1,2025-12-29 08:42:30,2025,12,0,75,1,1,True,2,Computer Science
4492,4122,111,2,2025-07-27 09:50:04,2025,7,6,230,3,2,False,7,Artificial Intelligence
128,796,134,1,2023-04-07 08:24:05,2023,4,4,1072,2,2,True,44,Artificial Intelligence
4758,491,197,1,2026-01-14 04:46:06,2026,1,2,59,2,2,False,2,Artificial Intelligence
2865,1074,118,3,2023-09-12 02:58:22,2023,9,1,914,2,1,False,7,Computer Science
2265,1564,25,2,2023-11-02 22:56:39,2023,11,3,863,3,2,False,3,Artificial Intelligence
9015,814,92,2,2024-01-15 09:43:59,2024,1,0,789,4,2,False,12,Artificial Intelligence
9375,95,124,2,2023-12-07 14:00:38,2023,12,3,828,3,2,False,7,Artificial Intelligence
3088,1423,3,2,2024-06-03 20:37:56,2024,6,0,649,2,3,True,6,Cyber Security
10061,796,120,1,2024-05-06 14:08:54,2024,5,0,677,2,3,True,44,Cyber Security
10012,1641,192,1,2025-02-07 01:17:44,2025,2,4,400,3,2,False,48,Artificial Intelligence
8635,255,183,-1,2023-03-24 17:10:34,2023,3,4,1086,1,3,True,13,Cyber Security
8411,1193,50,2,2025-08-21 02:23:28,2025,8,3,205,2,2,False,12,Artificial Intelligence
4666,3080,109,3,2025-09-08 16:30:28,2025,9,0,187,4,1,False,49,Computer Science
6816,1311,16,2,2024-08-11 13:18:44,2024,8,6,580,3,2,True,5,Artificial Intelligence
6048,1528,198,3,2025-04-21 06:53:57,2025,4,0,327,4,3,True,10,Cyber Security
3,4526,136,2,2026-02-21 11:10:29,2026,2,5,21,1,2,True,42,Artificial Intelligence
9716,3840,48,2,2023-09-03 08:45:07,2023,9,6,923,4,3,True,4,Cyber Security
9514,4048,157,2,2023-01-14 16:06:06,2023,1,5,1155,2,3,True,5,Cyber Security
5347,3284,48,1,2023-09-02 14:50:28,2023,9,5,924,4,3,True,10,Cyber Security
253,3064,41,2,2026-01-04 02:37:44,2026,1,6,69,4,1,False,44,Computer Science
7083,703,24,3,2025-02-11 10:09:15,2025,2,1,396,3,2,True,6,Artificial Intelligence
595,3616,182,1,2025-04-04 09:24:31,2025,4,4,344,1,3,False,4,Cyber Security
8339,1510,101,1,2026-01-19 07:56:53,2026,1,0,54,3,3,False,12,Cyber Security
7292,1599,152,3,2024-12-28 11:59:02,2024,12,5,441,3,1,False,13,Computer Science
3128,245,107,3,2026-04-15 21:13:11,2026,4,2,0,2,2,False,4,Artificial Intelligence
8248,3321,40,3,2025-10-30 02:54:51,2025,10,3,135,3,1,False,6,Computer Science
841,4189,158,2,2023-07-16 06:48:26,2023,7,6,972,3,2,False,3,Artificial Intelligence
593,3786,41,2,2025-12-15 15:59:04,2025,12,0,89,4,1,False,8,Computer Science
4203,4021,56,1,2024-01-16 21:35:15,2024,1,1,788,4,1,False,14,Computer Science
5108,3568,136,2,2025-07-10 17:19:56,2025,7,3,247,1,2,True,19,Artificial Intelligence
4541,3954,24,1,2025-03-21 21:40:31,2025,3,4,358,3,2,True,7,Artificial Intelligence
5105,2776,9,1,2023-03-15 11:56:26,2023,3,2,1095,6,2,False,13,Artificial Intelligence
455,783,46,3,2022-06-18 09:14:04,2022,6,5,1365,6,2,True,37,Artificial Intelligence
2317,4902,158,1,2023-08-21 01:52:02,2023,8,0,936,3,2,False,6,Artificial Intelligence
644,4656,200,1,2025-07-01 15:56:30,2025,7,1,256,4,3,True,8,Cyber Security
2950,1095,21,3,2025-11-22 09:57:34,2025,11,5,112,3,3,False,13,Cyber Security
3810,1127,43,1,2025-09-13 23:38:27,2025,9,5,181,2,3,False,13,Cyber Security
9843,3781,77,3,2025-04-13 23:19:58,2025,4,6,335,2,1,True,11,Computer Science
9950,117,106,3,2024-07-31 17:59:41,2024,7,2,591,4,2,False,9,Artificial Intelligence
2677,4708,108,-1,2025-08-20 06:05:39,2025,8,2,206,2,1,True,8,Computer Science
8219,2171,109,3,2025-03-27 15:43:16,2025,3,3,352,4,1,False,8,Computer Science
8851,4880,32,1,2024-03-16 12:53:21,2024,3,5,728,3,2,False,10,Artificial Intelligence
3621,2089,99,3,2025-11-30 11:51:07,2025,11,6,104,3,3,True,3,Cyber Security
9399,3145,118,1,2024-07-29 04:51:30,2024,7,0,593,2,1,False,7,Computer Science
7857,2566,110,-1,2025-07-11 12:10:15,2025,7,4,246,2,2,True,2,Artificial Intelligence
10066,2292,58,2,2025-09-04 23:53:30,2025,9,3,190,2,3,True,39,Cyber Security
8488,497,46,3,2022-07-27 16:39:11,2022,7,2,1326,6,2,True,6,Artificial Intelligence
7780,4949,30,3,2022-12-30 10:27:42,2022,12,4,1170,4,2,False,9,Artificial Intelligence
7912,3540,91,2,2022-08-26 08:56:51,2022,8,4,1296,3,3,False,9,Cyber Security
5055,4801,72,3,2022-06-09 08:25:57,2022,6,3,1374,2,2,False,5,Artificial Intelligence
9410,4453,72,2,2023-02-06 03:08:16,2023,2,0,1132,2,2,False,14,Artificial Intelligence
2160,631,36,1,2025-04-09 11:29:49,2025,4,2,339,3,3,False,13,Cyber Security
8698,3032,190,1,2024-10-22 18:43:28,2024,10,1,508,4,3,True,14,Cyber Security
2612,3684,62,3,2025-05-03 10:25:54,2025,5,5,315,4,1,False,50,Computer Science
2447,4572,6,1,2025-04-24 10:41:48,2025,4,3,324,3,1,True,7,Computer Science
7045,3781,74,1,2022-04-22 09:46:08,2022,4,4,1422,2,3,False,11,Cyber Security
7607,1020,73,3,2024-10-20 18:43:32,2024,10,6,510,4,2,False,7,Artificial Intelligence
6409,22,89,2,2024-01-09 13:56:44,2024,1,1,795,4,1,False,12,Computer Science
2800,2250,34,1,2025-01-04 17:56:08,2025,1,5,434,2,3,True,2,Cyber Security
1896,2473,192,2,2025-05-18 09:27:16,2025,5,6,300,3,2,False,5,Artificial Intelligence
476,4632,126,2,2025-02-12 07:14:10,2025,2,2,395,3,2,True,39,Artificial Intelligence
2763,4735,88,2,2025-11-19 00:41:07,2025,11,2,115,4,2,True,4,Artificial Intelligence
6268,4906,77,2,2025-07-27 17:56:52,2025,7,6,230,2,1,True,2,Computer Science
9440,3650,65,3,2025-03-24 20:01:10,2025,3,0,355,4,2,True,14,Artificial Intelligence
561,4367,43,3,2026-01-21 03:45:23,2026,1,2,52,2,3,False,42,Cyber Security
2039,2740,61,3,2022-06-30 20:28:00,2022,6,3,1353,2,3,False,5,Cyber Security
8614,4544,98,2,2023-01-26 21:04:14,2023,1,3,1143,2,3,True,5,Cyber Security
6649,2147,22,1,2024-03-02 22:04:35,2024,3,5,742,4,1,True,10,Computer Science
418,2292,24,1,2025-10-21 16:30:41,2025,10,1,144,3,2,True,39,Artificial Intelligence
3021,3013,169,1,2022-11-25 17:38:58,2022,11,4,1205,3,1,True,12,Computer Science
1252,4099,96,2,2025-03-19 10:19:02,2025,3,2,360,4,1,False,7,Computer Science
2244,1425,169,2,2022-10-05 00:40:50,2022,10,2,1256,3,1,True,13,Computer Science
9733,3271,154,2,2025-03-12 06:42:09,2025,3,2,367,4,3,False,14,Cyber Security
7091,4289,157,2,2023-03-28 17:34:46,2023,3,1,1082,2,3,True,11,Cyber Security
3458,3425,31,1,2023-04-23 19:36:00,2023,4,6,1056,4,3,True,7,Cyber Security
153,1577,7,2,2024-01-26 20:29:20,2024,1,4,778,2,3,False,45,Cyber Security
9756,468,89,1,2023-12-03 17:08:24,2023,12,6,832,4,1,False,10,Computer Science
616,131,196,2,2022-10-02 18:49:56,2022,10,6,1259,2,2,True,8,Artificial Intelligence
8944,15,197,1,2025-02-09 01:45:39,2025,2,6,398,2,2,False,4,Artificial Intelligence
461,783,58,3,2025-04-12 23:21:53,2025,4,5,335,2,3,True,37,Cyber Security
7537,2982,61,-1,2023-01-19 10:00:22,2023,1,3,1150,2,3,False,9,Cyber Security
6571,2190,124,1,2023-10-11 14:33:39,2023,10,2,885,3,2,False,4,Artificial Intelligence
1192,4478,53,3,2025-03-20 23:53:21,2025,3,3,358,1,2,False,4,Artificial Intelligence
2510,3346,58,2,2025-02-23 13:23:16,2025,2,6,384,2,3,True,7,Cyber Security
8237,131,12,1,2023-10-05 18:30:19,2023,10,3,891,4,1,True,8,Computer Science
2095,3962,107,3,2026-06-08 16:47:43,2026,6,0,0,2,2,False,3,Artificial Intelligence
3238,3404,197,1,2025-04-20 05:16:54,2025,4,6,328,2,2,False,8,Artificial Intelligence
222,3487,173,2,2022-12-06 06:06:18,2022,12,1,1194,1,3,False,33,Cyber Security
5304,657,56,2,2023-12-25 07:41:41,2023,12,0,810,4,1,False,6,Computer Science
7822,2909,69,-1,2024-04-29 00:49:18,2024,4,0,684,3,1,True,7,Computer Science
9827,2887,111,3,2024-10-23 19:10:12,2024,10,2,507,3,2,False,3,Artificial Intelligence
2158,4867,150,2,2026-01-22 23:20:31,2026,1,3,51,2,3,False,2,Cyber Security
10005,1642,152,1,2024-11-09 21:14:34,2024,11,5,490,3,1,False,26,Computer Science
7992,1132,99,2,2025-04-27 00:18:50,2025,4,6,321,3,3,True,9,Cyber Security
4547,3255,96,3,2025-08-20 17:42:02,2025,8,2,206,4,1,False,17,Computer Science
1743,1554,167,1,2022-04-05 09:08:49,2022,4,1,1439,1,3,True,6,Cyber Security
6795,1451,72,3,2022-11-16 13:27:49,2022,11,2,1214,2,2,False,7,Artificial Intelligence
2504,741,156,3,2024-08-16 20:10:00,2024,8,4,575,4,3,True,12,Cyber Security
5485,2320,121,3,2025-07-03 05:26:52,2025,7,3,254,4,1,False,13,Computer Science
6366,2070,37,-1,2023-07-07 07:52:16,2023,7,4,981,6,3,True,10,Cyber Security
1713,598,197,3,2025-11-27 09:51:52,2025,11,3,107,2,2,False,26,Artificial Intelligence
9096,2264,75,3,2024-01-02 09:01:03,2024,1,1,802,1,3,False,5,Cyber Security
135,1642,198,1,2025-10-19 21:58:39,2025,10,6,146,4,3,True,26,Cyber Security
7256,2900,152,2,2024-10-20 20:27:43,2024,10,6,510,3,1,False,7,Computer Science
4448,3115,126,2,2025-02-18 23:30:23,2025,2,1,388,3,2,True,10,Artificial Intelligence
2935,2372,81,2,2022-10-15 01:42:36,2022,10,5,1246,4,1,False,9,Computer Science
2729,2346,147,1,2025-06-10 14:27:55,2025,6,1,277,2,3,True,3,Cyber Security
2602,2110,1,1,2024-08-28 17:39:02,2024,8,2,563,4,1,False,13,Computer Science
6192,4289,153,3,2023-03-18 16:22:13,2023,3,5,1092,3,2,False,11,Artificial Intelligence
6483,4087,26,3,2022-06-13 16:54:06,2022,6,0,1370,6,1,False,16,Computer Science
8885,1254,192,3,2025-01-07 08:18:22,2025,1,1,431,3,2,False,4,Artificial Intelligence
2764,4291,152,3,2024-06-09 15:13:13,2024,6,6,643,3,1,False,3,Computer Science
8396,2354,53,1,2025-04-19 14:17:00,2025,4,5,329,1,2,False,10,Artificial Intelligence
6520,2448,197,1,2025-02-09 14:03:32,2025,2,6,398,2,2,False,2,Artificial Intelligence
8278,4025,135,2,2024-11-06 09:47:24,2024,11,2,493,4,2,True,5,Artificial Intelligence
4526,784,198,1,2025-06-19 14:29:56,2025,6,3,268,4,3,True,14,Cyber Security
448,2873,118,2,2023-12-20 06:25:31,2023,12,2,815,2,1,False,34,Computer Science
2374,4545,11,2,2023-07-18 18:58:29,2023,7,1,970,3,2,True,12,Artificial Intelligence
98,2519,21,3,2025-08-25 15:42:00,2025,8,0,201,3,3,False,49,Cyber Security
7146,879,143,2,2025-11-03 06:54:45,2025,11,0,131,3,1,True,12,Computer Science
7489,461,75,3,2024-02-06 07:09:04,2024,2,1,767,1,3,False,4,Cyber Security
7286,773,64,-1,2025-05-22 00:26:31,2025,5,3,296,3,2,True,25,Artificial Intelligence
1279,3711,191,3,2024-11-15 06:21:39,2024,11,4,484,3,2,False,7,Artificial Intelligence
189,1039,63,1,2023-02-22 11:38:26,2023,2,2,1116,2,1,False,46,Computer Science
3400,1080,41,1,2025-06-21 01:20:54,2025,6,5,266,4,1,False,5,Computer Science
933,4495,33,1,2023-06-26 14:14:53,2023,6,0,992,4,1,True,15,Computer Science
3388,2571,24,3,2025-08-25 00:10:26,2025,8,0,201,3,2,True,3,Artificial Intelligence
2442,3021,101,-1,2025-07-25 12:10:17,2025,7,4,232,3,3,False,6,Cyber Security
7715,4241,16,3,2025-02-17 02:17:12,2025,2,0,390,3,2,True,12,Artificial Intelligence
4800,3925,123,3,2025-02-26 16:14:33,2025,2,2,381,3,1,False,11,Computer Science
797,2086,136,3,2025-12-18 03:20:31,2025,12,3,86,1,2,True,1,Artificial Intelligence
3953,2871,86,1,2025-09-17 12:18:57,2025,9,2,178,3,3,False,6,Cyber Security
9218,4706,147,1,2025-06-16 20:17:21,2025,6,0,271,2,3,True,4,Cyber Security
2964,4632,78,2,2023-10-16 13:23:09,2023,10,0,880,2,2,False,39,Artificial Intelligence
7814,2478,194,1,2025-04-02 11:16:27,2025,4,2,346,2,3,False,8,Cyber Security
8018,110,168,2,2023-07-27 08:10:27,2023,7,3,961,2,3,True,3,Cyber Security
1047,1847,9,1,2023-09-11 21:57:27,2023,9,0,915,6,2,False,14,Artificial Intelligence
949,3863,92,1,2023-09-02 22:08:59,2023,9,5,924,4,2,False,14,Artificial Intelligence
6293,3753,147,2,2025-11-23 02:53:07,2025,11,6,111,2,3,True,12,Cyber Security
2173,1497,153,2,2023-10-26 00:52:14,2023,10,3,870,3,2,False,9,Artificial Intelligence
7697,2739,33,1,2023-04-12 16:07:56,2023,4,2,1067,4,1,True,9,Computer Science
1234,4332,47,3,2022-09-20 01:06:51,2022,9,1,1271,2,1,True,6,Computer Science
9759,225,56,2,2023-06-30 10:05:51,2023,6,4,988,4,1,False,11,Computer Science
9194,4980,153,3,2023-01-01 04:11:51,2023,1,6,1168,3,2,False,7,Artificial Intelligence
5185,2403,157,3,2022-11-02 11:49:41,2022,11,2,1228,2,3,True,6,Cyber Security
3355,1733,119,3,2024-08-16 13:23:28,2024,8,4,575,3,1,True,4,Computer Science
6266,2679,95,2,2025-09-04 00:56:31,2025,9,3,191,2,1,True,2,Computer Science
4327,2465,12,3,2023-05-07 06:25:07,2023,5,6,1042,4,1,True,4,Computer Science
1298,1476,101,-1,2025-06-30 17:23:22,2025,6,0,257,3,3,False,10,Cyber Security
4906,4567,156,3,2024-06-28 15:36:39,2024,6,4,624,4,3,True,4,Cyber Security
8294,4687,51,3,2025-10-08 13:38:57,2025,10,2,157,4,3,False,10,Cyber Security
4340,902,191,2,2024-09-14 11:58:56,2024,9,5,546,3,2,False,7,Artificial Intelligence
6207,3383,58,2,2025-08-30 15:18:03,2025,8,5,196,2,3,True,8,Cyber Security
6272,3225,64,-1,2025-10-14 03:09:38,2025,10,1,151,3,2,True,9,Artificial Intelligence
8104,263,87,3,2024-03-03 05:11:03,2024,3,6,741,2,1,False,9,Computer Science
7160,1262,2,2,2025-09-15 19:40:30,2025,9,0,180,3,1,True,9,Computer Science
9017,1879,117,2,2022-03-23 12:25:57,2022,3,2,1452,2,2,True,10,Artificial Intelligence
7051,2765,87,3,2024-02-24 20:15:31,2024,2,5,749,2,1,False,5,Computer Science
9528,3318,11,1,2024-04-04 16:11:19,2024,4,3,709,3,2,True,14,Artificial Intelligence
1414,1086,3,3,2024-06-09 23:48:24,2024,6,6,642,2,3,True,13,Cyber Security
7726,2100,6,2,2024-12-06 22:01:53,2024,12,4,463,3,1,True,9,Computer Science
8895,2303,137,1,2025-06-21 16:40:26,2025,6,5,266,4,1,False,16,Computer Science
5050,1003,130,1,2024-03-28 18:36:18,2024,3,3,716,3,2,False,6,Artificial Intelligence
1061,3096,124,1,2023-11-02 04:34:11,2023,11,3,863,3,2,False,4,Artificial Intelligence
2348,793,30,1,2023-03-07 05:47:33,2023,3,1,1103,4,2,False,8,Artificial Intelligence
2585,1693,7,2,2024-06-02 12:58:01,2024,6,6,650,2,3,False,8,Cyber Security
908,597,153,3,2023-11-08 15:35:43,2023,11,2,857,3,2,False,16,Artificial Intelligence
