StudentId,QuestionType,Answered,CorrectCount,CorrectRate
110,MCQ,49,14.0,0.286
110,ShortAnswer,3,2.0,0.667
110,TrueFalse,14,7.0,0.5
111,MCQ,36,9.0,0.25
111,ShortAnswer,8,7.0,0.875
111,TrueFalse,10,6.0,0.6
112,MCQ,20,4.0,0.2
112,ShortAnswer,4,2.0,0.5
112,TrueFalse,4,3.0,0.75
116,MCQ,33,7.0,0.212
116,ShortAnswer,11,6.0,0.545
116,TrueFalse,5,0.0,0.0
117,MCQ,31,11.0,0.355
117,ShortAnswer,9,4.0,0.444
117,TrueFalse,9,3.0,0.333
118,MCQ,25,9.0,0.36
118,ShortAnswer,6,3.0,0.5
118,TrueFalse,14,9.0,0.643
121,MCQ,79,27.0,0.342
121,ShortAnswer,24,12.0,0.5
121,TrueFalse,24,11.0,0.458
125,MCQ,35,3.0,0.086
125,ShortAnswer,10,6.0,0.6
125,TrueFalse,7,5.0,0.714
127,MCQ,88,24.0,0.273
127,ShortAnswer,27,12.0,0.444
127,TrueFalse,27,17.0,0.63
128,MCQ,58,13.0,0.224
128,ShortAnswer,7,1.0,0.143
128,TrueFalse,20,10.0,0.5
130,MCQ,13,2.0,0.154
130,ShortAnswer,5,3.0,0.6
130,TrueFalse,3,1.0,0.333
133,MCQ,32,5.0,0.156
133,ShortAnswer,3,3.0,1.0
133,TrueFalse,9,3.0,0.333
134,MCQ,4,4.0,1.0
134,TrueFalse,6,4.0,0.667
154,MCQ,16,6.0,0.375
154,ShortAnswer,2,1.0,0.5
154,TrueFalse,4,2.0,0.5
155,MCQ,6,1.0,0.167
155,ShortAnswer,2,0.0,0.0
158,MCQ,26,5.0,0.192
158,ShortAnswer,10,4.0,0.4
158,TrueFalse,5,5.0,1.0
159,MCQ,54,18.0,0.333
159,ShortAnswer,17,9.0,0.529
159,TrueFalse,24,15.0,0.625
162,MCQ,14,2.0,0.143
162,ShortAnswer,5,3.0,0.6
162,TrueFalse,3,0.0,0.0
163,MCQ,27,7.0,0.259
163,ShortAnswer,13,8.0,0.615
163,TrueFalse,9,4.0,0.444
164,MCQ,28,11.0,0.393
164,ShortAnswer,4,3.0,0.75
164,TrueFalse,9,8.0,0.889
186,MCQ,3,2.0,0.667
186,ShortAnswer,4,2.0,0.5
189,MCQ,43,9.0,0.209
189,ShortAnswer,10,6.0,0.6
189,TrueFalse,9,2.0,0.222
191,MCQ,19,5.0,0.263
191,ShortAnswer,3,2.0,0.667
191,TrueFalse,5,3.0,0.6
193,MCQ,34,6.0,0.176
193,ShortAnswer,7,6.0,0.857
193,TrueFalse,16,11.0,0.688
196,MCQ,37,11.0,0.297
196,ShortAnswer,9,7.0,0.778
196,TrueFalse,6,3.0,0.5
197,MCQ,33,5.0,0.152
197,ShortAnswer,12,7.0,0.583
197,TrueFalse,11,7.0,0.636
198,MCQ,40,8.0,0.2
198,ShortAnswer,4,2.0,0.5
198,TrueFalse,10,6.0,0.6
199,MCQ,39,7.0,0.179
199,ShortAnswer,5,0.0,0.0
199,TrueFalse,10,6.0,0.6
201,MCQ,70,19.0,0.271
201,ShortAnswer,15,7.0,0.467
201,TrueFalse,26,11.0,0.423
203,MCQ,59,19.0,0.322
203,ShortAnswer,22,12.0,0.545
203,TrueFalse,27,15.0,0.556
211,MCQ,45,10.0,0.222
211,ShortAnswer,8,2.0,0.25
211,TrueFalse,12,5.0,0.417
214,MCQ,55,11.0,0.2
214,ShortAnswer,10,4.0,0.4
214,TrueFalse,15,7.0,0.467
215,MCQ,43,10.0,0.233
215,ShortAnswer,22,11.0,0.5
215,TrueFalse,17,9.0,0.529
217,MCQ,42,13.0,0.31
217,ShortAnswer,7,3.0,0.429
217,TrueFalse,7,5.0,0.714
219,MCQ,45,11.0,0.244
219,ShortAnswer,10,6.0,0.6
219,TrueFalse,14,5.0,0.357
222,MCQ,12,3.0,0.25
222,ShortAnswer,3,2.0,0.667
223,MCQ,3,0.0,0.0
223,TrueFalse,2,2.0,1.0
224,MCQ,33,5.0,0.152
224,ShortAnswer,17,7.0,0.412
224,TrueFalse,4,2.0,0.5
227,MCQ,61,13.0,0.213
227,ShortAnswer,8,3.0,0.375
227,TrueFalse,21,7.0,0.333
229,MCQ,77,20.0,0.26
229,ShortAnswer,24,14.0,0.583
229,TrueFalse,13,7.0,0.538
230,MCQ,19,7.0,0.368
230,ShortAnswer,4,2.0,0.5
230,TrueFalse,6,4.0,0.667
231,MCQ,33,6.0,0.182
231,ShortAnswer,6,4.0,0.667
231,TrueFalse,7,3.0,0.429
236,MCQ,51,10.0,0.196
236,ShortAnswer,17,9.0,0.529
236,TrueFalse,4,2.0,0.5
237,MCQ,20,4.0,0.2
237,ShortAnswer,8,3.0,0.375
237,TrueFalse,2,0.0,0.0
238,MCQ,24,4.0,0.167
238,ShortAnswer,3,1.0,0.333
238,TrueFalse,3,1.0,0.333
239,MCQ,46,16.0,0.348
239,ShortAnswer,8,3.0,0.375
239,TrueFalse,13,6.0,0.462
244,MCQ,21,5.0,0.238
244,ShortAnswer,7,4.0,0.571
244,TrueFalse,1,1.0,1.0
252,MCQ,32,11.0,0.344
252,ShortAnswer,6,3.0,0.5
252,TrueFalse,3,1.0,0.333
253,MCQ,41,11.0,0.268
253,ShortAnswer,12,5.0,0.417
253,TrueFalse,12,5.0,0.417
258,MCQ,16,4.0,0.25
258,ShortAnswer,4,3.0,0.75
258,TrueFalse,6,1.0,0.167
259,MCQ,42,11.0,0.262
259,ShortAnswer,9,2.0,0.222
259,TrueFalse,7,4.0,0.571
260,MCQ,53,13.0,0.245
260,ShortAnswer,9,6.0,0.667
260,TrueFalse,17,10.0,0.588
264,MCQ,51,11.0,0.216
264,ShortAnswer,16,8.0,0.5
264,TrueFalse,11,5.0,0.455
265,MCQ,81,26.0,0.321
265,ShortAnswer,18,5.0,0.278
265,TrueFalse,26,12.0,0.462
267,MCQ,64,18.0,0.281
267,ShortAnswer,14,10.0,0.714
267,TrueFalse,23,13.0,0.565
274,MCQ,49,11.0,0.224
274,ShortAnswer,9,4.0,0.444
274,TrueFalse,10,4.0,0.4
283,MCQ,71,18.0,0.254
283,ShortAnswer,13,6.0,0.462
283,TrueFalse,13,4.0,0.308
284,MCQ,67,18.0,0.269
284,ShortAnswer,27,14.0,0.519
284,TrueFalse,23,10.0,0.435
285,MCQ,31,10.0,0.323
285,ShortAnswer,6,2.0,0.333
285,TrueFalse,9,6.0,0.667
286,MCQ,38,7.0,0.184
286,ShortAnswer,20,14.0,0.7
286,TrueFalse,17,11.0,0.647
288,MCQ,56,15.0,0.268
288,ShortAnswer,11,8.0,0.727
288,TrueFalse,16,11.0,0.688
291,MCQ,43,14.0,0.326
291,ShortAnswer,6,3.0,0.5
291,TrueFalse,12,10.0,0.833
295,MCQ,43,7.0,0.163
295,ShortAnswer,11,6.0,0.545
295,TrueFalse,9,4.0,0.444
298,MCQ,38,7.0,0.184
298,ShortAnswer,18,7.0,0.389
298,TrueFalse,23,8.0,0.348
299,MCQ,7,1.0,0.143
299,ShortAnswer,1,1.0,1.0
299,TrueFalse,3,1.0,0.333
300,MCQ,20,4.0,0.2
300,ShortAnswer,7,3.0,0.429
300,TrueFalse,3,0.0,0.0
302,MCQ,24,4.0,0.167
302,ShortAnswer,9,4.0,0.444
302,TrueFalse,7,2.0,0.286
303,MCQ,28,3.0,0.107
303,ShortAnswer,10,6.0,0.6
303,TrueFalse,4,2.0,0.5
305,MCQ,40,12.0,0.3
305,ShortAnswer,11,5.0,0.455
305,TrueFalse,17,11.0,0.647
308,MCQ,33,8.0,0.242
308,ShortAnswer,6,4.0,0.667
308,TrueFalse,9,4.0,0.444
314,MCQ,24,4.0,0.167
314,ShortAnswer,8,4.0,0.5
314,TrueFalse,9,3.0,0.333
317,MCQ,21,5.0,0.238
317,ShortAnswer,3,2.0,0.667
317,TrueFalse,8,6.0,0.75
319,MCQ,54,14.0,0.259
319,ShortAnswer,5,2.0,0.4
319,TrueFalse,12,6.0,0.5
320,MCQ,39,11.0,0.282
320,ShortAnswer,11,7.0,0.636
320,TrueFalse,14,5.0,0.357
322,MCQ,19,5.0,0.263
322,ShortAnswer,1,0.0,0.0
322,TrueFalse,5,5.0,1.0
324,MCQ,71,19.0,0.268
324,ShortAnswer,16,6.0,0.375
324,TrueFalse,25,12.0,0.48
328,MCQ,21,6.0,0.286
328,ShortAnswer,3,1.0,0.333
328,TrueFalse,6,2.0,0.333
333,MCQ,26,10.0,0.385
333,ShortAnswer,9,2.0,0.222
333,TrueFalse,18,10.0,0.556
336,MCQ,24,8.0,0.333
336,ShortAnswer,5,3.0,0.6
336,TrueFalse,6,4.0,0.667
338,MCQ,29,6.0,0.207
338,ShortAnswer,4,2.0,0.5
338,TrueFalse,6,3.0,0.5
342,MCQ,24,6.0,0.25
342,ShortAnswer,8,4.0,0.5
342,TrueFalse,8,6.0,0.75
356,MCQ,6,3.0,0.5
356,TrueFalse,1,1.0,1.0
357,MCQ,43,9.0,0.209
357,ShortAnswer,9,4.0,0.444
357,TrueFalse,30,18.0,0.6
361,MCQ,41,8.0,0.195
361,ShortAnswer,8,3.0,0.375
361,TrueFalse,6,3.0,0.5
369,MCQ,34,7.0,0.206
369,ShortAnswer,12,4.0,0.333
369,TrueFalse,18,10.0,0.556
371,MCQ,6,1.0,0.167
371,ShortAnswer,3,1.0,0.333
371,TrueFalse,6,1.0,0.167
373,MCQ,15,3.0,0.2
373,ShortAnswer,7,4.0,0.571
373,TrueFalse,7,4.0,0.571
378,MCQ,22,6.0,0.273
378,ShortAnswer,6,3.0,0.5
378,TrueFalse,6,3.0,0.5
385,MCQ,33,13.0,0.394
385,ShortAnswer,6,3.0,0.5
385,TrueFalse,10,9.0,0.9
392,MCQ,17,3.0,0.176
392,ShortAnswer,6,3.0,0.5
392,TrueFalse,5,1.0,0.2
395,MCQ,23,9.0,0.391
395,ShortAnswer,2,1.0,0.5
395,TrueFalse,3,3.0,1.0
400,MCQ,28,9.0,0.321
400,ShortAnswer,4,1.0,0.25
400,TrueFalse,12,5.0,0.417
402,MCQ,2,1.0,0.5
402,ShortAnswer,2,2.0,1.0
402,TrueFalse,1,0.0,0.0
404,MCQ,51,17.0,0.333
404,ShortAnswer,15,7.0,0.467
404,TrueFalse,19,8.0,0.421
407,MCQ,27,9.0,0.333
407,ShortAnswer,5,1.0,0.2
407,TrueFalse,7,2.0,0.286
413,MCQ,27,6.0,0.222
413,ShortAnswer,8,4.0,0.5
413,TrueFalse,11,4.0,0.364
416,MCQ,25,8.0,0.32
416,ShortAnswer,7,4.0,0.571
423,MCQ,13,3.0,0.231
423,ShortAnswer,1,1.0,1.0
423,TrueFalse,2,1.0,0.5
424,MCQ,16,5.0,0.312
424,ShortAnswer,4,1.0,0.25
424,TrueFalse,2,1.0,0.5
430,MCQ,26,4.0,0.154
430,ShortAnswer,2,1.0,0.5
430,TrueFalse,4,3.0,0.75
432,MCQ,25,9.0,0.36
432,ShortAnswer,1,1.0,1.0
432,TrueFalse,6,4.0,0.667
435,MCQ,32,8.0,0.25
435,ShortAnswer,9,3.0,0.333
435,TrueFalse,21,13.0,0.619
438,MCQ,3,0.0,0.0
438,ShortAnswer,2,2.0,1.0
441,MCQ,70,17.0,0.243
441,ShortAnswer,10,4.0,0.4
441,TrueFalse,19,9.0,0.474
443,MCQ,30,10.0,0.333
443,ShortAnswer,7,7.0,1.0
443,TrueFalse,5,2.0,0.4
445,MCQ,43,7.0,0.163
445,ShortAnswer,3,0.0,0.0
445,TrueFalse,18,12.0,0.667
449,MCQ,69,10.0,0.145
449,ShortAnswer,15,9.0,0.6
449,TrueFalse,13,6.0,0.462
452,MCQ,34,8.0,0.235
452,ShortAnswer,8,5.0,0.625
452,TrueFalse,6,1.0,0.167
456,MCQ,22,5.0,0.227
456,ShortAnswer,3,1.0,0.333
456,TrueFalse,8,2.0,0.25
459,MCQ,58,15.0,0.259
459,ShortAnswer,17,9.0,0.529
459,TrueFalse,14,6.0,0.429
461,MCQ,43,9.0,0.209
461,ShortAnswer,6,2.0,0.333
461,TrueFalse,12,6.0,0.5
466,MCQ,22,3.0,0.136
466,ShortAnswer,9,5.0,0.556
466,TrueFalse,8,5.0,0.625
471,MCQ,26,7.0,0.269
471,ShortAnswer,4,2.0,0.5
471,TrueFalse,19,10.0,0.526
474,MCQ,33,13.0,0.394
474,ShortAnswer,8,5.0,0.625
474,TrueFalse,15,7.0,0.467
475,MCQ,35,5.0,0.143
475,ShortAnswer,8,2.0,0.25
475,TrueFalse,7,3.0,0.429
477,MCQ,41,6.0,0.146
477,ShortAnswer,8,5.0,0.625
477,TrueFalse,8,4.0,0.5
479,MCQ,18,1.0,0.056
479,ShortAnswer,4,3.0,0.75
479,TrueFalse,5,4.0,0.8
481,MCQ,27,7.0,0.259
481,ShortAnswer,8,0.0,0.0
481,TrueFalse,7,5.0,0.714
482,MCQ,24,6.0,0.25
482,ShortAnswer,12,4.0,0.333
482,TrueFalse,9,6.0,0.667
487,MCQ,37,10.0,0.27
487,ShortAnswer,13,8.0,0.615
487,TrueFalse,13,5.0,0.385
491,MCQ,3,0.0,0.0
491,ShortAnswer,6,2.0,0.333
491,TrueFalse,6,4.0,0.667
504,MCQ,20,7.0,0.35
504,ShortAnswer,2,0.0,0.0
504,TrueFalse,6,4.0,0.667
506,MCQ,61,15.0,0.246
506,ShortAnswer,11,9.0,0.818
506,TrueFalse,12,7.0,0.583
507,MCQ,48,12.0,0.25
507,ShortAnswer,13,7.0,0.538
507,TrueFalse,14,8.0,0.571
508,MCQ,40,9.0,0.225
508,ShortAnswer,9,5.0,0.556
508,TrueFalse,6,2.0,0.333
518,MCQ,54,12.0,0.222
518,ShortAnswer,8,6.0,0.75
518,TrueFalse,17,7.0,0.412
519,MCQ,36,8.0,0.222
519,ShortAnswer,11,4.0,0.364
519,TrueFalse,16,10.0,0.625
523,MCQ,61,14.0,0.23
523,ShortAnswer,16,10.0,0.625
523,TrueFalse,13,6.0,0.462
528,MCQ,23,5.0,0.217
528,ShortAnswer,4,2.0,0.5
528,TrueFalse,8,6.0,0.75
529,MCQ,26,4.0,0.154
529,ShortAnswer,7,5.0,0.714
529,TrueFalse,3,1.0,0.333
530,MCQ,3,2.0,0.667
530,TrueFalse,1,0.0,0.0
535,MCQ,8,2.0,0.25
535,ShortAnswer,1,0.0,0.0
535,TrueFalse,3,2.0,0.667
540,MCQ,27,4.0,0.148
540,ShortAnswer,8,5.0,0.625
540,TrueFalse,15,9.0,0.6
541,MCQ,42,13.0,0.31
541,ShortAnswer,9,5.0,0.556
541,TrueFalse,24,9.0,0.375
546,MCQ,49,11.0,0.224
546,ShortAnswer,12,7.0,0.583
546,TrueFalse,13,4.0,0.308
553,MCQ,9,1.0,0.111
553,ShortAnswer,2,1.0,0.5
553,TrueFalse,12,6.0,0.5
561,MCQ,39,8.0,0.205
561,ShortAnswer,10,6.0,0.6
561,TrueFalse,19,11.0,0.579
564,MCQ,33,8.0,0.242
564,ShortAnswer,5,1.0,0.2
564,TrueFalse,3,2.0,0.667
566,MCQ,31,6.0,0.194
566,ShortAnswer,12,3.0,0.25
566,TrueFalse,18,9.0,0.5
571,MCQ,31,6.0,0.194
571,ShortAnswer,14,9.0,0.643
571,TrueFalse,11,5.0,0.455
572,MCQ,43,10.0,0.233
572,ShortAnswer,15,8.0,0.533
572,TrueFalse,13,5.0,0.385
573,MCQ,28,8.0,0.286
573,ShortAnswer,6,2.0,0.333
573,TrueFalse,15,10.0,0.667
576,MCQ,2,1.0,0.5
576,ShortAnswer,2,1.0,0.5
576,TrueFalse,1,0.0,0.0
580,MCQ,72,22.0,0.306
580,ShortAnswer,17,9.0,0.529
580,TrueFalse,15,6.0,0.4
582,MCQ,4,1.0,0.25
586,MCQ,8,2.0,0.25
586,ShortAnswer,1,0.0,0.0
586,TrueFalse,2,0.0,0.0
591,MCQ,34,13.0,0.382
591,ShortAnswer,1,1.0,1.0
591,TrueFalse,14,6.0,0.429
599,MCQ,5,2.0,0.4
599,ShortAnswer,1,1.0,1.0
599,TrueFalse,1,0.0,0.0
600,MCQ,19,8.0,0.421
600,ShortAnswer,6,3.0,0.5
600,TrueFalse,6,3.0,0.5
601,MCQ,47,11.0,0.234
601,ShortAnswer,7,1.0,0.143
601,TrueFalse,7,4.0,0.571
605,MCQ,14,2.0,0.143
605,ShortAnswer,4,1.0,0.25
605,TrueFalse,4,1.0,0.25
609,MCQ,18,6.0,0.333
609,ShortAnswer,7,4.0,0.571
609,TrueFalse,8,4.0,0.5
610,MCQ,2,0.0,0.0
610,TrueFalse,2,1.0,0.5
614,MCQ,25,5.0,0.2
614,ShortAnswer,6,6.0,1.0
614,TrueFalse,10,5.0,0.5
625,MCQ,15,4.0,0.267
625,ShortAnswer,10,4.0,0.4
625,TrueFalse,8,3.0,0.375
627,MCQ,36,9.0,0.25
627,ShortAnswer,8,2.0,0.25
627,TrueFalse,11,6.0,0.545
631,MCQ,73,17.0,0.233
631,ShortAnswer,19,7.0,0.368
631,TrueFalse,11,7.0,0.636
632,MCQ,31,7.0,0.226
632,ShortAnswer,6,2.0,0.333
632,TrueFalse,10,4.0,0.4
634,MCQ,27,11.0,0.407
634,ShortAnswer,9,5.0,0.556
634,TrueFalse,7,6.0,0.857
636,MCQ,36,12.0,0.333
636,ShortAnswer,12,7.0,0.583
636,TrueFalse,7,1.0,0.143
637,MCQ,63,18.0,0.286
637,ShortAnswer,12,3.0,0.25
637,TrueFalse,17,10.0,0.588
638,MCQ,80,16.0,0.2
638,ShortAnswer,13,10.0,0.769
638,TrueFalse,25,11.0,0.44
640,MCQ,33,8.0,0.242
640,ShortAnswer,9,5.0,0.556
640,TrueFalse,13,4.0,0.308
641,MCQ,76,20.0,0.263
641,ShortAnswer,24,9.0,0.375
641,TrueFalse,24,11.0,0.458
645,MCQ,12,3.0,0.25
645,ShortAnswer,8,1.0,0.125
645,TrueFalse,6,5.0,0.833
646,MCQ,7,2.0,0.286
646,TrueFalse,3,1.0,0.333
648,MCQ,18,1.0,0.056
648,ShortAnswer,4,2.0,0.5
648,TrueFalse,2,1.0,0.5
651,MCQ,48,13.0,0.271
651,ShortAnswer,12,4.0,0.333
651,TrueFalse,14,9.0,0.643
662,MCQ,10,1.0,0.1
662,ShortAnswer,3,0.0,0.0
662,TrueFalse,4,3.0,0.75
664,MCQ,50,10.0,0.2
664,ShortAnswer,15,5.0,0.333
664,TrueFalse,4,3.0,0.75
665,MCQ,68,13.0,0.191
665,ShortAnswer,13,9.0,0.692
665,TrueFalse,18,15.0,0.833
666,MCQ,27,4.0,0.148
666,ShortAnswer,7,4.0,0.571
666,TrueFalse,21,5.0,0.238
670,MCQ,22,7.0,0.318
670,ShortAnswer,3,1.0,0.333
670,TrueFalse,3,3.0,1.0
671,MCQ,51,18.0,0.353
671,ShortAnswer,18,8.0,0.444
671,TrueFalse,17,7.0,0.412
673,MCQ,20,4.0,0.2
673,ShortAnswer,4,2.0,0.5
673,TrueFalse,6,0.0,0.0
677,MCQ,47,9.0,0.191
677,ShortAnswer,13,5.0,0.385
677,TrueFalse,14,7.0,0.5
689,MCQ,65,14.0,0.215
689,ShortAnswer,16,9.0,0.562
689,TrueFalse,4,2.0,0.5
691,MCQ,51,18.0,0.353
691,ShortAnswer,13,8.0,0.615
691,TrueFalse,14,5.0,0.357
698,MCQ,16,2.0,0.125
698,ShortAnswer,7,4.0,0.571
698,TrueFalse,3,1.0,0.333
702,MCQ,14,3.0,0.214
702,ShortAnswer,7,3.0,0.429
702,TrueFalse,7,4.0,0.571
703,MCQ,20,5.0,0.25
703,ShortAnswer,6,3.0,0.5
703,TrueFalse,2,0.0,0.0
711,MCQ,63,12.0,0.19
711,ShortAnswer,13,8.0,0.615
711,TrueFalse,9,5.0,0.556
712,MCQ,77,20.0,0.26
712,ShortAnswer,13,6.0,0.462
712,TrueFalse,16,11.0,0.688
717,MCQ,13,3.0,0.231
717,ShortAnswer,6,2.0,0.333
717,TrueFalse,4,0.0,0.0
719,MCQ,20,4.0,0.2
719,ShortAnswer,4,2.0,0.5
719,TrueFalse,7,1.0,0.143
726,MCQ,18,1.0,0.056
726,ShortAnswer,4,1.0,0.25
726,TrueFalse,9,5.0,0.556
730,MCQ,86,17.0,0.198
730,ShortAnswer,30,17.0,0.567
730,TrueFalse,29,14.0,0.483
732,MCQ,17,7.0,0.412
732,ShortAnswer,2,1.0,0.5
732,TrueFalse,5,3.0,0.6
742,MCQ,13,4.0,0.308
742,ShortAnswer,2,2.0,1.0
742,TrueFalse,5,3.0,0.6
744,MCQ,48,10.0,0.208
744,ShortAnswer,20,12.0,0.6
744,TrueFalse,21,12.0,0.571
750,MCQ,22,3.0,0.136
750,ShortAnswer,9,5.0,0.556
750,TrueFalse,11,5.0,0.455
751,TrueFalse,3,1.0,0.333
755,MCQ,49,6.0,0.122
755,TrueFalse,13,9.0,0.692
756,MCQ,46,11.0,0.239
756,ShortAnswer,7,2.0,0.286
756,TrueFalse,16,9.0,0.562
757,MCQ,41,8.0,0.195
757,ShortAnswer,7,7.0,1.0
757,TrueFalse,10,6.0,0.6
758,MCQ,44,14.0,0.318
758,ShortAnswer,15,6.0,0.4
758,TrueFalse,18,9.0,0.5
760,MCQ,9,2.0,0.222
760,TrueFalse,2,1.0,0.5
763,MCQ,41,6.0,0.146
763,ShortAnswer,4,1.0,0.25
763,TrueFalse,6,2.0,0.333
767,MCQ,16,4.0,0.25
767,ShortAnswer,6,3.0,0.5
767,TrueFalse,6,4.0,0.667
769,MCQ,2,1.0,0.5
769,ShortAnswer,1,0.0,0.0
769,TrueFalse,4,1.0,0.25
772,MCQ,8,4.0,0.5
772,ShortAnswer,3,2.0,0.667
772,TrueFalse,4,2.0,0.5
776,MCQ,20,4.0,0.2
776,ShortAnswer,7,6.0,0.857
776,TrueFalse,5,0.0,0.0
778,MCQ,24,8.0,0.333
778,ShortAnswer,9,5.0,0.556
778,TrueFalse,9,5.0,0.556
779,MCQ,52,14.0,0.269
779,ShortAnswer,8,6.0,0.75
779,TrueFalse,24,15.0,0.625
780,MCQ,15,7.0,0.467
780,ShortAnswer,3,2.0,0.667
780,TrueFalse,2,2.0,1.0
785,MCQ,44,10.0,0.227
785,ShortAnswer,6,3.0,0.5
785,TrueFalse,23,12.0,0.522
788,MCQ,27,8.0,0.296
788,ShortAnswer,8,4.0,0.5
788,TrueFalse,5,1.0,0.2
792,MCQ,7,3.0,0.429
793,MCQ,46,10.0,0.217
793,ShortAnswer,10,1.0,0.1
793,TrueFalse,7,4.0,0.571
796,MCQ,28,7.0,0.25
796,ShortAnswer,6,2.0,0.333
796,TrueFalse,7,4.0,0.571
800,MCQ,40,12.0,0.3
800,ShortAnswer,7,3.0,0.429
800,TrueFalse,6,4.0,0.667
804,MCQ,5,0.0,0.0
804,ShortAnswer,3,1.0,0.333
804,TrueFalse,1,0.0,0.0
805,MCQ,52,11.0,0.212
805,ShortAnswer,17,10.0,0.588
805,TrueFalse,11,4.0,0.364
806,MCQ,54,22.0,0.407
806,ShortAnswer,6,5.0,0.833
806,TrueFalse,18,5.0,0.278
809,MCQ,55,13.0,0.236
809,ShortAnswer,13,6.0,0.462
809,TrueFalse,18,7.0,0.389
812,MCQ,27,6.0,0.222
812,ShortAnswer,3,2.0,0.667
812,TrueFalse,9,6.0,0.667
813,MCQ,37,8.0,0.216
813,ShortAnswer,9,5.0,0.556
813,TrueFalse,24,13.0,0.542
816,MCQ,36,10.0,0.278
816,ShortAnswer,9,4.0,0.444
816,TrueFalse,23,13.0,0.565
822,MCQ,18,3.0,0.167
822,ShortAnswer,2,2.0,1.0
822,TrueFalse,2,1.0,0.5
826,MCQ,94,25.0,0.266
826,ShortAnswer,9,3.0,0.333
826,TrueFalse,21,13.0,0.619
830,MCQ,29,7.0,0.241
830,ShortAnswer,4,2.0,0.5
830,TrueFalse,10,7.0,0.7
834,MCQ,34,10.0,0.294
834,ShortAnswer,1,0.0,0.0
834,TrueFalse,7,2.0,0.286
837,MCQ,50,8.0,0.16
837,ShortAnswer,20,10.0,0.5
837,TrueFalse,16,11.0,0.688
838,MCQ,23,7.0,0.304
838,ShortAnswer,2,1.0,0.5
