StudentId,Segment
1503,Passive Learner
274,Passive Learner
3682,Passive Learner
4097,Passive Learner
2522,Passive Learner
367,Passive Learner
1972,Passive Learner
4407,Passive Learner
2101,Passive Learner
4615,Passive Learner
4671,Passive Learner
2688,Passive Learner
3672,Passive Learner
1520,Passive Learner
1067,Passive Learner
3762,Passive Learner
3498,Passive Learner
588,Passive Learner
4248,Passive Learner
2230,Passive Learner
1185,Passive Learner
4733,Passive Learner
2894,Passive Learner
2266,Passive Learner
2288,Passive Learner
3708,Passive Learner
4456,Passive Learner
4971,High Achiever
2226,Passive Learner
2660,Passive Learner
3793,Passive Learner
4869,Passive Learner
3800,Passive Learner
968,Passive Learner
2973,Passive Learner
1096,Passive Learner
1826,Passive Learner
2436,Passive Learner
862,Passive Learner
4700,Passive Learner
1698,Passive Learner
1967,Passive Learner
1078,Passive Learner
3730,Passive Learner
2390,Passive Learner
2538,Passive Learner
4429,Passive Learner
3577,Passive Learner
3189,Passive Learner
1570,Passive Learner
4973,Passive Learner
117,Passive Learner
494,Passive Learner
3779,Average Learner
4064,Passive Learner
1823,Passive Learner
1905,Passive Learner
255,Passive Learner
818,Passive Learner
2362,Passive Learner
3437,Passive Learner
3184,Passive Learner
1478,Passive Learner
4325,Passive Learner
724,Passive Learner
2228,Passive Learner
706,Passive Learner
536,Passive Learner
1708,Passive Learner
702,Passive Learner
3644,Passive Learner
4644,Passive Learner
4128,Passive Learner
3433,Passive Learner
520,Passive Learner
175,Passive Learner
4085,Passive Learner
3569,Passive Learner
4318,Passive Learner
4622,Passive Learner
4576,Passive Learner
2198,Passive Learner
3652,Passive Learner
3898,Passive Learner
1511,Passive Learner
3702,Passive Learner
826,Passive Learner
3028,Passive Learner
2078,Passive Learner
1416,Average Learner
495,Passive Learner
4336,Passive Learner
1863,Passive Learner
2715,Passive Learner
3809,Passive Learner
1787,Average Learner
285,Passive Learner
4675,Passive Learner
2110,Passive Learner
4745,Average Learner
3134,Passive Learner
2257,Passive Learner
3284,Average Learner
1446,Passive Learner
2,At Risk
3525,Passive Learner
4537,Passive Learner
2391,Average Learner
1380,Average Learner
4481,Passive Learner
3496,Passive Learner
4158,Average Learner
2644,Passive Learner
1636,Passive Learner
2656,Passive Learner
546,Passive Learner
415,Passive Learner
920,Passive Learner
1525,Passive Learner
3431,Average Learner
2255,Passive Learner
254,Passive Learner
219,Passive Learner
3021,Passive Learner
347,Passive Learner
3663,Passive Learner
3902,Passive Learner
1864,Passive Learner
3846,Passive Learner
4589,Passive Learner
273,Passive Learner
231,Passive Learner
4245,Passive Learner
1230,Passive Learner
3769,Passive Learner
1821,Passive Learner
897,Passive Learner
197,Passive Learner
129,Passive Learner
1881,Passive Learner
3803,Passive Learner
3137,Passive Learner
3731,Passive Learner
4647,Passive Learner
1151,Passive Learner
1100,Passive Learner
3147,Passive Learner
4846,Passive Learner
1653,Passive Learner
2647,Passive Learner
2624,Passive Learner
675,Passive Learner
2302,Passive Learner
801,Passive Learner
435,Average Learner
18,Passive Learner
4057,Passive Learner
1991,Passive Learner
1997,Passive Learner
2994,Passive Learner
4560,Passive Learner
2610,Passive Learner
1999,Passive Learner
4261,Average Learner
509,Passive Learner
3002,Passive Learner
3571,Passive Learner
2563,Passive Learner
778,Passive Learner
802,Passive Learner
1915,Passive Learner
4899,Passive Learner
1243,Passive Learner
3574,Passive Learner
2503,Passive Learner
1937,Passive Learner
4529,Passive Learner
4196,Passive Learner
31,Passive Learner
541,Average Learner
2384,Passive Learner
3170,Average Learner
4094,Passive Learner
2849,Passive Learner
2181,Passive Learner
1056,Passive Learner
1985,Passive Learner
4505,Passive Learner
4937,Passive Learner
1541,Passive Learner
4476,Passive Learner
768,Passive Learner
3949,Average Learner
3507,Passive Learner
3446,Passive Learner
4093,Passive Learner
745,Passive Learner
3072,Passive Learner
2491,Passive Learner
2008,Passive Learner
1048,Passive Learner
1594,Passive Learner
2564,Passive Learner
2118,Passive Learner
4223,Passive Learner
339,Passive Learner
3392,Passive Learner
4654,Passive Learner
1729,Passive Learner
3201,Passive Learner
3448,Average Learner
2988,Passive Learner
1669,Passive Learner
3258,Passive Learner
406,Passive Learner
648,Passive Learner
4994,Passive Learner
4246,Passive Learner
4635,Passive Learner
4843,Average Learner
3311,Passive Learner
4274,Passive Learner
4312,Passive Learner
4928,Passive Learner
3450,Passive Learner
3976,Passive Learner
3836,Passive Learner
4347,Passive Learner
4185,Passive Learner
4570,Passive Learner
2888,Passive Learner
3603,Passive Learner
4139,Passive Learner
85,Passive Learner
670,Average Learner
2031,Passive Learner
4769,Passive Learner
896,Passive Learner
1944,Passive Learner
2034,Passive Learner
699,Passive Learner
2856,Passive Learner
4352,Passive Learner
737,Passive Learner
2918,Passive Learner
3890,Passive Learner
178,Passive Learner
3091,Passive Learner
2733,Passive Learner
2963,Passive Learner
3707,Passive Learner
4816,Passive Learner
1123,Passive Learner
105,Passive Learner
690,Passive Learner
1848,Passive Learner
4707,Average Learner
1712,Passive Learner
3676,Passive Learner
2006,Passive Learner
3562,Passive Learner
1377,Passive Learner
4471,Passive Learner
2680,Passive Learner
2901,Passive Learner
4668,Passive Learner
3459,Passive Learner
4826,Average Learner
4042,Passive Learner
2652,Passive Learner
2375,Passive Learner
99,Passive Learner
3868,Passive Learner
333,Average Learner
3990,Passive Learner
3954,Passive Learner
2108,Passive Learner
1941,Passive Learner
5000,Passive Learner
3156,Passive Learner
1199,Passive Learner
1443,Passive Learner
3274,Passive Learner
2321,Passive Learner
2209,Average Learner
337,Passive Learner
4583,Passive Learner
1462,Passive Learner
4005,Passive Learner
2741,Passive Learner
2539,Passive Learner
2648,Passive Learner
3830,Passive Learner
712,Passive Learner
2171,Passive Learner
1812,Passive Learner
3146,Average Learner
1310,Passive Learner
4813,Passive Learner
2363,Passive Learner
4379,Passive Learner
2740,Average Learner
1038,Passive Learner
4390,Passive Learner
4721,Passive Learner
3654,Passive Learner
2905,Average Learner
483,Passive Learner
3939,Passive Learner
4796,Passive Learner
3025,Passive Learner
411,Passive Learner
907,Passive Learner
28,Passive Learner
1741,Passive Learner
1405,Passive Learner
1644,Passive Learner
4951,Passive Learner
391,Passive Learner
2425,Passive Learner
2060,Passive Learner
3449,Passive Learner
96,Passive Learner
549,Passive Learner
1003,Passive Learner
1664,Passive Learner
3307,Passive Learner
1122,Passive Learner
4199,Passive Learner
2068,Average Learner
1356,Passive Learner
909,Passive Learner
3524,Passive Learner
2583,Passive Learner
2877,Passive Learner
4295,Passive Learner
2392,Passive Learner
4773,Passive Learner
3638,Passive Learner
4047,Passive Learner
3100,Passive Learner
2846,Average Learner
1040,Passive Learner
4207,Average Learner
3833,Passive Learner
2575,Passive Learner
4232,Passive Learner
654,Passive Learner
1595,Passive Learner
4987,Passive Learner
3617,Passive Learner
2189,Passive Learner
4160,Passive Learner
2024,Passive Learner
272,Passive Learner
2708,Passive Learner
3429,Passive Learner
1296,Passive Learner
2423,Passive Learner
2365,Passive Learner
4775,Passive Learner
2486,Passive Learner
3346,Passive Learner
306,Passive Learner
2714,Passive Learner
3309,Passive Learner
1845,Passive Learner
2814,Passive Learner
4662,Passive Learner
4547,Passive Learner
1537,Passive Learner
4681,Passive Learner
4181,Passive Learner
3579,Passive Learner
763,Passive Learner
1547,Passive Learner
1996,Passive Learner
644,Passive Learner
965,Passive Learner
2870,Passive Learner
4121,Passive Learner
994,Passive Learner
3036,Passive Learner
3014,Passive Learner
4075,Passive Learner
128,Passive Learner
2281,Passive Learner
2845,Passive Learner
2264,Average Learner
4540,Passive Learner
867,Passive Learner
1214,Passive Learner
3300,Passive Learner
62,Passive Learner
1372,Passive Learner
1497,Passive Learner
2276,Passive Learner
1160,Passive Learner
3837,Passive Learner
642,Passive Learner
3454,Passive Learner
2970,Passive Learner
2447,Passive Learner
2837,Passive Learner
1184,Passive Learner
4028,Passive Learner
2258,Passive Learner
853,Passive Learner
3863,Average Learner
4913,Passive Learner
543,Passive Learner
4926,Passive Learner
2675,Passive Learner
57,Passive Learner
4073,Passive Learner
845,Passive Learner
3969,Passive Learner
4776,Passive Learner
1502,Passive Learner
1224,Passive Learner
742,Average Learner
176,Passive Learner
781,Passive Learner
530,Passive Learner
1550,Passive Learner
2254,Average Learner
1137,Passive Learner
1397,Passive Learner
3191,Passive Learner
1583,Passive Learner
3119,Passive Learner
4253,Passive Learner
534,Passive Learner
1476,Passive Learner
3187,Passive Learner
4847,Passive Learner
1648,Passive Learner
3801,Passive Learner
4140,Passive Learner
2282,Passive Learner
2398,Passive Learner
318,Passive Learner
838,Passive Learner
3488,Passive Learner
4354,Passive Learner
3716,Passive Learner
1734,Passive Learner
1240,Passive Learner
1617,Passive Learner
3782,Average Learner
4198,Average Learner
3203,Passive Learner
4341,Passive Learner
3851,Passive Learner
4525,Passive Learner
2611,Passive Learner
2018,Average Learner
3096,Passive Learner
2125,Passive Learner
2693,Passive Learner
861,Passive Learner
205,Passive Learner
366,Passive Learner
3355,Passive Learner
4656,Passive Learner
2311,Passive Learner
664,Passive Learner
3414,Average Learner
872,Passive Learner
3811,Average Learner
4370,Passive Learner
753,Passive Learner
2216,Passive Learner
3149,Passive Learner
3008,Passive Learner
1128,Passive Learner
629,Passive Learner
2256,Passive Learner
517,Passive Learner
145,Passive Learner
2474,Passive Learner
4110,Passive Learner
2674,Passive Learner
4765,Passive Learner
754,Passive Learner
866,Passive Learner
1365,Passive Learner
3835,Passive Learner
4143,Passive Learner
287,Passive Learner
794,Passive Learner
3876,Passive Learner
397,Passive Learner
1689,Passive Learner
4917,Passive Learner
4600,Passive Learner
3998,Passive Learner
3352,Passive Learner
3047,Passive Learner
1448,Passive Learner
820,Passive Learner
4660,Average Learner
4132,Passive Learner
2866,Passive Learner
1988,Passive Learner
4403,Passive Learner
475,Passive Learner
2442,Passive Learner
358,Passive Learner
1799,Passive Learner
2041,Average Learner
3345,Passive Learner
889,Passive Learner
2841,Passive Learner
3090,Average Learner
1317,Passive Learner
1779,Passive Learner
4417,Passive Learner
1657,Passive Learner
952,Passive Learner
1681,Passive Learner
3059,Passive Learner
1348,Passive Learner
2214,Passive Learner
508,Passive Learner
3084,Passive Learner
1337,Passive Learner
482,Passive Learner
1757,Passive Learner
3252,Passive Learner
4159,Passive Learner
4377,Passive Learner
2833,Passive Learner
3348,Passive Learner
3660,Passive Learner
3408,Passive Learner
199,Average Learner
1301,Passive Learner
3244,Passive Learner
1396,Passive Learner
816,Passive Learner
631,Passive Learner
3511,Passive Learner
1,Average Learner
3514,Passive Learner
1392,Passive Learner
3729,Passive Learner
4737,Passive Learner
3379,Passive Learner
1736,Passive Learner
468,Passive Learner
3988,Passive Learner
65,Passive Learner
1808,Passive Learner
10,Passive Learner
439,Passive Learner
4078,Passive Learner
4462,Passive Learner
136,Passive Learner
3979,Passive Learner
2720,Average Learner
2804,Passive Learner
947,Passive Learner
4144,Passive Learner
209,Passive Learner
2046,Passive Learner
1079,Average Learner
2862,Passive Learner
3541,Passive Learner
2297,Passive Learner
484,Passive Learner
4423,Passive Learner
1323,Passive Learner
3618,Passive Learner
2040,Passive Learner
1481,Passive Learner
3503,Passive Learner
1406,Passive Learner
4663,Passive Learner
842,Passive Learner
1196,Passive Learner
1507,Passive Learner
514,Passive Learner
1704,Passive Learner
3013,Passive Learner
3267,Passive Learner
1208,Passive Learner
832,Passive Learner
1963,Passive Learner
410,Passive Learner
2939,Passive Learner
4369,Passive Learner
4877,Passive Learner
1719,Passive Learner
1927,Passive Learner
2549,Passive Learner
3331,Passive Learner
1825,Passive Learner
2106,Passive Learner
3334,Passive Learner
987,Passive Learner
2829,Passive Learner
3925,Passive Learner
1788,Passive Learner
2653,High Achiever
653,Passive Learner
1198,Passive Learner
1118,Passive Learner
4197,Passive Learner
1106,Passive Learner
590,Passive Learner
1373,Passive Learner
1590,Passive Learner
4539,Passive Learner
414,Passive Learner
2422,Passive Learner
2427,Passive Learner
1849,Passive Learner
2359,Passive Learner
937,Average Learner
2812,Passive Learner
4104,Passive Learner
2428,Passive Learner
1580,Passive Learner
1340,Passive Learner
3778,Passive Learner
4889,Passive Learner
4408,Passive Learner
2144,Passive Learner
755,Passive Learner
1264,Average Learner
4319,Passive Learner
1474,Passive Learner
554,Passive Learner
3567,Passive Learner
1322,Passive Learner
4314,Passive Learner
198,Passive Learner
1074,Passive Learner
788,Passive Learner
4975,Passive Learner
4572,Passive Learner
3666,Passive Learner
3602,Passive Learner
3886,Passive Learner
2396,Passive Learner
3375,Passive Learner
3841,Average Learner
3651,Passive Learner
1538,Passive Learner
733,Passive Learner
1900,Passive Learner
3017,Passive Learner
3816,Passive Learner
4606,Passive Learner
3670,Passive Learner
4512,Passive Learner
3931,Passive Learner
2431,Passive Learner
596,Passive Learner
1138,Passive Learner
2751,Passive Learner
3520,Passive Learner
4021,Passive Learner
3812,Passive Learner
4819,Passive Learner
93,Passive Learner
2895,Average Learner
4728,Passive Learner
1800,Passive Learner
4322,Passive Learner
1792,Passive Learner
704,Passive Learner
4932,Passive Learner
2761,Passive Learner
1887,Passive Learner
4092,Passive Learner
1753,Passive Learner
437,Passive Learner
4993,Passive Learner
2393,Passive Learner
3699,Passive Learner
3767,Passive Learner
2187,Passive Learner
1463,Passive Learner
3701,Passive Learner
3935,Passive Learner
1093,Passive Learner
3231,Passive Learner
4797,Passive Learner
3889,Passive Learner
2323,Passive Learner
327,Passive Learner
2559,Passive Learner
879,Passive Learner
3302,Passive Learner
2468,Passive Learner
3101,Passive Learner
1531,Passive Learner
751,Passive Learner
3335,Passive Learner
2182,Passive Learner
3806,Passive Learner
3630,Passive Learner
2370,Passive Learner
1119,Passive Learner
3534,Passive Learner
2368,Passive Learner
2928,Passive Learner
1822,Passive Learner
4739,Passive Learner
4567,Passive Learner
3776,Passive Learner
2346,Passive Learner
3240,Passive Learner
4084,Passive Learner
3864,Passive Learner
3581,Passive Learner
4372,Passive Learner
2480,Passive Learner
425,Passive Learner
877,Passive Learner
2511,Passive Learner
1922,Passive Learner
2404,Passive Learner
4554,Passive Learner
3388,Passive Learner
957,Passive Learner
2444,Passive Learner
2111,Passive Learner
365,Passive Learner
2525,Passive Learner
1561,Passive Learner
3128,Passive Learner
2602,Passive Learner
586,Passive Learner
8,At Risk
252,Passive Learner
1624,Passive Learner
460,Passive Learner
1983,Passive Learner
1114,Passive Learner
452,Passive Learner
2313,Passive Learner
2325,Passive Learner
4125,Passive Learner
1970,Passive Learner
1051,Passive Learner
2492,Passive Learner
502,Passive Learner
3978,Passive Learner
2824,Passive Learner
880,Average Learner
4790,Passive Learner
2127,Passive Learner
3792,Passive Learner
2943,Passive Learner
741,Passive Learner
2789,Passive Learner
2922,Passive Learner
3689,Passive Learner
1248,Passive Learner
4213,Passive Learner
2929,Passive Learner
805,Passive Learner
3834,Average Learner
392,Passive Learner
1347,Passive Learner
1041,Passive Learner
3227,Passive Learner
2630,Passive Learner
3474,Passive Learner
3694,Passive Learner
2983,Passive Learner
3634,Passive Learner
3220,Passive Learner
1592,Average Learner
3764,Passive Learner
442,Passive Learner
3911,Passive Learner
4740,Passive Learner
1932,Passive Learner
1423,Passive Learner
3224,Passive Learner
4628,Passive Learner
4397,Passive Learner
4883,Passive Learner
4999,Passive Learner
3995,Passive Learner
4714,Passive Learner
427,Passive Learner
3007,Passive Learner
2322,Passive Learner
2039,Passive Learner
905,Passive Learner
2196,Passive Learner
2904,Passive Learner
4677,Passive Learner
4393,Passive Learner
3268,Passive Learner
3032,Passive Learner
1674,Passive Learner
3684,Passive Learner
4878,Passive Learner
1517,Passive Learner
3481,Average Learner
1011,Passive Learner
267,Passive Learner
2208,Passive Learner
4723,Passive Learner
4565,Passive Learner
1306,Passive Learner
1659,Passive Learner
2063,Passive Learner
4114,Passive Learner
3409,Passive Learner
3516,Passive Learner
618,Passive Learner
3010,Passive Learner
3478,Passive Learner
3341,Passive Learner
4284,Passive Learner
2826,Passive Learner
935,Passive Learner
2343,Passive Learner
2605,Passive Learner
3909,Passive Learner
4328,Passive Learner
2596,Passive Learner
1844,Passive Learner
3037,Passive Learner
2419,Passive Learner
857,Passive Learner
4007,Passive Learner
1518,Passive Learner
59,Passive Learner
2972,Passive Learner
1641,Passive Learner
4944,Passive Learner
4291,Passive Learner
2358,Passive Learner
3380,Passive Learner
352,Passive Learner
3016,Passive Learner
1493,Average Learner
4832,Passive Learner
4228,Passive Learner
2902,Passive Learner
49,Passive Learner
2792,Passive Learner
2747,Passive Learner
3547,Passive Learner
1311,Passive Learner
4489,Passive Learner
3467,Passive Learner
2910,Passive Learner
3425,Passive Learner
4464,Passive Learner
1327,Passive Learner
4071,Passive Learner
4927,Passive Learner
4770,Passive Learner
2296,Passive Learner
1383,Passive Learner
66,Passive Learner
4568,Passive Learner
3715,Passive Learner
1802,Passive Learner
1889,Passive Learner
3497,Passive Learner
765,Passive Learner
4594,Passive Learner
348,Passive Learner
1159,Average Learner
1388,Passive Learner
4034,Passive Learner
1549,Passive Learner
295,Passive Learner
723,Passive Learner
20,Passive Learner
3022,Passive Learner
3148,Passive Learner
1938,Passive Learner
3928,Passive Learner
3787,Passive Learner
3870,Passive Learner
3254,Passive Learner
1626,Passive Learner
4242,Passive Learner
4385,Passive Learner
2064,Passive Learner
3354,Passive Learner
1034,Passive Learner
780,Passive Learner
2026,Passive Learner
1577,Passive Learner
64,Passive Learner
2959,Passive Learner
2458,Passive Learner
2763,Passive Learner
2473,Passive Learner
3529,Passive Learner
2885,Passive Learner
715,Passive Learner
1498,Passive Learner
3799,Passive Learner
2825,Passive Learner
4463,Passive Learner
863,Passive Learner
233,Passive Learner
2754,Average Learner
3526,Passive Learner
3005,Passive Learner
2748,Passive Learner
1165,Passive Learner
649,Passive Learner
1431,Passive Learner
1222,Passive Learner
265,Passive Learner
4887,Passive Learner
4882,Passive Learner
229,Passive Learner
493,Passive Learner
1333,Passive Learner
3329,Passive Learner
256,Passive Learner
2048,Passive Learner
1077,Passive Learner
684,Passive Learner
2237,Passive Learner
4533,Passive Learner
3539,Passive Learner
4337,Passive Learner
2815,Average Learner
253,Average Learner
2054,Passive Learner
756,Passive Learner
4942,Passive Learner
2448,Passive Learner
619,Passive Learner
2911,Passive Learner
3712,Passive Learner
2085,Passive Learner
3215,Passive Learner
4156,Passive Learner
1599,Passive Learner
3745,Passive Learner
3641,Passive Learner
1676,Passive Learner
3111,Passive Learner
202,Passive Learner
2717,Passive Learner
4623,Passive Learner
3278,Passive Learner
2058,Passive Learner
1449,Passive Learner
501,Passive Learner
2515,Passive Learner
1329,Passive Learner
4483,Passive Learner
3249,Passive Learner
1121,Passive Learner
4452,Passive Learner
2086,Passive Learner
582,Average Learner
4500,Passive Learner
4112,Passive Learner
1182,Passive Learner
2388,Passive Learner
3504,Passive Learner
2121,Passive Learner
722,Passive Learner
1267,Passive Learner
750,Passive Learner
1945,Passive Learner
1229,Passive Learner
478,Passive Learner
1746,Passive Learner
4702,Passive Learner
3885,Passive Learner
904,Passive Learner
1382,Average Learner
481,Passive Learner
4045,Passive Learner
4582,Passive Learner
3531,Passive Learner
1568,Passive Learner
1831,Passive Learner
1298,Passive Learner
4444,Average Learner
55,Passive Learner
1949,Passive Learner
3181,Passive Learner
2587,Passive Learner
4949,Passive Learner
1339,Average Learner
2710,Passive Learner
4413,Passive Learner
4725,Passive Learner
322,Passive Learner
3887,Passive Learner
3951,Passive Learner
1874,Passive Learner
4479,Passive Learner
4053,Average Learner
888,Passive Learner
1765,High Achiever
3614,Passive Learner
3006,Passive Learner
2298,Passive Learner
4435,Passive Learner
3237,Average Learner
721,Passive Learner
607,Passive Learner
2158,Passive Learner
4151,Passive Learner
2469,Passive Learner
3501,Passive Learner
3225,Passive Learner
3807,Passive Learner
3422,Passive Learner
115,Passive Learner
3509,Passive Learner
2242,Passive Learner
29,Passive Learner
1263,Passive Learner
2857,Passive Learner
1001,Passive Learner
2937,Passive Learner
2037,Passive Learner
3817,Passive Learner
1809,Average Learner
4657,Passive Learner
1047,Passive Learner
4268,Passive Learner
4289,Passive Learner
3061,Passive Learner
3229,Passive Learner
1258,Passive Learner
769,Passive Learner
4310,Passive Learner
4871,Passive Learner
3609,Passive Learner
2051,Passive Learner
4402,Passive Learner
15,Passive Learner
817,Passive Learner
4252,Passive Learner
2438,Passive Learner
423,Passive Learner
3554,Passive Learner
3183,Passive Learner
1544,Passive Learner
4844,Passive Learner
1294,Passive Learner
4766,Passive Learner
3469,Passive Learner
2020,Average Learner
2632,Passive Learner
108,Passive Learner
3819,Passive Learner
3482,Passive Learner
3723,Passive Learner
4865,Passive Learner
1686,Passive Learner
1931,Passive Learner
4688,Passive Learner
2655,Passive Learner
4760,Passive Learner
3122,Average Learner
2951,Passive Learner
3910,Average Learner
3527,Passive Learner
3176,Average Learner
2560,Passive Learner
2997,Passive Learner
3825,Passive Learner
652,Passive Learner
3774,Passive Learner
2001,Passive Learner
4069,Passive Learner
1857,Passive Learner
4281,Passive Learner
4831,Passive Learner
1865,Passive Learner
990,Passive Learner
3129,Passive Learner
1482,Passive Learner
3804,Passive Learner
2076,Passive Learner
2351,Passive Learner
4267,Passive Learner
1828,Passive Learner
3442,Passive Learner
3665,Passive Learner
4018,Passive Learner
3253,Passive Learner
1632,Passive Learner
2452,Passive Learner
97,Passive Learner
944,Passive Learner
1059,Passive Learner
3384,Passive Learner
3591,Passive Learner
851,Passive Learner
1693,Passive Learner
1720,Passive Learner
4164,Passive Learner
3040,Passive Learner
2496,Passive Learner
1408,Passive Learner
3907,Passive Learner
192,Passive Learner
2477,Passive Learner
504,Passive Learner
4422,Passive Learner
2291,Passive Learner
3877,Passive Learner
573,Passive Learner
4373,Passive Learner
2671,Passive Learner
299,Passive Learner
4371,Passive Learner
1379,Passive Learner
4827,Passive Learner
4433,Passive Learner
1467,Passive Learner
2782,Passive Learner
76,Passive Learner
500,Passive Learner
3044,Passive Learner
2670,Passive Learner
3984,Passive Learner
1207,Passive Learner
1245,Passive Learner
3395,Passive Learner
3465,Passive Learner
240,Passive Learner
2597,Passive Learner
2651,Passive Learner
3362,Passive Learner
2259,Passive Learner
4316,Passive Learner
945,Passive Learner
249,Passive Learner
962,Passive Learner
156,Passive Learner
2494,Passive Learner
876,Passive Learner
46,Passive Learner
1560,Passive Learner
1330,Passive Learner
3026,Passive Learner
3095,Passive Learner
499,Passive Learner
2200,Passive Learner
992,Passive Learner
2838,Passive Learner
479,Passive Learner
1286,Passive Learner
3578,Passive Learner
1743,Passive Learner
2222,Passive Learner
3515,Passive Learner
1402,Passive Learner
4089,Passive Learner
3173,Passive Learner
3277,Passive Learner
4910,Passive Learner
2897,Passive Learner
4235,Passive Learner
3262,Passive Learner
2418,Passive Learner
4134,Passive Learner
3142,Passive Learner
4308,Passive Learner
2859,Passive Learner
1002,Passive Learner
3588,Passive Learner
1764,Passive Learner
4123,Passive Learner
3915,Passive Learner
3815,Passive Learner
669,Passive Learner
3740,Passive Learner
2268,Passive Learner
2015,Passive Learner
19,Passive Learner
1806,Passive Learner
2791,Passive Learner
469,Passive Learner
3744,Passive Learner
1070,Passive Learner
364,Passive Learner
4561,Passive Learner
2004,Passive Learner
2618,Passive Learner
4306,Passive Learner
2235,Passive Learner
4280,Passive Learner
4620,Average Learner
279,Passive Learner
1168,Passive Learner
2820,Passive Learner
2011,Passive Learner
4066,Passive Learner
4933,Passive Learner
1798,Passive Learner
2657,Passive Learner
638,Passive Learner
311,Passive Learner
3771,Passive Learner
2932,Passive Learner
2300,Passive Learner
3412,Passive Learner
3645,Passive Learner
3358,Passive Learner
748,Passive Learner
1692,Passive Learner
1195,Passive Learner
4761,Average Learner
2459,Passive Learner
1335,Passive Learner
4888,High Achiever
2191,Passive Learner
3535,Passive Learner
420,Passive Learner
354,Passive Learner
3874,Passive Learner
3288,Passive Learner
2067,Passive Learner
3859,Average Learner
1952,Passive Learner
1288,Passive Learner
1705,Passive Learner
4727,Passive Learner
1768,Passive Learner
3165,Passive Learner
2599,Passive Learner
2516,Passive Learner
4127,Average Learner
809,Passive Learner
3359,Passive Learner
4526,Passive Learner
1879,Passive Learner
4968,High Achiever
3728,Passive Learner
1209,Passive Learner
4296,Average Learner
4428,Passive Learner
4735,Passive Learner
3958,Passive Learner
901,Passive Learner
2023,Passive Learner
2540,Passive Learner
4741,Passive Learner
4037,Passive Learner
3350,Passive Learner
2567,Passive Learner
2218,Passive Learner
659,Passive Learner
4511,Passive Learner
4687,Passive Learner
1615,Passive Learner
4842,Passive Learner
998,Passive Learner
2732,Passive Learner
1607,Passive Learner
1211,Passive Learner
2036,Passive Learner
926,Passive Learner
1231,Passive Learner
2243,Passive Learner
4215,Average Learner
2961,Passive Learner
223,Passive Learner
3906,Passive Learner
1401,Passive Learner
2065,Passive Learner
4430,Average Learner
1571,Passive Learner
3558,Passive Learner
1929,Passive Learner
2260,Passive Learner
930,Passive Learner
191,Passive Learner
3432,Passive Learner
4186,Passive Learner
3844,Passive Learner
2518,Passive Learner
2332,Passive Learner
3416,Passive Learner
4604,Passive Learner
1876,Passive Learner
1355,Passive Learner
2765,Passive Learner
2645,Passive Learner
3758,Passive Learner
3209,Passive Learner
701,Passive Learner
1241,Passive Learner
2968,Passive Learner
2124,Passive Learner
54,Passive Learner
1608,Passive Learner
1364,Passive Learner
3150,Passive Learner
1035,Passive Learner
3098,Passive Learner
4414,Passive Learner
2119,Average Learner
1781,Average Learner
2019,Passive Learner
858,Passive Learner
3680,Passive Learner
1378,Average Learner
835,Passive Learner
4903,Passive Learner
3875,Passive Learner
557,Passive Learner
4061,Passive Learner
1728,Passive Learner
1943,Passive Learner
4062,Passive Learner
1526,Passive Learner
2753,Passive Learner
3092,Passive Learner
1519,Passive Learner
3597,Passive Learner
3848,Passive Learner
1155,Passive Learner
