CourseId,AvgDays,MedianDays,StudentCount,Title
159,56.6,56.5,118,Data Science
143,56.6,57.0,98,Database Systems
17,56.5,53.0,43,Operating Systems
112,56.5,55.0,106,Operating Systems
175,56.5,55.0,87,Discrete Mathematics
31,56.5,50.0,118,Computer Architecture
72,56.4,53.5,143,Artificial Intelligence
53,56.3,58.0,27,Discrete Mathematics
25,56.2,46.5,34,Cloud Computing
46,56.1,60.0,154,Mobile App Development
26,56.1,44.5,22,Mobile App Development
186,56.1,52.0,31,Algorithms
4,55.9,52.5,187,Computer Networks
95,55.9,54.0,41,Software Engineering
142,55.8,53.0,78,Algorithms
157,55.8,40.0,16,Mobile App Development
132,55.7,52.0,64,Mobile App Development
91,55.6,53.5,56,Computer Architecture
47,55.5,53.0,141,Machine Learning
167,55.4,55.0,69,Operating Systems
30,55.4,54.5,141,Machine Learning
80,55.3,57.0,88,Computer Architecture
119,55.2,54.0,109,Cyber Security Fundamentals
138,55.2,55.0,143,Algorithms
193,55.1,57.0,141,Operating Systems
89,55.1,42.5,81,Cyber Security Fundamentals
123,55.1,54.0,78,Cloud Computing
16,55.1,57.0,51,Algorithms
65,55.0,39.0,27,Algorithms
164,54.9,51.0,53,Data Science
19,54.9,50.5,177,Machine Learning
150,54.7,51.5,130,Cyber Security Fundamentals
71,54.7,54.5,28,Algorithms
48,54.6,46.0,23,Data Structures
38,54.4,47.5,85,Database Systems
166,54.4,51.0,50,Discrete Mathematics
128,54.4,47.0,115,Artificial Intelligence
110,54.2,46.0,113,Software Engineering
141,54.1,44.0,31,Computer Networks
139,54.0,44.5,62,Artificial Intelligence
154,54.0,52.0,62,Software Engineering
111,53.8,49.0,82,Cyber Security Fundamentals
98,53.8,53.0,50,Machine Learning
146,53.7,50.0,176,Operating Systems
155,53.7,48.0,185,Data Structures
94,53.6,45.5,28,Data Science
54,53.5,44.0,27,Artificial Intelligence
52,53.3,50.0,100,Operating Systems
109,53.3,62.0,27,Artificial Intelligence
172,53.2,53.0,24,Database Systems
136,53.1,52.0,121,Operating Systems
198,52.9,43.0,26,Machine Learning
197,52.9,55.5,57,Computer Networks
90,52.7,49.0,103,Discrete Mathematics
131,52.7,45.0,82,Machine Learning
18,52.6,54.0,34,Computer Networks
125,52.4,38.0,39,Operating Systems
181,52.3,52.0,196,Operating Systems
61,52.3,50.0,47,Mobile App Development
163,52.2,61.0,25,Data Science
190,52.1,54.5,20,Computer Architecture
74,52.1,50.0,128,Computer Architecture
169,52.0,53.0,100,Cyber Security Fundamentals
151,52.0,47.0,91,Software Engineering
160,51.9,42.0,100,Computer Architecture
120,51.9,45.0,153,Data Science
144,51.9,45.0,119,Software Engineering
102,51.8,48.0,88,Discrete Mathematics
33,51.7,45.0,133,Data Science
122,51.6,45.0,61,Mobile App Development
135,51.6,52.0,59,Data Science
124,51.4,54.0,31,Discrete Mathematics
116,51.4,48.0,119,Data Structures
49,51.3,48.0,29,Data Structures
51,51.3,38.0,52,Discrete Mathematics
114,51.3,46.0,93,Mobile App Development
41,51.0,47.5,111,Database Systems
3,51.0,42.0,29,Data Structures
127,51.0,49.0,61,Computer Architecture
101,50.8,42.0,98,Web Development
85,50.8,47.0,95,Artificial Intelligence
106,50.6,48.0,58,Software Engineering
147,49.9,49.0,57,Data Science
97,49.9,43.5,63,Computer Networks
84,49.6,53.0,54,Database Systems
118,49.2,41.0,100,Computer Networks
11,49.2,44.5,134,Computer Networks
140,49.2,45.5,107,Operating Systems
182,49.0,41.0,25,Data Structures
28,48.9,51.0,84,Mobile App Development
21,48.6,42.5,34,Algorithms
117,48.1,40.0,101,Data Structures
92,47.8,37.0,83,Web Development
37,47.7,38.5,58,Database Systems
88,47.5,31.0,64,Cloud Computing
81,47.3,32.0,86,Artificial Intelligence
189,47.3,33.0,33,Artificial Intelligence
178,46.9,39.0,30,Algorithms
179,46.6,34.0,35,Data Science
