StudentId,EngagementSegment
85,Social Learner
670,Social Learner
2031,Social Learner
4769,Dropout Risk
896,Social Learner
1944,Social Learner
2034,Social Learner
699,Social Learner
2856,Dropout Risk
4352,Dropout Risk
737,Social Learner
2918,Dropout Risk
3890,Dropout Risk
178,Social Learner
3091,Passive Learner
2733,Passive Learner
2963,Dropout Risk
3707,Dropout Risk
4816,Dropout Risk
1123,Social Learner
105,Social Learner
690,Social Learner
1848,Dropout Risk
4707,Passive Learner
1712,Social Learner
3676,Dropout Risk
2006,Social Learner
3562,Passive Learner
1377,Social Learner
4471,Dropout Risk
2680,Passive Learner
2901,Passive Learner
4668,Passive Learner
3459,Dropout Risk
4826,Passive Learner
4042,Dropout Risk
2652,Passive Learner
2375,Passive Learner
99,Social Learner
3868,Dropout Risk
333,Social Learner
3990,Dropout Risk
3954,Dropout Risk
2108,Passive Learner
1941,Social Learner
5000,Passive Learner
3156,Dropout Risk
1199,Passive Learner
1443,Social Learner
3274,Passive Learner
2321,Passive Learner
2209,Passive Learner
337,Social Learner
4583,Dropout Risk
1462,Social Learner
4005,Passive Learner
2741,Dropout Risk
2539,Passive Learner
2648,Dropout Risk
3830,Passive Learner
712,Social Learner
2171,Passive Learner
1812,Social Learner
3146,Passive Learner
1310,Social Learner
4813,Dropout Risk
2363,Dropout Risk
4379,Passive Learner
2740,Passive Learner
1038,Dropout Risk
4390,Dropout Risk
4721,Dropout Risk
3654,Passive Learner
2905,Passive Learner
483,Passive Learner
3939,Passive Learner
4796,Passive Learner
3025,Dropout Risk
411,Social Learner
907,Social Learner
28,Social Learner
1741,Social Learner
1405,Social Learner
1644,Social Learner
4951,Passive Learner
391,Dropout Risk
2425,Dropout Risk
2060,Social Learner
3449,Passive Learner
96,Dropout Risk
549,Social Learner
1003,Social Learner
1664,Passive Learner
3307,Passive Learner
1122,Social Learner
4199,Dropout Risk
2068,Passive Learner
1356,Social Learner
909,Social Learner
3524,Passive Learner
2583,Passive Learner
2877,Dropout Risk
4295,Dropout Risk
2392,Passive Learner
4773,Dropout Risk
3638,Dropout Risk
4047,Dropout Risk
3100,Dropout Risk
2846,Passive Learner
1040,Social Learner
4207,Passive Learner
3833,Passive Learner
2575,Dropout Risk
4232,Dropout Risk
654,Social Learner
1595,Dropout Risk
4987,Dropout Risk
3617,Dropout Risk
2189,Dropout Risk
4160,Dropout Risk
2024,Passive Learner
272,Social Learner
2708,Passive Learner
3429,Dropout Risk
1296,Social Learner
2423,Dropout Risk
2365,Dropout Risk
4775,Dropout Risk
2486,Dropout Risk
3346,Passive Learner
306,Social Learner
2714,Dropout Risk
3309,Dropout Risk
1845,Social Learner
2814,Dropout Risk
4662,Passive Learner
4547,Passive Learner
1537,Social Learner
4681,Dropout Risk
4181,Dropout Risk
3579,Passive Learner
763,Social Learner
1547,Social Learner
1996,Social Learner
644,Dropout Risk
965,Dropout Risk
2870,Dropout Risk
4121,Dropout Risk
994,Social Learner
3036,Passive Learner
3014,Dropout Risk
4075,Dropout Risk
128,Social Learner
2281,Dropout Risk
2845,Dropout Risk
2264,Super Learner
4540,Dropout Risk
867,Social Learner
1214,Social Learner
3300,Dropout Risk
62,Social Learner
1372,Social Learner
1497,Social Learner
2276,Dropout Risk
1160,Social Learner
3837,Dropout Risk
642,Social Learner
3454,Dropout Risk
2970,Dropout Risk
2447,Dropout Risk
2837,Passive Learner
1184,Social Learner
4028,Dropout Risk
2258,Passive Learner
853,Social Learner
3863,Passive Learner
4913,Passive Learner
543,Social Learner
4926,Dropout Risk
2675,Dropout Risk
57,Social Learner
4073,Dropout Risk
845,Social Learner
3969,Dropout Risk
4776,Passive Learner
1502,Social Learner
1224,Social Learner
742,Social Learner
176,Social Learner
781,Passive Learner
530,Social Learner
1550,Passive Learner
2254,Passive Learner
1137,Social Learner
1397,Social Learner
3191,Dropout Risk
1583,Social Learner
3119,Passive Learner
4253,Passive Learner
534,Social Learner
1476,Social Learner
3187,Dropout Risk
4847,Passive Learner
1648,Social Learner
3801,Dropout Risk
4140,Dropout Risk
2282,Dropout Risk
2398,Dropout Risk
318,Social Learner
838,Social Learner
3488,Dropout Risk
4354,Dropout Risk
3716,Dropout Risk
1734,Social Learner
1240,Social Learner
1617,Social Learner
3782,Passive Learner
4198,Passive Learner
3203,Passive Learner
4341,Dropout Risk
3851,Passive Learner
4525,Dropout Risk
2611,Passive Learner
2018,Super Learner
3096,Dropout Risk
2125,Dropout Risk
2693,Dropout Risk
861,Social Learner
205,Social Learner
366,Social Learner
3355,Dropout Risk
4656,Passive Learner
2311,Dropout Risk
664,Social Learner
3414,Passive Learner
872,Social Learner
3811,Passive Learner
4370,Dropout Risk
753,Social Learner
2216,Passive Learner
3149,Dropout Risk
3008,Passive Learner
1128,Social Learner
629,Social Learner
2256,Passive Learner
517,Dropout Risk
145,Social Learner
2474,Dropout Risk
4110,Passive Learner
2674,Passive Learner
4765,Passive Learner
754,Social Learner
866,Social Learner
1365,Social Learner
3835,Dropout Risk
4143,Dropout Risk
287,Social Learner
794,Social Learner
3876,Dropout Risk
397,Social Learner
1689,Social Learner
4917,Dropout Risk
4600,Dropout Risk
3998,Passive Learner
3352,Dropout Risk
3047,Dropout Risk
1448,Social Learner
820,Social Learner
4660,Super Learner
4132,Passive Learner
2866,Dropout Risk
1988,Social Learner
4403,Passive Learner
475,Social Learner
2442,Dropout Risk
358,Social Learner
1799,Social Learner
2041,Social Learner
3345,Dropout Risk
889,Social Learner
2841,Passive Learner
3090,Passive Learner
1317,Social Learner
1779,Social Learner
4417,Dropout Risk
1657,Social Learner
952,Social Learner
1681,Social Learner
3059,Passive Learner
1348,Dropout Risk
2214,Dropout Risk
508,Social Learner
3084,Dropout Risk
1337,Social Learner
482,Social Learner
1757,Dropout Risk
3252,Dropout Risk
4159,Dropout Risk
4377,Dropout Risk
2833,Dropout Risk
3348,Passive Learner
3660,Dropout Risk
3408,Dropout Risk
199,Super Learner
1301,Social Learner
3244,Passive Learner
1396,Social Learner
816,Social Learner
631,Social Learner
3511,Dropout Risk
1,Social Learner
3514,Dropout Risk
1392,Social Learner
3729,Dropout Risk
4737,Passive Learner
3379,Passive Learner
1736,Social Learner
468,Social Learner
3988,Dropout Risk
65,Social Learner
1808,Social Learner
10,Social Learner
439,Social Learner
4078,Dropout Risk
4462,Dropout Risk
136,Social Learner
3979,Dropout Risk
2720,Passive Learner
2804,Passive Learner
947,Social Learner
4144,Dropout Risk
209,Social Learner
2046,Social Learner
1079,Social Learner
2862,Dropout Risk
3541,Passive Learner
2297,Dropout Risk
484,Dropout Risk
4423,Passive Learner
1323,Social Learner
3618,Passive Learner
2040,Social Learner
1481,Social Learner
3503,Dropout Risk
1406,Social Learner
4663,Passive Learner
842,Social Learner
1196,Social Learner
1507,Social Learner
514,Social Learner
1704,Social Learner
3013,Dropout Risk
3267,Dropout Risk
1208,Dropout Risk
832,Social Learner
1963,Social Learner
410,Social Learner
2939,Dropout Risk
4369,Dropout Risk
4877,Passive Learner
1719,Social Learner
1927,Social Learner
2549,Dropout Risk
3331,Dropout Risk
1825,Social Learner
2106,Dropout Risk
3334,Dropout Risk
987,Social Learner
2829,Dropout Risk
3925,Passive Learner
1788,Social Learner
2653,Super Learner
653,Passive Learner
1198,Social Learner
1118,Social Learner
4197,Dropout Risk
1106,Social Learner
590,Social Learner
1373,Social Learner
1590,Passive Learner
4539,Dropout Risk
414,Social Learner
2422,Passive Learner
2427,Passive Learner
1849,Social Learner
2359,Passive Learner
937,Social Learner
2812,Passive Learner
4104,Passive Learner
2428,Dropout Risk
1580,Social Learner
1340,Social Learner
3778,Passive Learner
4889,Passive Learner
4408,Passive Learner
2144,Dropout Risk
755,Social Learner
1264,Social Learner
4319,Dropout Risk
1474,Social Learner
554,Social Learner
3567,Dropout Risk
1322,Social Learner
4314,Dropout Risk
198,Social Learner
1074,Passive Learner
788,Dropout Risk
4975,Dropout Risk
4572,Dropout Risk
3666,Dropout Risk
3602,Passive Learner
3886,Passive Learner
2396,Passive Learner
3375,Passive Learner
3841,Passive Learner
3651,Dropout Risk
1538,Social Learner
733,Social Learner
1900,Social Learner
3017,Passive Learner
3816,Dropout Risk
4606,Passive Learner
3670,Dropout Risk
4512,Passive Learner
3931,Dropout Risk
2431,Dropout Risk
596,Social Learner
1138,Social Learner
2751,Dropout Risk
3520,Dropout Risk
4021,Passive Learner
3812,Passive Learner
4819,Dropout Risk
93,Social Learner
2895,Passive Learner
4728,Passive Learner
1800,Social Learner
4322,Passive Learner
1792,Social Learner
704,Social Learner
4932,Dropout Risk
2761,Dropout Risk
1887,Social Learner
4092,Dropout Risk
1753,Social Learner
437,Social Learner
4993,Dropout Risk
2393,Dropout Risk
3699,Passive Learner
3767,Dropout Risk
2187,Dropout Risk
1463,Social Learner
3701,Dropout Risk
3935,Passive Learner
1093,Social Learner
3231,Dropout Risk
4797,Passive Learner
3889,Dropout Risk
2323,Passive Learner
327,Social Learner
2559,Dropout Risk
879,Social Learner
3302,Dropout Risk
2468,Passive Learner
3101,Passive Learner
1531,Social Learner
751,Dropout Risk
3335,Dropout Risk
2182,Passive Learner
3806,Passive Learner
3630,Dropout Risk
2370,Dropout Risk
1119,Social Learner
3534,Passive Learner
2368,Passive Learner
2928,Dropout Risk
1822,Social Learner
4739,Passive Learner
4567,Passive Learner
3776,Dropout Risk
2346,Dropout Risk
3240,Passive Learner
4084,Dropout Risk
3864,Dropout Risk
3581,Dropout Risk
4372,Dropout Risk
2480,Passive Learner
425,Social Learner
877,Dropout Risk
2511,Dropout Risk
1922,Social Learner
2404,Dropout Risk
4554,Dropout Risk
3388,Dropout Risk
957,Social Learner
2444,Passive Learner
2111,Passive Learner
365,Social Learner
2525,Dropout Risk
1561,Dropout Risk
3128,Passive Learner
2602,Dropout Risk
586,Passive Learner
8,Social Learner
252,Social Learner
1624,Social Learner
460,Social Learner
1983,Passive Learner
1114,Dropout Risk
452,Social Learner
2313,Dropout Risk
2325,Passive Learner
4125,Passive Learner
1970,Social Learner
1051,Social Learner
2492,Dropout Risk
502,Social Learner
3978,Passive Learner
2824,Dropout Risk
880,Social Learner
4790,Dropout Risk
2127,Passive Learner
3792,Dropout Risk
2943,Dropout Risk
741,Social Learner
2789,Dropout Risk
2922,Dropout Risk
3689,Dropout Risk
1248,Social Learner
4213,Dropout Risk
2929,Dropout Risk
805,Social Learner
3834,Passive Learner
392,Social Learner
1347,Social Learner
1041,Social Learner
3227,Dropout Risk
2630,Passive Learner
3474,Dropout Risk
3694,Dropout Risk
2983,Passive Learner
3634,Dropout Risk
3220,Dropout Risk
1592,Super Learner
3764,Passive Learner
442,Social Learner
3911,Dropout Risk
4740,Dropout Risk
1932,Dropout Risk
1423,Social Learner
3224,Dropout Risk
4628,Dropout Risk
4397,Passive Learner
4883,Passive Learner
4999,Dropout Risk
3995,Passive Learner
4714,Dropout Risk
427,Social Learner
3007,Dropout Risk
2322,Dropout Risk
2039,Social Learner
905,Social Learner
2196,Passive Learner
2904,Dropout Risk
4677,Dropout Risk
4393,Passive Learner
3268,Passive Learner
3032,Passive Learner
1674,Dropout Risk
3684,Passive Learner
4878,Dropout Risk
1517,Social Learner
3481,Passive Learner
1011,Dropout Risk
267,Social Learner
2208,Dropout Risk
4723,Dropout Risk
4565,Dropout Risk
1306,Social Learner
1659,Social Learner
2063,Dropout Risk
4114,Passive Learner
3409,Passive Learner
3516,Dropout Risk
618,Social Learner
3010,Dropout Risk
3478,Passive Learner
3341,Dropout Risk
4284,Passive Learner
2826,Passive Learner
935,Social Learner
2343,Dropout Risk
2605,Dropout Risk
3909,Dropout Risk
4328,Dropout Risk
2596,Passive Learner
1844,Social Learner
3037,Dropout Risk
2419,Passive Learner
857,Social Learner
4007,Dropout Risk
1518,Passive Learner
59,Social Learner
2972,Dropout Risk
1641,Social Learner
4944,Dropout Risk
4291,Passive Learner
2358,Dropout Risk
3380,Dropout Risk
352,Social Learner
3016,Passive Learner
1493,Super Learner
4832,Passive Learner
4228,Dropout Risk
2902,Passive Learner
49,Social Learner
2792,Dropout Risk
2747,Dropout Risk
3547,Passive Learner
1311,Social Learner
4489,Passive Learner
3467,Passive Learner
2910,Dropout Risk
3425,Dropout Risk
4464,Passive Learner
1327,Social Learner
4071,Dropout Risk
4927,Dropout Risk
4770,Dropout Risk
2296,Dropout Risk
1383,Social Learner
66,Social Learner
4568,Dropout Risk
3715,Dropout Risk
1802,Social Learner
1889,Social Learner
3497,Dropout Risk
765,Social Learner
4594,Passive Learner
348,Social Learner
1159,Social Learner
1388,Social Learner
4034,Passive Learner
1549,Social Learner
295,Dropout Risk
723,Social Learner
20,Social Learner
3022,Passive Learner
3148,Passive Learner
1938,Social Learner
3928,Passive Learner
3787,Passive Learner
3870,Dropout Risk
3254,Dropout Risk
1626,Social Learner
4242,Dropout Risk
4385,Passive Learner
2064,Passive Learner
3354,Dropout Risk
1034,Social Learner
780,Social Learner
2026,Social Learner
1577,Social Learner
64,Social Learner
2959,Dropout Risk
2458,Passive Learner
2763,Passive Learner
2473,Dropout Risk
3529,Dropout Risk
2885,Dropout Risk
715,Social Learner
1498,Social Learner
3799,Dropout Risk
2825,Dropout Risk
4463,Dropout Risk
863,Social Learner
233,Social Learner
2754,Passive Learner
3526,Dropout Risk
3005,Dropout Risk
2748,Passive Learner
1165,Social Learner
649,Social Learner
1431,Social Learner
1222,Social Learner
265,Social Learner
4887,Dropout Risk
4882,Dropout Risk
229,Social Learner
493,Social Learner
1333,Social Learner
3329,Dropout Risk
256,Social Learner
2048,Social Learner
1077,Social Learner
684,Social Learner
2237,Dropout Risk
4533,Dropout Risk
3539,Dropout Risk
4337,Dropout Risk
2815,Passive Learner
253,Passive Learner
2054,Social Learner
756,Social Learner
4942,Dropout Risk
2448,Dropout Risk
619,Social Learner
2911,Dropout Risk
3712,Passive Learner
2085,Dropout Risk
3215,Passive Learner
4156,Passive Learner
1599,Social Learner
3745,Dropout Risk
3641,Dropout Risk
1676,Social Learner
3111,Passive Learner
202,Social Learner
2717,Dropout Risk
4623,Dropout Risk
3278,Dropout Risk
2058,Social Learner
1449,Dropout Risk
501,Social Learner
2515,Dropout Risk
1329,Social Learner
4483,Passive Learner
3249,Passive Learner
1121,Social Learner
4452,Passive Learner
2086,Dropout Risk
582,Social Learner
4500,Dropout Risk
4112,Passive Learner
1182,Social Learner
2388,Dropout Risk
3504,Dropout Risk
2121,Passive Learner
722,Social Learner
1267,Passive Learner
750,Passive Learner
1945,Social Learner
1229,Social Learner
478,Social Learner
1746,Social Learner
4702,Passive Learner
3885,Dropout Risk
904,Social Learner
1382,Super Learner
481,Social Learner
4045,Passive Learner
4582,Passive Learner
3531,Dropout Risk
1568,Social Learner
1831,Social Learner
1298,Social Learner
4444,Passive Learner
55,Social Learner
1949,Social Learner
3181,Dropout Risk
2587,Passive Learner
4949,Passive Learner
1339,Social Learner
2710,Passive Learner
4413,Dropout Risk
4725,Passive Learner
322,Social Learner
3887,Dropout Risk
3951,Dropout Risk
1874,Social Learner
4479,Passive Learner
4053,Passive Learner
888,Social Learner
1765,Super Learner
3614,Passive Learner
3006,Passive Learner
2298,Passive Learner
4435,Dropout Risk
3237,Passive Learner
721,Social Learner
607,Social Learner
2158,Dropout Risk
4151,Dropout Risk
2469,Dropout Risk
3501,Dropout Risk
3225,Dropout Risk
3807,Passive Learner
3422,Passive Learner
115,Social Learner
3509,Dropout Risk
2242,Passive Learner
29,Social Learner
1263,Social Learner
2857,Dropout Risk
1001,Dropout Risk
2937,Dropout Risk
2037,Passive Learner
3817,Dropout Risk
1809,Social Learner
4657,Dropout Risk
1047,Social Learner
4268,Passive Learner
4289,Dropout Risk
3061,Dropout Risk
3229,Dropout Risk
1258,Social Learner
769,Social Learner
4310,Passive Learner
4871,Passive Learner
3609,Passive Learner
2051,Social Learner
4402,Dropout Risk
15,Social Learner
817,Social Learner
4252,Dropout Risk
2438,Passive Learner
423,Social Learner
3554,Passive Learner
3183,Passive Learner
1544,Social Learner
4844,Passive Learner
1294,Social Learner
4766,Dropout Risk
3469,Dropout Risk
2020,Social Learner
2632,Passive Learner
108,Social Learner
3819,Passive Learner
3482,Dropout Risk
3723,Passive Learner
4865,Dropout Risk
1686,Social Learner
1931,Social Learner
4688,Passive Learner
2655,Dropout Risk
4760,Passive Learner
3122,Passive Learner
2951,Passive Learner
3910,Passive Learner
3527,Dropout Risk
3176,Passive Learner
2560,Passive Learner
2997,Dropout Risk
3825,Dropout Risk
652,Social Learner
3774,Passive Learner
2001,Social Learner
4069,Dropout Risk
1857,Social Learner
4281,Passive Learner
4831,Dropout Risk
1865,Social Learner
990,Social Learner
3129,Passive Learner
1482,Social Learner
3804,Dropout Risk
2076,Dropout Risk
2351,Passive Learner
4267,Passive Learner
1828,Social Learner
3442,Dropout Risk
3665,Passive Learner
4018,Dropout Risk
3253,Passive Learner
1632,Social Learner
2452,Dropout Risk
97,Social Learner
944,Social Learner
1059,Social Learner
3384,Passive Learner
3591,Passive Learner
851,Passive Learner
1693,Social Learner
1720,Social Learner
4164,Dropout Risk
3040,Passive Learner
2496,Passive Learner
1408,Social Learner
3907,Dropout Risk
192,Social Learner
2477,Passive Learner
504,Dropout Risk
4422,Passive Learner
2291,Dropout Risk
3877,Dropout Risk
573,Social Learner
4373,Dropout Risk
2671,Dropout Risk
299,Social Learner
4371,Dropout Risk
1379,Social Learner
4827,Passive Learner
4433,Dropout Risk
1467,Social Learner
2782,Dropout Risk
76,Social Learner
500,Social Learner
3044,Passive Learner
2670,Passive Learner
3984,Passive Learner
1207,Dropout Risk
1245,Social Learner
3395,Passive Learner
3465,Passive Learner
240,Social Learner
2597,Dropout Risk
2651,Dropout Risk
3362,Passive Learner
2259,Dropout Risk
4316,Dropout Risk
945,Social Learner
249,Social Learner
962,Social Learner
156,Dropout Risk
2494,Passive Learner
876,Social Learner
46,Social Learner
1560,Social Learner
1330,Social Learner
3026,Dropout Risk
3095,Dropout Risk
499,Social Learner
2200,Dropout Risk
992,Social Learner
2838,Dropout Risk
479,Social Learner
1286,Social Learner
3578,Dropout Risk
1743,Social Learner
2222,Passive Learner
3515,Dropout Risk
1402,Dropout Risk
4089,Dropout Risk
3173,Passive Learner
3277,Passive Learner
4910,Dropout Risk
2897,Passive Learner
4235,Dropout Risk
3262,Dropout Risk
2418,Dropout Risk
4134,Dropout Risk
3142,Passive Learner
4308,Passive Learner
2859,Dropout Risk
1002,Social Learner
3588,Passive Learner
1764,Social Learner
4123,Dropout Risk
3915,Passive Learner
3815,Passive Learner
669,Social Learner
3740,Passive Learner
2268,Passive Learner
2015,Social Learner
19,Social Learner
1806,Social Learner
2791,Passive Learner
469,Social Learner
3744,Passive Learner
1070,Social Learner
364,Social Learner
4561,Passive Learner
2004,Social Learner
2618,Passive Learner
4306,Passive Learner
2235,Passive Learner
4280,Passive Learner
4620,Passive Learner
279,Social Learner
1168,Social Learner
2820,Dropout Risk
2011,Social Learner
4066,Passive Learner
4933,Passive Learner
1798,Social Learner
2657,Dropout Risk
638,Social Learner
311,Social Learner
3771,Dropout Risk
2932,Dropout Risk
2300,Dropout Risk
3412,Dropout Risk
3645,Dropout Risk
3358,Dropout Risk
748,Social Learner
1692,Social Learner
1195,Social Learner
4761,Passive Learner
2459,Passive Learner
1335,Social Learner
4888,Super Learner
2191,Passive Learner
3535,Dropout Risk
420,Social Learner
354,Passive Learner
3874,Dropout Risk
3288,Passive Learner
2067,Passive Learner
3859,Passive Learner
1952,Social Learner
1288,Social Learner
1705,Social Learner
4727,Dropout Risk
1768,Social Learner
3165,Passive Learner
2599,Dropout Risk
2516,Dropout Risk
4127,Passive Learner
809,Social Learner
3359,Passive Learner
4526,Dropout Risk
1879,Social Learner
4968,Super Learner
3728,Dropout Risk
1209,Social Learner
4296,Passive Learner
4428,Dropout Risk
4735,Dropout Risk
3958,Dropout Risk
901,Social Learner
2023,Social Learner
2540,Passive Learner
4741,Passive Learner
4037,Passive Learner
3350,Dropout Risk
2567,Dropout Risk
2218,Passive Learner
659,Social Learner
4511,Dropout Risk
4687,Passive Learner
1615,Social Learner
4842,Dropout Risk
998,Social Learner
2732,Passive Learner
1607,Dropout Risk
1211,Social Learner
2036,Social Learner
926,Social Learner
1231,Social Learner
2243,Dropout Risk
4215,Passive Learner
2961,Dropout Risk
223,Social Learner
3906,Passive Learner
1401,Social Learner
2065,Passive Learner
4430,Passive Learner
1571,Social Learner
3558,Passive Learner
1929,Social Learner
2260,Passive Learner
930,Social Learner
191,Social Learner
3432,Passive Learner
4186,Passive Learner
3844,Dropout Risk
2518,Passive Learner
2332,Passive Learner
3416,Passive Learner
4604,Passive Learner
1876,Passive Learner
1355,Social Learner
2765,Passive Learner
2645,Dropout Risk
3758,Passive Learner
3209,Dropout Risk
701,Social Learner
1241,Social Learner
2968,Dropout Risk
2124,Passive Learner
54,Social Learner
1608,Social Learner
1364,Social Learner
3150,Passive Learner
1035,Dropout Risk
3098,Dropout Risk
4414,Passive Learner
2119,Passive Learner
1781,Passive Learner
2019,Social Learner
858,Social Learner
3680,Passive Learner
1378,Social Learner
835,Social Learner
4903,Dropout Risk
3875,Dropout Risk
557,Social Learner
4061,Dropout Risk
1728,Dropout Risk
1943,Social Learner
