StudentId,AvgEfficiency,AvgScore,AvgTimeMinutes,TotalAttempts,EfficiencyTier
199,9.051,60.933,11.0,6,High
201,5.619,53.6,30.614,14,High
203,3.067,68.4,25.171,14,Medium
211,2.48,54.1,18.411,9,Low
214,3.522,66.633,28.954,13,Medium
215,0.756,19.0,30.7,9,Low
217,4.186,35.767,23.654,13,Medium
219,3.844,23.75,12.757,7,Medium
222,0.79,51.0,64.65,2,Low
223,1.667,25.0,15.0,1,Low
224,2.212,45.875,22.871,7,Low
227,3.581,70.2,15.555,11,Medium
229,2.085,56.385,35.512,16,Low
230,7.228,73.0,13.3,3,High
231,3.689,41.2,16.2,6,Medium
236,7.187,52.229,22.933,12,High
237,2.116,51.0,18.34,5,Low
238,3.828,69.825,20.367,6,Medium
239,5.03,45.188,24.822,9,High
244,2.233,39.071,31.812,8,Low
252,3.232,39.8,13.04,5,Medium
253,3.221,54.667,31.609,11,Medium
258,4.214,35.875,24.26,5,Medium
259,4.381,61.033,39.812,8,Medium
260,3.459,43.856,26.182,11,Medium
264,19.051,55.033,17.738,8,High
265,12.492,71.983,15.108,12,High
267,1.638,40.138,29.68,10,Low
274,5.594,58.333,16.111,9,High
283,16.627,73.58,18.075,12,High
284,7.948,72.54,27.753,15,High
285,5.99,88.033,23.522,9,High
286,1.748,35.2,23.331,13,Low
288,2.531,60.36,33.25,10,Low
291,13.976,64.175,12.3,6,High
295,11.088,41.25,14.014,7,High
298,2.815,46.26,27.9,8,Medium
299,1.182,21.7,13.0,4,Low
300,3.119,44.167,24.3,3,Medium
302,33.713,55.5,11.25,4,High
303,2.258,47.95,34.167,6,Low
305,6.729,56.64,23.638,8,High
308,2.943,34.05,20.275,8,Medium
314,3.657,51.667,20.08,5,Medium
317,0.436,30.8,42.76,5,Low
319,2.707,54.843,29.036,11,Medium
320,5.746,41.133,10.986,7,High
322,37.532,76.0,9.933,3,High
324,3.275,54.562,19.809,11,Medium
328,3.72,64.217,29.433,9,Medium
333,3.68,64.667,12.444,9,Medium
336,2.16,72.05,30.84,5,Low
338,5.68,51.4,21.767,6,High
342,2.524,51.6,33.525,4,Low
356,2.541,55.4,19.967,3,Low
357,2.429,50.35,32.3,9,Low
361,9.915,45.667,21.7,6,High
369,1.985,39.7,24.87,10,Low
371,1.855,92.0,32.4,2,Low
373,2.061,52.9,20.8,3,Low
378,9.092,57.533,31.889,9,High
385,3.077,54.7,26.467,9,Medium
392,1.209,38.233,41.92,5,Low
395,1.696,47.25,18.7,3,Low
400,2.685,57.2,29.3,7,Medium
402,,,34.5,1,
404,2.044,49.288,27.346,13,Low
407,2.912,71.2,34.225,8,Medium
413,19.46,85.167,20.283,6,High
416,1.983,46.033,18.114,7,Low
423,21.413,64.45,8.233,3,High
424,2.42,76.0,21.64,5,Low
430,4.692,71.875,15.8,5,Medium
432,1.024,51.1,48.571,7,Low
435,7.903,84.9,25.425,8,High
438,0.687,42.0,61.1,1,Low
441,24.289,60.0,18.881,16,High
443,0.935,12.75,13.74,5,Low
445,9.927,58.043,30.35,10,High
449,7.068,61.117,21.62,10,High
452,7.517,26.125,20.883,6,High
456,4.87,71.0,29.25,4,High
459,3.978,60.24,29.488,8,Medium
461,10.413,57.544,27.318,11,High
466,0.793,39.333,28.24,5,Low
471,5.496,72.36,14.286,7,High
474,1.257,18.925,28.838,8,Low
475,3.425,43.625,16.314,7,Medium
477,14.757,44.2,24.943,7,High
479,1.73,49.933,33.84,5,Low
481,0.266,6.0,15.9,5,Low
482,1.675,46.0,25.3,5,Low
487,2.608,84.675,31.122,9,Medium
491,3.094,48.6,23.6,2,Medium
504,1.614,35.0,22.533,6,Low
506,4.804,72.2,19.891,11,Medium
507,6.702,61.6,31.542,12,High
508,68.0,88.4,30.771,7,High
518,1.864,41.567,24.671,14,Low
519,7.891,51.033,18.84,10,High
523,3.075,54.733,23.327,11,Medium
528,8.769,55.825,13.12,5,High
529,3.213,37.05,35.475,4,Medium
530,7.206,49.0,6.8,1,High
535,12.048,53.05,4.45,2,High
540,1.272,39.25,36.717,6,Low
541,3.677,61.4,26.2,9,Medium
546,6.613,56.8,15.38,10,High
553,3.699,54.0,25.567,3,Medium
561,1.534,50.286,33.009,11,Low
564,2.726,48.333,25.16,5,Medium
566,3.099,33.7,30.33,10,Medium
571,9.202,44.1,27.017,6,High
572,5.533,49.1,26.782,11,High
573,6.194,88.28,22.367,6,High
576,7.823,61.8,12.0,2,High
580,1.423,37.15,35.623,13,Low
582,2.741,88.0,32.1,1,Medium
586,10.077,26.2,5.65,2,High
591,2.189,31.975,22.243,7,Low
599,0.179,1.5,8.4,1,Low
600,1.015,13.2,12.133,3,Low
601,1.289,16.833,21.433,6,Low
605,0.211,3.0,13.167,3,Low
609,8.797,51.9,13.233,3,High
610,2.247,67.4,30.7,2,Low
614,2.374,59.45,21.25,6,Low
625,11.52,31.08,23.929,7,High
627,5.326,69.517,16.433,9,High
631,4.115,62.173,25.082,17,Medium
632,5.615,72.0,19.1,5,High
634,2.306,49.867,30.283,6,Low
636,1.366,49.838,33.425,12,Low
637,3.743,58.35,20.15,14,Medium
638,2.354,52.086,18.043,14,Low
640,12.959,74.225,11.35,8,High
641,5.757,68.377,25.378,18,High
645,8.7,71.1,15.85,6,High
646,0.296,13.6,59.15,2,Low
648,1.732,29.2,22.5,5,Low
651,3.656,48.0,20.6,10,Medium
662,1.334,23.85,16.4,2,Low
664,1.956,46.133,20.291,11,Low
665,6.98,44.644,17.736,14,High
666,1.264,54.525,42.667,6,Low
670,1.445,51.867,34.9,5,Low
671,4.451,52.76,18.463,8,Medium
673,3.141,53.2,30.4,4,Medium
677,3.519,31.1,14.775,8,Medium
689,4.611,54.65,21.292,12,Medium
691,2.785,50.713,20.25,12,Medium
698,3.515,59.5,19.267,3,Medium
702,,,18.567,3,
703,0.981,37.0,21.45,4,Low
711,6.384,59.514,20.364,11,High
712,3.158,45.438,31.7,13,Medium
717,1.383,26.0,18.8,2,Low
719,21.815,73.675,13.086,7,High
726,,,28.275,4,
730,6.234,57.93,16.356,16,High
732,4.338,65.667,41.8,4,Medium
742,1.397,55.0,38.633,3,Low
744,2.753,58.767,20.811,9,Medium
750,5.288,45.017,39.611,9,High
751,2.111,39.333,28.733,3,Low
755,2.62,48.143,39.043,14,Medium
756,1.949,33.075,15.22,10,Low
757,17.057,54.6,16.588,8,High
758,4.226,54.0,17.711,9,Medium
760,3.625,23.2,6.4,1,Medium
763,6.68,56.82,14.822,9,High
767,2.178,75.267,33.4,7,Low
769,1.894,25.0,13.2,1,Low
772,4.707,88.5,10.6,2,Medium
776,38.093,44.8,25.85,4,High
778,4.126,35.6,36.111,9,Medium
779,3.103,68.778,26.181,16,Medium
780,8.295,32.8,20.98,5,High
785,8.137,76.6,15.936,11,High
788,6.587,57.075,16.333,6,High
792,0.131,10.4,49.5,2,Low
793,5.836,45.26,10.618,11,High
796,3.456,61.3,24.529,7,Medium
800,4.683,64.85,22.117,6,Medium
804,0.953,48.2,27.4,2,Low
805,4.154,45.06,23.58,10,Medium
806,9.337,75.58,30.708,13,High
807,,,23.3,3,
809,2.697,44.9,16.536,11,Medium
812,2.242,76.0,11.2,6,Low
813,3.889,25.671,13.38,10,Medium
816,2.241,48.838,31.927,11,Low
822,1.132,36.0,32.35,2,Low
826,3.758,49.638,23.592,13,Medium
830,3.117,67.5,33.2,5,Medium
834,23.554,40.375,7.5,4,High
837,3.209,49.36,18.392,12,Medium
838,8.576,75.1,18.85,4,High
840,1.88,43.938,31.573,11,Low
847,7.154,52.967,22.378,9,High
848,2.685,35.95,32.09,10,Medium
849,3.989,82.467,27.0,10,Medium
854,9.179,50.9,14.922,9,High
858,1.252,50.0,41.9,2,Low
863,3.755,55.54,17.49,10,Medium
869,8.474,42.3,14.391,11,High
871,4.827,51.083,24.689,9,High
872,6.099,77.6,14.575,4,High
873,3.775,94.0,25.05,2,Medium
875,4.861,53.2,12.971,7,High
877,6.273,57.943,24.408,13,High
880,1.779,58.133,34.712,8,Low
887,4.769,39.9,8.475,4,Medium
888,1.27,36.24,33.889,9,Low
894,3.966,70.2,28.26,5,Medium
898,3.418,76.9,34.22,5,Medium
902,22.622,49.75,17.367,6,High
905,,,24.3,2,
906,2.626,47.0,37.15,2,Medium
907,6.665,45.971,16.218,11,High
909,9.731,73.3,19.22,5,High
911,6.626,48.838,21.854,13,High
912,1.271,24.175,22.27,10,Low
913,6.007,55.733,12.35,10,High
915,1.366,45.2,37.95,2,Low
917,2.106,75.95,36.317,6,Low
921,13.233,66.5,21.842,12,High
923,7.211,50.44,25.582,11,High
927,2.355,61.0,28.586,7,Low
929,0.67,39.7,53.314,7,Low
935,2.64,35.167,19.95,10,Medium
936,,,8.8,1,
937,4.937,70.6,14.3,1,High
948,1.895,38.6,41.56,15,Low
951,2.451,45.8,42.91,10,Low
952,17.464,55.017,15.308,13,High
953,1.784,71.0,39.8,1,Low
957,9.377,48.98,20.664,14,High
958,0.336,4.6,29.167,3,Low
961,5.491,62.7,24.28,5,High
966,55.714,78.0,6.8,3,High
978,1.362,25.4,16.75,10,Low
982,,,13.3,2,
983,5.359,54.433,14.415,13,High
984,5.124,63.167,24.533,12,High
987,8.463,49.75,13.309,11,High
988,0.179,7.333,28.438,8,Low
1005,2.925,40.857,29.39,10,Medium
1009,2.932,25.0,19.5,8,Medium
1011,7.32,58.0,22.691,11,High
1012,2.596,59.8,18.22,10,Medium
1030,12.401,37.433,13.833,3,High
1033,5.092,79.8,15.8,2,High
1034,3.794,46.9,17.975,4,Medium
1036,4.041,52.833,28.318,11,Medium
1046,1.432,92.5,64.6,1,Low
1048,3.179,46.717,23.86,10,Medium
1049,5.282,65.3,15.462,13,High
1052,1.32,35.9,22.6,5,Low
1055,4.253,57.362,27.7,10,Medium
1057,3.941,58.557,20.164,11,Medium
1063,1.98,46.029,29.464,11,Low
1069,,,32.3,1,
1075,3.37,54.6,18.2,2,Medium
1076,,,32.067,3,
1079,2.875,88.1,51.35,4,Medium
1082,3.871,43.4,11.743,7,Medium
1086,2.542,37.975,20.86,5,Low
1091,2.121,52.65,22.962,8,Low
1092,0.42,6.0,12.26,5,Low
1093,3.568,44.686,28.371,7,Medium
1094,2.633,50.333,23.1,10,Medium
1098,1.807,70.2,40.4,5,Low
1104,5.007,70.871,25.267,12,High
1107,3.402,93.2,40.088,8,Medium
1110,7.081,58.912,29.613,15,High
1115,2.752,71.0,25.8,2,Medium
1131,2.917,32.729,20.955,11,Medium
1133,5.399,75.36,27.757,7,High
1134,4.018,36.257,28.083,12,Medium
1135,8.18,36.14,10.6,9,High
1136,2.339,47.214,23.964,11,Low
1137,2.383,44.775,18.317,6,Low
1142,4.465,49.075,22.867,9,Medium
1150,3.315,69.35,27.3,14,Medium
1151,0.29,16.6,59.8,2,Low
1153,6.05,62.317,30.054,13,High
1154,7.544,57.1,27.88,10,High
1155,4.161,51.22,26.138,8,Medium
1159,2.248,59.933,19.9,5,Low
1162,7.439,67.2,16.214,7,High
1164,5.826,72.45,13.389,9,High
1169,2.331,45.957,26.329,7,Low
1172,2.626,52.0,15.957,7,Medium
1174,1.623,65.75,30.98,5,Low
1175,7.925,63.311,18.069,13,High
1176,3.444,60.989,33.544,16,Medium
1178,2.254,40.22,24.833,6,Low
1179,10.25,49.2,25.6,3,High
1180,2.551,74.467,20.067,6,Low
1182,2.729,46.75,17.4,2,Medium
1185,2.042,28.5,24.157,7,Low
1193,1.994,30.7,17.736,14,Low
1194,1.58,80.6,38.6,2,Low
1196,2.347,36.26,22.314,14,Low
1199,9.371,48.371,16.792,12,High
1200,5.454,71.0,13.35,2,High
1201,0.552,20.8,36.933,6,Low
1202,1.163,22.171,26.036,14,Low
1206,4.167,48.543,20.785,13,Medium
1208,7.031,35.314,16.755,11,High
1213,2.456,27.3,33.045,11,Low
1218,3.807,55.617,13.82,15,Medium
1222,4.652,62.85,21.35,8,Medium
1229,8.98,82.4,22.086,7,High
1231,5.801,86.05,30.633,3,High
1233,2.557,42.733,18.775,8,Low
1234,4.054,67.667,29.733,6,Medium
1237,2.315,37.6,23.367,12,Low
1240,3.616,35.733,21.627,11,Medium
1243,5.891,47.667,27.53,10,High
1253,3.953,49.72,32.257,7,Medium
1255,1.414,30.75,38.162,8,Low
1256,2.128,75.85,47.067,3,Low
1259,5.94,85.04,20.778,9,High
1261,5.065,46.84,18.336,14,High
1264,8.011,63.75,22.5,12,High
1265,9.057,48.0,15.825,4,High
1268,2.697,36.35,23.486,7,Medium
1270,3.701,48.467,24.386,7,Medium
1271,2.669,50.5,32.592,12,Medium
1275,0.672,13.5,32.58,5,Low
1276,0.618,18.15,43.68,5,Low
1279,0.567,41.15,39.54,5,Low
1285,4.98,61.175,18.836,11,High
1288,4.779,62.04,17.791,11,Medium
1291,1.444,44.2,48.4,3,Low
1292,2.107,45.333,28.36,5,Low
1297,0.921,23.16,34.044,9,Low
1299,4.996,64.575,42.143,7,High
1302,3.813,61.275,26.823,13,Medium
1307,2.337,29.967,13.18,5,Low
1311,3.175,44.114,34.136,11,Medium
1316,3.919,59.6,20.3,2,Medium
1317,8.326,44.12,11.429,7,High
1319,0.602,26.5,35.244,9,Low
1321,2.7,55.283,21.6,10,Medium
1322,44.286,62.0,9.8,2,High
1323,,,24.5,1,
1324,1.606,51.4,24.675,4,Low
1328,12.103,62.48,26.567,12,High
1329,1.754,63.943,32.218,11,Low
1334,18.462,96.0,41.1,5,High
1336,6.289,100.0,12.9,2,High
1338,12.058,66.25,26.15,8,High
1339,9.659,51.275,29.292,13,High
1343,13.522,53.73,16.879,14,High
1344,13.888,53.2,17.8,4,High
1347,1.447,11.933,14.062,8,Low
1350,1.572,47.14,29.554,13,Low
1352,5.456,81.3,15.78,5,High
1354,2.421,44.711,32.527,15,Low
1359,,,17.6,1,
1360,2.16,49.36,25.671,7,Low
1361,3.873,35.829,26.271,14,Medium
1362,2.832,39.2,22.012,16,Medium
1365,,,16.22,5,
1366,4.613,49.78,21.392,12,Medium
1368,4.889,17.6,19.577,13,High
1373,4.372,50.622,22.873,15,Medium
1374,4.143,68.033,19.867,6,Medium
1375,5.329,91.6,24.067,6,High
1376,1.487,32.167,19.23,10,Low
1377,,,53.5,1,
1378,3.256,84.0,25.8,1,Medium
1380,2.544,52.0,22.556,9,Low
1381,4.633,57.5,15.45,4,Medium
1382,10.964,66.9,14.52,10,High
1387,3.666,49.767,27.521,14,Medium
1389,1.87,54.157,27.575,12,Low
1390,20.697,70.8,4.333,3,High
1396,2.647,48.15,14.891,11,Medium
1398,0.946,21.0,23.867,3,Low
1400,6.228,63.358,26.247,17,High
1403,7.958,37.633,25.743,7,High
1409,4.459,51.067,26.657,14,Medium
1411,4.705,37.9,12.85,4,Medium
1412,3.186,60.5,25.275,8,Medium
1416,10.244,57.657,18.992,13,High
1427,2.519,34.067,18.76,10,Low
1430,,,21.8,2,
1434,2.298,46.2,37.167,6,Low
1435,5.148,52.867,30.664,11,High
1437,7.921,95.2,26.78,5,High
1440,4.109,83.0,36.2,5,Medium
1442,1.118,35.54,33.489,9,Low
1444,7.831,61.6,15.35,2,High
1451,,,7.2,1,
1456,5.21,55.333,40.525,8,High
1458,4.638,64.0,17.575,4,Medium
1460,,,15.5,1,
1467,6.998,70.825,19.183,6,High
1468,3.839,60.0,21.118,11,Medium
1469,2.339,39.9,12.44,5,Low
1470,2.196,40.9,20.19,10,Low
1471,7.0,11.2,25.4,3,High
1472,6.903,53.46,20.0,7,High
1475,1.812,54.1,23.517,12,Low
1476,2.594,55.64,20.427,11,Medium
1478,2.487,33.1,15.14,5,Low
1479,4.145,91.6,20.85,4,Medium
1484,1.875,30.76,22.536,11,Low
1486,1.219,37.2,33.5,3,Low
1493,3.868,63.9,29.777,13,Medium
1494,5.261,55.7,27.658,19,High
1497,2.593,42.0,16.2,1,Medium
1498,26.738,70.5,28.5,3,High
1500,3.333,50.4,29.225,4,Medium
1501,4.059,54.82,16.07,10,Medium
1504,0.02,1.6,81.7,1,Low
1505,5.056,39.55,17.145,11,High
1506,8.341,66.886,17.8,10,High
1508,0.604,9.0,14.9,1,Low
1510,2.07,46.217,26.419,16,Low
1516,6.028,69.75,14.314,7,High
1521,,,44.2,2,
1527,2.19,27.6,31.3,2,Low
1533,3.289,50.671,29.379,14,Medium
1535,4.728,56.733,23.157,14,Medium
1542,1.836,40.957,23.22,10,Low
1550,4.156,49.15,11.183,6,Medium
1551,1.188,19.0,19.333,3,Low
1552,2.009,42.18,19.96,10,Low
1555,2.165,35.9,20.433,6,Low
1557,3.348,51.838,20.117,12,Medium
1558,8.418,55.867,22.517,12,High
1559,1.845,57.22,34.3,9,Low
1560,4.059,66.6,11.025,4,Medium
1561,2.411,57.475,21.35,10,Low
1562,3.538,67.65,32.233,9,Medium
1565,8.45,49.88,18.478,9,High
1568,3.765,46.55,23.593,14,Medium
1569,1.626,58.314,32.85,12,Low
1574,5.547,50.414,21.745,11,High
1576,7.54,55.886,23.836,11,High
1579,2.459,69.6,28.3,1,Low
1580,0.307,14.667,39.875,4,Low
1581,4.294,48.733,17.317,12,Medium
1585,3.112,66.857,22.2,10,Medium
1587,6.396,67.914,15.7,10,High
1592,6.281,68.0,12.017,6,High
1593,2.537,49.817,25.82,10,Low
1596,1.662,36.05,29.017,6,Low
1601,2.632,70.0,26.6,1,Medium
1603,19.175,76.7,3.6,3,High
1604,22.819,53.4,35.9,10,High
1606,7.804,42.75,24.776,17,High
1607,51.176,87.0,17.54,5,High
1613,2.339,51.3,26.538,8,Low
1622,1.438,26.1,29.938,8,Low
1623,3.109,68.22,26.6,7,Medium
1624,1.47,26.9,10.45,2,Low
1626,3.894,44.68,18.457,7,Medium
1633,5.696,58.838,24.692,13,High
1654,1.553,27.8,19.467,3,Low
1658,4.042,60.9,36.162,8,Medium
1659,3.24,62.017,25.6,8,Medium
1660,5.267,52.112,21.358,12,High
1669,1.124,21.8,27.2,2,Low
1675,7.386,58.7,19.988,8,High
1677,1.602,31.025,30.111,9,Low
1688,6.092,28.95,26.709,11,High
1690,13.046,52.886,35.558,12,High
1691,9.057,31.767,11.9,5,High
1695,3.812,45.74,13.73,10,Medium
1699,5.58,30.8,26.256,9,High
1706,4.084,52.2,27.718,11,Medium
1714,2.855,44.378,28.892,13,Medium
1722,4.049,53.4,11.712,8,Medium
1723,2.177,48.14,22.457,7,Low
1728,14.271,77.4,5.925,4,High
1729,4.528,43.117,26.61,10,Medium
1740,3.42,39.814,16.644,9,Medium
1741,0.96,11.0,17.0,7,Low
1746,0.965,34.8,38.386,7,Low
1748,3.232,49.56,36.742,12,Medium
1760,2.609,50.425,21.95,4,Medium
1762,3.409,43.5,25.717,6,Medium
1763,6.657,58.1,17.771,7,High
1765,6.31,89.6,14.543,7,High
1766,42.5,51.0,21.05,4,High
1768,1.278,41.725,27.731,13,Low
1769,2.27,40.4,26.05,4,Low
1770,14.093,37.733,16.633,3,High
1781,10.055,71.156,15.825,12,High
1783,18.527,53.5,15.862,8,High
1785,3.091,70.48,27.875,8,Medium
1786,4.608,57.567,25.813,15,Medium
1787,1.777,50.5,14.14,5,Low
1789,1.99,34.925,20.925,4,Low
1800,0.689,33.0,31.8,2,Low
1803,2.908,55.15,38.355,11,Medium
1809,4.088,71.933,19.888,16,Medium
1814,2.734,36.8,29.58,5,Medium
1817,0.337,14.0,24.4,3,Low
1829,24.967,65.95,16.0,9,High
1832,7.564,58.583,24.0,11,High
1837,1.933,48.0,28.889,9,Low
1846,6.891,61.712,20.025,12,High
1847,9.772,49.86,10.992,12,High
1850,9.931,55.983,11.355,11,High
1851,6.575,51.625,21.15,6,High
1852,11.249,41.286,22.125,8,High
1853,9.416,49.943,16.218,11,High
1854,4.873,60.12,26.45,10,High
1855,4.134,61.6,25.245,11,Medium
1865,6.852,48.8,30.888,8,High
1867,10.271,56.033,24.642,12,High
1874,8.201,81.117,24.709,11,High
1878,1.103,95.0,62.967,3,Low
1884,3.436,64.6,18.8,1,Medium
1885,12.441,61.388,26.941,17,High
1887,1.011,55.6,55.0,1,Low
1888,3.31,38.2,17.0,7,Medium
1890,2.233,52.183,25.315,13,Low
1893,0.98,15.75,18.6,3,Low
1894,0.796,7.0,8.8,1,Low
1895,5.513,61.6,18.588,8,High
1896,3.995,70.82,20.791,11,Medium
1897,2.056,80.4,39.1,1,Low
1898,10.907,56.0,11.6,2,High
1900,2.146,36.925,30.569,13,Low
1909,4.668,62.12,16.612,8,Medium
1918,3.571,50.0,8.867,3,Medium
1921,1.048,67.8,30.875,4,Low
1926,1.439,16.4,32.033,3,Low
1930,2.728,31.291,15.485,13,Medium
1933,15.712,28.4,21.078,9,High
1938,2.434,53.98,31.238,8,Low
1939,0.394,11.3,24.9,2,Low
1940,0.793,44.167,40.525,4,Low
1942,7.413,47.7,23.116,19,High
1944,4.046,47.812,24.115,13,Medium
1948,4.196,69.675,16.112,8,Medium
1949,1.529,63.0,41.2,1,Low
1950,2.924,38.838,34.308,12,Medium
1953,8.121,49.917,17.208,12,High
1956,1.809,65.733,42.212,8,Low
1957,1.848,45.2,19.375,8,Low
1959,2.343,67.0,36.5,3,Low
1965,5.902,52.388,22.9,10,High
1967,1.547,43.933,26.133,3,Low
1970,,,18.2,1,
1971,4.411,51.571,38.973,11,Medium
1973,4.019,61.0,18.925,4,Medium
1974,6.326,28.375,23.1,10,High
1976,8.737,47.367,38.338,8,High
1980,9.246,55.343,13.936,11,High
1985,2.455,59.975,21.44,5,Low
1991,6.525,38.5,5.9,1,High
2002,2.601,24.367,19.06,5,Medium
2003,4.412,49.82,17.346,13,Medium
2005,4.492,32.033,49.1,10,Medium
2006,4.528,49.7,22.611,9,Medium
2008,2.023,17.6,9.6,2,Low
2010,0.759,36.95,64.8,3,Low
2011,1.792,43.87,25.5,13,Low
2013,-5.496,-168.0,12.543,7,
2015,1.988,54.871,29.09,10,Low
2018,3.487,63.85,19.525,8,Medium
2020,3.947,55.25,18.5,7,Medium
2023,3.741,30.733,23.714,7,Medium
2026,2.645,41.0,15.5,1,Medium
2028,2.703,79.95,52.9,2,Medium
2031,5.828,52.378,24.312,16,High
2035,5.674,81.24,15.5,8,High
2041,6.929,71.271,17.85,10,High
2044,2.453,68.133,30.34,10,Low
2046,3.28,36.5,17.688,8,Medium
2048,3.921,44.112,24.8,11,Medium
2049,1.694,24.4,22.3,2,Low
2052,6.45,38.1,18.7,6,High
2055,5.143,45.471,32.209,11,High
2057,1.275,46.6,49.267,3,Low
2059,4.319,65.188,27.8,13,Medium
2061,1.62,36.5,32.4,5,Low
2063,5.018,47.75,23.875,12,High
2064,2.655,42.0,30.942,12,Medium
2066,3.122,52.4,19.9,7,Medium
2067,3.035,42.183,26.52,10,Medium
2068,6.99,65.333,28.0,6,High
2070,7.053,80.4,11.4,1,High
2073,4.71,70.475,28.877,13,Medium
2077,,,25.9,1,
2078,9.395,70.4,13.886,7,High
2083,3.467,49.7,36.778,9,Medium
2084,1.975,74.3,36.95,8,Low
2090,2.835,61.167,16.575,8,Medium
2091,4.13,36.267,22.0,4,Medium
2093,,,18.8,1,
2095,1.267,61.133,47.14,5,Low
2098,0.85,46.533,58.55,4,Low
2100,3.38,82.6,22.988,8,Medium
2102,19.865,86.55,11.6,3,High
2104,3.773,54.125,26.486,14,Medium
2108,1.626,25.5,27.162,8,Low
2109,2.334,61.067,29.656,9,Low
2115,4.556,36.775,18.322,9,Medium
2116,2.989,80.4,25.875,4,Medium
2117,5.596,54.8,16.964,11,High
2118,2.322,27.9,18.633,6,Low
2119,13.389,65.033,24.65,4,High
2122,3.233,56.95,29.433,15,Medium
2125,3.696,50.95,30.567,6,Medium
2126,5.894,34.567,30.618,11,High
2130,0.451,21.2,32.55,10,Low
2134,0.909,22.95,39.057,7,Low
2138,4.373,60.56,24.488,8,Medium
2139,13.522,39.033,16.415,13,High
2143,3.245,47.417,25.546,13,Medium
2146,4.188,67.0,13.4,2,Medium
2149,0.583,36.25,36.775,4,Low
2154,2.485,53.5,26.618,11,Low
2156,6.788,62.617,15.612,8,High
2158,0.732,32.25,26.7,4,Low
2160,3.627,48.056,19.492,13,Medium
2162,4.408,38.775,18.264,11,Medium
2169,2.967,37.517,29.822,9,Medium
2176,1.656,32.7,31.27,10,Low
2179,4.779,51.133,25.97,10,Medium
2180,2.563,37.386,28.308,13,Low
2181,68.571,96.0,1.4,1,High
2185,1.464,32.5,22.2,1,Low
2187,,,1.4,1,
2191,3.293,27.0,12.733,3,Medium
2194,3.856,48.3,25.256,9,Medium
2197,5.728,45.383,13.75,12,High
2198,20.937,60.667,21.833,6,High
2199,,,14.0,1,
2209,17.28,66.4,27.843,7,High
2210,4.316,55.2,33.212,8,Medium
2220,,,10.8,1,
2225,5.576,53.956,17.706,16,High
2226,6.502,56.256,29.8,12,High
2232,4.247,70.5,16.6,1,Medium
2240,8.303,51.34,12.1,7,High
2246,7.174,63.783,23.25,14,High
2250,15.61,50.0,22.7,9,High
2251,5.314,93.0,15.033,3,High
2252,11.936,74.0,26.95,2,High
2254,7.567,52.68,21.782,11,High
2255,0.684,20.975,26.633,6,Low
2257,4.947,62.82,17.05,8,High
2261,5.033,44.75,13.22,5,High
2262,2.562,55.05,28.82,5,Low
2263,2.238,31.686,16.045,11,Low
2264,2.707,66.6,51.35,2,Medium
2270,2.681,50.467,18.191,11,Medium
2272,4.58,69.2,20.782,11,Medium
2274,2.766,50.0,21.712,8,Medium
2283,6.736,53.267,17.733,6,High
2286,0.43,10.867,27.983,6,Low
