CreatedById,Id,Title,ActivityType,DifficultyLevel,TotalStudents,CompletionRate,AvgProgress,AvgTimeMinutes,TimeEfficiencyRatio
9,316,Computer Vision Intro,Assignment,,,,,,
13,286,Introduction to the Course,Quiz,Hard,,,,,
5,422,Introduction to the Course,Quiz,Hard,48.0,0.438,63.771,48.14,2.41
11,1253,Computer Vision Intro,Lecture,,,,,,
4,499,Machine Learning Basics,Assignment,,,,,,
3,1770,Concurrency,Assignment,,,,,,
4,891,Ethics in AI,Lecture,,,,,,
2,1481,Introduction to the Course,Assignment,,,,,,
14,1100,Cybersecurity Fundamentals,Assignment,,43.0,0.558,69.953,49.509,2.48
12,1174,Data Structures Overview,Quiz,,,,,,
2,183,Search Algorithms,Lecture,,54.0,0.556,64.5,54.833,
2,1089,Encryption Methods,Quiz,Medium,,,,,
5,1583,Database Normalization,Lecture,,43.0,0.465,63.302,57.558,
5,504,Cloud Architecture,Lecture,,,,,,
7,761,Python for Data Science,Quiz,Medium,,,,,
14,1536,Machine Learning Basics,Assignment,,51.0,0.529,65.078,51.112,5.11
14,1830,Encryption Methods,Lecture,,,,,,
4,1202,Trees and Graphs,Lecture,,,,,,
13,1466,Data Structures Overview,Lecture,,,,,,
13,1518,Encryption Methods,Assignment,,,,,,
14,1748,Network Protocols,Quiz,Easy,,,,,
13,979,Untitled,Lecture,,,,,,
13,1051,Neural Networks,Quiz,Medium,,,,,
3,738,SQL Joins,Lecture,,41.0,0.585,69.415,50.229,0.84
8,554,Introduction to the Course,Lecture,,,,,,
6,1883,Design Patterns,Lecture,,,,,,
14,757,Ethics in AI,Lecture,,,,,,
12,2092,Untitled,Lecture,,52.0,0.5,59.058,57.96,5.8
5,616,Dynamic Programming,Assignment,,,,,,
14,1994,Big Data Overview,Assignment,,,,,,
2,1339,Trees and Graphs,Lecture,,,,,,
10,1293,Data Structures Overview,Lecture,,65.0,0.538,71.262,47.792,3.19
2,1244,Indexing & Performance,Assignment,,41.0,0.561,70.244,52.532,1.75
8,1855,Concurrency,Lecture,,,,,,
5,550,Untitled,Lecture,,,,,,
9,488,Cybersecurity Fundamentals,Assignment,,,,,,
6,648,Introduction to the Course,Lecture,,48.0,0.625,80.0,50.708,3.38
10,1200,Database Normalization,Lecture,,,,,,
12,307,OOP Concepts,Lecture,,42.0,0.571,71.333,45.793,
11,173,Network Protocols,Lecture,,,,,,
11,48,Design Patterns,Lecture,,,,,,
7,474,Web Development Basics,Assignment,,,,,,
13,1950,REST APIs,Assignment,,,,,,
2,656,Web Development Basics,Lecture,,,,,,
15,291,Python for Data Science,Quiz,Hard,,,,,
2,1552,Search Algorithms,Assignment,,54.0,0.574,72.5,47.941,0.8
15,674,Database Normalization,Lecture,,,,,,
3,131,Cloud Architecture,Lecture,,,,,,
3,1589,Indexing & Performance,Quiz,,,,,,
7,1571,Cybersecurity Fundamentals,Lecture,,,,,,
1,74,Python for Data Science,Lecture,,50.0,0.44,64.88,44.592,4.46
2,1036,Trees and Graphs,Quiz,,,,,,
14,878,Computer Vision Intro,Quiz,Easy,63.0,0.619,76.698,51.073,1.13
6,880,Introduction to the Course,Assignment,,52.0,0.558,71.423,48.475,0.81
7,1828,Dynamic Programming,Quiz,Medium,,,,,
14,2136,Concurrency,Assignment,,,,,,
1,1311,Data Structures Overview,Lecture,,58.0,0.483,64.345,54.845,2.74
10,875,Search Algorithms,Assignment,,,,,,
3,1815,Data Structures Overview,Lecture,,,,,,
7,34,Ethics in AI,Lecture,,,,,,
14,1947,Ethics in AI,Lecture,,,,,,
6,963,OOP Concepts,Assignment,,,,,,
1,866,Data Structures Overview,Assignment,,,,,,
9,583,Indexing & Performance,Lecture,,,,,,
7,117,Trees and Graphs,Lecture,,,,,,
2,2199,Cloud Architecture,Lecture,,,,,,
12,522,Neural Networks,Lecture,,,,,,
12,2036,Database Normalization,Lecture,,,,,,
6,1053,Computer Vision Intro,Assignment,,49.0,0.571,71.98,51.971,3.46
13,870,OOP Concepts,Lecture,,,,,,
13,132,Big Data Overview,Quiz,Easy,,,,,
5,858,REST APIs,Lecture,,,,,,
9,1483,Cloud Architecture,Lecture,,,,,,
4,885,REST APIs,Lecture,,,,,,
10,494,Memory Management,Lecture,,,,,,
15,1523,SQL Joins,Quiz,,,,,,
15,1277,Untitled,Lecture,,47.0,0.447,61.277,45.594,0.76
10,705,Encryption Methods,Quiz,Easy,,,,,
15,1596,OOP Concepts,Lecture,,46.0,0.5,62.283,49.398,1.65
14,1149,Network Protocols,Quiz,,,,,,
13,163,Python for Data Science,Assignment,,,,,,
5,1165,Machine Learning Basics,Lecture,,,,,,
3,2055,Introduction to the Course,Lecture,,,,,,
8,1327,Data Structures Overview,Quiz,Hard,,,,,
2,1741,Design Patterns,Quiz,Hard,,,,,
3,1607,Machine Learning Basics,Quiz,Hard,,,,,
13,1052,Indexing & Performance,Lecture,,52.0,0.635,79.365,55.173,
4,1169,REST APIs,Lecture,,45.0,0.622,76.756,49.562,1.1
7,724,Python for Data Science,Lecture,,,,,,
9,1870,Python for Data Science,Lecture,,54.0,0.537,70.722,56.189,2.81
10,611,Database Normalization,Lecture,,,,,,
15,1391,Memory Management,Lecture,,,,,,
4,1508,Network Protocols,Quiz,Medium,,,,,
14,1863,Big Data Overview,Assignment,,,,,,
8,1461,OOP Concepts,Lecture,,,,,,
11,1248,OS Scheduling,Lecture,,,,,,
9,1901,Database Normalization,Lecture,,,,,,
3,709,Computer Vision Intro,Assignment,,,,,,
9,826,Untitled,Quiz,Hard,46.0,0.609,69.217,53.989,3.6
11,591,Dynamic Programming,Lecture,,,,,,
14,1530,Linked Lists,Lecture,,,,,,
10,115,Neural Networks,Lecture,,,,,,
1,1267,Python for Data Science,Quiz,Hard,,,,,
10,1981,Linked Lists,Lecture,,,,,,
6,1978,Data Structures Overview,Quiz,Medium,,,,,
8,176,REST APIs,Quiz,Hard,,,,,
3,1819,Computer Vision Intro,Assignment,,,,,,
14,1042,Machine Learning Basics,Quiz,Hard,49.0,0.571,68.878,50.461,3.36
11,1109,Introduction to the Course,Assignment,,,,,,
1,1203,Ethics in AI,Quiz,Hard,,,,,
1,378,Big Data Overview,Lecture,,47.0,0.532,77.489,55.138,1.23
6,402,Sorting Algorithms,Lecture,,,,,,
11,2010,Cloud Architecture,Lecture,,,,,,
14,40,Computer Vision Intro,Assignment,,40.0,0.625,78.975,44.538,2.97
11,53,Neural Networks,Quiz,Medium,,,,,
6,1274,Trees and Graphs,Lecture,,48.0,0.562,72.417,54.073,10.81
6,269,Indexing & Performance,Lecture,,,,,,
7,329,Indexing & Performance,Lecture,,,,,,
4,1973,OS Scheduling,Lecture,,,,,,
9,750,Encryption Methods,Assignment,,65.0,0.585,74.738,47.088,3.14
10,2027,Data Structures Overview,Lecture,,,,,,
7,933,Introduction to the Course,Quiz,Hard,,,,,
11,1116,SQL Joins,Lecture,,,,,,
3,1187,Linked Lists,Lecture,,,,,,
2,1472,Dynamic Programming,Lecture,,,,,,
12,1427,Database Normalization,Lecture,,,,,,
5,1734,Neural Networks,Assignment,,,,,,
6,1980,Linked Lists,Lecture,,52.0,0.558,68.385,46.663,
8,1856,Introduction to the Course,Assignment,,,,,,
7,1409,Computer Vision Intro,Lecture,,,,,,
6,311,Indexing & Performance,Quiz,,,,,,
9,1612,Neural Networks,Lecture,,40.0,0.6,72.075,46.418,4.64
11,361,Search Algorithms,Assignment,,47.0,0.553,77.553,48.43,2.42
14,1355,Search Algorithms,Lecture,,,,,,
10,2089,SQL Joins,Quiz,Hard,,,,,
7,1688,Trees and Graphs,Assignment,,,,,,
2,1411,Python for Data Science,Assignment,,,,,,
6,1959,Computer Vision Intro,Lecture,,,,,,
8,276,Design Patterns,Lecture,,55.0,0.564,71.182,49.655,0.83
13,261,Untitled,Quiz,,45.0,0.489,68.178,48.28,
9,1412,Data Structures Overview,Lecture,,,,,,
3,739,Big Data Overview,Lecture,,,,,,
4,1628,Concurrency,Lecture,,,,,,
8,722,Sorting Algorithms,Quiz,,,,,,
9,913,Network Protocols,Lecture,,,,,,
1,124,REST APIs,Assignment,,,,,,
7,2137,Untitled,Assignment,,,,,,
7,953,Big Data Overview,Lecture,,55.0,0.545,70.691,51.515,
15,1162,Cybersecurity Fundamentals,Lecture,,37.0,0.459,68.973,46.357,3.09
9,1356,Big Data Overview,Lecture,,50.0,0.5,66.02,49.826,4.98
10,1715,Neural Networks,Quiz,Hard,,,,,
15,2014,Search Algorithms,Quiz,Hard,,,,,
10,1251,Sorting Algorithms,Quiz,,36.0,0.5,62.167,48.664,2.43
13,1499,Network Protocols,Quiz,Medium,,,,,
4,130,Indexing & Performance,Lecture,,,,,,
2,363,Web Development Basics,Lecture,,52.0,0.442,61.212,48.956,9.79
12,92,Machine Learning Basics,Lecture,,,,,,
10,1110,Database Normalization,Lecture,,,,,,
6,2132,Linked Lists,Lecture,,,,,,
14,960,Trees and Graphs,Quiz,,,,,,
10,2187,Encryption Methods,Lecture,,,,,,
8,1168,Trees and Graphs,Lecture,,,,,,
11,1343,Web Development Basics,Lecture,,49.0,0.408,62.51,49.278,
11,2198,Network Protocols,Quiz,Easy,,,,,
9,1207,Network Protocols,Lecture,,,,,,
11,528,Big Data Overview,Lecture,,,,,,
2,1296,Trees and Graphs,Lecture,,48.0,0.479,67.396,53.219,0.89
1,121,Python for Data Science,Lecture,,46.0,0.543,77.304,46.217,4.62
13,78,OS Scheduling,Lecture,,,,,,
5,743,OOP Concepts,Quiz,,,,,,
7,1033,Linked Lists,Assignment,,52.0,0.712,81.519,55.867,0.93
2,524,Search Algorithms,Quiz,Hard,47.0,0.617,77.489,48.434,
6,918,Concurrency,Lecture,,,,,,
8,1216,SQL Joins,Lecture,,,,,,
13,639,Big Data Overview,Assignment,,,,,,
2,171,OOP Concepts,Lecture,,,,,,
10,234,Data Structures Overview,Lecture,,,,,,
9,151,Ethics in AI,Quiz,Hard,,,,,
12,244,Design Patterns,Assignment,,,,,,
15,1680,Data Structures Overview,Lecture,,,,,,
14,1003,Computer Vision Intro,Lecture,,,,,,
4,1763,Memory Management,Lecture,,,,,,
15,1385,Memory Management,Assignment,,,,,,
1,1345,Data Structures Overview,Quiz,Hard,,,,,
4,1467,Database Normalization,Quiz,Medium,,,,,
7,865,Dynamic Programming,Lecture,,49.0,0.571,78.959,51.055,1.7
5,1600,Concurrency,Quiz,,,,,,
15,2077,Untitled,Assignment,,59.0,0.542,70.254,53.781,5.38
9,338,Design Patterns,Lecture,,,,,,
3,614,Neural Networks,Lecture,,,,,,
15,2073,Web Development Basics,Lecture,,41.0,0.537,75.415,55.583,5.56
11,203,Memory Management,Assignment,,,,,,
2,324,Data Structures Overview,Assignment,,,,,,
5,786,Python for Data Science,Lecture,,48.0,0.667,76.146,56.648,3.78
1,980,Dynamic Programming,Lecture,,46.0,0.5,71.435,52.707,0.88
13,779,Encryption Methods,Assignment,,,,,,
4,1502,Introduction to the Course,Lecture,,,,,,
8,2170,Ethics in AI,Quiz,,,,,,
2,231,Concurrency,Assignment,,56.0,0.536,68.75,51.841,1.73
5,1702,Indexing & Performance,Assignment,,,,,,
14,1020,Dynamic Programming,Lecture,,,,,,
7,1617,Cybersecurity Fundamentals,Quiz,Easy,46.0,0.63,79.457,43.967,1.47
10,585,Concurrency,Quiz,,,,,,
10,1071,SQL Joins,Assignment,,,,,,
6,336,SQL Joins,Assignment,,49.0,0.429,66.633,42.714,4.27
12,1888,Introduction to the Course,Quiz,Hard,,,,,
3,1474,OOP Concepts,Lecture,,,,,,
3,2164,Network Protocols,Quiz,Hard,,,,,
3,943,Big Data Overview,Assignment,,62.0,0.645,73.403,52.51,1.17
11,390,Computer Vision Intro,Quiz,Hard,62.0,0.5,68.0,49.487,9.9
12,1124,Data Structures Overview,Lecture,,,,,,
3,1459,SQL Joins,Lecture,,48.0,0.583,69.146,54.785,3.65
4,1791,Untitled,Assignment,,,,,,
9,886,REST APIs,Quiz,Hard,,,,,
8,156,Python for Data Science,Assignment,,44.0,0.545,77.182,50.277,10.06
5,950,Concurrency,Lecture,,55.0,0.527,68.927,52.038,0.87
15,1434,Dynamic Programming,Quiz,,39.0,0.462,68.564,53.654,0.89
1,428,Untitled,Lecture,,,,,,
11,1450,Computer Vision Intro,Lecture,,,,,,
7,1299,Network Protocols,Lecture,,,,,,
7,1189,Sorting Algorithms,Quiz,Easy,,,,,
5,1615,Dynamic Programming,Lecture,,,,,,
5,799,SQL Joins,Assignment,,,,,,
10,948,Neural Networks,Quiz,,49.0,0.694,85.408,57.01,3.8
10,975,Database Normalization,Assignment,,,,,,
10,1026,OOP Concepts,Lecture,,,,,,
5,967,Untitled,Lecture,,,,,,
3,2158,Computer Vision Intro,Quiz,Easy,,,,,
13,1418,REST APIs,Assignment,,,,,,
9,620,Sorting Algorithms,Quiz,Medium,44.0,0.523,66.614,51.975,3.47
5,2110,Cloud Architecture,Assignment,,,,,,
6,43,Data Structures Overview,Quiz,Easy,,,,,
5,1771,Data Structures Overview,Lecture,,,,,,
12,1212,OS Scheduling,Lecture,,47.0,0.574,73.383,44.911,2.99
10,1285,Database Normalization,Assignment,,,,,,
11,2114,OOP Concepts,Quiz,Easy,,,,,
7,22,Design Patterns,Assignment,,,,,,
5,314,Python for Data Science,Lecture,,49.0,0.51,65.306,53.529,1.19
12,888,Memory Management,Quiz,Medium,,,,,
2,1142,OOP Concepts,Quiz,Medium,,,,,
10,1097,Memory Management,Lecture,,53.0,0.642,72.755,63.13,3.16
14,1683,Sorting Algorithms,Lecture,,,,,,
14,262,Untitled,Lecture,,,,,,
13,1403,Cybersecurity Fundamentals,Lecture,,,,,,
1,2064,OS Scheduling,Lecture,,,,,,
1,2212,Concurrency,Quiz,Easy,,,,,
8,791,Untitled,Lecture,,,,,,
2,715,Introduction to the Course,Lecture,,,,,,
12,1245,Trees and Graphs,Quiz,Hard,,,,,
11,789,Database Normalization,Quiz,Hard,,,,,
2,1073,Design Patterns,Quiz,Hard,,,,,
2,996,Dynamic Programming,Lecture,,,,,,
8,2163,Untitled,Assignment,,58.0,0.5,68.31,44.893,2.24
3,1859,Data Structures Overview,Lecture,,,,,,
13,1093,Cloud Architecture,Lecture,,,,,,
2,2069,Introduction to the Course,Lecture,,,,,,
7,296,Indexing & Performance,Quiz,Easy,,,,,
7,1335,Computer Vision Intro,Lecture,,49.0,0.714,84.143,59.067,1.31
10,679,Network Protocols,Assignment,,,,,,
14,1294,Data Structures Overview,Lecture,,,,,,
10,2062,Indexing & Performance,Assignment,,,,,,
14,629,OOP Concepts,Lecture,,,,,,
10,450,Web Development Basics,Lecture,,,,,,
8,2112,Dynamic Programming,Lecture,,,,,,
3,1250,Web Development Basics,Quiz,Hard,,,,,
5,287,Data Structures Overview,Quiz,Medium,,,,,
13,2003,Cloud Architecture,Quiz,,,,,,
2,1,SQL Joins,Quiz,Hard,,,,,
13,1273,Database Normalization,Lecture,,,,,,
14,977,Search Algorithms,Assignment,,,,,,
12,1491,Indexing & Performance,Lecture,,,,,,
10,1126,Encryption Methods,Assignment,,,,,,
10,672,Memory Management,Lecture,,46.0,0.652,77.804,54.791,
6,60,Big Data Overview,Quiz,Medium,,,,,
15,388,Introduction to the Course,Assignment,,47.0,0.681,75.957,55.121,
15,1912,Encryption Methods,Quiz,Easy,,,,,
4,221,Concurrency,Assignment,,,,,,
13,619,Trees and Graphs,Quiz,Hard,,,,,
3,1560,Data Structures Overview,Quiz,,,,,,
9,2066,Sorting Algorithms,Lecture,,39.0,0.615,74.231,55.874,5.59
14,306,Memory Management,Quiz,,48.0,0.542,66.854,50.458,3.36
2,649,Trees and Graphs,Lecture,,,,,,
10,1654,Untitled,Lecture,,55.0,0.545,65.764,55.975,11.19
1,2038,Database Normalization,Lecture,,,,,,
8,17,Indexing & Performance,Lecture,,,,,,
12,1366,Introduction to the Course,Assignment,,,,,,
11,94,Computer Vision Intro,Lecture,,,,,,
15,345,Trees and Graphs,Lecture,,52.0,0.538,69.827,41.452,8.29
5,451,Web Development Basics,Lecture,,,,,,
13,625,Trees and Graphs,Lecture,,,,,,
7,224,Design Patterns,Lecture,,,,,,
14,1275,Design Patterns,Assignment,,,,,,
13,2053,REST APIs,Lecture,,,,,,
3,1268,Python for Data Science,Lecture,,,,,,
15,1905,Cloud Architecture,Lecture,,48.0,0.625,81.896,49.988,10.0
7,35,SQL Joins,Lecture,,,,,,
15,1735,SQL Joins,Assignment,,,,,,
11,1944,REST APIs,Lecture,,,,,,
10,526,OS Scheduling,Lecture,,,,,,
9,988,REST APIs,Lecture,,,,,,
2,887,Concurrency,Quiz,Medium,,,,,
2,1846,Python for Data Science,Assignment,,,,,,
5,862,Neural Networks,Lecture,,55.0,0.473,61.6,47.745,
13,236,Encryption Methods,Assignment,,,,,,
8,558,Python for Data Science,Lecture,,,,,,
10,1111,Encryption Methods,Lecture,,55.0,0.418,58.491,42.618,0.95
12,893,Sorting Algorithms,Quiz,Easy,,,,,
7,1990,Web Development Basics,Assignment,,,,,,
15,769,Untitled,Lecture,,,,,,
12,841,Big Data Overview,Quiz,Easy,,,,,
3,399,SQL Joins,Lecture,,,,,,
5,1326,Cloud Architecture,Lecture,,,,,,
13,292,Data Structures Overview,Lecture,,,,,,
4,1198,Ethics in AI,Lecture,,,,,,
3,1975,Design Patterns,Assignment,,,,,,
3,490,Cybersecurity Fundamentals,Assignment,,66.0,0.576,71.591,47.971,9.59
13,650,OOP Concepts,Assignment,,,,,,
3,400,Design Patterns,Lecture,,,,,,
13,1290,Concurrency,Quiz,Hard,49.0,0.592,78.592,56.459,2.82
9,1638,Machine Learning Basics,Quiz,Hard,,,,,
11,149,Dynamic Programming,Lecture,,,,,,
8,80,Untitled,Lecture,,,,,,
5,1772,Memory Management,Quiz,Easy,,,,,
3,1698,Network Protocols,Assignment,,,,,,
12,418,Data Structures Overview,Assignment,,,,,,
15,2113,Untitled,Lecture,,,,,,
9,1500,Big Data Overview,Quiz,,,,,,
14,516,Linked Lists,Lecture,,,,,,
2,2060,Computer Vision Intro,Lecture,,,,,,
8,666,Computer Vision Intro,Lecture,,,,,,
8,1720,Cybersecurity Fundamentals,Lecture,,48.0,0.458,68.208,44.815,1.49
11,1323,Sorting Algorithms,Lecture,,,,,,
