InstructorId,Id,Title,DepartmentName,ActualEnrolledCount,CreditHours,AvgQuizScore,QuizPassRate,CompletionRate,TotalAttempts
2,51,Discrete Mathematics,Cyber Security,60,4,53.63,0.31,0.53,126.0
3,52,Operating Systems,Computer Science,48,3,55.83,0.24,0.53,71.0
11,53,Discrete Mathematics,Artificial Intelligence,78,1,56.98,0.34,0.52,82.0
13,54,Artificial Intelligence,Cyber Security,68,3,56.41,0.26,0.57,34.0
6,55,Computer Networks,Artificial Intelligence,0,4,52.75,0.28,0.0,40.0
4,56,Data Science,Computer Science,75,4,48.58,0.27,0.54,131.0
1,57,Web Development,Computer Science,59,3,0.0,0.0,0.0,0.0
12,58,Software Engineering,Cyber Security,62,2,54.8,0.37,0.44,52.0
15,59,Machine Learning,Computer Science,68,1,0.0,0.0,0.0,0.0
9,60,Algorithms,Artificial Intelligence,0,3,54.25,0.29,0.0,69.0
13,61,Mobile App Development,Cyber Security,61,2,51.23,0.25,0.57,131.0
9,62,Machine Learning,Computer Science,64,4,62.47,0.39,0.59,31.0
13,63,Computer Networks,Computer Science,69,2,54.54,0.35,0.56,124.0
10,64,Database Systems,Artificial Intelligence,68,3,0.0,0.0,0.0,0.0
10,65,Algorithms,Artificial Intelligence,62,4,44.97,0.26,0.55,213.0
13,66,Computer Architecture,Artificial Intelligence,0,3,0.0,0.0,0.53,0.0
8,67,Operating Systems,Computer Science,56,3,61.22,0.41,0.58,49.0
14,68,Computer Networks,Artificial Intelligence,0,2,53.91,0.25,0.59,80.0
13,69,Computer Networks,Computer Science,70,3,54.29,0.26,0.52,35.0
2,70,Operating Systems,Cyber Security,62,2,0.0,0.0,0.52,0.0
11,71,Algorithms,Artificial Intelligence,69,2,53.39,0.23,0.7,35.0
9,72,Artificial Intelligence,Artificial Intelligence,72,2,49.75,0.25,0.54,158.0
12,73,Web Development,Artificial Intelligence,80,4,44.47,0.21,0.59,53.0
10,74,Computer Architecture,Cyber Security,50,2,50.15,0.28,0.56,148.0
4,75,Data Science,Cyber Security,54,1,0.0,0.0,0.57,0.0
3,76,Computer Networks,Cyber Security,57,3,46.84,0.24,0.56,107.0
13,77,Mobile App Development,Computer Science,63,2,63.27,0.39,0.55,38.0
8,78,Artificial Intelligence,Artificial Intelligence,59,2,45.04,0.25,0.0,151.0
13,79,Cyber Security Fundamentals,Computer Science,69,3,52.5,0.26,0.44,66.0
15,80,Computer Architecture,Computer Science,58,4,43.96,0.21,0.63,71.0
7,81,Artificial Intelligence,Computer Science,61,4,0.0,0.0,0.59,0.0
5,82,Data Science,Artificial Intelligence,0,4,48.89,0.3,0.53,61.0
13,83,Machine Learning,Artificial Intelligence,0,2,0.0,0.0,0.0,0.0
14,84,Database Systems,Artificial Intelligence,72,1,48.22,0.29,0.52,91.0
1,85,Artificial Intelligence,Artificial Intelligence,68,1,44.4,0.22,0.6,108.0
2,86,Database Systems,Cyber Security,61,3,55.8,0.3,0.58,175.0
10,87,Web Development,Computer Science,79,2,56.85,0.31,0.58,81.0
10,88,Cloud Computing,Artificial Intelligence,68,4,0.0,0.0,0.5,0.0
5,89,Cyber Security Fundamentals,Computer Science,65,4,40.25,0.21,0.61,42.0
4,90,Discrete Mathematics,Artificial Intelligence,0,2,57.24,0.25,0.62,72.0
8,91,Computer Architecture,Cyber Security,52,3,50.34,0.22,0.54,67.0
13,92,Web Development,Artificial Intelligence,68,4,0.0,0.0,0.53,0.0
11,93,Machine Learning,Computer Science,68,3,59.35,0.31,0.45,65.0
10,94,Data Science,Artificial Intelligence,53,2,52.06,0.27,0.55,77.0
13,95,Software Engineering,Computer Science,67,2,0.0,0.0,0.51,0.0
6,96,Database Systems,Computer Science,55,4,0.0,0.0,0.0,0.0
15,97,Computer Networks,Artificial Intelligence,0,4,57.38,0.4,0.44,104.0
4,98,Machine Learning,Cyber Security,57,2,47.21,0.24,0.59,59.0
14,99,Mobile App Development,Cyber Security,63,3,52.15,0.21,0.58,70.0
4,100,Software Engineering,Computer Science,65,3,43.78,0.27,0.54,73.0
14,101,Web Development,Cyber Security,58,3,55.26,0.34,0.49,71.0
14,102,Discrete Mathematics,Artificial Intelligence,0,3,63.42,0.33,0.6,33.0
15,103,Web Development,Artificial Intelligence,0,4,48.66,0.29,0.56,77.0
3,104,Mobile App Development,Artificial Intelligence,0,1,0.0,0.0,0.0,0.0
9,105,Computer Networks,Artificial Intelligence,0,2,50.34,0.29,0.66,135.0
14,106,Software Engineering,Artificial Intelligence,56,4,56.84,0.33,0.6,129.0
12,107,Software Engineering,Artificial Intelligence,60,2,0.0,0.0,0.52,0.0
4,108,Software Engineering,Computer Science,78,2,52.49,0.31,0.0,51.0
4,109,Artificial Intelligence,Computer Science,60,4,0.0,0.0,0.63,0.0
6,110,Software Engineering,Artificial Intelligence,56,2,54.03,0.34,0.56,29.0
10,111,Cyber Security Fundamentals,Artificial Intelligence,64,3,49.33,0.24,0.55,123.0
8,112,Operating Systems,Artificial Intelligence,0,1,43.33,0.22,0.56,50.0
13,113,Database Systems,Artificial Intelligence,0,4,53.22,0.24,0.56,38.0
1,114,Mobile App Development,Artificial Intelligence,0,4,52.87,0.3,0.57,222.0
2,115,Artificial Intelligence,Cyber Security,65,3,44.88,0.22,0.0,37.0
15,116,Data Structures,Artificial Intelligence,0,3,56.42,0.32,0.6,31.0
15,117,Data Structures,Artificial Intelligence,66,2,48.24,0.29,0.58,122.0
3,118,Computer Networks,Computer Science,74,2,58.12,0.33,0.58,63.0
8,119,Cyber Security Fundamentals,Computer Science,56,3,46.62,0.26,0.61,65.0
14,120,Data Science,Cyber Security,72,2,52.13,0.31,0.54,59.0
15,121,Mobile App Development,Computer Science,58,4,0.0,0.0,0.54,0.0
12,122,Mobile App Development,Artificial Intelligence,0,2,0.0,0.0,0.54,0.0
1,123,Cloud Computing,Computer Science,70,3,54.65,0.38,0.51,53.0
11,124,Discrete Mathematics,Artificial Intelligence,58,3,0.0,0.0,0.6,0.0
15,125,Operating Systems,Artificial Intelligence,0,4,0.0,0.0,0.71,0.0
8,126,Machine Learning,Artificial Intelligence,65,3,0.0,0.0,0.0,0.0
5,127,Computer Architecture,Computer Science,65,2,52.8,0.22,0.66,50.0
10,128,Artificial Intelligence,Artificial Intelligence,47,4,47.84,0.22,0.52,139.0
2,129,Discrete Mathematics,Computer Science,60,4,49.69,0.3,0.6,64.0
10,130,Computer Architecture,Artificial Intelligence,70,3,45.93,0.3,0.57,33.0
12,131,Machine Learning,Artificial Intelligence,57,3,54.58,0.27,0.52,79.0
13,132,Mobile App Development,Artificial Intelligence,0,2,49.79,0.24,0.54,33.0
9,133,Computer Networks,Artificial Intelligence,65,4,0.0,0.0,0.0,0.0
2,134,Web Development,Artificial Intelligence,65,2,0.0,0.0,0.0,0.0
1,135,Data Science,Artificial Intelligence,63,4,0.0,0.0,0.54,0.0
5,136,Operating Systems,Artificial Intelligence,57,1,0.0,0.0,0.56,0.0
10,137,Computer Networks,Computer Science,63,4,0.0,0.0,0.52,0.0
14,138,Algorithms,Computer Science,57,4,0.0,0.0,0.54,0.0
7,139,Artificial Intelligence,Artificial Intelligence,0,4,46.47,0.25,0.5,36.0
10,140,Operating Systems,Cyber Security,66,3,50.6,0.21,0.56,48.0
1,141,Computer Networks,Cyber Security,61,4,49.33,0.3,0.54,122.0
10,142,Algorithms,Artificial Intelligence,0,3,52.26,0.3,0.55,163.0
6,143,Database Systems,Computer Science,61,3,56.69,0.34,0.59,225.0
10,144,Software Engineering,Artificial Intelligence,0,2,0.0,0.0,0.59,0.0
10,145,Web Development,Artificial Intelligence,51,1,0.0,0.0,0.53,0.0
6,146,Operating Systems,Cyber Security,64,3,48.37,0.3,0.6,71.0
9,147,Data Science,Cyber Security,71,2,51.68,0.26,0.62,68.0
5,148,Algorithms,Artificial Intelligence,0,2,55.37,0.36,0.57,64.0
7,149,Web Development,Cyber Security,69,4,54.93,0.27,0.48,78.0
9,150,Cyber Security Fundamentals,Cyber Security,65,2,0.0,0.0,0.56,0.0
12,151,Software Engineering,Computer Science,71,3,50.59,0.3,0.6,54.0
3,152,Operating Systems,Computer Science,58,3,0.0,0.0,0.55,0.0
4,153,Algorithms,Artificial Intelligence,59,3,45.52,0.28,0.59,40.0
11,154,Software Engineering,Cyber Security,67,4,0.0,0.0,0.6,0.0
1,155,Data Structures,Artificial Intelligence,0,4,53.08,0.3,0.53,273.0
1,156,Algorithms,Cyber Security,71,4,50.72,0.31,0.53,206.0
5,157,Mobile App Development,Cyber Security,69,2,40.33,0.22,0.38,73.0
10,158,Mobile App Development,Artificial Intelligence,76,3,0.0,0.0,0.63,0.0
11,159,Data Science,Computer Science,66,6,57.67,0.24,0.6,37.0
11,160,Computer Architecture,Computer Science,53,4,49.82,0.27,0.53,74.0
3,161,Cyber Security Fundamentals,Artificial Intelligence,0,2,51.18,0.32,0.47,133.0
11,162,Cloud Computing,Computer Science,71,1,0.0,0.0,0.0,0.0
3,163,Data Science,Artificial Intelligence,0,3,0.0,0.0,0.48,0.0
10,164,Data Science,Artificial Intelligence,65,4,0.0,0.0,0.52,0.0
9,165,Computer Networks,Artificial Intelligence,0,3,44.95,0.22,0.52,67.0
2,166,Discrete Mathematics,Artificial Intelligence,64,1,47.06,0.3,0.53,56.0
9,167,Operating Systems,Cyber Security,69,1,0.0,0.0,0.51,0.0
10,168,Web Development,Cyber Security,70,2,57.16,0.31,0.0,59.0
15,169,Cyber Security Fundamentals,Computer Science,68,3,49.89,0.29,0.5,56.0
5,170,Data Science,Computer Science,66,4,46.05,0.25,0.67,64.0
11,171,Mobile App Development,Artificial Intelligence,67,2,0.0,0.0,0.57,0.0
10,172,Database Systems,Artificial Intelligence,0,3,0.0,0.0,0.5,0.0
6,173,Mobile App Development,Cyber Security,64,1,52.67,0.27,0.6,179.0
14,174,Web Development,Artificial Intelligence,0,2,55.68,0.31,0.56,29.0
7,175,Discrete Mathematics,Artificial Intelligence,0,4,49.44,0.27,0.58,41.0
4,176,Cyber Security Fundamentals,Artificial Intelligence,0,2,54.89,0.3,0.49,157.0
10,177,Data Science,Computer Science,60,1,0.0,0.0,0.52,0.0
1,178,Algorithms,Cyber Security,68,2,0.0,0.0,0.62,0.0
10,179,Data Science,Computer Science,59,2,0.0,0.0,0.69,0.0
15,180,Discrete Mathematics,Artificial Intelligence,74,2,47.79,0.26,0.6,122.0
10,181,Operating Systems,Artificial Intelligence,65,3,52.34,0.29,0.58,283.0
12,182,Data Structures,Cyber Security,64,1,53.88,0.26,0.54,50.0
13,183,Computer Architecture,Cyber Security,69,1,0.0,0.0,0.52,0.0
12,184,Algorithms,Artificial Intelligence,0,3,53.37,0.29,0.6,143.0
14,185,Data Science,Artificial Intelligence,0,2,0.0,0.0,0.57,0.0
11,186,Algorithms,Cyber Security,50,2,48.68,0.28,0.61,143.0
12,187,Operating Systems,Cyber Security,61,2,50.67,0.21,0.58,42.0
1,188,Web Development,Artificial Intelligence,58,3,0.0,0.0,0.51,0.0
10,189,Artificial Intelligence,Artificial Intelligence,69,3,0.0,0.0,0.65,0.0
11,190,Computer Architecture,Cyber Security,72,4,44.1,0.19,0.49,31.0
10,191,Data Structures,Artificial Intelligence,59,3,53.3,0.35,0.52,60.0
11,192,Computer Networks,Artificial Intelligence,72,3,0.0,0.0,0.6,0.0
14,193,Operating Systems,Cyber Security,44,1,0.0,0.0,0.55,0.0
12,194,Algorithms,Cyber Security,68,2,54.52,0.36,0.52,45.0
6,195,Computer Architecture,Artificial Intelligence,0,4,0.0,0.0,0.0,0.0
8,196,Database Systems,Artificial Intelligence,64,2,0.0,0.0,0.54,0.0
6,197,Computer Networks,Artificial Intelligence,52,2,0.0,0.0,0.57,0.0
13,198,Machine Learning,Cyber Security,72,4,53.67,0.28,0.45,39.0
6,199,Cloud Computing,Artificial Intelligence,0,4,53.71,0.28,0.0,86.0
10,200,Algorithms,Cyber Security,68,4,0.0,0.0,0.0,0.0
