InstructorId,CourseId,Title,Students,AvgProgress,CompletionRate
10,181,Operating Systems,65,72.3,0.576
10,189,Artificial Intelligence,69,72.49,0.647
10,191,Data Structures,59,69.6,0.52
10,200,Algorithms,68,,
11,14,Computer Architecture,57,,
11,53,Discrete Mathematics,78,67.923,0.519
11,71,Algorithms,69,82.5,0.7
11,93,Machine Learning,68,61.111,0.451
11,124,Discrete Mathematics,58,72.577,0.596
11,154,Software Engineering,67,74.61,0.6
11,159,Data Science,66,70.54,0.6
11,160,Computer Architecture,53,69.708,0.526
11,162,Cloud Computing,71,,
11,171,Mobile App Development,67,72.016,0.568
11,186,Algorithms,50,72.176,0.608
11,190,Computer Architecture,72,64.537,0.488
11,192,Computer Networks,72,73.333,0.595
12,5,Discrete Mathematics,55,,
12,7,Operating Systems,54,70.707,0.54
12,43,Database Systems,55,71.03,0.543
12,58,Software Engineering,62,68.169,0.441
12,73,Web Development,80,71.459,0.587
12,107,Software Engineering,60,66.995,0.522
12,131,Machine Learning,57,66.571,0.522
12,151,Software Engineering,71,72.954,0.599
12,182,Data Structures,64,67.565,0.543
12,187,Operating Systems,61,70.136,0.576
12,194,Algorithms,68,64.841,0.523
13,21,Algorithms,65,73.982,0.618
13,54,Artificial Intelligence,68,78.532,0.574
13,61,Mobile App Development,61,69.386,0.566
13,63,Computer Networks,69,73.75,0.562
13,69,Computer Networks,70,68.802,0.519
13,77,Mobile App Development,63,69.845,0.547
13,79,Cyber Security Fundamentals,69,62.328,0.443
13,92,Web Development,68,69.224,0.534
13,95,Software Engineering,67,64.888,0.512
13,183,Computer Architecture,69,69.964,0.522
13,198,Machine Learning,72,62.759,0.448
14,6,Artificial Intelligence,62,,
14,33,Data Science,66,73.895,0.573
14,35,Data Structures,55,67.52,0.549
14,47,Machine Learning,65,68.428,0.553
14,84,Database Systems,72,69.779,0.519
14,99,Mobile App Development,63,71.518,0.578
14,101,Web Development,58,64.381,0.49
14,106,Software Engineering,56,73.01,0.604
14,120,Data Science,72,70.645,0.538
14,138,Algorithms,57,71.373,0.541
14,193,Operating Systems,44,69.281,0.547
15,4,Computer Networks,75,71.71,0.574
15,12,Discrete Mathematics,68,,
15,16,Algorithms,70,69.619,0.526
15,30,Machine Learning,60,66.809,0.527
15,32,Computer Architecture,76,72.047,0.535
15,37,Database Systems,65,71.936,0.617
15,59,Machine Learning,68,,
15,80,Computer Architecture,58,77.227,0.631
15,117,Data Structures,66,73.432,0.58
15,121,Mobile App Development,58,72.517,0.541
15,169,Cyber Security Fundamentals,68,65.596,0.502
15,180,Discrete Mathematics,74,71.16,0.598
