CourseId,DepartmentId,CreditHours,IsArchived,InstructorId,EnrolledStudents,TotalActivities,QuizCount,AssignmentCount,LectureCount,QuizDensity,AssignmentDensity,CompletionRate,AvgProgress,AvgTimeMinutes,DropoutRate,AvgQuizScore,QuizPassRate,AvgAttempts,TotalAttempts,AvgAssignGrade,AssignLateRate,CourseDifficultyIndex
31,3,4,True,3,76.0,11,2,2,7,0.1818,0.1818,0.564,74.109,48.935,0.436,49.378,0.304,1.411,112.0,13.893,0.418,0.5461
32,2,3,False,15,76.0,15,4,2,9,0.2667,0.1333,0.535,72.047,45.36,0.465,46.061,0.308,1.365,52.0,0.0,0.0,0.5655
33,1,4,True,14,66.0,14,4,2,8,0.2857,0.1429,0.573,73.895,51.501,0.427,50.764,0.306,1.661,121.0,12.11,0.0,0.5378
34,3,2,True,5,59.0,9,2,4,3,0.2222,0.4444,0.541,72.961,49.61,0.459,0.0,0.0,0.0,0.0,18.523,0.283,0.0
35,2,2,False,14,55.0,8,0,3,5,0.0,0.375,0.549,67.52,53.494,0.451,0.0,0.0,0.0,0.0,18.549,0.54,0.0
36,3,3,False,10,71.0,7,0,2,5,0.0,0.2857,0.514,69.743,50.443,0.486,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,3,6,True,15,65.0,7,1,3,3,0.1429,0.4286,0.617,71.936,50.316,0.383,41.771,0.19,1.552,58.0,0.0,0.0,0.5918
38,2,2,False,4,62.0,18,5,0,13,0.2778,0.0,0.531,70.475,48.764,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2,2,False,12,0.0,4,3,0,1,0.75,0.0,0.5,67.808,50.588,0.5,47.114,0.263,1.684,76.0,0.0,0.0,0.5886
40,1,3,False,10,54.0,11,4,2,5,0.3636,0.1818,0.545,68.242,52.438,0.455,51.455,0.301,1.417,156.0,0.0,0.0,0.5465
41,1,4,False,10,67.0,15,7,2,6,0.4667,0.1333,0.596,71.17,51.053,0.404,48.903,0.238,1.698,63.0,0.0,0.0,0.559
42,2,2,False,2,0.0,5,1,1,3,0.2,0.2,0.541,71.214,48.766,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,3,2,False,12,55.0,15,7,1,7,0.4667,0.0667,0.543,71.03,51.198,0.457,49.441,0.36,1.315,111.0,11.698,0.0,0.5342
44,2,3,False,6,0.0,6,1,0,5,0.1667,0.0,0.564,71.718,53.477,0.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2,4,True,4,0.0,14,4,1,9,0.2857,0.0714,0.577,68.831,47.862,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2,6,True,7,73.0,18,1,7,10,0.0556,0.3889,0.537,68.793,49.558,0.463,0.0,0.0,0.0,0.0,13.069,0.079,0.0
47,1,2,True,14,65.0,15,3,3,9,0.2,0.2,0.553,68.428,51.898,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,3,4,True,7,68.0,15,3,5,7,0.2,0.3333,0.575,68.95,49.53,0.425,51.632,0.283,1.697,145.0,0.0,0.0,0.5419
49,2,3,True,10,75.0,6,1,0,5,0.1667,0.0,0.617,77.489,48.434,0.383,58.174,0.405,1.0,37.0,0.0,0.0,0.4654
50,2,2,False,10,64.0,4,2,0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,3,4,False,2,60.0,12,3,2,7,0.25,0.1667,0.53,69.14,48.957,0.47,53.632,0.31,1.429,126.0,37.09,0.0,0.5412
52,1,3,False,3,48.0,8,3,3,2,0.375,0.375,0.526,69.495,47.189,0.474,55.833,0.239,1.0,71.0,11.28,0.0,0.5589
53,2,1,False,11,78.0,9,3,1,5,0.3333,0.1111,0.519,67.923,49.242,0.481,56.98,0.341,1.463,82.0,0.0,0.0,0.5234
54,3,3,True,13,68.0,13,3,3,7,0.2308,0.2308,0.574,78.532,52.211,0.426,56.412,0.265,1.0,34.0,9.669,0.314,0.5323
55,2,4,True,6,0.0,5,1,1,3,0.2,0.2,0.0,0.0,0.0,0.0,52.75,0.275,1.0,40.0,12.534,0.182,0.0
56,1,4,False,4,75.0,10,3,0,7,0.3,0.0,0.539,71.234,47.381,0.461,48.581,0.275,1.664,131.0,0.0,0.0,0.5667
57,1,3,True,1,59.0,4,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,3,2,True,12,62.0,7,3,2,2,0.4286,0.2857,0.441,68.169,47.275,0.559,54.803,0.365,1.635,52.0,21.22,0.0,0.5487
59,1,1,True,15,68.0,4,1,1,2,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2,3,False,9,0.0,9,3,1,5,0.3333,0.1111,0.0,0.0,0.0,0.0,54.249,0.29,1.493,69.0,20.541,0.206,0.0
61,3,2,False,13,61.0,11,6,1,4,0.5455,0.0909,0.566,69.386,50.489,0.434,51.231,0.252,1.275,131.0,0.0,0.0,0.5566
62,1,4,False,9,64.0,12,3,3,6,0.25,0.25,0.588,68.113,54.418,0.412,62.474,0.387,1.258,31.0,0.0,0.0,0.4668
63,1,2,False,13,69.0,15,6,4,5,0.4,0.2667,0.562,73.75,51.63,0.438,54.54,0.347,1.298,124.0,16.761,0.011,0.5152
64,2,3,True,10,68.0,3,0,1,2,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,2,4,True,10,62.0,9,4,0,5,0.4444,0.0,0.551,65.714,46.516,0.449,44.972,0.258,1.615,213.0,0.0,0.0,0.5804
66,2,3,False,13,0.0,5,1,2,2,0.2,0.4,0.527,70.436,48.384,0.473,0.0,0.0,0.0,0.0,12.5,0.049,0.0
67,1,3,False,8,56.0,12,4,2,6,0.3333,0.1667,0.583,72.545,49.797,0.417,61.22,0.408,1.327,49.0,9.424,0.0,0.4656
68,2,2,False,14,0.0,9,2,2,5,0.2222,0.2222,0.587,74.275,46.34,0.413,53.907,0.25,1.0,80.0,13.469,0.0,0.5413
69,1,3,True,13,70.0,7,2,2,3,0.2857,0.2857,0.519,68.802,46.236,0.481,54.289,0.257,1.0,35.0,24.327,0.102,0.5604
70,3,2,True,2,62.0,12,2,1,9,0.1667,0.0833,0.515,68.534,50.642,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,2,2,True,11,69.0,9,3,3,3,0.3333,0.3333,0.7,82.5,53.198,0.3,53.389,0.229,1.0,35.0,0.0,0.0,0.5124
72,2,2,False,9,72.0,12,6,1,5,0.5,0.0833,0.537,68.779,49.441,0.463,49.746,0.247,1.373,158.0,0.0,0.0,0.5728
73,2,4,False,12,80.0,16,3,1,12,0.1875,0.0625,0.587,71.459,50.317,0.413,44.469,0.208,1.321,53.0,0.0,0.0,0.5868
74,3,2,False,10,50.0,12,2,5,5,0.1667,0.4167,0.561,73.052,49.368,0.439,50.154,0.277,1.703,148.0,20.715,0.434,0.5535
75,3,1,False,4,54.0,8,3,2,3,0.375,0.25,0.566,69.151,57.142,0.434,0.0,0.0,0.0,0.0,32.243,0.0,0.0
76,3,3,False,3,57.0,15,3,5,7,0.2,0.3333,0.557,69.886,54.234,0.443,46.843,0.243,1.421,107.0,13.73,0.0,0.5772
77,1,2,True,13,63.0,12,5,3,4,0.4167,0.25,0.547,69.845,50.558,0.453,63.27,0.395,1.316,38.0,12.064,0.0,0.4751
78,2,2,False,8,59.0,9,3,3,3,0.3333,0.3333,0.0,0.0,0.0,0.0,45.045,0.252,1.497,151.0,33.152,0.643,0.0
79,1,3,False,13,69.0,12,3,4,5,0.25,0.3333,0.443,62.328,51.998,0.557,52.503,0.258,1.758,66.0,19.824,0.314,0.5913
80,1,4,True,15,58.0,13,7,3,3,0.5385,0.2308,0.631,77.227,51.596,0.369,43.965,0.211,1.634,71.0,12.438,0.0,0.5728
81,1,4,False,7,61.0,17,6,3,8,0.3529,0.1765,0.588,72.703,49.956,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2,4,True,5,0.0,15,5,3,7,0.3333,0.2,0.531,70.429,49.56,0.469,48.889,0.295,1.344,61.0,10.486,0.0,0.5617
83,2,2,False,13,0.0,4,1,1,2,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2,1,True,14,72.0,12,1,2,9,0.0833,0.1667,0.519,69.779,49.305,0.481,48.221,0.286,1.692,91.0,0.0,0.0,0.5709
85,2,1,False,1,68.0,18,5,4,9,0.2778,0.2222,0.599,75.593,52.314,0.401,44.403,0.222,1.62,108.0,9.676,0.012,0.5783
86,3,3,False,2,61.0,17,7,2,8,0.4118,0.1176,0.578,72.431,50.521,0.422,55.799,0.303,1.543,175.0,0.0,0.0,0.5203
87,1,2,False,10,79.0,12,4,1,7,0.3333,0.0833,0.58,72.249,50.249,0.42,56.851,0.309,1.222,81.0,0.0,0.0,0.5142
88,2,4,True,10,68.0,9,0,4,5,0.0,0.4444,0.5,69.2,49.575,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1,4,False,5,65.0,15,4,0,11,0.2667,0.0,0.609,74.232,50.965,0.391,40.25,0.214,1.214,42.0,0.0,0.0,0.5915
90,2,2,False,4,0.0,17,4,3,10,0.2353,0.1765,0.62,75.464,53.682,0.38,57.235,0.25,1.708,72.0,15.627,0.0,0.5192
91,3,3,False,8,52.0,5,1,1,3,0.2,0.2,0.544,72.087,49.65,0.456,50.345,0.224,1.701,67.0,0.0,0.0,0.5762
92,2,4,False,13,68.0,10,2,3,5,0.2,0.3,0.534,69.224,49.344,0.466,0.0,0.0,0.0,0.0,13.05,0.0,0.0
93,1,3,False,11,68.0,18,6,2,10,0.3333,0.1111,0.451,61.111,48.971,0.549,59.353,0.308,1.569,65.0,0.0,0.0,0.5492
94,2,2,False,10,53.0,7,2,1,4,0.2857,0.1429,0.549,65.216,57.296,0.451,52.065,0.273,1.169,77.0,0.0,0.0,0.5524
95,1,2,True,13,67.0,9,0,3,6,0.0,0.3333,0.512,64.888,52.181,0.488,0.0,0.0,0.0,0.0,9.24,0.0,0.0
96,1,4,False,6,55.0,5,0,2,3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.93,0.0,0.0
97,2,4,False,15,0.0,12,4,2,6,0.3333,0.1667,0.438,63.247,47.748,0.562,57.382,0.404,1.269,104.0,0.0,0.0,0.5281
98,3,2,True,4,57.0,7,1,0,6,0.1429,0.0,0.588,69.353,54.1,0.412,47.207,0.237,1.78,59.0,0.0,0.0,0.5676
99,3,3,True,14,63.0,10,1,5,4,0.1,0.5,0.578,71.518,50.037,0.422,52.155,0.214,1.329,70.0,19.043,0.148,0.5622
100,1,3,False,4,65.0,5,2,1,2,0.4,0.2,0.545,70.475,51.913,0.455,43.777,0.274,1.699,73.0,11.122,0.2,0.5811
101,3,3,False,14,58.0,9,2,0,7,0.2222,0.0,0.49,64.381,47.482,0.51,55.26,0.338,1.648,71.0,0.0,0.0,0.5398
102,2,3,True,14,0.0,5,2,1,2,0.4,0.2,0.597,74.826,53.432,0.403,63.42,0.333,1.333,33.0,13.766,0.0,0.4786
103,2,4,True,15,0.0,17,6,3,8,0.3529,0.1765,0.556,75.23,52.812,0.444,48.66,0.286,1.688,77.0,9.343,0.0,0.5571
104,2,1,True,3,0.0,5,2,1,2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2,2,False,9,0.0,7,5,0,2,0.7143,0.0,0.664,79.755,51.73,0.336,50.342,0.289,1.719,135.0,0.0,0.0,0.5145
106,2,4,False,14,56.0,14,3,2,9,0.2143,0.1429,0.604,73.01,53.561,0.396,56.844,0.333,1.434,129.0,0.0,0.0,0.4982
107,2,2,False,12,60.0,15,3,4,8,0.2,0.2667,0.522,66.995,51.273,0.478,0.0,0.0,0.0,0.0,13.091,0.67,0.0
108,1,2,True,4,78.0,8,3,2,3,0.375,0.25,0.0,0.0,0.0,0.0,52.486,0.314,1.686,51.0,19.357,0.318,0.0
109,1,4,False,4,60.0,11,2,4,5,0.1818,0.3636,0.628,75.86,50.802,0.372,0.0,0.0,0.0,0.0,13.528,0.0,0.0
110,2,2,True,6,56.0,15,1,5,9,0.0667,0.3333,0.562,69.886,52.249,0.438,54.026,0.345,1.0,29.0,0.0,0.0,0.5176
111,2,3,False,10,64.0,9,5,1,3,0.5556,0.1111,0.553,71.322,51.189,0.447,49.328,0.236,1.537,123.0,0.0,0.0,0.5726
112,2,1,True,8,0.0,17,5,1,11,0.2941,0.0588,0.558,71.396,49.224,0.442,43.327,0.22,1.26,50.0,0.0,0.0,0.5962
113,2,4,False,13,0.0,13,4,4,5,0.3077,0.3077,0.562,73.994,50.44,0.438,53.219,0.237,1.0,38.0,22.115,0.0,0.5563
114,2,4,True,1,0.0,15,4,3,8,0.2667,0.2,0.573,73.957,50.308,0.427,52.87,0.302,1.734,222.0,0.0,0.0,0.5321
115,3,3,True,2,65.0,8,4,1,3,0.5,0.125,0.0,0.0,0.0,0.0,44.878,0.216,1.378,37.0,0.0,0.0,0.0
116,2,3,True,15,0.0,15,1,2,12,0.0667,0.1333,0.602,74.075,49.793,0.398,56.424,0.323,1.0,31.0,9.908,0.0,0.5036
117,2,2,True,15,66.0,20,8,4,8,0.4,0.2,0.58,73.432,47.488,0.42,48.239,0.287,1.623,122.0,21.949,0.525,0.5502
118,1,2,False,3,74.0,17,5,3,9,0.2941,0.1765,0.577,70.697,50.512,0.423,58.12,0.333,1.365,63.0,11.893,0.095,0.5029
119,1,3,True,8,56.0,15,4,3,8,0.2667,0.2,0.614,76.076,50.895,0.386,46.625,0.262,1.615,65.0,0.0,0.0,0.5526
120,3,2,True,14,72.0,18,2,4,12,0.1111,0.2222,0.538,70.645,51.484,0.462,52.129,0.305,1.627,59.0,16.408,0.045,0.5452
121,1,4,False,15,58.0,11,3,1,7,0.2727,0.0909,0.541,72.517,48.551,0.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2,2,False,12,0.0,8,1,2,5,0.125,0.25,0.54,70.035,54.934,0.46,0.0,0.0,0.0,0.0,14.181,0.0,0.0
123,1,3,False,1,70.0,4,1,0,3,0.25,0.0,0.506,66.409,50.214,0.494,54.65,0.377,1.321,53.0,0.0,0.0,0.5235
124,2,3,False,11,58.0,7,1,0,6,0.1429,0.0,0.596,72.577,43.931,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2,4,True,15,0.0,3,0,0,3,0.0,0.0,0.709,83.236,58.551,0.291,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2,3,True,8,65.0,4,2,1,1,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,1,2,False,5,65.0,13,1,2,10,0.0769,0.1538,0.663,80.348,55.228,0.337,52.8,0.22,1.6,50.0,9.267,0.0,0.5297
128,2,4,False,10,47.0,17,7,1,9,0.4118,0.0588,0.525,67.489,52.276,0.475,47.844,0.216,1.647,139.0,0.0,0.0,0.5935
129,1,4,False,2,60.0,15,5,6,4,0.3333,0.4,0.603,75.397,49.658,0.397,49.692,0.297,1.75,64.0,29.369,0.104,0.5344
130,2,3,False,10,70.0,13,4,5,4,0.3077,0.3846,0.57,72.591,50.347,0.43,45.933,0.303,1.0,33.0,18.627,0.296,0.5559
131,2,3,True,12,57.0,12,3,1,8,0.25,0.0833,0.522,66.571,52.005,0.478,54.584,0.266,1.215,79.0,0.0,0.0,0.5554
132,2,2,True,13,0.0,15,1,4,10,0.0667,0.2667,0.542,70.059,51.185,0.458,49.789,0.242,1.0,33.0,20.232,0.577,0.5727
133,2,4,False,9,65.0,6,0,3,3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.464,0.067,0.0
134,2,2,True,2,65.0,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2,4,True,1,63.0,4,1,0,3,0.25,0.0,0.536,65.3,49.382,0.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2,1,True,5,57.0,5,2,1,2,0.4,0.2,0.563,72.905,50.676,0.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1,4,False,10,63.0,7,3,0,4,0.4286,0.0,0.515,67.717,53.68,0.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1,4,False,14,57.0,15,2,6,7,0.1333,0.4,0.541,71.373,48.941,0.459,0.0,0.0,0.0,0.0,21.076,0.194,0.0
139,2,4,False,7,0.0,8,3,0,5,0.375,0.0,0.5,68.367,49.903,0.5,46.469,0.25,1.0,36.0,0.0,0.0,0.5951
140,3,3,True,10,66.0,15,2,1,12,0.1333,0.0667,0.56,69.238,54.216,0.44,50.6,0.208,1.0,48.0,9.43,0.043,0.5753
141,3,4,True,1,61.0,14,4,2,8,0.2857,0.1429,0.544,71.175,52.954,0.456,49.329,0.303,1.672,122.0,0.0,0.0,0.5532
142,2,3,False,10,0.0,9,2,0,7,0.2222,0.0,0.555,70.404,52.656,0.445,52.262,0.301,1.718,163.0,0.0,0.0,0.5405
143,1,3,True,6,61.0,18,6,3,9,0.3333,0.1667,0.589,71.851,50.75,0.411,56.692,0.342,1.458,225.0,0.0,0.0,0.5007
144,2,2,True,10,0.0,17,4,1,12,0.2353,0.0588,0.587,72.986,50.627,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,2,1,True,10,51.0,6,0,2,4,0.0,0.3333,0.529,65.078,51.112,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,3,3,True,6,64.0,13,5,3,5,0.3846,0.2308,0.599,73.44,52.177,0.401,48.37,0.296,1.366,71.0,0.0,0.0,0.5404
147,3,2,True,9,71.0,14,5,2,7,0.3571,0.1429,0.619,74.227,52.41,0.381,51.676,0.265,1.706,68.0,64.443,0.898,0.5331
148,2,2,True,5,0.0,15,4,2,9,0.2667,0.1333,0.565,70.727,51.577,0.435,55.372,0.359,1.625,64.0,14.442,0.3,0.5074
149,3,4,True,7,69.0,13,4,3,6,0.3077,0.2308,0.483,62.775,53.34,0.517,54.929,0.269,1.167,78.0,21.698,0.0,0.5662
150,3,2,False,9,65.0,8,5,0,3,0.625,0.0,0.561,72.799,48.658,0.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,1,3,False,12,71.0,16,8,1,7,0.5,0.0625,0.599,72.954,46.234,0.401,50.586,0.296,1.778,54.0,0.0,0.0,0.533
152,1,3,False,3,58.0,9,1,1,7,0.1111,0.1111,0.549,66.51,50.408,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,2,3,False,4,59.0,18,5,3,10,0.2778,0.1667,0.588,71.781,49.576,0.412,45.52,0.275,1.0,40.0,0.0,0.0,0.5606
154,3,4,False,11,67.0,6,1,2,3,0.1667,0.3333,0.6,74.61,50.219,0.4,0.0,0.0,0.0,0.0,35.631,0.896,0.0
155,2,4,True,1,0.0,18,7,2,9,0.3889,0.1111,0.529,69.378,50.524,0.471,53.083,0.297,1.465,273.0,0.0,0.0,0.5477
156,3,4,True,1,71.0,10,3,2,5,0.3,0.2,0.533,67.018,52.376,0.467,50.718,0.311,1.723,206.0,23.681,0.011,0.5496
157,3,2,True,5,69.0,7,2,1,4,0.2857,0.1429,0.381,57.167,40.695,0.619,40.333,0.219,1.726,73.0,20.029,0.0,0.6656
158,2,3,False,10,76.0,5,0,1,4,0.0,0.2,0.628,80.047,46.807,0.372,0.0,0.0,0.0,0.0,12.93,0.0,0.0
159,1,6,True,11,66.0,16,6,4,6,0.375,0.25,0.6,70.54,50.191,0.4,57.667,0.243,1.0,37.0,12.423,0.476,0.5268
160,1,4,False,11,53.0,18,2,5,11,0.1111,0.2778,0.526,69.708,47.897,0.474,49.821,0.27,1.581,74.0,0.0,0.0,0.5686
161,2,2,False,3,0.0,15,5,4,6,0.3333,0.2667,0.472,66.075,47.762,0.528,51.184,0.316,1.571,133.0,10.424,0.184,0.5667
162,1,1,True,11,71.0,5,1,1,3,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,2,3,True,3,0.0,13,1,3,9,0.0769,0.2308,0.481,64.231,48.65,0.519,0.0,0.0,0.0,0.0,9.109,0.0,0.0
164,2,4,False,10,65.0,8,1,3,4,0.125,0.375,0.525,68.822,46.215,0.475,0.0,0.0,0.0,0.0,31.869,0.0,0.0
165,2,3,True,9,0.0,17,4,3,10,0.2353,0.1765,0.521,67.083,50.691,0.479,44.955,0.224,1.672,67.0,0.0,0.0,0.6018
166,2,1,True,2,64.0,9,2,3,4,0.2222,0.3333,0.532,64.979,50.047,0.468,47.057,0.304,1.375,56.0,28.927,0.185,0.5645
167,3,1,True,9,69.0,15,3,3,9,0.2,0.2,0.507,65.797,52.407,0.493,0.0,0.0,0.0,0.0,19.588,0.108,0.0
168,3,2,True,10,70.0,8,2,1,5,0.25,0.125,0.0,0.0,0.0,0.0,57.161,0.305,1.356,59.0,0.0,0.0,0.0
169,1,3,True,15,68.0,18,1,3,14,0.0556,0.1667,0.502,65.596,50.368,0.498,49.891,0.286,1.321,56.0,20.004,0.346,0.571
170,1,4,True,5,66.0,8,2,0,6,0.25,0.0,0.667,75.745,54.831,0.333,46.05,0.25,1.375,64.0,0.0,0.0,0.5408
171,2,2,True,11,67.0,5,1,3,1,0.2,0.6,0.568,72.016,47.686,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,2,3,False,10,0.0,5,2,1,2,0.4,0.2,0.5,64.688,52.377,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,3,1,False,6,64.0,14,2,3,9,0.1429,0.2143,0.603,75.139,49.703,0.397,52.674,0.268,1.581,179.0,0.0,0.0,0.5341
174,2,2,False,14,0.0,9,2,0,7,0.2222,0.0,0.557,70.039,51.999,0.443,55.679,0.31,1.0,29.0,0.0,0.0,0.5254
175,2,4,True,7,0.0,9,2,2,5,0.2222,0.2222,0.584,72.74,50.851,0.416,49.438,0.268,1.317,41.0,0.0,0.0,0.5512
176,2,2,True,4,0.0,12,4,0,8,0.3333,0.0,0.492,71.729,49.332,0.508,54.892,0.299,1.452,157.0,0.0,0.0,0.5534
177,1,1,False,10,60.0,5,0,0,5,0.0,0.0,0.522,70.217,45.854,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,3,2,False,1,68.0,7,0,4,3,0.0,0.5714,0.625,81.896,49.988,0.375,0.0,0.0,0.0,0.0,23.41,0.0,0.0
179,1,2,False,10,59.0,3,0,0,3,0.0,0.0,0.686,83.608,50.829,0.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,2,2,True,15,74.0,9,5,1,3,0.5556,0.1111,0.598,71.16,51.545,0.402,47.786,0.262,1.541,122.0,19.177,0.636,0.554
