QuizId,AvgAttempts,PassRate,TotalStudents,Title,CourseId
1239,1.4,0.26,30,Machine Learning Basics,117.0
1858,1.39,0.286,47,Database Normalization,173.0
1201,1.378,0.216,23,Neural Networks,115.0
296,1.377,0.246,38,Indexing & Performance,29.0
1789,1.375,0.304,35,Python for Data Science,166.0
1151,1.375,0.25,35,Encryption Methods,111.0
905,1.375,0.396,30,Concurrency,87.0
1841,1.375,0.25,40,Computer Vision Intro,170.0
1932,1.375,0.304,35,Network Protocols,181.0
887,1.373,0.288,37,Concurrency,86.0
1508,1.371,0.343,44,Network Protocols,143.0
84,1.37,0.333,34,Cybersecurity Fundamentals,8.0
1925,1.369,0.246,41,Encryption Methods,181.0
1546,1.366,0.296,45,Untitled,146.0
1246,1.365,0.333,40,Concurrency,118.0
138,1.365,0.346,33,Computer Vision Intro,16.0
337,1.365,0.308,33,Memory Management,32.0
1997,1.362,0.333,44,Sorting Algorithms,186.0
222,1.361,0.328,39,OS Scheduling,23.0
1811,1.356,0.305,38,Untitled,168.0
846,1.344,0.295,40,OOP Concepts,82.0
1999,1.342,0.263,25,Ethics in AI,186.0
727,1.338,0.284,49,Python for Data Science,72.0
1051,1.333,0.333,22,Neural Networks,102.0
1036,1.329,0.214,47,Trees and Graphs,99.0
419,1.327,0.306,33,Data Structures Overview,40.0
193,1.321,0.357,38,OS Scheduling,20.0
1828,1.321,0.286,38,Dynamic Programming,169.0
742,1.321,0.208,36,Introduction to the Course,73.0
1314,1.321,0.377,36,Cybersecurity Fundamentals,123.0
1398,1.321,0.264,36,Neural Networks,131.0
1885,1.317,0.268,28,Big Data Overview,175.0
785,1.316,0.395,26,Trees and Graphs,77.0
446,1.306,0.286,34,Indexing & Performance,43.0
560,1.303,0.364,23,OOP Concepts,53.0
789,1.303,0.289,53,Database Normalization,78.0
1115,1.302,0.283,37,,
1891,1.302,0.264,37,Indexing & Performance,176.0
1590,1.289,0.244,32,Web Development Basics,149.0
986,1.289,0.222,32,Indexing & Performance,94.0
311,1.261,0.261,34,Indexing & Performance,30.0
1164,1.26,0.22,37,Dynamic Programming,112.0
632,1.258,0.387,23,Neural Networks,62.0
776,1.238,0.238,32,Sorting Algorithms,76.0
934,1.214,0.214,33,Untitled,89.0
181,1.0,0.242,33,Introduction to the Course,20.0
143,1.0,0.333,42,Indexing & Performance,16.0
1,1.0,0.281,32,SQL Joins,1.0
160,1.0,0.045,22,SQL Joins,17.0
141,1.0,0.222,36,Memory Management,16.0
642,1.0,0.242,33,Untitled,63.0
549,1.0,0.234,47,Python for Data Science,52.0
547,1.0,0.25,24,Computer Vision Intro,52.0
565,1.0,0.265,34,Encryption Methods,54.0
537,1.0,0.318,44,Database Normalization,51.0
577,1.0,0.275,40,Untitled,55.0
291,1.0,0.286,28,Python for Data Science,29.0
327,1.0,0.289,38,Untitled,31.0
422,1.0,0.257,35,Introduction to the Course,40.0
716,1.0,0.31,29,Data Structures Overview,72.0
687,1.0,0.286,42,Cybersecurity Fundamentals,68.0
690,1.0,0.257,35,Trees and Graphs,69.0
708,1.0,0.229,35,Neural Networks,71.0
682,1.0,0.211,38,Python for Data Science,68.0
623,1.0,0.189,37,Search Algorithms,61.0
624,1.0,0.371,35,Linked Lists,61.0
1389,1.0,0.269,26,OOP Concepts,131.0
1142,1.0,0.345,29,OOP Concepts,110.0
909,1.0,0.182,33,Database Normalization,87.0
985,1.0,0.344,32,Untitled,94.0
1015,1.0,0.312,32,Machine Learning Basics,97.0
1383,1.0,0.303,33,Linked Lists,130.0
1089,1.0,0.364,44,Encryption Methods,106.0
1175,1.0,0.237,38,Cloud Architecture,113.0
1217,1.0,0.323,31,OOP Concepts,116.0
1467,1.0,0.208,48,Database Normalization,140.0
1463,1.0,0.25,36,Memory Management,139.0
1408,1.0,0.242,33,Encryption Methods,132.0
1667,1.0,0.222,36,Network Protocols,155.0
1514,1.0,0.353,34,Computer Vision Intro,143.0
1589,1.0,0.303,33,Indexing & Performance,149.0
1638,1.0,0.275,40,Machine Learning Basics,153.0
1653,1.0,0.229,35,OS Scheduling,155.0
1705,1.0,0.243,37,SQL Joins,159.0
1739,1.0,0.37,27,Design Patterns,161.0
1869,1.0,0.31,29,Dynamic Programming,174.0
1993,1.0,0.194,36,Linked Lists,186.0
2047,1.0,0.194,31,Data Structures Overview,190.0
2003,1.0,0.214,42,Cloud Architecture,187.0
1984,1.0,0.308,26,,
2114,1.0,0.282,39,OOP Concepts,198.0
