StudentId,TotalSubmissions,LateSubmissions,LateRate
2189,2,1,0.5
2676,2,1,0.5
2680,2,1,0.5
2698,2,1,0.5
2224,2,1,0.5
2833,2,1,0.5
2865,2,1,0.5
1929,2,1,0.5
1932,2,1,0.5
1943,4,2,0.5
1958,2,1,0.5
2029,4,2,0.5
2799,2,1,0.5
2039,4,2,0.5
2053,4,2,0.5
2896,2,1,0.5
2069,6,3,0.5
2912,4,2,0.5
2922,2,1,0.5
2923,6,3,0.5
2534,4,2,0.5
2544,2,1,0.5
2547,4,2,0.5
172,2,1,0.5
196,2,1,0.5
134,2,1,0.5
162,2,1,0.5
66,2,1,0.5
122,2,1,0.5
3204,2,1,0.5
3187,4,2,0.5
3177,6,3,0.5
3176,2,1,0.5
3026,4,2,0.5
3005,2,1,0.5
2952,2,1,0.5
2932,2,1,0.5
2909,2,1,0.5
1728,2,1,0.5
1718,2,1,0.5
3230,2,1,0.5
3260,2,1,0.5
3383,4,2,0.5
3399,2,1,0.5
3225,4,2,0.5
3413,4,2,0.5
3453,2,1,0.5
3508,4,2,0.5
3543,4,2,0.5
3575,4,2,0.5
3596,4,2,0.5
3598,4,2,0.5
1363,2,1,0.5
1379,2,1,0.5
1456,4,2,0.5
1744,4,2,0.5
1783,2,1,0.5
1842,4,2,0.5
1858,2,1,0.5
3412,4,2,0.5
3248,4,2,0.5
1566,6,3,0.5
1583,4,2,0.5
3625,2,1,0.5
3624,2,1,0.5
3650,2,1,0.5
3662,2,1,0.5
3665,4,2,0.5
3645,2,1,0.5
3688,4,2,0.5
3718,2,1,0.5
3726,2,1,0.5
3749,2,1,0.5
3754,4,2,0.5
3764,6,3,0.5
3834,2,1,0.5
3680,4,2,0.5
3837,4,2,0.5
3868,2,1,0.5
3919,4,2,0.5
3900,4,2,0.5
3930,2,1,0.5
3932,4,2,0.5
3951,6,3,0.5
3929,4,2,0.5
991,4,2,0.5
1005,6,3,0.5
1470,2,1,0.5
1505,2,1,0.5
1507,2,1,0.5
1550,4,2,0.5
1561,4,2,0.5
1714,4,2,0.5
1213,2,1,0.5
1205,2,1,0.5
1186,2,1,0.5
1128,6,3,0.5
1070,2,1,0.5
1079,6,3,0.5
3966,4,2,0.5
3998,4,2,0.5
782,4,2,0.5
788,4,2,0.5
4016,4,2,0.5
4028,4,2,0.5
4047,2,1,0.5
4087,2,1,0.5
4094,2,1,0.5
4099,4,2,0.5
940,2,1,0.5
960,2,1,0.5
4153,2,1,0.5
4158,2,1,0.5
4176,2,1,0.5
4187,6,3,0.5
4202,2,1,0.5
4212,4,2,0.5
4225,2,1,0.5
4233,2,1,0.5
816,2,1,0.5
860,4,2,0.5
861,2,1,0.5
895,2,1,0.5
917,4,2,0.5
918,6,3,0.5
4301,4,2,0.5
4300,4,2,0.5
4293,2,1,0.5
4285,2,1,0.5
4265,4,2,0.5
4259,4,2,0.5
4366,4,2,0.5
4335,2,1,0.5
4500,2,1,0.5
518,2,1,0.5
527,2,1,0.5
4355,4,2,0.5
4374,2,1,0.5
4418,2,1,0.5
4431,2,1,0.5
4485,2,1,0.5
727,6,3,0.5
716,2,1,0.5
652,2,1,0.5
624,6,3,0.5
581,2,1,0.5
4661,2,1,0.5
4629,6,3,0.5
741,2,1,0.5
4694,2,1,0.5
4688,4,2,0.5
4714,2,1,0.5
4736,4,2,0.5
4750,2,1,0.5
4741,2,1,0.5
4779,2,1,0.5
4997,4,2,0.5
