StudentId,SHAP_DepartmentId,SHAP_YearId,SHAP_SquadronId,SHAP_AdmissionYear,SHAP_EnrolledCourseCount,SHAP_AvgTimePerActivity,SHAP_Submissions,SHAP_AvgGrade,SHAP_LateRate,SHAP_AvgSubmitHour,SHAP_CommentsCount,SHAP_LikesGiven,SHAP_SocialIsolationScore,SHAP_WorkloadPressure,AtRisk
1813,-0.01101,-0.01381,-0.01717,-0.00892,-0.04772,-0.20332,-0.00344,-0.00865,-0.00086,-0.01003,-0.00914,-0.00893,-0.01059,-0.14052,0
2467,-0.03972,-0.01502,-0.03925,-0.08586,-0.05973,-0.04529,-0.00892,-0.01619,-0.00208,-0.01284,-0.00833,-0.01612,-0.01962,-0.04516,0
683,-0.00829,-0.00547,-0.01417,-0.00915,-0.02668,-0.1961,-0.00341,-0.00865,-0.00051,-0.00913,-0.0524,-0.00999,-0.01397,-0.14119,0
3621,-0.00231,-0.01486,-0.01521,-0.04974,-0.00318,-0.24587,-0.00469,-0.00816,-0.0004,-0.00905,-0.00238,-0.00344,-0.00381,-0.136,0
2327,-0.00884,-0.009,-0.01205,-0.00574,-0.01641,-0.22096,-0.01247,-0.01283,-0.01079,-0.00488,-0.00247,-0.00458,-0.01481,-0.16328,0
1276,-0.00517,-0.00868,-0.00858,-0.01442,-0.02402,-0.21189,-0.00568,-0.01037,-0.00013,-0.01071,-0.01085,-0.00943,-0.01531,-0.16388,0
1749,-0.00674,-0.00893,-0.00869,-0.01155,-0.02041,-0.22422,-0.0033,-0.00681,-0.0003,-0.00682,-0.01864,-0.00948,-0.01088,-0.16233,0
3289,-0.00575,-0.01404,-0.01831,-0.01243,-0.05393,-0.22001,-0.00284,-0.00751,-0.0002,-0.00796,-0.0025,-0.00491,-0.00538,-0.14333,0
4619,-0.0145,-0.00975,-0.01138,-0.01154,-0.02658,-0.21988,-0.00327,-0.00761,-7e-05,-0.00831,-0.00319,-0.00733,-0.00911,-0.16661,0
1509,-0.00646,-0.00846,-0.01502,-0.01615,-0.01846,-0.22282,-0.00377,-0.00898,-0.00075,-0.00908,-0.01277,-0.00669,-0.01185,-0.15787,0
2529,-0.01065,0.00738,0.05213,-0.00725,-0.00291,0.06126,0.00667,-0.00649,0.00319,-0.00477,0.00155,-0.00249,-0.01545,0.06871,0
4906,-0.0078,-0.01349,-0.01006,-0.01414,-0.02084,-0.20862,-0.00599,-0.01016,-0.01352,-0.01578,-0.00359,-0.00717,-0.01522,-0.15273,0
1948,-0.0248,-0.01976,-0.02695,-0.07893,-0.02136,-0.00041,-0.03346,-0.05886,-0.00966,-0.02463,-0.02897,-0.02734,-0.01831,-0.07066,0
4425,-0.01051,-0.0069,-0.01932,-0.01217,-0.02743,-0.225,-0.00312,-0.00763,-0.00013,-0.00822,-0.00275,-0.00602,-0.00847,-0.16143,0
3282,-0.00585,-0.00682,-0.01722,-0.01334,-0.0232,-0.23746,-0.00221,-0.00683,-0.00027,-0.0077,-0.0033,-0.00583,-0.00434,-0.16475,0
1966,-0.04584,-0.03492,-0.01923,-0.01743,-0.03213,-0.08865,-0.03206,-0.03003,0.00064,-0.04746,-0.01719,-0.03086,-0.04153,-0.00242,0
3985,-0.01538,-0.02203,-0.01383,-0.0149,-0.05102,0.06765,-0.02889,-0.04991,-0.01558,-0.0362,-0.00499,-0.01269,-0.04629,-0.21504,0
4366,-0.00522,-0.02428,-0.01655,-0.01647,-0.00562,-0.09694,-0.01295,-0.0262,-0.0417,-0.01936,-0.00818,-0.01729,-0.02859,-0.03978,0
4380,-0.00865,-0.00867,-0.01498,-0.0138,-0.02273,-0.2011,-0.01232,-0.01274,-0.01049,-0.03227,-0.00281,-0.00462,-0.01551,-0.13842,0
4108,-0.02815,-0.01807,-0.00269,-0.00741,0.00126,0.08683,-0.02726,-0.02311,-0.00416,-0.02464,-0.00101,-0.00801,-0.02609,0.05341,0
3339,-0.01605,-0.01782,-0.03608,-0.01733,-0.02261,0.0273,-0.04148,-0.07482,-0.03888,-0.05604,-0.00576,-0.01634,-0.03461,-0.0936,0
3742,-0.00617,-0.00995,-0.0158,-0.01033,-0.03123,-0.22337,-0.00308,-0.00696,-0.00016,-0.00714,-0.00354,-0.00685,-0.00612,-0.16839,0
1516,-0.01435,-0.01153,-0.01854,-0.0207,-0.01489,-0.23278,-0.01035,-0.01355,-0.00077,-0.01691,-0.06532,-0.02803,-0.01806,0.01166,0
4961,-0.02156,-0.05434,-0.05977,-0.03289,-0.02834,-0.03313,-0.00767,-0.01603,-0.00162,-0.01524,-0.00867,-0.02646,-0.04126,0.01786,0
3865,-0.01449,-0.037,-0.05764,-0.08154,-0.02757,-0.1328,-0.00809,-0.01598,-0.00068,-0.01578,-0.00932,-0.01229,-0.00797,-0.03296,0
4038,-0.00723,-0.00719,-0.0152,-0.01633,-0.02001,-0.22589,-0.00289,-0.00674,-1e-05,-0.00792,-0.00394,-0.00669,-0.00552,-0.17354,0
3786,-0.02006,-0.00943,-0.02143,-0.02734,-0.01721,-0.29661,-0.00953,-0.01445,-0.00081,-0.02108,-0.00655,-0.02097,-0.01557,0.00194,0
3564,-0.00686,-0.00868,-0.01541,-0.00986,-0.0221,-0.23478,-0.00256,-0.0065,-0.00021,-0.00711,-0.00316,-0.00721,-0.00519,-0.16948,0
4599,-0.00818,-0.0139,-0.01371,-0.01983,-0.02228,-0.16896,-0.02233,-0.06874,-0.00442,-0.04549,-0.00721,-0.01247,-0.02393,-0.02767,0
3628,-0.01124,-0.01141,-0.01838,-0.01404,-0.02949,-0.22112,-0.00414,-0.00871,-0.00031,-0.00887,-0.0022,-0.00613,-0.00871,-0.15434,0
4863,-0.0021,-0.02325,-0.02591,-0.01098,-0.00836,-0.18773,-0.01557,-0.06898,-0.00929,-0.04894,-0.0065,-0.02116,-0.02585,0.02052,0
4722,-0.00024,-0.00933,-0.00665,-0.02495,-0.01968,-0.20328,-0.02193,-0.07101,-0.02378,-0.03628,-0.00926,-0.01537,-0.02905,0.0117,0
4964,-0.02073,-0.01752,-0.05701,-0.01437,-0.01893,-0.27267,-0.00793,-0.01498,-0.00039,-0.01981,-0.00718,-0.01534,-0.01605,-0.01119,0
1076,0.00252,-0.09627,-0.01668,-0.00387,0.00081,0.12148,-0.00166,-0.01363,-0.00235,-0.00929,-0.0477,-0.00129,-0.01051,0.06432,0
3466,0.03611,0.00665,-0.0046,-0.01549,0.004,0.16299,-0.02138,0.01038,-0.00599,-0.03138,0.00076,-0.00526,0.00144,0.07766,1
4858,-0.00654,-0.02075,-0.00924,-0.01245,-0.01677,-0.19509,-0.01396,-0.01699,-0.00373,-0.01676,-0.00326,-0.00738,-0.0173,-0.1589,0
3957,-0.03514,-0.02506,-0.06845,-0.07471,-0.03537,0.06257,-0.00861,-0.01752,-0.00144,-0.0146,-0.01929,-0.0309,-0.02492,-0.13067,0
4052,-0.00718,-0.01,-0.01391,-0.01138,-0.02629,-0.23285,-0.00324,-0.0068,-0.00019,-0.00746,-0.00344,-0.0068,-0.00663,-0.16294,0
4006,-0.01552,-0.01037,-0.00114,-0.01943,-0.09289,0.03344,-0.02772,-0.07916,-0.00753,-0.09585,-0.00929,-0.01995,-0.04688,0.00816,0
4457,-0.02044,-0.02328,-0.00091,-0.01411,-0.03878,0.07737,0.0003,-0.0123,0.00183,-0.00239,-0.00405,-0.01346,-0.01591,0.01703,0
1394,-0.01062,0.01624,-0.01243,0.0061,0.00308,0.1127,0.01108,-0.01031,0.00406,-0.00601,0.00299,0.01086,0.012,0.08115,1
2889,-0.0018,0.00641,-0.0105,0.00713,0.0032,0.19152,0.0134,0.02492,-0.00129,-0.01713,-0.00172,-0.00726,0.00088,0.07812,1
4405,-0.02123,-0.06619,-0.01658,-0.01665,-0.03247,0.003,-0.04901,-0.07249,-0.0174,-0.07861,-0.00697,-0.01822,-0.02927,0.01298,0
455,-0.05458,-0.03679,-0.05965,-0.02865,-0.03543,0.02905,-0.00751,-0.0177,5e-05,-0.01751,-0.0505,-0.03906,-0.04207,-0.00373,0
1796,-0.02619,-0.02091,-0.01643,-0.02055,-0.01881,-0.11232,-0.02294,-0.05054,-0.08539,-0.02042,-0.0124,-0.0163,-0.00859,0.01768,0
885,-0.00773,-0.02477,-0.01398,-0.01031,-0.01442,-0.1978,-0.00441,-0.00971,-0.00125,-0.01135,-0.00681,-0.01234,-0.01412,-0.17011,0
4275,0.00126,-0.00681,-0.02849,-0.03832,0.0192,-0.10983,-0.01343,-0.01806,-0.0002,-0.01798,-0.01157,-0.01139,-0.01398,-0.1245,0
1061,-0.00603,-0.00698,-0.00985,-0.00946,-0.02554,-0.2351,-0.00315,-0.00796,-0.00096,-0.00818,-0.01527,-0.01053,-0.0094,-0.15069,0
1688,-0.03876,-0.01336,0.01125,-0.00934,-0.03089,-0.16013,-0.00464,-0.0097,0.00033,-0.01086,-0.01714,0.04026,-0.02005,-0.04607,0
211,-0.01294,-0.00824,-0.01537,-0.0079,-0.00013,-0.23367,-0.00615,-0.00952,-0.0,-0.01115,-0.00656,-0.01164,-0.02009,-0.14577,0
2590,-0.03418,-0.02023,-0.02395,-0.01169,-0.02683,0.14521,-0.02774,-0.03168,-0.00688,-0.04172,-0.00442,-0.0132,-0.00315,0.04635,1
1206,-0.00656,-0.01366,0.01082,-0.0136,-0.0053,-0.22406,-0.00758,-0.00965,0.001,-0.01526,-0.00824,-0.03155,-0.00998,-0.00548,0
3858,-0.0063,-0.05366,-0.0283,-0.02568,-0.00155,0.10251,-0.02601,-0.0603,-0.02448,-0.04642,-0.00541,-0.01133,-0.03393,-0.15825,0
4153,-0.0147,-0.03515,-0.03411,-0.06411,-0.013,0.02133,-0.02649,-0.00558,-0.05972,-0.03586,-0.00677,-0.01113,-0.03841,0.0096,1
280,0.03434,0.00474,-0.00679,-0.00149,0.01414,0.13575,0.0074,0.02439,0.00414,0.01321,-0.0216,0.00338,0.01411,0.06516,1
1589,0.00954,0.00477,0.00836,0.01072,0.00996,0.02652,0.00367,-9e-05,0.00215,-0.00143,0.02163,0.04036,0.01344,0.02127,1
268,-0.01816,-0.02482,-0.02007,-0.02929,0.00361,-0.01132,-0.01588,-0.02079,0.0004,-0.02581,-0.01824,-0.02435,-0.00772,-0.14165,0
419,-0.00842,-0.01001,-0.00345,-0.01132,-0.02276,-0.20861,-0.00745,-0.03409,-0.00417,-0.00846,-0.01128,-0.0087,-0.00667,-0.15371,0
602,-0.01289,0.00469,-0.00036,-0.01292,0.01146,0.1827,-0.01342,-0.01323,0.00407,0.01847,0.00324,-0.0008,0.00984,0.07503,1
1081,-0.00703,-0.00559,-0.01443,-0.02262,-0.02731,-0.20087,-0.00505,-0.00958,-0.00021,-0.01064,-0.01128,-0.01296,-0.01376,-0.15778,0
1068,-0.00621,-0.01551,-0.01289,-0.01361,0.00394,-0.23713,-0.01199,-0.01606,-0.01296,-0.00494,-0.00803,-0.00909,-0.01226,-0.13736,0
2534,-0.04573,-0.03171,-0.02738,-0.03442,-0.01882,0.09442,-0.05939,-0.04588,-0.08556,-0.06083,-0.00827,-0.01391,-0.05445,0.03284,0
3763,-0.04016,-0.05315,-0.04638,-0.0091,-0.04132,0.06599,-0.03248,-0.01888,-0.00783,-0.04625,-0.00679,-0.0242,-0.03766,-0.09089,0
165,-0.00773,-0.03926,-0.04429,-0.00885,0.00389,0.00117,-0.01118,-0.01383,4e-05,-0.01832,-0.03712,-0.05361,-0.03493,-0.1801,0
4609,-0.00492,-0.01584,-0.0154,-0.01213,-0.02004,-0.20608,-0.00871,-0.03263,-0.00609,-0.02344,-0.00329,-0.00598,-0.01487,-0.1297,0
2286,-0.04846,-0.02237,-0.02258,0.00091,0.02593,-0.03264,-0.00832,-0.01339,-0.00178,-0.01225,-0.00931,-0.00922,-0.00417,-0.11146,0
4171,-0.0085,-0.022,-0.03057,-0.01596,-0.07886,-0.00606,-0.02227,-0.04278,-0.00367,-0.02147,-0.00639,-0.00995,-0.02342,-0.14223,0
2843,-0.02712,-0.01873,-0.01549,-0.02029,-0.01664,-0.17363,-0.01864,-0.01347,-0.07341,-0.05028,-0.00903,-0.01414,-0.03103,-0.00221,0
1111,-0.0003,-0.0122,-0.02976,-0.03966,-0.00614,-0.21353,-0.01254,-0.01443,0.00078,-0.01831,-0.00826,0.0223,-0.01287,0.0308,0
1331,-0.01076,-0.00795,-0.00894,-0.00858,-0.02459,-0.20188,-0.01178,-0.01383,-0.00736,-0.02242,-0.00784,-0.01056,-0.00934,-0.15329,0
1465,-0.02087,-0.03663,-0.03154,-0.04244,-0.03068,-0.00274,-0.02093,-0.02038,-0.01425,-0.02579,-0.02449,-0.01669,-0.01721,-0.03948,0
1748,-0.0078,-0.00705,-0.01246,-0.01201,-0.02071,-0.21718,-0.00434,-0.01076,-0.0005,-0.0113,-0.00874,-0.01131,-0.01783,-0.15712,0
79,-0.03591,-0.02114,-0.02287,-0.01533,-0.04545,-0.05637,-0.05294,-0.02655,-0.02702,-0.06231,-0.02793,-0.02155,-0.03009,0.01633,0
89,-0.01504,-0.02262,-0.01005,-0.01444,-0.01624,-0.20131,-0.01525,-0.01653,-0.00351,-0.00093,-0.00469,-0.00955,-0.01364,-0.15531,0
939,-0.00693,-0.00873,-0.01487,-0.02646,-0.01838,-0.21143,-0.00405,-0.00927,-0.00068,-0.00932,-0.01294,-0.00844,-0.01249,-0.15513,0
3878,-0.00632,-0.01443,-0.01649,-0.01837,-0.02811,-0.17597,-0.01136,-0.06652,-0.02452,-0.02298,-0.00918,-0.01516,-0.02458,-0.03511,0
2794,-0.02336,-0.05351,-0.04937,-0.02942,-0.04484,-0.12208,-0.00624,-0.01579,-0.00227,-0.01277,-0.01192,-0.02293,-0.02512,0.00551,0
1277,-0.00639,-0.00867,-0.014,-0.01378,-0.01653,-0.21619,-0.00387,-0.00781,2e-05,-0.00884,-0.01022,-0.0092,-0.01493,-0.1687,0
2166,-0.0206,-0.02408,-0.02165,-0.03158,-0.05239,0.05096,-0.00553,-0.01829,-0.00129,-0.01874,-0.00317,-0.01441,-0.02533,-0.21302,0
4209,-0.01009,-0.02933,-0.03629,-0.02551,-0.00489,0.08954,-0.02085,-0.05833,-0.01527,-0.07625,-0.0043,-0.01419,-0.02715,0.04878,1
4546,-0.01695,-0.02265,-0.0215,-0.00956,-0.03049,-0.14065,-0.00325,-0.01397,0.00084,-0.01061,-0.01315,-0.01723,-0.01521,0.00026,0
1455,0.03443,0.00497,-0.0206,0.00407,-0.01083,0.1368,-0.00069,0.01566,-0.00394,-0.02057,0.00038,-0.00074,0.00868,0.06327,1
4,0.02558,0.00554,0.04726,0.00208,0.01212,0.07164,0.01063,0.01278,0.00602,-0.0027,0.00243,-0.00389,-0.00422,0.06062,1
3125,-0.00328,-0.0055,-0.01006,-0.02236,-0.0186,-0.18663,-0.0155,-0.04734,-0.00312,-0.02283,-0.00306,-0.00728,-0.01726,-0.1363,0
1503,-0.00622,-0.00835,-0.01383,-0.01224,-0.02465,-0.20312,-0.00407,-0.00886,-0.00076,-0.00924,-0.02126,-0.00771,-0.01244,-0.16636,0
274,-0.00611,-0.00596,-0.01403,-0.00778,-0.01396,-0.2059,-0.0029,-0.00841,0.00016,-0.00953,-0.00839,-0.01346,-0.01463,-0.1882,0
3682,-0.00443,-0.03164,-0.01109,-0.02559,-0.01902,-0.22006,-0.00387,-0.00832,-0.0008,-0.00912,-0.00256,-0.00522,-0.00525,-0.15212,0
4097,-0.00287,-0.00672,-0.01548,-0.00788,-0.0151,-0.17749,-0.0165,-0.03805,-0.01261,-0.02533,-0.00274,-0.00708,-0.01485,-0.15641,0
2522,-0.00909,-0.00807,-0.01163,-0.01353,-0.02311,-0.21532,-0.01477,-0.01476,-0.00286,-0.02,-0.0027,-0.00641,-0.01598,-0.14089,0
367,-0.00933,-0.00679,-0.00659,-0.01011,-0.02367,-0.21115,-0.00418,-0.00936,-0.0,-0.01048,-0.00756,-0.01298,-0.01495,-0.16695,0
1972,-0.00473,0.00999,-0.00468,0.00785,0.0152,0.17512,0.01012,0.00091,0.00371,0.00198,-0.03628,0.02749,0.01323,0.09598,1
4407,-0.00381,-0.00902,-0.01571,-0.01917,-0.0234,-0.23234,-0.00253,-0.00656,-0.00032,-0.00697,-0.00318,-0.00582,-0.00443,-0.16585,0
2101,-0.01801,-0.02167,-0.02837,-0.05575,-0.01313,-0.19919,-0.00996,-0.01529,-0.00102,-0.02002,-0.013,-0.01568,-0.01537,-0.00266,0
4615,-0.02189,-0.03045,-0.02213,-0.0181,-0.01624,-0.21209,-0.01556,-0.02584,-0.00325,-0.03498,-0.00407,-0.01669,-0.03548,0.01265,0
4671,-0.00987,-0.03632,-0.0697,-0.04205,-0.06284,0.04249,-0.00672,-0.01507,-0.00261,-0.01861,-0.00816,-0.02525,-0.02828,-0.18613,0
2688,-0.00395,-0.02422,-0.06494,-0.02755,-0.1093,-0.02881,-0.00582,-0.01467,-0.00246,-0.01583,-0.00665,-0.01673,-0.02293,-0.05525,0
3672,-0.00414,-0.02649,-0.01859,-0.01643,-0.0229,-0.22585,-0.0036,-0.00674,-0.00074,-0.00781,-0.00408,-0.00777,-0.00616,-0.14782,0
1520,-0.02416,-0.028,-0.046,-0.03112,-0.03266,-0.07385,-0.00972,-0.02359,-0.00205,-0.02753,-0.01967,-0.02595,-0.03319,-0.11159,0
1067,0.03229,0.00981,-0.01055,-0.01434,0.03132,0.18515,0.00527,-0.00203,0.00313,-0.0015,-0.00495,0.00662,0.00199,0.0937,1
3762,-0.0037,-0.00673,-0.01604,-0.01352,-0.02071,-0.23622,-0.00284,-0.00793,-0.0001,-0.00845,-0.00239,-0.00471,-0.00582,-0.16995,0
3498,-0.03412,-0.09152,-0.08707,-0.01912,-0.02176,0.05099,-0.00805,-0.01761,-0.00272,-0.01751,-0.00856,-0.02975,-0.03704,-0.03027,0
588,-0.00623,-0.00961,-0.01273,-0.01345,-0.01686,-0.20639,-0.01208,-0.00773,-0.00189,-0.0199,-0.01411,-0.01018,-0.00887,-0.15907,0
4248,-0.00748,-0.00574,-0.01623,-0.00882,-0.02387,-0.24273,-0.00234,-0.00626,-1e-05,-0.00703,-0.00336,-0.00685,-0.00457,-0.16382,0
2230,-0.01069,-0.01077,-0.00478,-0.00902,-0.01491,-0.19118,-0.01402,-0.01144,-0.00267,-0.03915,-0.00334,-0.00578,-0.01944,-0.16193,0
1185,-0.00321,-0.00923,-0.01763,-0.0128,-4e-05,-0.24562,-0.00487,-0.00835,-0.00097,-0.00962,-0.02327,-0.01758,-0.0161,-0.12983,0
4733,-0.00514,-0.01124,-0.01303,-0.00783,0.00526,-0.21637,-0.01586,-0.05097,-0.01121,-0.02467,-0.0031,-0.00448,-0.01621,-0.11925,0
2894,-0.01369,-0.01661,-0.0299,-0.03421,0.00519,0.05897,-0.02722,-0.03216,-0.06631,-0.02998,-0.01243,-0.01339,-0.04124,-0.11112,0
2266,-0.0242,-0.05482,-0.03099,-0.07284,-0.0269,0.08675,-0.00141,-0.01799,-0.00101,-0.01541,-0.00948,-0.0228,-0.01682,-0.10617,0
2288,-0.02064,-0.02641,-0.0277,-0.0064,0.02306,0.00224,-0.00687,-0.01207,-0.00038,-0.01083,-0.00893,-0.00423,-0.0076,-0.15733,0
3708,-0.00726,-0.01987,-0.016,-0.01454,-0.0148,-0.18941,-0.01302,-0.00606,-0.00857,-0.02443,-0.00288,-0.00686,-0.01681,-0.15361,0
4456,-0.01366,-0.02799,-0.04539,-0.0278,-0.01505,0.03711,-0.03986,-0.03378,-0.00998,-0.02677,-0.007,-0.01098,-0.02936,0.02639,0
4971,-0.0264,-0.02623,-0.00947,-0.05725,-0.00526,-0.13645,-0.01515,-0.01304,0.0007,-0.01721,-0.01135,-0.01306,-0.01367,-0.12526,0
2226,-0.00289,-0.0069,-0.01181,-0.01016,-0.0193,-0.19847,-0.01433,-0.04218,-0.00262,-0.00511,-0.00267,-0.00672,-0.01535,-0.1556,0
2660,-0.01597,-0.00985,-0.01056,-0.01296,-0.02619,-0.22638,-0.00277,-0.00736,3e-05,-0.00838,-0.003,-0.00755,-0.00735,-0.16082,0
3793,-0.00459,-0.01732,-0.01128,-0.0092,-0.01443,-0.19798,-0.01476,-0.02789,-0.00455,-0.01546,-0.00274,-0.00622,-0.01689,-0.15581,0
4869,-0.0052,-0.00905,-0.01259,-0.0085,-0.03004,-0.22906,-0.00237,-0.00698,-0.00017,-0.00782,-0.00377,-0.00491,-0.00505,-0.17359,0
3800,0.00835,0.01262,0.02575,0.01008,-0.01657,0.15009,0.00641,-0.00512,0.00246,-0.00087,0.0062,-0.00617,-0.00426,0.02692,1
968,-0.00336,-0.00792,-0.01992,-0.01215,0.00117,-0.2542,-0.00523,-0.00779,-0.001,-0.00923,-0.01929,-0.0091,-0.0152,-0.1259,0
2973,-0.00598,-0.01662,-0.0108,-0.02069,-0.02338,-0.19773,-0.01324,-0.01177,-0.00556,-0.01917,-0.00271,-0.00505,-0.01879,-0.13263,0
1096,-0.02297,-0.00724,-0.03807,-0.01681,-0.02342,-0.09112,-0.00998,-0.0239,-0.00063,-0.02523,-0.02265,-0.02774,-0.03374,-0.08561,0
1826,-0.00943,-0.00605,-0.01607,-0.01346,-0.02222,-0.20682,-0.00296,-0.00864,-1e-05,-0.01006,-0.00475,-0.01017,-0.01851,-0.16996,0
2436,0.00473,0.01815,0.01862,-0.00193,0.00393,0.14581,0.00254,-0.00468,0.00403,-0.0029,-0.00438,-0.01214,-0.01731,0.06642,1
862,-0.01707,-0.04823,-0.03223,-0.02404,-0.05165,0.02588,-0.00732,-0.017,-0.00472,-0.01824,-0.03674,-0.04246,-0.04148,-0.13882,0
4700,-0.01485,-0.00504,-0.0264,-0.06818,-0.0135,0.07915,-0.00396,-0.01152,-1e-05,-0.01365,-0.00804,-0.0181,-0.01257,-0.10744,1
1698,-0.02586,-0.10077,-0.04339,-0.00724,-0.00389,0.13138,-0.00115,-0.01994,-0.00054,-0.01338,0.00262,-0.00951,0.00862,0.04394,1
1967,-0.0189,-0.01013,-0.04983,-0.02121,-0.06211,0.10846,0.00066,-0.01085,-0.00147,-0.01903,-0.0743,-0.01482,-0.0289,0.06331,0
1078,-0.00565,-0.00461,-0.01605,-0.0057,-0.0254,-0.20972,-0.0022,-0.00798,-0.00038,-0.00769,-0.02012,-0.01316,-0.01154,-0.1689,0
3730,-0.01309,-0.0282,-0.02959,-0.01454,-0.02586,-0.20493,-0.01191,-0.01707,-0.00259,-0.01855,-0.00205,-0.01539,-0.019,-0.05136,0
2390,-0.00676,-0.00725,-0.01695,-0.0093,-0.02256,-0.23458,-0.00283,-0.00632,5e-05,-0.00716,-0.00343,-0.00652,-0.00551,-0.16998,0
2538,-0.00185,-0.01224,-0.01676,-0.00555,-0.05768,-0.18343,-0.01654,-0.01027,-0.00167,-0.01919,-0.00255,-0.00567,-0.0176,-0.14811,0
4429,-0.03766,-0.04337,-0.04427,-0.02808,-0.02624,0.0953,-0.00196,-0.01404,-2e-05,-0.01373,-0.0141,-0.02183,-0.0313,0.00221,0
3577,-0.01923,-0.0271,-0.01832,-0.01251,-0.01717,-0.20227,-0.00254,-0.00805,-0.00079,-0.00983,-0.00345,-0.00704,-0.00845,-0.16237,0
3189,-0.02961,-0.00174,-0.03901,-0.0804,-0.11235,0.05104,-0.00711,-0.02593,-0.00171,-0.0172,-0.00824,-0.0205,-0.04759,-0.00878,0
1570,-0.0248,-0.01622,-0.02497,-0.04427,0.01362,0.13049,0.00419,-0.01446,0.00036,-0.00566,-0.05517,-0.02807,-0.02186,0.05272,0
4973,-0.03699,-0.04551,-0.04289,-0.10318,-0.04278,-0.04533,-0.00973,-0.02144,-0.00083,-0.01516,-0.01778,-0.02174,-0.02846,-0.02728,0
117,-0.00646,-0.00726,-0.01571,-0.01261,-0.017,-0.2021,-0.00503,-0.01057,-0.00011,-0.01182,-0.00449,-0.01847,-0.01955,-0.16794,0
494,0.02187,-0.01565,-0.00718,0.00901,-0.01776,0.14835,0.00729,-0.00241,0.00253,-0.00635,0.02161,0.04649,0.01381,0.08427,1
