StudentId,DepartmentId,YearId,SquadronId,CompletionRate,AvgScore,FailureRatio,LateRate,AbandonRate,LearningVelocity,SocialIsolationScore,StudyConsistency,Dropout_Probability,Dropout_Predicted,Dropout_Actual,Dropout_OptimalPredicted,AtRisk_Probability,AtRisk_Predicted,AtRisk_Actual,AtRisk_OptimalPredicted,HighPerformer_Probability,HighPerformer_Predicted,HighPerformer_Actual,HighPerformer_OptimalPredicted,ClusterLabel,AnomalyType,IsAnomaly,DepartmentName,CombinedRiskScore
3564,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0,0,0,0.0,0,0,1,0.0011,0,0,0,At-Risk Students,,0,Computer Science,0.0014
4599,2,2,5,0.6667,0.0,0.0,0.0,0.2222,0.0095,1.0,0.0,0.0001,0,0,1,0.04,0,0,0,0.0005,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0201
3628,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0,0,0,0.0,0,0,0,0.001,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0014
4863,2,4,3,0.6,0.0,0.0,0.0,0.2,0.0053,1.0,0.0,0.0009,0,0,0,0.065,0,0,1,0.0008,0,0,0,Passive Learners,,0,Artificial Intelligence,0.033
4722,2,3,1,0.6,0.0,0.0,0.25,0.2,0.0052,1.0,0.0,0.0012,0,0,0,0.04,0,0,1,0.0007,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0206
4964,2,1,2,0.6667,0.0,0.0,0.0,0.1667,0.0083,0.0,0.0,0.0006,0,0,0,0.005,0,0,1,0.0012,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0028
1076,1,4,2,0.5455,0.0,1.0,0.0,0.4545,0.0054,0.125,0.0,0.0346,0,0,0,0.485,0,0,0,0.8955,1,0,1,Passive Learners,,0,Computer Science,0.2598
3466,2,2,5,0.3333,0.0,0.0,0.25,0.6667,0.0034,1.0,0.0,0.0175,0,0,0,0.715,1,1,0,0.0012,0,0,0,Passive Learners,,0,Artificial Intelligence,0.3662
4858,2,4,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0027,0,0,0,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0014
3957,1,1,5,0.5,64.0,0.0,0.0,0.5,0.0172,0.0,0.0,0.0758,0,0,1,0.075,0,0,0,0.9472,1,1,0,High Achievers,Behavioral Outlier,1,Computer Science,0.0754
4052,1,1,5,0.0,21.6667,1.0,0.0,0.0,0.0,0.0,2.8284,0.9922,1,1,0,0.0,0,0,0,0.8305,1,0,1,Inconsistent Learners,,0,Computer Science,0.4961
4006,3,2,1,0.5,0.0,0.0,0.0,0.4,0.0049,1.0,0.0,0.001,0,0,0,0.115,0,0,0,0.0007,0,0,0,Passive Learners,,0,Cyber Security,0.058
4457,1,1,5,0.6667,0.0,0.0,0.0,0.3333,0.0035,0.0,0.0,0.0025,0,0,0,0.45,0,0,1,0.0011,0,0,0,Passive Learners,,0,Computer Science,0.2262
1394,1,2,3,0.4,0.0,0.0,0.0,0.0,0.0233,0.3333,0.0,0.0025,0,0,1,0.72,1,1,0,0.0014,0,0,0,Passive Learners,,0,Computer Science,0.3612
2889,1,2,2,0.3889,46.65,0.6667,0.0,0.5,0.0052,1.0,1.7321,0.0041,0,0,0,0.785,1,1,0,0.6137,1,0,0,High Achievers,Behavioral Outlier,1,Computer Science,0.3946
4405,2,4,1,0.6,57.22,0.4286,0.0,0.2,0.0045,1.0,2.1213,0.0012,0,0,0,0.09,0,0,0,0.7619,1,0,1,High Achievers,Behavioral Outlier,1,Artificial Intelligence,0.0456
455,1,1,5,0.5455,0.0,0.0,0.0,0.2727,0.0046,0.125,0.0,0.0061,0,0,0,0.135,0,0,0,0.0012,0,0,0,Passive Learners,,0,Computer Science,0.0706
1796,1,2,5,0.5,0.0,0.0,0.6667,0.3,0.0044,0.1,0.0,0.0012,0,0,1,0.085,0,0,0,0.0007,0,0,0,Passive Learners,,0,Computer Science,0.0431
885,2,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0026,0,0,1,0.0,0,0,0,0.0011,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0013
4275,1,3,2,0.7059,55.1857,0.6667,0.0,0.1765,0.0091,0.0,1.7321,0.0022,0,0,1,0.125,0,0,0,0.6961,1,0,0,High Achievers,,0,Computer Science,0.0636
1061,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.0028,0,0,0,0.0,0,0,1,0.0012,0,0,0,At-Risk Students,,0,Computer Science,0.0014
1688,3,1,5,0.7059,28.95,0.9091,0.0,0.1176,0.0104,0.0769,2.3094,0.0002,0,0,0,0.19,0,0,0,0.7966,1,0,0,High Achievers,,0,Cyber Security,0.0951
211,3,3,3,0.0,54.1,0.7778,0.0,0.0,0.0,0.1667,0.7071,0.9779,1,1,0,0.01,0,0,0,0.8141,1,0,1,Inconsistent Learners,,0,Cyber Security,0.494
2590,1,1,3,0.3,42.2167,0.6667,0.0,0.5,0.0022,1.0,0.7071,0.0689,0,0,0,0.445,0,1,0,0.673,1,0,0,High Achievers,,0,Computer Science,0.257
1206,3,2,5,0.6667,48.5429,0.7692,0.0,0.3333,0.0103,0.125,1.1547,0.0036,0,0,0,0.16,0,0,0,0.7018,1,0,0,High Achievers,,0,Cyber Security,0.0818
3858,1,4,4,0.0,0.0,0.0,0.25,0.3333,0.0,1.0,0.0,0.0216,0,0,0,0.12,0,0,0,0.0008,0,0,0,At-Risk Students,,0,Computer Science,0.0708
4153,3,4,4,0.4,0.0,0.0,0.5,0.4,0.004,1.0,0.0,0.0014,0,0,0,0.185,0,1,0,0.0008,0,0,0,Passive Learners,,0,Cyber Security,0.0932
280,2,2,4,0.3077,0.0,0.0,0.0,0.3077,0.0035,0.1667,0.0,0.0172,0,0,0,0.79,1,1,0,0.001,0,0,1,Passive Learners,,0,Artificial Intelligence,0.4036
1589,1,2,4,0.4615,0.0,0.0,0.0,0.3846,0.0048,0.1,0.0,0.0006,0,0,0,0.67,1,1,0,0.0013,0,0,0,Passive Learners,,0,Computer Science,0.3353
268,3,1,1,0.5455,0.0,0.0,0.0,0.2727,0.0065,0.1429,0.0,0.0014,0,0,0,0.145,0,0,0,0.0011,0,0,1,Passive Learners,,0,Cyber Security,0.0732
419,1,1,1,0.0,0.0,0.0,0.2,0.0,0.0,0.1429,0.0,0.0031,0,0,1,0.0,0,0,0,0.0006,0,0,0,At-Risk Students,,0,Computer Science,0.0016
602,1,3,4,0.4286,0.0,0.0,0.0,0.4286,0.0055,0.25,0.0,0.0119,0,0,0,0.755,1,1,0,0.0012,0,0,1,Passive Learners,,0,Computer Science,0.3834
1081,2,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0016,0,0,1,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0008
1068,1,4,3,0.0,0.0,0.0,0.25,0.0,0.0,0.1667,0.0,0.004,0,0,0,0.005,0,0,0,0.001,0,0,0,At-Risk Students,,0,Computer Science,0.0045
2534,1,3,3,0.1538,0.0,0.0,0.5,0.5385,0.0025,1.0,0.0,0.3747,0,1,1,0.14,0,0,0,0.0009,0,0,0,Passive Learners,,0,Computer Science,0.2573
3763,1,4,4,0.5263,43.25,0.6667,0.0,0.2632,0.0077,1.0,0.0,0.0157,0,0,0,0.11,0,0,1,0.8574,1,0,1,High Achievers,,0,Computer Science,0.0628
165,1,2,2,0.75,0.0,0.0,0.0,0.1875,0.0095,0.1,0.0,0.0013,0,0,1,0.055,0,0,0,0.0015,0,0,0,Passive Learners,,0,Computer Science,0.0282
4609,1,4,4,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0035,0,0,1,0.0,0,0,0,0.0007,0,0,1,At-Risk Students,,0,Computer Science,0.0018
2286,2,4,4,0.5455,10.8667,1.0,0.0,0.1818,0.005,0.0,2.8284,0.0033,0,0,1,0.23,0,0,0,0.8257,1,0,0,High Achievers,,0,Artificial Intelligence,0.1166
4171,2,1,2,1.0,0.0,0.0,0.0,0.0,0.0111,1.0,0.0,0.0005,0,0,0,0.065,0,0,1,0.0004,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0328
2843,1,1,5,0.7778,55.8,0.8333,1.0,0.2222,0.0055,1.0,2.8284,0.0002,0,0,0,0.015,0,0,1,0.8394,1,0,1,High Achievers,Behavioral Outlier,1,Computer Science,0.0076
1111,2,1,3,0.6,0.0,0.0,0.0,0.4,0.0037,0.0833,0.0,0.0011,0,0,0,0.185,0,0,0,0.001,0,0,1,Passive Learners,,0,Artificial Intelligence,0.093
1331,3,2,1,0.0,0.0,0.0,0.1667,0.0,0.0,0.1111,0.0,0.0029,0,0,0,0.0,0,0,0,0.0008,0,0,0,At-Risk Students,,0,Cyber Security,0.0014
1465,1,4,5,0.6667,0.0,0.0,0.25,0.1667,0.004,0.0909,0.0,0.0004,0,0,0,0.155,0,0,0,0.0007,0,0,0,Passive Learners,,0,Computer Science,0.0777
1748,1,3,3,0.0,49.56,0.75,0.0,0.0,0.0,0.25,1.7321,0.9997,1,1,0,0.0,0,0,0,0.6437,1,0,0,Inconsistent Learners,,0,Computer Science,0.4998
79,1,1,4,0.7857,0.0,0.0,0.1667,0.2143,0.0139,0.1111,0.0,0.0005,0,0,1,0.07,0,0,0,0.0009,0,0,0,Passive Learners,,0,Computer Science,0.0353
89,3,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0026,0,0,0,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Cyber Security,0.0013
939,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0015,0,0,0,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Computer Science,0.0008
3878,2,1,5,1.0,0.0,0.0,0.3333,0.0,0.0169,1.0,0.0,0.0007,0,0,1,0.03,0,0,1,0.0008,0,0,0,Passive Learners,Behavioral Outlier,1,Artificial Intelligence,0.0154
2794,1,1,4,0.6667,0.0,0.0,0.0,0.3333,0.004,0.0,0.0,0.001,0,0,0,0.085,0,0,0,0.0012,0,0,0,Passive Learners,,0,Computer Science,0.043
1277,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0026,0,0,0,0.0,0,0,0,0.0012,0,0,0,At-Risk Students,,0,Computer Science,0.0013
2166,1,1,1,0.5882,0.0,0.0,0.0,0.2941,0.0073,0.0,0.0,0.0029,0,0,0,0.1,0,0,0,0.0013,0,0,0,Passive Learners,,0,Computer Science,0.0514
4209,1,1,4,0.25,0.0,0.0,0.3333,0.5,0.0019,1.0,0.0,0.2157,0,0,0,0.315,0,1,0,0.0007,0,0,0,Passive Learners,,0,Computer Science,0.2653
4546,1,1,5,0.6,0.0,0.0,0.0,0.2667,0.007,0.0,0.0,0.0005,0,0,0,0.185,0,0,0,0.0011,0,0,0,Passive Learners,,0,Computer Science,0.0928
1455,2,3,2,0.3846,0.0,0.0,0.0,0.5385,0.0039,0.125,0.0,0.0245,0,0,0,0.71,1,1,1,0.0011,0,0,0,Passive Learners,,0,Artificial Intelligence,0.3672
4,2,2,1,0.3333,0.0,0.0,0.0,0.3333,0.0019,0.1667,0.0,0.0007,0,0,0,0.745,1,1,0,0.0006,0,0,0,Passive Learners,,0,Artificial Intelligence,0.3728
3125,2,1,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0027,0,0,1,0.0,0,0,0,0.0007,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0014
1503,2,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0026,0,0,0,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Artificial Intelligence,0.0013
274,2,2,3,0.0,58.3333,0.6667,0.0,0.0,0.0,0.1,0.7071,0.9946,1,1,0,0.0,0,0,0,0.7657,1,0,0,Inconsistent Learners,,0,Artificial Intelligence,0.4973
3682,1,4,4,0.0,77.78,0.4444,0.0,0.0,0.0,0.0,0.7071,0.9982,1,1,0,0.0,0,0,0,0.7233,1,1,0,Inconsistent Learners,,0,Computer Science,0.4991
4097,2,1,5,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0028,0,0,0,0.0,0,0,0,0.0007,0,0,1,At-Risk Students,,0,Artificial Intelligence,0.0014
2522,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0035,0,0,0,0.0,0,0,0,0.0009,0,0,1,At-Risk Students,,0,Computer Science,0.0018
367,3,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0028,0,0,0,0.005,0,0,0,0.0012,0,0,0,At-Risk Students,,0,Cyber Security,0.0039
1972,1,2,5,0.4545,0.0,0.0,0.0,0.4545,0.0037,0.0667,0.0,0.0171,0,0,0,0.815,1,1,0,0.0012,0,0,0,Passive Learners,,0,Computer Science,0.416
4407,1,3,4,0.0,75.2167,0.5,0.0,0.0,0.0,0.0,0.0,0.9985,1,1,0,0.0,0,0,0,0.7534,1,1,0,Inconsistent Learners,,0,Computer Science,0.4992
2101,2,1,4,0.7778,0.0,0.0,0.0,0.1111,0.0058,0.0,0.0,0.0002,0,0,0,0.07,0,0,0,0.001,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0351
4615,1,4,4,1.0,0.0,0.0,0.0,0.0,0.0062,1.0,0.0,0.001,0,0,0,0.055,0,0,0,0.0008,0,0,0,Passive Learners,,0,Computer Science,0.028
4671,1,1,2,0.5556,0.0,0.0,0.0,0.3889,0.008,0.0,0.0,0.0195,0,0,0,0.03,0,0,0,0.0016,0,0,0,Passive Learners,,0,Computer Science,0.0248
2688,2,1,4,0.5,0.0,0.0,0.0,0.5,0.0019,0.0,0.0,0.0198,0,0,0,0.1,0,0,0,0.0011,0,0,0,Passive Learners,,0,Artificial Intelligence,0.0599
3672,1,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0,0,0,0.0,0,0,0,0.0012,0,0,0,At-Risk Students,,0,Computer Science,0.0013
1520,1,1,2,1.0,0.0,0.0,0.0,0.0,0.003,0.2,0.0,0.0012,0,0,0,0.01,0,0,0,0.0009,0,0,1,Passive Learners,,0,Computer Science,0.0056
1067,2,2,4,0.3636,0.0,0.0,0.0,0.5455,0.0033,0.1111,0.0,0.0064,0,0,0,0.835,1,1,0,0.0009,0,0,0,Passive Learners,,0,Artificial Intelligence,0.4207
3762,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0,0,0,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Computer Science,0.0014
3498,1,4,5,0.6364,0.0,0.0,0.0,0.3636,0.0059,0.0,0.0,0.0944,0,0,0,0.145,0,0,0,0.0011,0,0,0,Passive Learners,,0,Computer Science,0.1197
588,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0026,0,0,0,0.0,0,0,0,0.001,0,0,0,At-Risk Students,,0,Computer Science,0.0013
4248,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0,0,0,0.0,0,0,0,0.0011,0,0,1,At-Risk Students,,0,Computer Science,0.0014
2230,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0032,0,0,0,0.0,0,0,0,0.0009,0,0,0,At-Risk Students,,0,Computer Science,0.0016
1185,1,2,4,0.0,28.5,1.0,0.0,0.0,0.0,0.1111,2.1213,0.9989,1,1,0,0.0,0,0,0,0.8315,1,0,0,Inconsistent Learners,,0,Computer Science,0.4994
4733,1,1,2,0.0,0.0,0.0,0.3333,0.0,0.0,1.0,0.0,0.0033,0,0,0,0.005,0,0,0,0.0006,0,0,1,At-Risk Students,,0,Computer Science,0.0042
2894,2,2,3,0.6471,0.0,0.0,1.0,0.1765,0.0096,1.0,0.0,0.0018,0,0,0,0.135,0,0,0,0.0004,0,0,1,Passive Learners,,0,Artificial Intelligence,0.0684
2266,1,1,1,0.1429,0.0,0.0,0.0,0.7143,0.0011,0.0,0.0,0.0426,0,1,0,0.185,0,0,0,0.0012,0,0,0,Passive Learners,,0,Computer Science,0.1138
2288,2,3,1,0.5,0.0,0.0,0.0,0.25,0.0043,0.0,0.0,0.0023,0,0,0,0.235,0,0,0,0.0012,0,0,1,Passive Learners,,0,Artificial Intelligence,0.1186
3708,1,4,5,0.0,0.0,0.0,0.3333,0.0,0.0,1.0,0.0,0.0015,0,0,0,0.005,0,0,0,0.0007,0,0,0,At-Risk Students,,0,Computer Science,0.0032
4456,1,1,2,0.5714,0.0,0.0,0.0,0.1429,0.0074,1.0,0.0,0.0009,0,0,0,0.275,0,0,0,0.001,0,0,0,Passive Learners,,0,Computer Science,0.138
4971,3,1,5,0.8125,77.75,0.6667,0.0,0.0625,0.0105,0.0,2.8284,0.0015,0,0,0,0.03,0,0,0,0.8381,1,1,0,High Achievers,Behavioral Outlier,1,Cyber Security,0.0158
2226,2,1,5,0.0,56.2556,0.5833,0.0,0.0,0.0,1.0,1.7321,0.9981,1,1,0,0.005,0,0,1,0.6025,1,0,0,Inconsistent Learners,,0,Artificial Intelligence,0.5015
2660,3,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0,0,0,0.0,0,0,0,0.0012,0,0,0,At-Risk Students,,0,Cyber Security,0.0014
3793,1,4,3,0.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9982,1,1,0,0.0,0,0,0,0.816,1,0,1,At-Risk Students,,0,Computer Science,0.4991
4869,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028,0,0,1,0.0,0,0,0,0.001,0,0,1,At-Risk Students,,0,Computer Science,0.0014
3800,1,1,1,0.4375,0.0,0.0,0.0,0.3125,0.0054,0.0,0.0,0.0171,0,0,0,0.715,1,1,0,0.0014,0,0,0,Passive Learners,,0,Computer Science,0.366
968,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.004,0,0,0,0.01,0,0,0,0.0011,0,0,0,At-Risk Students,,0,Computer Science,0.007
2973,1,4,4,0.0,53.4,0.625,0.3333,0.0,0.0,1.0,1.4142,0.9926,1,1,0,0.015,0,0,0,0.7995,1,0,0,Inconsistent Learners,,0,Computer Science,0.5038
