StudentId,DepartmentName,ClusterLabel,CombinedRiskScore,Dropout_Probability,AtRisk_Probability,CompletionRate,AvgScore,FailureRatio,LateRate,IsAnomaly,AnomalyType
1107,Cyber Security,Inconsistent Learners,0.4999,0.9998,0.0,0.0,93.2,0.75,0.0,0,
4842,Computer Science,Inconsistent Learners,0.4999,0.9998,0.0,0.0,66.4,0.4615,0.0,0,
162,Computer Science,Inconsistent Learners,0.4999,0.9948,0.005,0.0,72.3333,0.75,0.5,0,
2073,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,70.475,0.6154,0.0,0,
404,Artificial Intelligence,Inconsistent Learners,0.4998,0.9995,0.0,0.0,49.2875,0.6923,0.0,0,
2814,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,51.14,0.6,0.0,0,
4057,Artificial Intelligence,Inconsistent Learners,0.4998,0.9945,0.005,0.0,48.8333,0.8889,0.0,0,
1046,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,92.5,0.0,0.0,0,
2143,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,47.4167,0.7692,0.0,0,
872,Computer Science,Inconsistent Learners,0.4998,0.9946,0.005,0.0,77.6,0.5,0.0,0,
16,Cyber Security,Inconsistent Learners,0.4998,0.9997,0.0,0.0,66.6,0.625,0.0,0,
822,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,36.0,1.0,0.3333,0,
3423,Artificial Intelligence,Inconsistent Learners,0.4998,0.9997,0.0,0.0,48.12,0.8462,0.0,0,
2405,Artificial Intelligence,Inconsistent Learners,0.4998,0.9996,0.0,0.0,88.8,0.8571,0.4,1,High Score / Low Completion
1373,Computer Science,Inconsistent Learners,0.4998,0.9997,0.0,0.0,50.6222,0.7333,0.0,0,
2194,Cyber Security,Inconsistent Learners,0.4998,0.9947,0.005,0.0,48.3,0.7778,0.0,0,
2858,Computer Science,Inconsistent Learners,0.4998,0.9945,0.005,0.0,57.8,0.625,0.0,0,
1176,Computer Science,Inconsistent Learners,0.4998,0.9996,0.0,0.0,60.9889,0.625,0.0,0,
1110,Artificial Intelligence,Inconsistent Learners,0.4998,0.9995,0.0,0.0,58.9125,0.6667,0.0,0,
2059,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,65.1875,0.6154,0.0,0,
2604,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,88.6,0.6667,0.2,0,
951,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,45.8,0.9,0.0,0,
2642,Artificial Intelligence,Inconsistent Learners,0.4998,0.9996,0.0,0.0,78.2,0.6667,0.0,0,
1354,Artificial Intelligence,Inconsistent Learners,0.4998,0.9995,0.0,0.0,44.7111,0.8,0.0,0,
2481,Computer Science,Inconsistent Learners,0.4998,0.9996,0.0,0.0,69.0,0.0,0.0,0,
3333,Artificial Intelligence,Inconsistent Learners,0.4998,0.9997,0.0,0.0,60.1333,0.6667,0.0,0,
1659,Artificial Intelligence,Inconsistent Learners,0.4998,0.9995,0.0,0.0,62.0167,0.5,0.0,0,
1104,Artificial Intelligence,Inconsistent Learners,0.4998,0.9996,0.0,0.0,70.8714,0.5833,0.0,0,
4790,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,47.5111,0.6429,0.0,0,
2573,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,62.0,0.0,0.0,0,
984,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,63.1667,0.5833,0.2,0,
3972,Computer Science,Inconsistent Learners,0.4998,0.9947,0.005,0.0,55.175,0.4,0.25,0,
1302,Artificial Intelligence,Inconsistent Learners,0.4998,0.9996,0.0,0.0,61.275,0.6154,0.0,0,
4708,Computer Science,Inconsistent Learners,0.4998,0.9995,0.0,0.0,83.0333,0.4,0.25,1,High Score / Low Completion
2514,Computer Science,Inconsistent Learners,0.4998,0.9997,0.0,0.0,56.5,0.8571,0.0,0,
1748,Computer Science,Inconsistent Learners,0.4998,0.9997,0.0,0.0,49.56,0.75,0.0,0,
1569,Artificial Intelligence,Inconsistent Learners,0.4998,0.9996,0.0,0.0,58.3143,0.6667,0.0,0,
4772,Computer Science,Inconsistent Learners,0.4998,0.9996,0.0,0.0,68.0,0.8571,0.0,0,
2378,Computer Science,Inconsistent Learners,0.4998,0.9997,0.0,0.0,40.02,0.9286,0.0,0,
1494,Computer Science,Inconsistent Learners,0.4997,0.9994,0.0,0.0,55.7,0.6316,0.0,0,
4562,Cyber Security,Inconsistent Learners,0.4997,0.9994,0.0,0.0,45.4667,0.9167,0.0,0,
1329,Artificial Intelligence,Inconsistent Learners,0.4997,0.9994,0.0,0.0,63.9429,0.6364,0.0,0,
4136,Computer Science,Inconsistent Learners,0.4997,0.9994,0.0,0.0,51.2714,0.6923,0.0,0,
4729,Cyber Security,Inconsistent Learners,0.4997,0.9994,0.0,0.0,32.55,0.8667,0.0,0,
217,Artificial Intelligence,Inconsistent Learners,0.4997,0.9994,0.0,0.0,35.7667,0.7692,0.3333,0,
2134,Computer Science,Inconsistent Learners,0.4997,0.9994,0.0,0.0,22.95,1.0,0.0,0,
2122,Computer Science,Inconsistent Learners,0.4997,0.9994,0.0,0.0,56.95,0.8,0.0,0,
1375,Artificial Intelligence,Inconsistent Learners,0.4997,0.9994,0.0,0.0,91.6,0.5,0.0,0,
4503,Computer Science,Inconsistent Learners,0.4997,0.9994,0.0,0.0,50.7,0.8333,0.0,0,
222,Computer Science,Inconsistent Learners,0.4997,0.9994,0.0,0.0,51.0,0.0,0.0,0,
2104,Artificial Intelligence,Inconsistent Learners,0.4997,0.9994,0.0,0.0,54.125,0.7143,0.0,0,
4192,Computer Science,Inconsistent Learners,0.4997,0.9994,0.0,0.0,52.8429,0.6667,0.0,0,
4453,Cyber Security,Inconsistent Learners,0.4997,0.9994,0.0,0.0,50.3,0.5,0.0,0,
631,Computer Science,Inconsistent Learners,0.4997,0.9994,0.0,0.0,62.1727,0.5294,0.0,0,
3241,Computer Science,Inconsistent Learners,0.4997,0.9994,0.0,0.0,62.55,0.8571,0.0,0,
229,Artificial Intelligence,Inconsistent Learners,0.4997,0.9994,0.0,0.0,56.3846,0.5,0.0,0,
1950,Computer Science,Inconsistent Learners,0.4996,0.9993,0.0,0.0,38.8375,0.6667,0.3333,0,
4766,Computer Science,Inconsistent Learners,0.4996,0.9993,0.0,0.0,72.6167,0.5385,0.25,1,High Score / Low Completion
1800,Artificial Intelligence,Inconsistent Learners,0.4996,0.9993,0.0,0.0,33.0,1.0,0.0,0,
2651,Artificial Intelligence,Inconsistent Learners,0.4996,0.9992,0.0,0.0,24.35,1.0,0.0,0,
2387,Artificial Intelligence,Inconsistent Learners,0.4996,0.9991,0.0,0.0,77.8,0.4,0.0,0,
3263,Computer Science,Inconsistent Learners,0.4996,0.9991,0.0,0.0,69.0,0.6,0.0,0,
689,Computer Science,Inconsistent Learners,0.4996,0.9991,0.0,0.0,54.65,0.75,0.0,0,
2686,Artificial Intelligence,Inconsistent Learners,0.4996,0.9993,0.0,0.0,82.85,0.6667,1.0,1,High Score / Low Completion
1976,Cyber Security,Inconsistent Learners,0.4996,0.9992,0.0,0.0,47.3667,0.75,0.0,0,
2246,Artificial Intelligence,Inconsistent Learners,0.4996,0.9993,0.0,0.0,63.7833,0.7143,0.0,0,
1498,Cyber Security,Inconsistent Learners,0.4996,0.9992,0.0,0.0,70.5,0.3333,0.0,0,
265,Computer Science,Inconsistent Learners,0.4996,0.9942,0.005,0.0,71.9833,0.5833,0.25,0,
1766,Computer Science,Inconsistent Learners,0.4996,0.9993,0.0,0.0,51.0,0.75,0.0,0,
580,Computer Science,Inconsistent Learners,0.4996,0.9993,0.0,0.0,37.15,0.7692,0.0,0,
911,Computer Science,Inconsistent Learners,0.4996,0.9991,0.0,0.0,48.8375,0.7692,0.0,0,
298,Computer Science,Inconsistent Learners,0.4996,0.9992,0.0,0.0,46.26,0.75,0.0,0,
4865,Artificial Intelligence,Inconsistent Learners,0.4996,0.9991,0.0,0.0,27.38,0.9,0.0,0,
3855,Artificial Intelligence,Inconsistent Learners,0.4996,0.9992,0.0,0.0,61.5,0.875,0.2,0,
2098,Computer Science,Inconsistent Learners,0.4996,0.9993,0.0,0.0,46.5333,0.75,1.0,0,
3387,Computer Science,Inconsistent Learners,0.4996,0.9992,0.0,0.0,39.3286,0.7692,0.0,0,
2742,Computer Science,Inconsistent Learners,0.4996,0.9993,0.0,0.0,48.0455,0.5385,0.0,0,
3100,Computer Science,Inconsistent Learners,0.4996,0.9991,0.0,0.0,51.8,0.3333,0.0,0,
2554,Computer Science,Inconsistent Learners,0.4996,0.9993,0.0,0.0,72.1286,0.5,0.0,0,
1440,Cyber Security,Inconsistent Learners,0.4996,0.9991,0.0,0.0,83.0,0.8,0.0,0,
4822,Cyber Security,Inconsistent Learners,0.4996,0.9942,0.005,0.0,33.5,1.0,0.0,0,
3936,Artificial Intelligence,Inconsistent Learners,0.4996,0.9992,0.0,0.0,46.8333,0.9,0.0,0,
767,Computer Science,Inconsistent Learners,0.4996,0.9992,0.0,0.0,75.2667,0.5714,0.0,0,
871,Cyber Security,Inconsistent Learners,0.4996,0.9993,0.0,0.0,51.0833,0.6667,0.0,0,
3594,Computer Science,Inconsistent Learners,0.4996,0.9993,0.0,0.0,60.9,0.75,0.0,0,
1942,Artificial Intelligence,Inconsistent Learners,0.4996,0.9991,0.0,0.0,47.7,0.6842,0.0,0,
2559,Computer Science,Inconsistent Learners,0.4996,0.9893,0.01,0.0,39.5667,0.8333,0.0,0,
751,Artificial Intelligence,Inconsistent Learners,0.4996,0.9991,0.0,0.0,39.3333,0.6667,0.0,0,
1297,Computer Science,Inconsistent Learners,0.4996,0.9993,0.0,0.0,23.16,1.0,0.0,0,
2324,Computer Science,Inconsistent Learners,0.4995,0.999,0.0,0.0,53.1667,0.6667,0.6667,0,
3546,Artificial Intelligence,Inconsistent Learners,0.4995,0.999,0.0,0.0,51.7,0.75,0.0,0,
3835,Computer Science,Inconsistent Learners,0.4995,0.999,0.0,0.0,47.96,0.8,0.0,0,
400,Computer Science,Inconsistent Learners,0.4995,0.999,0.0,0.0,57.2,0.8571,0.0,0,
508,Computer Science,Inconsistent Learners,0.4995,0.999,0.0,0.0,88.4,0.8571,0.0,0,
4873,Computer Science,Inconsistent Learners,0.4995,0.999,0.0,0.0,52.4625,0.7143,0.0,0,
2798,Cyber Security,Inconsistent Learners,0.4995,0.999,0.0,0.0,52.0,0.6667,0.0,0,
441,Computer Science,Inconsistent Learners,0.4995,0.999,0.0,0.0,60.0,0.625,0.0,0,
2385,Cyber Security,Inconsistent Learners,0.4995,0.999,0.0,0.0,66.4,0.0,0.0,0,
1409,Artificial Intelligence,Inconsistent Learners,0.4995,0.999,0.0,0.0,51.0667,0.6429,0.0,0,
3224,Artificial Intelligence,Inconsistent Learners,0.4995,0.999,0.0,0.0,48.4,0.8,0.0,0,
1622,Computer Science,Inconsistent Learners,0.4995,0.999,0.0,0.0,26.1,0.875,0.1667,0,
3195,Artificial Intelligence,Inconsistent Learners,0.4995,0.999,0.0,0.0,77.84,0.5455,0.0,0,
2955,Computer Science,Inconsistent Learners,0.4994,0.9988,0.0,0.0,62.35,0.5714,0.0,0,
1362,Computer Science,Inconsistent Learners,0.4994,0.9989,0.0,0.0,39.2,0.8125,0.0,0,
610,Computer Science,Inconsistent Learners,0.4994,0.9988,0.0,0.0,67.4,0.5,0.0,0,
921,Computer Science,Inconsistent Learners,0.4994,0.9989,0.0,0.0,66.5,0.5,0.0,0,
2125,Computer Science,Inconsistent Learners,0.4994,0.9988,0.0,0.0,50.95,0.6667,0.0,0,
2319,Computer Science,Inconsistent Learners,0.4994,0.9988,0.0,0.0,53.0,0.6667,0.0,0,
915,Cyber Security,Inconsistent Learners,0.4994,0.9987,0.0,0.0,45.2,1.0,0.0,0,
10,Artificial Intelligence,Inconsistent Learners,0.4994,0.9987,0.0,0.0,30.0,1.0,0.0,0,
357,Cyber Security,Inconsistent Learners,0.4994,0.9989,0.0,0.0,50.35,0.6667,0.0,0,
1500,Computer Science,Inconsistent Learners,0.4994,0.9989,0.0,0.0,50.4,0.5,0.0,0,
3429,Cyber Security,Inconsistent Learners,0.4994,0.9988,0.0,0.0,52.8667,0.625,0.0,0,
1185,Computer Science,Inconsistent Learners,0.4994,0.9989,0.0,0.0,28.5,1.0,0.0,0,
1949,Computer Science,Inconsistent Learners,0.4994,0.9988,0.0,0.0,63.0,0.0,0.0,0,
3688,Cyber Security,Inconsistent Learners,0.4994,0.9987,0.0,0.0,46.1125,0.6429,0.5,0,
2055,Computer Science,Inconsistent Learners,0.4994,0.9989,0.0,0.0,45.4714,0.6364,0.0,0,
3674,Computer Science,Inconsistent Learners,0.4994,0.9989,0.0,0.0,39.5111,0.7692,0.0,0,
2907,Computer Science,Inconsistent Learners,0.4994,0.9989,0.0,0.0,51.6,0.7778,0.0,0,
4814,Cyber Security,Inconsistent Learners,0.4994,0.9987,0.0,0.0,48.9,0.4286,1.0,1,High Score / Low Completion
953,Cyber Security,Inconsistent Learners,0.4994,0.9987,0.0,0.0,71.0,0.0,0.0,0,
804,Computer Science,Inconsistent Learners,0.4994,0.9988,0.0,0.0,48.2,1.0,0.0,0,
285,Computer Science,Inconsistent Learners,0.4994,0.9988,0.0,0.0,88.0333,0.6667,0.0,0,
3652,Artificial Intelligence,Inconsistent Learners,0.4994,0.9987,0.0,0.0,65.1333,0.3333,0.0,0,
378,Computer Science,Inconsistent Learners,0.4994,0.9989,0.0,0.0,57.5333,0.7778,1.0,0,
1276,Artificial Intelligence,Inconsistent Learners,0.4994,0.9987,0.0,0.0,18.15,1.0,0.0,0,
778,Artificial Intelligence,Inconsistent Learners,0.4994,0.9989,0.0,0.0,35.6,1.0,0.0,0,
4038,Artificial Intelligence,Inconsistent Learners,0.4994,0.9987,0.0,0.0,36.5286,0.8462,0.0,0,
