StudentId,SHAP_AdmissionYear,SHAP_EnrolledCourseCount,SHAP_QuizAttempts,SHAP_AvgScore,SHAP_MinScore,SHAP_AvgAttemptsPerQuiz,SHAP_AvgTimePerQuizMin,SHAP_AvgAttemptsBeforeSuccess,SHAP_NightActivityRatio,SHAP_DaytimeActivityRatio,SHAP_FailureRatio,SHAP_DifficultyExposure,SHAP_AvgTimePerActivity,SHAP_WorkloadPressure,Dropout
1490,0.00222,0.00354,-0.03421,-0.01238,-0.00556,-0.04484,-0.03815,-0.0439,-0.00454,-0.01945,-0.01275,-0.00565,-0.18352,-0.09927,0
3083,-0.00357,0.0052,0.07042,0.01123,0.00079,0.07558,0.0718,0.08273,0.00851,0.02702,0.0198,0.00519,0.08001,0.04185,1
3087,-0.00853,-0.00384,-0.07912,-0.02501,-0.01502,-0.09491,-0.09226,-0.0993,-0.01208,-0.04312,-0.03263,-0.01092,0.0173,0.00098,0
2666,-0.00402,-0.00252,-0.07862,-0.02517,-0.01556,-0.09384,-0.09207,-0.09839,-0.01232,-0.04297,-0.03226,-0.01093,0.01496,-0.00472,0
2726,-0.01204,-0.00337,-0.07971,-0.02459,-0.01538,-0.09448,-0.09255,-0.10031,-0.0121,-0.04375,-0.03281,-0.011,0.01836,0.00527,0
1813,-0.00097,-0.01878,-0.07651,-0.02653,-0.01586,-0.09013,-0.08959,-0.09733,-0.01239,-0.04195,-0.03257,-0.0107,0.01503,-0.00021,0
2467,0.00296,0.00268,0.02825,-0.00459,-0.01469,0.03269,0.02332,0.03535,-0.01059,0.00292,0.01259,-0.00388,-0.40227,-0.1982,0
683,-0.00174,0.00406,-0.07869,-0.0246,-0.01517,-0.09399,-0.09143,-0.09882,-0.0121,-0.04273,-0.03216,-0.01082,0.01245,-0.01271,0
3621,0.00471,0.00222,-0.07533,-0.02362,-0.01577,-0.08932,-0.08996,-0.09579,-0.01137,-0.0417,-0.03097,-0.01006,-0.02604,0.00453,0
2327,0.00016,-0.00589,-0.07904,-0.02492,-0.01547,-0.09386,-0.09184,-0.09976,-0.01206,-0.04293,-0.03252,-0.01075,0.01209,-0.00166,0
1276,-0.00011,0.00677,0.07175,0.00304,0.00524,0.0796,0.06604,0.08521,0.00564,0.02706,0.02338,0.00673,0.07805,0.04313,1
1749,-0.00796,0.00076,-0.07874,-0.02532,-0.0151,-0.09393,-0.09211,-0.09836,-0.01225,-0.04287,-0.0324,-0.01097,0.01429,-0.00351,0
3289,-0.00105,-0.01039,-0.07917,-0.02618,-0.01583,-0.09226,-0.09084,-0.09946,-0.01201,-0.04302,-0.0324,-0.0108,0.01519,-0.00023,0
4619,0.00312,0.00502,0.07355,0.01806,0.0093,0.07276,0.07114,0.08227,-0.0047,0.03558,0.01706,0.00225,0.07409,0.04202,1
1509,0.00016,-0.00589,-0.07904,-0.02492,-0.01547,-0.09386,-0.09184,-0.09976,-0.01206,-0.04293,-0.03252,-0.01075,0.01209,-0.00166,0
2529,0.00123,0.00458,-0.03489,-0.0128,-0.0056,-0.04464,-0.03843,-0.04381,-0.00506,-0.01948,-0.01282,-0.00576,-0.18422,-0.09677,0
4906,-0.01486,0.00214,-0.07955,-0.0244,-0.01522,-0.09418,-0.09227,-0.10016,-0.01203,-0.04356,-0.03269,-0.011,0.01744,0.00187,0
1948,0.00585,0.00079,0.02813,0.00293,-0.00101,0.03137,0.02421,0.03352,0.0021,0.00971,0.00546,0.00265,-0.3636,-0.26058,0
4425,0.0012,0.00213,-0.07862,-0.02474,-0.01497,-0.09351,-0.09168,-0.09888,-0.01205,-0.04277,-0.0326,-0.01089,0.00883,-0.00991,0
3282,-0.00238,-0.00492,-0.07891,-0.02483,-0.01537,-0.09466,-0.09207,-0.09913,-0.01214,-0.04308,-0.03249,-0.01089,0.01471,-0.00229,0
1966,-0.00203,-0.01112,-0.03396,-0.01267,-0.00614,-0.04289,-0.03844,-0.04342,-0.00508,-0.01922,-0.01307,-0.0058,-0.17489,-0.08973,0
3985,-0.00451,-0.01015,0.0293,-0.02725,-0.02668,0.0394,0.03244,0.03271,-0.01713,0.006,-0.02723,-0.01635,-0.36187,-0.06215,0
4366,0.00269,0.00375,-0.03421,-0.01204,-0.00545,-0.04452,-0.03777,-0.04369,-0.00452,-0.01907,-0.01292,-0.00567,-0.1876,-0.09743,0
4380,-0.01204,-0.00337,-0.07971,-0.02459,-0.01538,-0.09448,-0.09255,-0.10031,-0.0121,-0.04375,-0.03281,-0.011,0.01836,0.00527,0
4108,-0.00212,-0.02505,-0.03848,-0.01084,-0.00631,-0.04968,-0.04754,-0.05181,-0.0045,-0.02292,-0.01732,-0.00519,-0.09084,-0.11585,0
3339,0.01695,0.01366,-0.04378,-0.01873,-0.00978,-0.05211,-0.052,-0.05669,-0.00705,-0.02646,-0.01729,-0.00614,-0.04304,-0.05099,0
3742,0.00111,-0.01116,-0.07906,-0.02552,-0.01543,-0.09343,-0.09248,-0.099,-0.01229,-0.04318,-0.0326,-0.01098,0.01463,0.00092,0
1516,-0.00771,-0.00401,0.03103,0.00113,-0.00239,0.03048,0.026,0.03635,0.00095,-0.00311,0.00266,0.00277,-0.3681,-0.2395,0
4961,-0.00367,0.00627,-0.03351,-0.01324,-0.00574,-0.04378,-0.03832,-0.04372,-0.0049,-0.0196,-0.01278,-0.00581,-0.1894,-0.09026,0
3865,0.00437,-0.01011,-0.03399,-0.01243,-0.00563,-0.0444,-0.04013,-0.04459,-0.00568,-0.0201,-0.01286,-0.00577,-0.16222,-0.10491,0
4038,-0.00544,0.00267,0.0711,0.00617,0.00142,0.07577,0.06818,0.08262,0.00824,0.02589,0.021,0.00678,0.07887,0.04828,1
3786,0.00035,0.00348,-0.03493,-0.01233,-0.00583,-0.04324,-0.04079,-0.04756,-0.00554,-0.01892,-0.01403,-0.00468,-0.19743,-0.06702,0
3564,-0.00402,-0.00252,-0.07862,-0.02517,-0.01556,-0.09384,-0.09207,-0.09839,-0.01232,-0.04297,-0.03226,-0.01093,0.01496,-0.00472,0
4599,-0.00953,-0.00388,-0.03442,-0.01233,-0.00613,-0.04545,-0.03941,-0.04494,-0.00475,-0.02033,-0.0133,-0.00573,-0.16144,-0.09682,0
3628,0.0009,0.00318,-0.07872,-0.02465,-0.01527,-0.09326,-0.0914,-0.09923,-0.01195,-0.04255,-0.03231,-0.01071,0.01168,-0.01417,0
4863,-0.00319,0.00618,-0.03336,-0.01235,-0.00565,-0.0434,-0.03766,-0.04349,-0.00485,-0.01934,-0.01303,-0.00588,-0.19362,-0.08881,0
4722,0.00183,-0.00277,-0.03559,-0.01134,-0.00525,-0.04496,-0.03999,-0.04486,-0.00495,-0.01959,-0.01419,-0.00569,-0.18274,-0.08837,0
4964,0.00092,-0.00112,-0.03486,-0.01244,-0.006,-0.04417,-0.03882,-0.04462,-0.00527,-0.01928,-0.01304,-0.00586,-0.17327,-0.10062,0
1076,-0.01879,-0.00454,0.03835,0.01357,0.00765,0.04277,0.03765,0.04802,-0.0152,0.00778,0.04288,0.00225,-0.23959,-0.19626,0
3466,-0.00701,0.00574,-0.03654,-0.0114,-0.00755,-0.04815,-0.04191,-0.04917,-0.00594,-0.0214,-0.01695,-0.00546,-0.11063,-0.14207,0
4858,-0.00402,-0.00252,-0.07862,-0.02517,-0.01556,-0.09384,-0.09207,-0.09839,-0.01232,-0.04297,-0.03226,-0.01093,0.01496,-0.00472,0
3957,-0.02941,-0.00368,0.03608,0.00117,0.00028,0.05171,0.03651,0.04702,-0.00223,0.01398,-0.0008,0.00069,-0.25025,-0.16952,0
4052,0.00102,0.0041,0.07141,0.00513,0.00625,0.07445,0.07033,0.08433,0.00784,0.02824,0.02298,0.00564,0.07732,0.04249,1
4006,-0.00367,-0.00908,-0.03752,-0.01491,-0.00715,-0.04674,-0.04448,-0.05289,-0.00554,-0.02236,-0.01362,-0.00477,-0.15351,-0.07722,0
4457,-0.00325,0.00384,-0.03562,-0.01351,-0.00637,-0.04622,-0.04022,-0.04486,-0.00493,-0.01991,-0.01304,-0.00636,-0.17183,-0.09617,0
1394,-0.00389,0.00327,-0.03614,-0.01314,-0.00611,-0.04693,-0.04066,-0.04508,-0.00478,-0.01972,-0.01384,-0.00626,-0.16803,-0.09714,0
2889,-0.0111,-0.00817,0.03082,-0.00451,-0.00377,0.03264,0.02411,0.03461,-0.00405,0.00475,-0.00025,0.00247,-0.27105,-0.30494,0
4405,-0.00174,0.00188,0.03132,0.00307,0.00744,0.03126,0.03237,0.03246,0.0047,0.01029,0.01263,0.00312,-0.37149,-0.25077,0
455,-0.01164,-0.01043,-0.03457,-0.01251,-0.00583,-0.04845,-0.04098,-0.04624,-0.00588,-0.02018,-0.01378,-0.00507,-0.14668,-0.09622,0
1796,-0.00084,-0.00199,-0.0342,-0.012,-0.00561,-0.04482,-0.04024,-0.04459,-0.00504,-0.01985,-0.01447,-0.00573,-0.17816,-0.09091,0
885,-0.00238,-0.00492,-0.07891,-0.02483,-0.01537,-0.09466,-0.09207,-0.09913,-0.01214,-0.04308,-0.03249,-0.01089,0.01471,-0.00229,0
4275,-0.00322,-0.04674,0.03436,-0.00637,-0.00773,0.0321,0.01986,0.04013,-2e-05,0.00828,0.00587,-0.00388,-0.56123,0.03013,0
1061,-0.00174,0.00406,-0.07869,-0.0246,-0.01517,-0.09399,-0.09143,-0.09882,-0.0121,-0.04273,-0.03216,-0.01082,0.01245,-0.01271,0
1688,-0.00535,0.00315,0.02253,-0.00546,-0.00157,0.02987,0.02397,0.03143,0.00044,0.00617,0.00668,0.00186,-0.39842,-0.21376,0
211,-0.00785,-0.01561,0.06764,0.01003,0.00868,0.07696,0.06907,0.08253,0.00858,0.02682,0.01898,0.00167,0.08728,0.04175,1
2590,0.00403,0.00474,0.02358,-0.00847,-0.00819,0.01609,0.01608,0.02166,-0.01044,0.00214,-0.00773,0.00267,-0.28649,-0.22315,0
1206,-0.00793,-0.00049,0.02736,-0.0074,-0.00051,0.02649,0.02586,0.03646,-0.00368,0.00627,-0.00249,0.00086,-0.40992,-0.18435,0
3858,-0.04151,-0.0084,-0.05279,-0.01657,-0.01222,-0.05944,-0.06402,-0.06388,-0.00761,-0.02625,-0.02019,-0.00673,-0.12179,0.00292,0
4153,0.00718,0.00195,-0.03587,-0.01277,-0.00602,-0.04452,-0.04022,-0.04423,-0.00565,-0.0205,-0.01266,-0.00591,-0.15898,-0.11525,0
280,-0.02102,0.00637,-0.03581,-0.01091,-0.00621,-0.0477,-0.04368,-0.04626,-0.00347,-0.02105,-0.01393,-0.00448,-0.08482,-0.11551,0
1589,0.00373,0.00464,-0.03379,-0.01197,-0.00544,-0.04444,-0.03758,-0.04349,-0.00448,-0.0191,-0.01288,-0.00566,-0.19358,-0.09441,0
268,-0.00102,-0.00307,-0.04603,-0.01806,-0.00976,-0.0525,-0.05424,-0.05606,-0.00672,-0.02395,-0.01556,-0.00606,-0.21315,0.00771,0
419,0.00042,-0.0016,-0.07863,-0.02522,-0.01564,-0.09294,-0.09166,-0.09898,-0.01222,-0.0427,-0.03248,-0.01078,0.00904,-0.00507,0
602,-0.01481,-0.0297,-0.03932,-0.01286,-0.00686,-0.04997,-0.04475,-0.04985,-0.00636,-0.02186,-0.01706,-0.00585,-0.08708,-0.11214,0
1081,-0.01486,0.00214,-0.07955,-0.0244,-0.01522,-0.09418,-0.09227,-0.10016,-0.01203,-0.04356,-0.03269,-0.011,0.01744,0.00187,0
1068,0.00252,0.00125,-0.07548,-0.02444,-0.01616,-0.09066,-0.09043,-0.09623,-0.01175,-0.04173,-0.03177,-0.00987,-0.00958,-0.00413,0
2534,0.09506,0.08708,-0.01765,-0.00489,-0.00482,-0.03033,-0.02461,-0.02842,-0.00276,-0.00924,-0.00953,-0.00226,0.10338,0.04053,1
3763,-0.00384,0.00029,0.03363,-0.00504,-0.00418,0.02346,0.02389,0.03472,-0.00337,0.00825,-0.01391,-0.00381,-0.29822,-0.25534,0
165,-0.01344,-0.00634,-0.04832,-0.01843,-0.00931,-0.05394,-0.05605,-0.0569,-0.0076,-0.02419,-0.01495,-0.00611,-0.19072,0.00785,0
4609,0.0012,0.00213,-0.07862,-0.02474,-0.01497,-0.09351,-0.09168,-0.09888,-0.01205,-0.04277,-0.0326,-0.01089,0.00883,-0.00991,0
2286,-0.0083,-0.04979,0.03217,-0.01361,-0.00681,0.02972,0.02752,0.0425,0.0044,0.0134,-0.00256,-0.00365,-0.54157,0.02312,0
4171,-0.00307,-0.03311,-0.04264,-0.01827,-0.0111,-0.05111,-0.05073,-0.05654,-0.00702,-0.02301,-0.01564,-0.00523,-0.16884,-0.01217,0
2843,-0.00374,-0.00182,0.03007,0.00335,-0.00064,0.03121,0.02822,0.03359,0.00168,0.00757,0.00307,0.00209,-0.39884,-0.22926,0
1111,0.00067,-0.0074,-0.03413,-0.01166,-0.00504,-0.04527,-0.04014,-0.04662,-0.00576,-0.01986,-0.01447,-0.00512,-0.18306,-0.0806,0
1331,0.0009,0.00318,-0.07872,-0.02465,-0.01527,-0.09326,-0.0914,-0.09923,-0.01195,-0.04255,-0.03231,-0.01071,0.01168,-0.01417,0
1465,-0.00788,-0.00758,-0.03745,-0.0146,-0.00684,-0.04887,-0.04449,-0.05176,-0.0056,-0.02419,-0.01436,-0.00485,-0.1558,-0.07419,0
1748,-0.00019,0.00468,0.06802,0.0089,0.00472,0.08028,0.06982,0.08215,0.00401,0.02709,0.01731,0.00653,0.07556,0.04767,1
79,-0.0014,-0.01201,-0.03504,-0.01277,-0.0058,-0.04548,-0.04031,-0.0455,-0.00588,-0.0203,-0.01418,-0.00534,-0.16662,-0.08781,0
89,-0.00238,-0.00492,-0.07891,-0.02483,-0.01537,-0.09466,-0.09207,-0.09913,-0.01214,-0.04308,-0.03249,-0.01089,0.01471,-0.00229,0
939,-0.01204,-0.00337,-0.07971,-0.02459,-0.01538,-0.09448,-0.09255,-0.10031,-0.0121,-0.04375,-0.03281,-0.011,0.01836,0.00527,0
3878,0.00122,-0.01174,-0.04277,-0.0158,-0.00935,-0.04871,-0.04812,-0.05245,-0.00648,-0.02308,-0.01422,-0.00511,-0.17722,-0.03964,0
2794,-0.01016,0.00999,-0.03384,-0.01227,-0.00529,-0.04243,-0.0368,-0.04243,-0.00485,-0.01869,-0.01272,-0.00588,-0.18786,-0.08023,0
1277,-0.00853,-0.00384,-0.07912,-0.02501,-0.01502,-0.09491,-0.09226,-0.0993,-0.01208,-0.04312,-0.03263,-0.01092,0.0173,0.00098,0
2166,-0.00166,0.00177,-0.03713,-0.01198,-0.00686,-0.04771,-0.04163,-0.04631,-0.00474,-0.02074,-0.01431,-0.00583,-0.15305,-0.10827,0
4209,-0.02838,0.00016,-0.03817,-0.01123,-0.0073,-0.04753,-0.04647,-0.04899,-0.00563,-0.02247,-0.01641,-0.0055,-0.08607,-0.12446,0
4546,0.00072,-0.01251,-0.03631,-0.01204,-0.00532,-0.04553,-0.04009,-0.04561,-0.00507,-0.01995,-0.01405,-0.00579,-0.16906,-0.08784,0
1455,-0.0164,0.0007,-0.03665,-0.01134,-0.00709,-0.04897,-0.04117,-0.04912,-0.00568,-0.02134,-0.01639,-0.00528,-0.08773,-0.152,0
4,0.00039,-0.01102,-0.03747,-0.01457,-0.00635,-0.04971,-0.04508,-0.05142,-0.00559,-0.02261,-0.01382,-0.00487,-0.1596,-0.07674,0
3125,-0.00796,0.00076,-0.07874,-0.02532,-0.0151,-0.09393,-0.09211,-0.09836,-0.01225,-0.04287,-0.0324,-0.01097,0.01429,-0.00351,0
1503,-8e-05,-0.011,-0.0792,-0.02541,-0.01576,-0.0933,-0.09212,-0.09953,-0.01224,-0.04297,-0.03247,-0.01084,0.01598,0.00048,0
274,-0.00205,0.00055,0.06812,0.01024,0.0072,0.07665,0.07109,0.08202,0.0087,0.02535,0.01898,0.00024,0.07945,0.04502,1
3682,-0.00594,0.00109,0.06837,0.01353,0.00962,0.07799,0.07181,0.08362,0.00997,0.02718,0.01546,0.00594,0.07404,0.04385,1
4097,0.00016,-0.00589,-0.07904,-0.02492,-0.01547,-0.09386,-0.09184,-0.09976,-0.01206,-0.04293,-0.03252,-0.01075,0.01209,-0.00166,0
2522,0.0012,0.00213,-0.07862,-0.02474,-0.01497,-0.09351,-0.09168,-0.09888,-0.01205,-0.04277,-0.0326,-0.01089,0.00883,-0.00991,0
367,-0.00174,0.00406,-0.07869,-0.0246,-0.01517,-0.09399,-0.09143,-0.09882,-0.0121,-0.04273,-0.03216,-0.01082,0.01245,-0.01271,0
1972,-0.00405,-0.03544,-0.03928,-0.01151,-0.00628,-0.05125,-0.04545,-0.05135,-0.00528,-0.022,-0.01861,-0.00559,-0.08926,-0.1081,0
4407,-0.00555,0.00388,0.06771,0.01215,0.00914,0.07938,0.0733,0.08486,0.00984,0.02648,0.01305,0.00437,0.0732,0.04473,1
2101,-0.01045,-0.00497,-0.03486,-0.01235,-0.00609,-0.04518,-0.03949,-0.04513,-0.00537,-0.02031,-0.01342,-0.0058,-0.16092,-0.09413,0
4615,-0.00136,-0.00693,-0.03445,-0.01176,-0.00527,-0.04577,-0.0403,-0.04502,-0.00577,-0.02003,-0.01461,-0.00535,-0.17375,-0.08809,0
4671,-0.00553,-0.00313,-0.0348,-0.01075,-0.00705,-0.04676,-0.04236,-0.04674,-0.00456,-0.01927,-0.0148,-0.00418,-0.08672,-0.1618,0
2688,-0.00101,-0.00199,-0.0451,-0.01593,-0.00664,-0.05377,-0.0494,-0.06153,-0.00604,-0.02719,-0.01907,-0.00609,-0.06769,-0.12201,0
3672,-0.00853,-0.00384,-0.07912,-0.02501,-0.01502,-0.09491,-0.09226,-0.0993,-0.01208,-0.04312,-0.03263,-0.01092,0.0173,0.00098,0
1520,-0.00042,-0.00129,-0.04328,-0.01638,-0.00999,-0.05056,-0.04887,-0.05339,-0.00637,-0.0244,-0.01602,-0.00565,-0.18175,-0.04008,0
1067,-0.0328,-0.01765,-0.03958,-0.01126,-0.00778,-0.0486,-0.04579,-0.05174,-0.0058,-0.02021,-0.01912,-0.00583,-0.07931,-0.11299,0
3762,0.00016,-0.00589,-0.07904,-0.02492,-0.01547,-0.09386,-0.09184,-0.09976,-0.01206,-0.04293,-0.03252,-0.01075,0.01209,-0.00166,0
3498,0.00033,-0.0315,-0.03813,-0.01065,-0.00659,-0.04635,-0.04583,-0.05121,-0.00456,-0.02078,-0.01865,-0.00421,-0.07194,-0.08836,0
588,-0.00853,-0.00384,-0.07912,-0.02501,-0.01502,-0.09491,-0.09226,-0.0993,-0.01208,-0.04312,-0.03263,-0.01092,0.0173,0.00098,0
4248,-0.00402,-0.00252,-0.07862,-0.02517,-0.01556,-0.09384,-0.09207,-0.09839,-0.01232,-0.04297,-0.03226,-0.01093,0.01496,-0.00472,0
2230,0.00192,-0.00549,-0.07886,-0.02499,-0.01516,-0.09393,-0.09221,-0.09915,-0.01208,-0.04318,-0.03275,-0.01091,0.01075,-0.00243,0
1185,-0.00327,-0.01747,0.07128,0.0055,0.00061,0.07314,0.07312,0.08282,-0.00351,0.0297,0.02868,0.00655,0.08479,0.0396,1
4733,0.00144,0.00153,-0.07575,-0.02431,-0.01635,-0.09034,-0.09029,-0.09679,-0.01118,-0.04149,-0.03167,-0.00973,-0.00511,-0.00841,0
2894,-0.01759,-0.00528,-0.04867,-0.01884,-0.00936,-0.05708,-0.05895,-0.05709,-0.00877,-0.02556,-0.01456,-0.00624,-0.17905,0.0086,0
2266,0.09333,0.08041,-0.02525,-0.00823,-0.00904,-0.02648,-0.03161,-0.03302,-0.00366,-0.01267,-0.01318,-0.00329,0.05099,0.04827,1
2288,-0.0065,-0.00403,-0.04734,-0.01946,-0.01014,-0.05804,-0.05806,-0.0568,-0.00795,-0.02579,-0.01408,-0.00617,-0.19208,0.00801,0
3708,-0.01204,-0.00337,-0.07971,-0.02459,-0.01538,-0.09448,-0.09255,-0.10031,-0.0121,-0.04375,-0.03281,-0.011,0.01836,0.00527,0
4456,-0.00096,-0.00696,-0.03601,-0.01333,-0.00619,-0.04628,-0.0409,-0.04557,-0.00525,-0.01991,-0.01301,-0.00593,-0.15473,-0.10342,0
4971,-0.00222,-0.04341,0.0327,0.00466,0.007,0.03597,0.03567,0.0385,-0.01206,0.00809,0.00972,-0.00354,-0.53999,0.02547,0
2226,-0.00359,-7e-05,0.06735,0.01156,0.00866,0.07761,0.07267,0.085,0.00968,0.02622,0.01598,0.00454,0.07341,0.04754,1
2660,-0.00174,0.00406,-0.07869,-0.0246,-0.01517,-0.09399,-0.09143,-0.09882,-0.0121,-0.04273,-0.03216,-0.01082,0.01245,-0.01271,0
3793,-0.00013,0.00405,0.08906,0.0071,0.00422,0.08308,0.0793,0.09906,0.01201,-0.02356,0.02329,-0.00463,0.07392,0.0398,1
4869,0.00111,-0.01116,-0.07906,-0.02552,-0.01543,-0.09343,-0.09248,-0.099,-0.01229,-0.04318,-0.0326,-0.01098,0.01463,0.00092,0
3800,-0.026,-0.0031,-0.03532,-0.01115,-0.00757,-0.04447,-0.04005,-0.04586,-0.00473,-0.01906,-0.01519,-0.0044,-0.07757,-0.14398,0
968,0.00252,0.00125,-0.07548,-0.02444,-0.01616,-0.09066,-0.09043,-0.09623,-0.01175,-0.04173,-0.03177,-0.00987,-0.00958,-0.00413,0
2973,-0.00851,0.00448,0.06834,0.01237,0.00674,0.07521,0.07502,0.08278,-0.00458,0.03551,0.01608,0.00513,0.0807,0.04229,1
1096,0.00111,-0.00602,-0.03878,-0.01564,-0.00662,-0.05037,-0.04586,-0.05191,-0.00561,-0.02279,-0.01405,-0.00484,-0.17653,-0.06054,0
1826,-0.00796,0.00076,-0.07874,-0.02532,-0.0151,-0.09393,-0.09211,-0.09836,-0.01225,-0.04287,-0.0324,-0.01097,0.01429,-0.00351,0
2436,0.0002,-0.03025,-0.03891,-0.0123,-0.00724,-0.04989,-0.04605,-0.05043,-0.005,-0.02141,-0.01744,-0.00639,-0.08992,-0.12343,0
862,-0.00487,0.00352,-0.03496,-0.01306,-0.0062,-0.04573,-0.03921,-0.04427,-0.00497,-0.01997,-0.01249,-0.00528,-0.16711,-0.10387,0
4700,-0.01228,0.00673,-0.04281,-0.0134,-0.00901,-0.05109,-0.05039,-0.05222,-0.00572,-0.02209,-0.01831,-0.00495,-0.083,-0.08991,0
1698,0.00098,-0.02444,-0.0398,-0.01112,-0.00674,-0.05019,-0.04692,-0.05208,-0.00517,-0.02153,-0.01926,-0.00619,-0.09938,-0.11661,0
1967,-0.00362,0.00133,0.02908,-0.00424,-0.00561,0.02602,0.02253,0.03702,-0.00271,0.01052,-0.01154,-0.00716,-0.30064,-0.25445,0
1078,-0.00302,-0.01042,-0.07896,-0.02535,-0.01558,-0.09416,-0.09235,-0.09889,-0.01233,-0.0431,-0.03227,-0.01098,0.0182,0.00075,0
3730,-0.00526,-3e-05,0.03639,-0.01586,-0.01213,0.03302,0.02685,0.0385,0.00655,-0.01455,0.01257,-0.0052,-0.38048,-0.20882,0
2390,0.00235,-0.00102,-0.07844,-0.0252,-0.01525,-0.09301,-0.09202,-0.09839,-0.01228,-0.04299,-0.03258,-0.01092,0.00804,-0.00675,0
2538,-0.00099,-0.01438,-0.07903,-0.02627,-0.01593,-0.09026,-0.0896,-0.09819,-0.01224,-0.04325,-0.03272,-0.01075,0.01524,-9e-05,0
4429,-0.00144,-0.02199,-0.03623,-0.01181,-0.00628,-0.04837,-0.04588,-0.04791,-0.00491,-0.021,-0.01625,-0.00586,-0.09755,-0.12298,0
3577,-0.00264,0.00157,0.07011,0.00672,0.00324,0.07724,0.06575,0.0851,0.00897,0.02798,0.02172,0.00393,0.07984,0.04704,1
3189,-0.01285,0.00229,0.03413,-0.00446,-0.0191,0.01762,0.02619,0.03785,-0.00841,0.00459,0.02084,-0.00252,-0.28993,-0.23468,0
1570,-0.02624,-0.01707,-0.04201,-0.01285,-0.00664,-0.05256,-0.04676,-0.0535,-0.00616,-0.02333,-0.02003,-0.00652,-0.07022,-0.10957,1
4973,-0.00262,-0.00628,0.03506,-0.00326,-0.01475,0.03379,0.02195,0.0369,0.00217,0.01285,0.01226,-0.00239,-0.39157,-0.21756,0
117,-0.00136,0.00258,0.06836,0.00851,0.0026,0.07935,0.07279,0.08225,0.0085,0.02669,0.01748,0.00486,0.07504,0.0489,1
494,0.00119,0.01063,-0.03462,-0.01228,-0.00534,-0.04669,-0.03831,-0.04697,-0.0056,-0.02065,-0.01657,-0.00487,-0.05465,-0.15873,0
3779,-0.00191,0.00149,0.02905,-0.00103,-0.0069,0.02905,0.02575,0.03215,-0.00349,0.00573,0.00533,0.00035,-0.40605,-0.20798,0
4064,-0.01286,-0.00016,-0.07939,-0.02491,-0.01556,-0.09373,-0.09248,-0.09949,-0.01229,-0.04359,-0.03264,-0.01101,0.01713,0.00254,0
1823,-0.07086,0.01756,-0.04588,-0.01746,-0.01092,-0.05597,-0.058,-0.0609,-0.00834,-0.02408,-0.0169,-0.00586,-0.06835,-0.01252,0
