StudentId,Cluster,ClusterLabel
1122,1,Passive Learners
4199,2,High Achievers
2068,2,High Achievers
1356,1,Passive Learners
909,3,Inconsistent Learners
3524,1,Passive Learners
2583,1,Passive Learners
2877,0,At-Risk Students
4295,1,Passive Learners
2392,1,Passive Learners
4773,0,At-Risk Students
3638,0,At-Risk Students
4047,0,At-Risk Students
3100,3,Inconsistent Learners
2846,2,High Achievers
1040,0,At-Risk Students
4207,2,High Achievers
3833,1,Passive Learners
2575,0,At-Risk Students
4232,3,Inconsistent Learners
654,0,At-Risk Students
1595,0,At-Risk Students
4987,3,Inconsistent Learners
3617,0,At-Risk Students
2189,0,At-Risk Students
4160,1,Passive Learners
2024,1,Passive Learners
272,0,At-Risk Students
2708,1,Passive Learners
3429,3,Inconsistent Learners
1296,0,At-Risk Students
2423,0,At-Risk Students
2365,3,Inconsistent Learners
4775,0,At-Risk Students
2486,0,At-Risk Students
3346,1,Passive Learners
306,0,At-Risk Students
2714,0,At-Risk Students
3309,0,At-Risk Students
1845,0,At-Risk Students
2814,3,Inconsistent Learners
4662,1,Passive Learners
4547,1,Passive Learners
1537,1,Passive Learners
4681,0,At-Risk Students
4181,0,At-Risk Students
3579,2,High Achievers
763,3,Inconsistent Learners
1547,1,Passive Learners
1996,1,Passive Learners
644,0,At-Risk Students
965,0,At-Risk Students
2870,0,At-Risk Students
4121,0,At-Risk Students
994,1,Passive Learners
3036,1,Passive Learners
3014,0,At-Risk Students
4075,0,At-Risk Students
128,2,High Achievers
2281,0,At-Risk Students
2845,1,Passive Learners
2264,2,High Achievers
4540,0,At-Risk Students
867,0,At-Risk Students
1214,0,At-Risk Students
3300,0,At-Risk Students
62,0,At-Risk Students
1372,1,Passive Learners
1497,2,High Achievers
2276,0,At-Risk Students
1160,0,At-Risk Students
3837,0,At-Risk Students
642,1,Passive Learners
3454,3,Inconsistent Learners
2970,0,At-Risk Students
2447,0,At-Risk Students
2837,2,High Achievers
1184,1,Passive Learners
4028,0,At-Risk Students
2258,1,Passive Learners
853,0,At-Risk Students
3863,2,High Achievers
4913,1,Passive Learners
543,1,Passive Learners
4926,0,At-Risk Students
2675,3,Inconsistent Learners
57,1,Passive Learners
4073,0,At-Risk Students
845,0,At-Risk Students
3969,0,At-Risk Students
4776,1,Passive Learners
1502,0,At-Risk Students
1224,1,Passive Learners
742,2,High Achievers
176,1,Passive Learners
781,1,Passive Learners
530,3,Inconsistent Learners
1550,2,High Achievers
2254,2,High Achievers
1137,3,Inconsistent Learners
1397,1,Passive Learners
3191,0,At-Risk Students
1583,1,Passive Learners
3119,1,Passive Learners
4253,1,Passive Learners
534,0,At-Risk Students
1476,3,Inconsistent Learners
3187,0,At-Risk Students
4847,2,High Achievers
1648,0,At-Risk Students
3801,0,At-Risk Students
4140,1,Passive Learners
2282,0,At-Risk Students
2398,0,At-Risk Students
318,1,Passive Learners
838,3,Inconsistent Learners
3488,0,At-Risk Students
4354,0,At-Risk Students
3716,0,At-Risk Students
1734,1,Passive Learners
1240,3,Inconsistent Learners
1617,0,At-Risk Students
3782,2,High Achievers
4198,2,High Achievers
3203,1,Passive Learners
4341,0,At-Risk Students
3851,1,Passive Learners
4525,0,At-Risk Students
2611,2,High Achievers
2018,2,High Achievers
3096,3,Inconsistent Learners
2125,3,Inconsistent Learners
2693,0,At-Risk Students
861,0,At-Risk Students
205,0,At-Risk Students
366,0,At-Risk Students
3355,0,At-Risk Students
4656,1,Passive Learners
2311,0,At-Risk Students
664,2,High Achievers
3414,2,High Achievers
872,3,Inconsistent Learners
3811,2,High Achievers
4370,0,At-Risk Students
753,0,At-Risk Students
2216,1,Passive Learners
3149,0,At-Risk Students
3008,1,Passive Learners
1128,0,At-Risk Students
629,0,At-Risk Students
2256,1,Passive Learners
517,0,At-Risk Students
145,1,Passive Learners
2474,0,At-Risk Students
4110,2,High Achievers
2674,1,Passive Learners
4765,0,At-Risk Students
754,0,At-Risk Students
866,0,At-Risk Students
1365,0,At-Risk Students
3835,3,Inconsistent Learners
4143,0,At-Risk Students
287,1,Passive Learners
794,0,At-Risk Students
3876,0,At-Risk Students
397,1,Passive Learners
1689,1,Passive Learners
4917,3,Inconsistent Learners
4600,0,At-Risk Students
3998,1,Passive Learners
3352,0,At-Risk Students
3047,0,At-Risk Students
1448,1,Passive Learners
820,0,At-Risk Students
4660,2,High Achievers
4132,1,Passive Learners
2866,0,At-Risk Students
1988,1,Passive Learners
4403,1,Passive Learners
475,3,Inconsistent Learners
2442,0,At-Risk Students
358,1,Passive Learners
1799,1,Passive Learners
2041,2,High Achievers
3345,0,At-Risk Students
889,1,Passive Learners
2841,1,Passive Learners
3090,2,High Achievers
1317,3,Inconsistent Learners
1779,0,At-Risk Students
4417,1,Passive Learners
1657,1,Passive Learners
952,3,Inconsistent Learners
1681,1,Passive Learners
3059,1,Passive Learners
1348,0,At-Risk Students
2214,0,At-Risk Students
508,3,Inconsistent Learners
3084,0,At-Risk Students
1337,1,Passive Learners
482,3,Inconsistent Learners
1757,0,At-Risk Students
3252,0,At-Risk Students
4159,3,Inconsistent Learners
4377,3,Inconsistent Learners
2833,0,At-Risk Students
3348,1,Passive Learners
3660,3,Inconsistent Learners
3408,0,At-Risk Students
199,2,High Achievers
1301,1,Passive Learners
3244,1,Passive Learners
1396,2,High Achievers
816,2,High Achievers
631,3,Inconsistent Learners
3511,0,At-Risk Students
1,2,High Achievers
3514,0,At-Risk Students
1392,0,At-Risk Students
3729,0,At-Risk Students
4737,2,High Achievers
3379,1,Passive Learners
1736,0,At-Risk Students
468,1,Passive Learners
3988,0,At-Risk Students
65,0,At-Risk Students
1808,0,At-Risk Students
10,3,Inconsistent Learners
439,1,Passive Learners
4078,0,At-Risk Students
4462,0,At-Risk Students
136,1,Passive Learners
3979,0,At-Risk Students
2720,2,High Achievers
2804,1,Passive Learners
947,1,Passive Learners
4144,0,At-Risk Students
209,0,At-Risk Students
2046,3,Inconsistent Learners
1079,2,High Achievers
2862,3,Inconsistent Learners
3541,1,Passive Learners
2297,0,At-Risk Students
484,0,At-Risk Students
4423,1,Passive Learners
1323,0,At-Risk Students
3618,1,Passive Learners
2040,1,Passive Learners
1481,1,Passive Learners
3503,0,At-Risk Students
1406,1,Passive Learners
4663,1,Passive Learners
842,0,At-Risk Students
1196,2,High Achievers
1507,1,Passive Learners
514,0,At-Risk Students
1704,0,At-Risk Students
3013,0,At-Risk Students
3267,0,At-Risk Students
1208,3,Inconsistent Learners
832,1,Passive Learners
1963,1,Passive Learners
410,0,At-Risk Students
2939,0,At-Risk Students
4369,0,At-Risk Students
4877,2,High Achievers
1719,0,At-Risk Students
1927,1,Passive Learners
2549,0,At-Risk Students
3331,0,At-Risk Students
1825,0,At-Risk Students
2106,0,At-Risk Students
3334,0,At-Risk Students
987,3,Inconsistent Learners
2829,0,At-Risk Students
3925,1,Passive Learners
1788,0,At-Risk Students
2653,2,High Achievers
653,1,Passive Learners
1198,0,At-Risk Students
1118,1,Passive Learners
4197,0,At-Risk Students
1106,1,Passive Learners
590,0,At-Risk Students
1373,3,Inconsistent Learners
1590,1,Passive Learners
4539,1,Passive Learners
414,0,At-Risk Students
2422,2,High Achievers
2427,1,Passive Learners
1849,0,At-Risk Students
2359,1,Passive Learners
937,2,High Achievers
2812,1,Passive Learners
4104,1,Passive Learners
2428,0,At-Risk Students
1580,1,Passive Learners
1340,0,At-Risk Students
3778,1,Passive Learners
4889,1,Passive Learners
4408,1,Passive Learners
2144,0,At-Risk Students
755,2,High Achievers
1264,2,High Achievers
4319,0,At-Risk Students
1474,1,Passive Learners
554,1,Passive Learners
3567,0,At-Risk Students
1322,3,Inconsistent Learners
4314,0,At-Risk Students
198,2,High Achievers
1074,1,Passive Learners
788,3,Inconsistent Learners
4975,0,At-Risk Students
4572,3,Inconsistent Learners
3666,0,At-Risk Students
3602,1,Passive Learners
3886,1,Passive Learners
2396,1,Passive Learners
3375,1,Passive Learners
3841,2,High Achievers
3651,0,At-Risk Students
1538,1,Passive Learners
733,1,Passive Learners
1900,3,Inconsistent Learners
3017,1,Passive Learners
3816,0,At-Risk Students
4606,2,High Achievers
3670,0,At-Risk Students
4512,1,Passive Learners
3931,1,Passive Learners
2431,3,Inconsistent Learners
596,1,Passive Learners
1138,1,Passive Learners
2751,0,At-Risk Students
3520,0,At-Risk Students
4021,1,Passive Learners
3812,1,Passive Learners
4819,0,At-Risk Students
93,1,Passive Learners
2895,2,High Achievers
4728,1,Passive Learners
1800,3,Inconsistent Learners
4322,1,Passive Learners
1792,0,At-Risk Students
704,1,Passive Learners
4932,0,At-Risk Students
2761,0,At-Risk Students
1887,3,Inconsistent Learners
4092,0,At-Risk Students
1753,0,At-Risk Students
437,0,At-Risk Students
4993,0,At-Risk Students
2393,0,At-Risk Students
3699,2,High Achievers
3767,3,Inconsistent Learners
2187,0,At-Risk Students
1463,0,At-Risk Students
3701,0,At-Risk Students
3935,1,Passive Learners
1093,2,High Achievers
3231,3,Inconsistent Learners
4797,1,Passive Learners
3889,0,At-Risk Students
2323,1,Passive Learners
327,0,At-Risk Students
2559,3,Inconsistent Learners
879,1,Passive Learners
3302,0,At-Risk Students
2468,2,High Achievers
3101,1,Passive Learners
1531,0,At-Risk Students
751,3,Inconsistent Learners
3335,0,At-Risk Students
2182,1,Passive Learners
3806,1,Passive Learners
3630,0,At-Risk Students
2370,0,At-Risk Students
1119,1,Passive Learners
3534,1,Passive Learners
2368,1,Passive Learners
2928,0,At-Risk Students
1822,0,At-Risk Students
4739,1,Passive Learners
4567,1,Passive Learners
3776,0,At-Risk Students
2346,0,At-Risk Students
3240,1,Passive Learners
4084,0,At-Risk Students
3864,0,At-Risk Students
3581,0,At-Risk Students
4372,0,At-Risk Students
2480,1,Passive Learners
425,1,Passive Learners
877,3,Inconsistent Learners
2511,0,At-Risk Students
1922,0,At-Risk Students
2404,0,At-Risk Students
4554,0,At-Risk Students
3388,1,Passive Learners
957,2,High Achievers
2444,1,Passive Learners
2111,1,Passive Learners
365,1,Passive Learners
2525,0,At-Risk Students
1561,3,Inconsistent Learners
3128,1,Passive Learners
2602,2,High Achievers
586,1,Passive Learners
8,0,At-Risk Students
252,2,High Achievers
1624,1,Passive Learners
460,0,At-Risk Students
1983,1,Passive Learners
1114,1,Passive Learners
452,3,Inconsistent Learners
2313,3,Inconsistent Learners
2325,2,High Achievers
4125,1,Passive Learners
1970,0,At-Risk Students
1051,0,At-Risk Students
2492,0,At-Risk Students
502,0,At-Risk Students
3978,1,Passive Learners
2824,0,At-Risk Students
880,2,High Achievers
4790,3,Inconsistent Learners
2127,1,Passive Learners
3792,0,At-Risk Students
2943,3,Inconsistent Learners
741,1,Passive Learners
2789,0,At-Risk Students
2922,3,Inconsistent Learners
3689,0,At-Risk Students
1248,0,At-Risk Students
4213,0,At-Risk Students
2929,0,At-Risk Students
805,3,Inconsistent Learners
3834,2,High Achievers
392,3,Inconsistent Learners
1347,3,Inconsistent Learners
1041,0,At-Risk Students
3227,3,Inconsistent Learners
2630,1,Passive Learners
3474,0,At-Risk Students
3694,3,Inconsistent Learners
2983,2,High Achievers
3634,0,At-Risk Students
3220,3,Inconsistent Learners
1592,2,High Achievers
3764,2,High Achievers
442,1,Passive Learners
3911,0,At-Risk Students
4740,0,At-Risk Students
1932,0,At-Risk Students
1423,1,Passive Learners
3224,3,Inconsistent Learners
4628,0,At-Risk Students
4397,1,Passive Learners
4883,1,Passive Learners
4999,3,Inconsistent Learners
3995,1,Passive Learners
4714,0,At-Risk Students
427,0,At-Risk Students
3007,1,Passive Learners
2322,0,At-Risk Students
2039,0,At-Risk Students
905,1,Passive Learners
2196,1,Passive Learners
2904,0,At-Risk Students
4677,0,At-Risk Students
4393,1,Passive Learners
3268,2,High Achievers
3032,1,Passive Learners
1674,0,At-Risk Students
3684,1,Passive Learners
4878,0,At-Risk Students
1517,0,At-Risk Students
3481,2,High Achievers
1011,3,Inconsistent Learners
267,2,High Achievers
2208,0,At-Risk Students
4723,0,At-Risk Students
4565,0,At-Risk Students
1306,0,At-Risk Students
1659,3,Inconsistent Learners
2063,2,High Achievers
4114,2,High Achievers
3409,1,Passive Learners
3516,0,At-Risk Students
618,1,Passive Learners
3010,0,At-Risk Students
3478,1,Passive Learners
3341,0,At-Risk Students
4284,1,Passive Learners
2826,1,Passive Learners
935,3,Inconsistent Learners
2343,0,At-Risk Students
2605,0,At-Risk Students
3909,0,At-Risk Students
4328,3,Inconsistent Learners
2596,1,Passive Learners
1844,0,At-Risk Students
3037,0,At-Risk Students
2419,1,Passive Learners
857,1,Passive Learners
4007,3,Inconsistent Learners
1518,1,Passive Learners
59,3,Inconsistent Learners
2972,0,At-Risk Students
1641,0,At-Risk Students
4944,3,Inconsistent Learners
4291,1,Passive Learners
2358,0,At-Risk Students
3380,3,Inconsistent Learners
352,1,Passive Learners
3016,1,Passive Learners
1493,2,High Achievers
4832,1,Passive Learners
4228,0,At-Risk Students
2902,1,Passive Learners
49,1,Passive Learners
2792,0,At-Risk Students
2747,0,At-Risk Students
3547,1,Passive Learners
1311,2,High Achievers
4489,2,High Achievers
3467,1,Passive Learners
2910,3,Inconsistent Learners
3425,0,At-Risk Students
4464,2,High Achievers
1327,1,Passive Learners
4071,1,Passive Learners
4927,0,At-Risk Students
4770,3,Inconsistent Learners
2296,0,At-Risk Students
1383,1,Passive Learners
66,0,At-Risk Students
4568,0,At-Risk Students
3715,0,At-Risk Students
1802,0,At-Risk Students
1889,0,At-Risk Students
3497,0,At-Risk Students
765,0,At-Risk Students
4594,1,Passive Learners
348,1,Passive Learners
1159,2,High Achievers
1388,0,At-Risk Students
4034,1,Passive Learners
1549,1,Passive Learners
295,3,Inconsistent Learners
723,1,Passive Learners
20,3,Inconsistent Learners
3022,1,Passive Learners
3148,1,Passive Learners
1938,3,Inconsistent Learners
3928,1,Passive Learners
3787,2,High Achievers
3870,3,Inconsistent Learners
3254,0,At-Risk Students
1626,3,Inconsistent Learners
4242,1,Passive Learners
4385,1,Passive Learners
2064,2,High Achievers
3354,0,At-Risk Students
1034,3,Inconsistent Learners
780,3,Inconsistent Learners
2026,2,High Achievers
1577,1,Passive Learners
64,0,At-Risk Students
2959,0,At-Risk Students
2458,1,Passive Learners
2763,1,Passive Learners
2473,0,At-Risk Students
3529,0,At-Risk Students
2885,0,At-Risk Students
715,1,Passive Learners
1498,3,Inconsistent Learners
3799,0,At-Risk Students
2825,0,At-Risk Students
4463,0,At-Risk Students
863,3,Inconsistent Learners
233,1,Passive Learners
2754,2,High Achievers
3526,0,At-Risk Students
3005,0,At-Risk Students
2748,1,Passive Learners
1165,0,At-Risk Students
649,0,At-Risk Students
1431,1,Passive Learners
1222,3,Inconsistent Learners
265,3,Inconsistent Learners
4887,1,Passive Learners
4882,0,At-Risk Students
229,3,Inconsistent Learners
493,0,At-Risk Students
1333,0,At-Risk Students
3329,0,At-Risk Students
256,0,At-Risk Students
2048,3,Inconsistent Learners
1077,1,Passive Learners
684,0,At-Risk Students
2237,1,Passive Learners
4533,0,At-Risk Students
3539,0,At-Risk Students
4337,0,At-Risk Students
2815,2,High Achievers
253,2,High Achievers
2054,1,Passive Learners
756,3,Inconsistent Learners
4942,3,Inconsistent Learners
2448,0,At-Risk Students
619,0,At-Risk Students
2911,0,At-Risk Students
3712,1,Passive Learners
2085,0,At-Risk Students
3215,1,Passive Learners
4156,1,Passive Learners
1599,0,At-Risk Students
3745,0,At-Risk Students
3641,0,At-Risk Students
1676,1,Passive Learners
3111,1,Passive Learners
202,0,At-Risk Students
2717,0,At-Risk Students
4623,0,At-Risk Students
3278,0,At-Risk Students
2058,0,At-Risk Students
1449,0,At-Risk Students
501,1,Passive Learners
2515,0,At-Risk Students
1329,3,Inconsistent Learners
4483,1,Passive Learners
3249,2,High Achievers
1121,1,Passive Learners
4452,1,Passive Learners
2086,0,At-Risk Students
582,3,Inconsistent Learners
4500,0,At-Risk Students
4112,2,High Achievers
1182,3,Inconsistent Learners
2388,0,At-Risk Students
3504,3,Inconsistent Learners
2121,1,Passive Learners
722,0,At-Risk Students
1267,1,Passive Learners
750,2,High Achievers
1945,0,At-Risk Students
1229,3,Inconsistent Learners
478,1,Passive Learners
1746,3,Inconsistent Learners
4702,1,Passive Learners
3885,0,At-Risk Students
904,0,At-Risk Students
1382,2,High Achievers
481,1,Passive Learners
4045,1,Passive Learners
4582,1,Passive Learners
3531,0,At-Risk Students
1568,2,High Achievers
1831,1,Passive Learners
1298,1,Passive Learners
4444,2,High Achievers
55,0,At-Risk Students
1949,3,Inconsistent Learners
3181,0,At-Risk Students
2587,1,Passive Learners
4949,1,Passive Learners
1339,2,High Achievers
2710,1,Passive Learners
4413,3,Inconsistent Learners
4725,1,Passive Learners
322,3,Inconsistent Learners
3887,0,At-Risk Students
3951,0,At-Risk Students
1874,3,Inconsistent Learners
4479,1,Passive Learners
4053,2,High Achievers
888,3,Inconsistent Learners
1765,2,High Achievers
3614,1,Passive Learners
3006,2,High Achievers
2298,2,High Achievers
4435,3,Inconsistent Learners
3237,2,High Achievers
721,0,At-Risk Students
607,1,Passive Learners
2158,3,Inconsistent Learners
4151,0,At-Risk Students
2469,1,Passive Learners
