CourseId,ActivityId,Title_x,SortOrder,StudentsReached,StudentsCompleted,AvgProgress,CompletionRate,DropoffFromPrev,Title_y
20,193,OS Scheduling,26,48,25,73.0,0.521,-10,Computer Architecture
20,2163,Untitled,30,58,29,68.31,0.5,10,Computer Architecture
21,198,Database Normalization,2,55,34,73.982,0.618,0,Algorithms
22,205,Introduction to the Course,7,54,32,72.093,0.593,0,Data Science
22,207,Big Data Overview,10,49,28,71.041,0.571,-5,Data Science
22,210,Big Data Overview,17,54,29,68.463,0.537,5,Data Science
23,213,Linked Lists,3,45,19,60.289,0.422,0,Data Structures
23,215,Search Algorithms,6,53,32,78.075,0.604,8,Data Structures
23,2189,Dynamic Programming,17,67,42,72.97,0.627,14,Data Structures
23,220,Sorting Algorithms,20,59,26,65.492,0.441,-8,Data Structures
23,222,OS Scheduling,26,54,34,77.389,0.63,-5,Data Structures
24,228,Python for Data Science,7,49,26,61.469,0.531,0,Cloud Computing
24,230,Indexing & Performance,11,67,39,69.134,0.582,18,Cloud Computing
24,231,Concurrency,13,56,30,68.75,0.536,-11,Cloud Computing
24,235,Dynamic Programming,17,55,28,69.2,0.509,-1,Cloud Computing
24,240,Database Normalization,27,48,24,73.333,0.5,-7,Cloud Computing
25,246,Computer Vision Intro,8,55,34,75.364,0.618,0,Cloud Computing
26,261,Untitled,4,45,22,68.178,0.489,0,Mobile App Development
27,270,Network Protocols,20,56,36,79.018,0.643,0,Cloud Computing
27,272,Ethics in AI,22,50,28,64.0,0.56,-6,Cloud Computing
27,276,Design Patterns,29,55,31,71.182,0.564,5,Cloud Computing
28,279,Neural Networks,3,49,24,64.592,0.49,0,Mobile App Development
28,280,Design Patterns,4,53,28,68.491,0.528,4,Mobile App Development
28,281,Dynamic Programming,5,59,33,70.864,0.559,6,Mobile App Development
29,289,Indexing & Performance,8,44,24,72.523,0.545,0,Algorithms
29,299,Encryption Methods,30,54,34,76.389,0.63,10,Algorithms
29,300,Dynamic Programming,32,54,26,68.759,0.481,0,Algorithms
30,303,Neural Networks,5,59,29,64.508,0.492,0,Machine Learning
30,306,Memory Management,13,48,26,66.854,0.542,-11,Machine Learning
30,307,OOP Concepts,15,42,24,71.333,0.571,-6,Machine Learning
30,308,SQL Joins,16,49,25,66.449,0.51,7,Machine Learning
30,313,Computer Vision Intro,27,30,17,67.967,0.567,-19,Machine Learning
30,314,Python for Data Science,28,49,25,65.306,0.51,19,Machine Learning
31,318,OS Scheduling,2,49,31,75.776,0.633,0,Computer Architecture
31,323,Ethics in AI,14,42,24,77.667,0.571,-7,Computer Architecture
31,326,Ethics in AI,18,52,30,76.904,0.577,10,Computer Architecture
31,327,Untitled,19,68,34,68.574,0.5,16,Computer Architecture
32,331,Database Normalization,8,57,34,73.632,0.596,0,Computer Architecture
32,336,SQL Joins,17,49,21,66.633,0.429,-8,Computer Architecture
32,342,Trees and Graphs,29,64,36,74.781,0.562,15,Computer Architecture
33,345,Trees and Graphs,4,52,28,69.827,0.538,0,Data Science
33,346,Database Normalization,5,43,23,72.581,0.535,-9,Data Science
33,349,Untitled,10,45,24,66.756,0.533,2,Data Science
33,352,SQL Joins,14,53,32,78.962,0.604,8,Data Science
33,355,SQL Joins,17,46,30,80.87,0.652,-7,Data Science
34,358,Data Structures Overview,3,48,27,78.25,0.562,0,Algorithms
34,361,Search Algorithms,12,47,26,77.553,0.553,-1,Algorithms
34,363,Web Development Basics,16,52,23,61.212,0.442,5,Algorithms
34,364,Dynamic Programming,18,58,35,75.397,0.603,6,Algorithms
35,367,SQL Joins,3,49,27,66.163,0.551,0,Data Structures
35,370,Web Development Basics,11,53,29,68.774,0.547,4,Data Structures
36,378,Big Data Overview,9,47,25,77.489,0.532,0,Software Engineering
36,379,Concurrency,11,47,23,61.489,0.489,0,Software Engineering
36,381,Big Data Overview,15,46,24,70.261,0.522,-1,Software Engineering
37,385,Data Structures Overview,6,47,26,67.915,0.553,0,Database Systems
37,388,Introduction to the Course,10,47,32,75.957,0.681,0,Database Systems
38,390,Computer Vision Intro,3,62,31,68.0,0.5,0,Database Systems
38,394,Indexing & Performance,12,59,33,69.356,0.559,-3,Database Systems
38,404,OS Scheduling,35,41,22,75.829,0.537,-18,Database Systems
39,409,Web Development Basics,7,52,26,67.808,0.5,0,Computer Networks
40,411,Ethics in AI,2,51,33,72.451,0.647,0,Discrete Mathematics
40,422,Introduction to the Course,24,48,21,63.771,0.438,-3,Discrete Mathematics
41,426,OS Scheduling,10,49,32,76.592,0.653,0,Database Systems
41,432,Cybersecurity Fundamentals,22,39,28,80.744,0.718,-10,Database Systems
41,435,Big Data Overview,28,51,28,66.02,0.549,12,Database Systems
41,437,Encryption Methods,34,49,24,63.49,0.49,-2,Database Systems
42,439,Trees and Graphs,3,52,30,72.154,0.577,0,Web Development
42,441,REST APIs,9,46,23,70.152,0.5,-6,Web Development
43,444,Sorting Algorithms,4,62,34,71.484,0.548,0,Database Systems
43,445,Linked Lists,6,60,28,66.033,0.467,-2,Database Systems
43,447,Indexing & Performance,9,46,25,67.522,0.543,-14,Database Systems
43,448,Linked Lists,12,50,27,69.86,0.54,4,Database Systems
43,452,Trees and Graphs,18,63,37,79.524,0.587,13,Database Systems
43,455,Memory Management,24,54,31,70.222,0.574,-9,Database Systems
44,460,OOP Concepts,10,39,22,71.718,0.564,0,Database Systems
45,462,Computer Vision Intro,1,44,26,75.455,0.591,0,Discrete Mathematics
45,2160,Linked Lists,20,49,31,69.898,0.633,5,Discrete Mathematics
45,471,Introduction to the Course,23,54,28,64.056,0.519,5,Discrete Mathematics
45,472,Ethics in AI,26,42,24,66.786,0.571,-12,Discrete Mathematics
46,477,REST APIs,3,44,27,70.364,0.614,0,Mobile App Development
46,479,OOP Concepts,8,38,19,66.053,0.5,-6,Mobile App Development
46,480,Data Structures Overview,11,47,22,66.191,0.468,9,Mobile App Development
46,484,REST APIs,21,39,17,55.615,0.436,-8,Mobile App Development
46,490,Cybersecurity Fundamentals,30,66,38,71.591,0.576,27,Mobile App Development
46,492,Big Data Overview,34,60,35,76.9,0.583,-6,Mobile App Development
47,495,Trees and Graphs,6,51,29,69.922,0.569,0,Machine Learning
47,496,Neural Networks,7,49,23,66.061,0.469,-2,Machine Learning
47,502,Trees and Graphs,22,52,29,66.096,0.558,3,Machine Learning
47,505,Cloud Architecture,27,54,29,67.667,0.537,2,Machine Learning
47,506,Design Patterns,29,58,36,71.914,0.621,4,Machine Learning
48,518,Encryption Methods,19,40,23,68.95,0.575,0,Data Structures
49,524,Search Algorithms,7,47,29,77.489,0.617,0,Data Structures
51,537,Database Normalization,11,50,28,70.54,0.56,0,Discrete Mathematics
51,539,OS Scheduling,13,50,25,67.74,0.5,0,Discrete Mathematics
52,547,Computer Vision Intro,5,39,19,73.0,0.487,0,Operating Systems
52,548,OOP Concepts,7,45,24,73.667,0.533,6,Operating Systems
52,552,OS Scheduling,16,62,37,71.306,0.597,17,Operating Systems
52,553,Neural Networks,18,46,21,60.0,0.457,-16,Operating Systems
53,562,Big Data Overview,20,52,27,67.923,0.519,0,Discrete Mathematics
54,565,Encryption Methods,7,47,27,78.532,0.574,0,Artificial Intelligence
56,582,Dynamic Programming,1,43,21,67.419,0.488,0,Data Science
56,586,OS Scheduling,9,60,34,71.7,0.567,17,Data Science
56,587,Ethics in AI,11,51,28,73.902,0.549,-9,Data Science
58,598,Computer Vision Intro,9,59,26,68.169,0.441,0,Software Engineering
61,620,Sorting Algorithms,10,44,23,66.614,0.523,0,Mobile App Development
61,623,Search Algorithms,15,39,24,72.513,0.615,-5,Mobile App Development
62,2197,OOP Concepts,9,52,35,74.981,0.673,0,Machine Learning
62,2184,Cybersecurity Fundamentals,19,45,22,60.178,0.489,-7,Machine Learning
63,635,Big Data Overview,1,53,31,71.094,0.585,0,Computer Networks
63,637,Cybersecurity Fundamentals,6,53,30,74.887,0.566,0,Computer Networks
63,642,Untitled,17,49,29,78.102,0.592,-4,Computer Networks
63,646,OOP Concepts,22,57,26,66.158,0.456,8,Computer Networks
63,648,Introduction to the Course,25,48,30,80.0,0.625,-9,Computer Networks
65,654,SQL Joins,1,49,27,65.714,0.551,0,Algorithms
66,663,Big Data Overview,2,53,29,71.038,0.547,0,Computer Architecture
66,667,SQL Joins,9,57,29,69.877,0.509,4,Computer Architecture
67,668,Encryption Methods,1,47,30,74.851,0.638,0,Operating Systems
67,672,Memory Management,11,46,30,77.804,0.652,-1,Operating Systems
67,675,OOP Concepts,16,46,25,75.543,0.543,0,Operating Systems
67,677,Linked Lists,18,48,24,62.375,0.5,2,Operating Systems
68,683,Concurrency,9,58,35,73.276,0.603,0,Computer Networks
68,685,Machine Learning Basics,13,51,29,75.412,0.569,-7,Computer Networks
69,689,Concurrency,3,47,21,66.894,0.447,0,Computer Networks
69,690,Trees and Graphs,4,59,34,70.322,0.576,12,Computer Networks
70,696,Machine Learning Basics,3,58,29,66.293,0.5,0,Operating Systems
70,701,Sorting Algorithms,13,51,21,64.451,0.412,-7,Operating Systems
70,2179,Python for Data Science,21,54,34,74.796,0.63,3,Operating Systems
71,708,Neural Networks,3,40,28,82.5,0.7,0,Algorithms
72,718,Memory Management,4,48,19,58.958,0.396,0,Artificial Intelligence
72,721,SQL Joins,12,55,38,78.327,0.691,7,Artificial Intelligence
72,723,Computer Vision Intro,15,49,26,66.857,0.531,-6,Artificial Intelligence
72,726,Ethics in AI,22,54,29,71.815,0.537,5,Artificial Intelligence
72,727,Python for Data Science,25,66,34,66.909,0.515,12,Artificial Intelligence
73,734,Linked Lists,13,47,27,69.277,0.574,0,Web Development
73,737,Dynamic Programming,19,53,32,74.491,0.604,6,Web Development
73,738,SQL Joins,21,41,24,69.415,0.585,-12,Web Development
73,741,Introduction to the Course,29,55,32,71.927,0.582,14,Web Development
74,748,Indexing & Performance,5,71,41,72.324,0.577,0,Computer Architecture
74,750,Encryption Methods,9,65,38,74.738,0.585,-6,Computer Architecture
74,2154,REST APIs,14,42,21,70.357,0.5,-23,Computer Architecture
74,754,Neural Networks,15,52,29,74.115,0.558,10,Computer Architecture
75,755,Trees and Graphs,3,53,30,69.151,0.566,0,Data Science
76,764,OS Scheduling,5,61,39,75.016,0.639,0,Computer Networks
76,775,Data Structures Overview,31,45,24,65.556,0.533,-16,Computer Networks
76,776,Sorting Algorithms,32,52,25,67.615,0.481,7,Computer Networks
77,778,Sorting Algorithms,1,46,26,69.652,0.565,0,Mobile App Development
77,781,OOP Concepts,8,54,23,64.407,0.426,8,Mobile App Development
77,786,Python for Data Science,19,48,32,76.146,0.667,-6,Mobile App Development
79,2194,SQL Joins,2,61,27,62.328,0.443,0,Cyber Security Fundamentals
80,812,Design Patterns,11,56,36,78.679,0.643,0,Computer Architecture
80,815,Neural Networks,17,47,29,77.191,0.617,-9,Computer Architecture
80,816,Python for Data Science,19,38,24,75.132,0.632,-9,Computer Architecture
81,824,Concurrency,13,48,29,76.792,0.604,0,Artificial Intelligence
81,826,Untitled,16,46,28,69.217,0.609,-2,Artificial Intelligence
81,836,Encryption Methods,37,54,30,72.037,0.556,8,Artificial Intelligence
82,2142,Big Data Overview,7,52,24,67.115,0.462,0,Data Science
82,845,REST APIs,14,46,28,74.174,0.609,-6,Data Science
84,862,Neural Networks,12,55,26,61.6,0.473,0,Database Systems
84,865,Dynamic Programming,18,49,28,78.959,0.571,-6,Database Systems
85,878,Computer Vision Intro,23,63,39,76.698,0.619,0,Artificial Intelligence
85,879,Sorting Algorithms,26,47,29,78.723,0.617,-16,Artificial Intelligence
85,880,Introduction to the Course,29,52,29,71.423,0.558,5,Artificial Intelligence
86,896,Big Data Overview,22,52,36,82.231,0.692,0,Database Systems
86,900,Web Development Basics,31,57,27,63.491,0.474,5,Database Systems
87,902,Network Protocols,2,53,33,76.792,0.623,0,Web Development
87,904,Introduction to the Course,7,54,31,75.204,0.574,1,Web Development
87,906,Encryption Methods,12,51,32,71.039,0.627,-3,Web Development
87,909,Database Normalization,17,47,23,65.043,0.489,-4,Web Development
88,914,Neural Networks,2,41,20,67.463,0.488,0,Cloud Computing
88,2177,SQL Joins,5,40,20,72.375,0.5,-1,Cloud Computing
88,921,Untitled,22,49,25,68.061,0.51,9,Cloud Computing
89,925,SQL Joins,8,48,31,72.25,0.646,0,Cyber Security Fundamentals
89,928,REST APIs,15,41,22,69.39,0.537,-7,Cyber Security Fundamentals
89,931,Introduction to the Course,20,49,31,80.224,0.633,8,Cyber Security Fundamentals
90,943,Big Data Overview,15,62,40,73.403,0.645,0,Discrete Mathematics
90,948,Neural Networks,25,49,34,85.408,0.694,-13,Discrete Mathematics
90,950,Concurrency,29,55,29,68.927,0.527,6,Discrete Mathematics
91,953,Big Data Overview,6,55,30,70.691,0.545,0,Computer Architecture
91,956,Python for Data Science,10,48,26,73.688,0.542,-7,Computer Architecture
92,959,Linked Lists,7,48,22,65.958,0.458,0,Web Development
92,965,Linked Lists,16,53,29,70.208,0.547,5,Web Development
92,966,Linked Lists,18,60,35,70.967,0.583,7,Web Development
93,968,REST APIs,3,61,27,58.508,0.443,0,Machine Learning
93,980,Dynamic Programming,25,46,23,71.435,0.5,-15,Machine Learning
93,983,Cybersecurity Fundamentals,34,46,19,54.239,0.413,0,Machine Learning
94,991,OS Scheduling,14,51,28,65.216,0.549,0,Data Science
95,993,Memory Management,6,31,17,69.258,0.548,0,Software Engineering
95,998,Web Development Basics,15,49,24,62.122,0.49,18,Software Engineering
97,1010,Computer Vision Intro,5,49,20,61.551,0.408,0,Computer Networks
97,1017,OS Scheduling,15,50,23,66.02,0.46,1,Computer Networks
97,1018,Big Data Overview,18,47,21,62.064,0.447,-3,Computer Networks
98,1025,Computer Vision Intro,15,42,23,63.381,0.548,0,Machine Learning
98,1027,OS Scheduling,19,43,27,75.186,0.628,1,Machine Learning
99,1029,Machine Learning Basics,5,40,17,65.075,0.425,0,Mobile App Development
99,1030,Linked Lists,7,56,32,67.518,0.571,16,Mobile App Development
99,1033,Linked Lists,11,52,37,81.519,0.712,-4,Mobile App Development
99,1037,Search Algorithms,21,51,29,70.765,0.569,-1,Mobile App Development
100,1041,REST APIs,7,52,27,71.981,0.519,0,Software Engineering
100,1042,Machine Learning Basics,8,49,28,68.878,0.571,-3,Software Engineering
101,1043,Machine Learning Basics,2,53,23,61.962,0.434,0,Web Development
101,1046,Computer Vision Intro,5,51,26,63.451,0.51,-2,Web Development
101,1047,Cloud Architecture,6,55,27,64.764,0.491,4,Web Development
101,1049,Big Data Overview,11,43,23,67.977,0.535,-12,Web Development
102,1052,Indexing & Performance,4,52,33,79.365,0.635,0,Discrete Mathematics
102,1053,Computer Vision Intro,7,49,28,71.98,0.571,-3,Discrete Mathematics
102,1055,REST APIs,12,48,28,72.812,0.583,-1,Discrete Mathematics
103,1058,Network Protocols,5,62,38,76.629,0.613,0,Web Development
103,1059,Untitled,8,47,27,77.617,0.574,-15,Web Development
103,1068,Search Algorithms,22,39,20,72.872,0.513,-8,Web Development
103,1070,Cloud Architecture,24,48,24,73.0,0.5,9,Web Development
105,1077,Encryption Methods,2,56,42,85.357,0.75,0,Computer Networks
105,1079,Ethics in AI,6,54,31,73.944,0.574,-2,Computer Networks
106,1085,Dynamic Programming,6,46,27,72.348,0.587,0,Software Engineering
106,1090,Untitled,15,50,31,73.62,0.62,4,Software Engineering
107,1096,Computer Vision Intro,1,55,32,72.964,0.582,0,Software Engineering
107,1097,Memory Management,4,53,34,72.755,0.642,-2,Software Engineering
107,1099,Linked Lists,9,50,28,64.68,0.56,-3,Software Engineering
107,1100,Cybersecurity Fundamentals,12,43,24,69.953,0.558,-7,Software Engineering
107,1107,Untitled,27,66,27,59.788,0.409,23,Software Engineering
107,1108,Concurrency,29,50,26,72.96,0.52,-16,Software Engineering
107,1111,Encryption Methods,37,55,23,58.491,0.418,5,Software Engineering
109,1127,Machine Learning Basics,15,43,27,75.86,0.628,0,Artificial Intelligence
110,1136,Data Structures Overview,11,52,27,68.231,0.519,0,Software Engineering
110,1137,Sorting Algorithms,12,49,32,74.837,0.653,-3,Software Engineering
110,1141,Concurrency,21,59,32,68.915,0.542,10,Software Engineering
110,1143,Introduction to the Course,23,41,22,67.463,0.537,-18,Software Engineering
111,1151,Encryption Methods,9,54,29,69.889,0.537,0,Cyber Security Fundamentals
111,1153,Big Data Overview,13,50,30,75.4,0.6,-4,Cyber Security Fundamentals
111,1154,Search Algorithms,14,48,25,68.688,0.521,-2,Cyber Security Fundamentals
112,1160,Neural Networks,12,61,35,72.328,0.574,0,Operating Systems
112,1162,Cybersecurity Fundamentals,14,37,17,68.973,0.459,-24,Operating Systems
112,1167,Cybersecurity Fundamentals,27,54,30,67.537,0.556,17,Operating Systems
112,1169,REST APIs,33,45,28,76.756,0.622,-9,Operating Systems
113,1173,Sorting Algorithms,4,53,27,71.245,0.509,0,Database Systems
113,1176,Introduction to the Course,9,55,39,77.945,0.709,2,Database Systems
113,1177,OS Scheduling,12,49,32,80.082,0.653,-6,Database Systems
113,1178,Memory Management,13,36,18,70.861,0.5,-13,Database Systems
113,2173,Design Patterns,17,43,18,69.558,0.419,7,Database Systems
113,1181,Design Patterns,19,48,26,69.771,0.542,5,Database Systems
113,1185,Web Development Basics,25,49,27,76.776,0.551,1,Database Systems
114,1186,Cloud Architecture,2,65,39,74.538,0.6,0,Mobile App Development
114,1188,Data Structures Overview,6,45,30,82.489,0.667,-20,Mobile App Development
114,1199,OS Scheduling,28,54,25,66.148,0.463,9,Mobile App Development
116,1210,Neural Networks,2,53,27,70.547,0.509,0,Data Structures
116,1212,OS Scheduling,7,47,27,73.383,0.574,-6,Data Structures
116,1215,Data Structures Overview,13,58,42,80.414,0.724,11,Data Structures
116,1221,Network Protocols,25,43,25,70.628,0.581,-15,Data Structures
117,1229,Network Protocols,9,66,38,72.818,0.576,0,Data Structures
117,1230,Linked Lists,12,52,29,72.346,0.558,-14,Data Structures
117,1239,Machine Learning Basics,32,58,35,75.103,0.603,6,Data Structures
118,1244,Indexing & Performance,10,41,23,70.244,0.561,0,Computer Networks
118,1247,Sorting Algorithms,17,46,30,76.804,0.652,5,Computer Networks
118,1249,Trees and Graphs,20,52,30,71.558,0.577,6,Computer Networks
118,1251,Sorting Algorithms,24,36,18,62.167,0.5,-16,Computer Networks
119,1259,Cloud Architecture,1,39,22,70.436,0.564,0,Cyber Security Fundamentals
119,1262,OOP Concepts,7,48,32,80.354,0.667,9,Cyber Security Fundamentals
119,1263,Computer Vision Intro,10,49,29,72.653,0.592,1,Cyber Security Fundamentals
119,1271,Database Normalization,22,48,30,79.875,0.625,-1,Cyber Security Fundamentals
120,1274,Trees and Graphs,3,48,27,72.417,0.562,0,Data Science
120,1277,Untitled,10,47,21,61.277,0.447,-1,Data Science
120,1281,Search Algorithms,19,58,34,71.207,0.586,11,Data Science
120,1283,Web Development Basics,23,41,20,67.805,0.488,-17,Data Science
120,1290,Concurrency,39,49,29,78.592,0.592,8,Data Science
120,1291,OOP Concepts,41,56,30,71.536,0.536,7,Data Science
121,1293,Data Structures Overview,6,65,35,71.262,0.538,0,Mobile App Development
121,1295,Python for Data Science,10,51,31,78.451,0.608,-14,Mobile App Development
121,1296,Trees and Graphs,11,48,23,67.396,0.479,-3,Mobile App Development
121,1302,Linked Lists,24,45,24,73.067,0.533,-3,Mobile App Development
122,1303,Network Protocols,3,60,31,68.9,0.517,0,Mobile App Development
122,1306,Machine Learning Basics,9,53,30,71.321,0.566,-7,Mobile App Development
123,1311,Data Structures Overview,1,58,28,64.345,0.483,0,Cloud Computing
123,1312,Untitled,4,60,29,62.75,0.483,2,Cloud Computing
123,1314,Cybersecurity Fundamentals,8,36,21,75.833,0.583,-24,Cloud Computing
124,1321,Network Protocols,14,52,31,72.577,0.596,0,Discrete Mathematics
125,1324,Database Normalization,4,55,39,83.236,0.709,0,Operating Systems
127,1335,Computer Vision Intro,14,49,35,84.143,0.714,0,Computer Architecture
127,1338,Computer Vision Intro,22,43,26,76.023,0.605,-6,Computer Architecture
128,1343,Web Development Basics,2,49,20,62.51,0.408,0,Artificial Intelligence
128,1348,Introduction to the Course,16,61,33,66.344,0.541,12,Artificial Intelligence
128,1356,Big Data Overview,32,50,25,66.02,0.5,-11,Artificial Intelligence
128,1359,Untitled,38,63,39,73.635,0.619,13,Artificial Intelligence
129,1361,Ethics in AI,4,57,36,78.439,0.632,0,Discrete Mathematics
129,1364,Encryption Methods,8,38,24,85.132,0.632,-19,Discrete Mathematics
129,1371,Search Algorithms,21,56,31,65.696,0.554,18,Discrete Mathematics
130,1375,REST APIs,3,46,21,65.413,0.457,0,Computer Architecture
130,1382,SQL Joins,17,47,32,79.617,0.681,1,Computer Architecture
131,1388,SQL Joins,2,52,26,59.942,0.5,0,Machine Learning
131,1395,Linked Lists,21,56,28,66.893,0.5,4,Machine Learning
131,1399,Concurrency,30,53,30,72.736,0.566,-3,Machine Learning
132,1405,Introduction to the Course,11,65,39,73.954,0.6,0,Mobile App Development
132,1407,Dynamic Programming,13,53,25,65.283,0.472,-12,Mobile App Development
135,1424,Cybersecurity Fundamentals,2,52,26,62.923,0.5,0,Data Science
135,1425,SQL Joins,4,58,33,67.431,0.569,6,Data Science
136,1428,Memory Management,2,47,30,82.426,0.638,0,Operating Systems
136,1430,Computer Vision Intro,6,55,28,75.382,0.509,8,Operating Systems
136,1431,Untitled,9,54,30,66.981,0.556,-1,Operating Systems
136,1432,Web Development Basics,12,66,37,68.909,0.561,12,Operating Systems
137,1434,Dynamic Programming,3,39,18,68.564,0.462,0,Computer Networks
137,1436,Network Protocols,6,60,33,67.167,0.55,21,Computer Networks
138,1441,Trees and Graphs,1,44,21,72.636,0.477,0,Algorithms
138,1442,Linked Lists,4,54,26,67.093,0.481,10,Algorithms
138,1443,Big Data Overview,6,44,19,63.318,0.432,-10,Algorithms
138,1452,Design Patterns,25,60,40,75.367,0.667,16,Algorithms
138,1454,Encryption Methods,29,66,39,75.773,0.591,6,Algorithms
139,1456,Cybersecurity Fundamentals,2,36,16,67.833,0.444,0,Artificial Intelligence
139,1459,SQL Joins,8,48,28,69.146,0.583,12,Artificial Intelligence
139,1462,Concurrency,15,44,20,67.955,0.455,-4,Artificial Intelligence
140,1465,Search Algorithms,3,52,28,71.327,0.538,0,Operating Systems
140,1469,Design Patterns,10,42,25,72.143,0.595,-10,Operating Systems
140,1471,Concurrency,16,54,27,62.519,0.5,12,Operating Systems
140,1476,REST APIs,26,45,28,72.178,0.622,-9,Operating Systems
141,1490,Indexing & Performance,24,57,31,71.175,0.544,0,Computer Networks
142,1494,Concurrency,2,52,32,74.481,0.615,0,Algorithms
142,1497,Concurrency,9,41,22,65.293,0.537,-11,Algorithms
142,1498,Ethics in AI,10,53,27,70.358,0.509,12,Algorithms
143,1505,Dynamic Programming,9,66,40,74.212,0.606,0,Database Systems
143,2181,Database Normalization,18,47,24,63.106,0.511,-19,Database Systems
143,1516,Concurrency,33,55,35,76.491,0.636,8,Database Systems
144,1519,Dynamic Programming,2,40,26,78.575,0.65,0,Software Engineering
144,1520,OS Scheduling,5,52,35,75.058,0.673,12,Software Engineering
144,1522,Memory Management,10,53,27,66.623,0.509,1,Software Engineering
144,1524,Database Normalization,13,63,34,73.079,0.54,10,Software Engineering
145,1536,Machine Learning Basics,2,51,27,65.078,0.529,0,Web Development
146,1544,Network Protocols,4,48,28,72.438,0.583,0,Operating Systems
146,1545,Big Data Overview,6,44,29,76.591,0.659,-4,Operating Systems
146,1548,Introduction to the Course,10,45,25,70.533,0.556,1,Operating Systems
146,1552,Search Algorithms,20,54,31,72.5,0.574,9,Operating Systems
146,1553,Sorting Algorithms,23,48,28,72.188,0.583,-6,Operating Systems
146,1555,Indexing & Performance,28,63,40,75.841,0.635,15,Operating Systems
147,1563,REST APIs,15,40,18,67.075,0.45,0,Data Science
147,2209,Cybersecurity Fundamentals,18,57,42,79.246,0.737,17,Data Science
148,1569,Database Normalization,3,46,27,74.217,0.587,0,Algorithms
148,1574,Concurrency,11,51,31,69.02,0.608,5,Algorithms
148,1575,Indexing & Performance,12,64,33,69.578,0.516,13,Algorithms
149,1583,Database Normalization,2,43,20,63.302,0.465,0,Web Development
149,1596,OOP Concepts,28,46,23,62.283,0.5,3,Web Development
150,1597,Concurrency,3,51,30,79.706,0.588,0,Cyber Security Fundamentals
150,1599,Design Patterns,6,53,30,72.698,0.566,2,Cyber Security Fundamentals
150,1601,Network Protocols,10,46,27,69.913,0.587,-7,Cyber Security Fundamentals
150,1602,Design Patterns,12,38,19,70.421,0.5,-8,Cyber Security Fundamentals
150,1605,Dynamic Programming,19,51,28,70.373,0.549,13,Cyber Security Fundamentals
151,1611,Untitled,14,66,38,68.955,0.576,0,Software Engineering
151,1612,Neural Networks,17,40,24,72.075,0.6,-26,Software Engineering
151,1617,Cybersecurity Fundamentals,24,46,29,79.457,0.63,6,Software Engineering
