CourseId,StudentCount,r_ActionCount_vs_AvgQuizScore,r_ActionCount_vs_CompletionRate,r_LoginCount_vs_AvgQuizScore,r_LoginCount_vs_CompletionRate,EngagementImpact,Title
108,78,,,,,,Software Engineering
109,60,,,,,,Artificial Intelligence
110,56,,,,,,Software Engineering
111,64,,,,,,Cyber Security Fundamentals
115,65,,,,,,Artificial Intelligence
117,66,,,,,,Data Structures
118,74,,,,,,Computer Networks
119,56,,,,,,Cyber Security Fundamentals
120,72,,,,,,Data Science
121,58,,,,,,Mobile App Development
123,70,,,,,,Cloud Computing
124,58,0.35,0.14,0.35,0.14,Positive,Discrete Mathematics
126,65,,,,,,Machine Learning
127,65,-0.087,-0.09,-0.087,-0.09,Weak / None,Computer Architecture
128,47,,,,,,Artificial Intelligence
129,60,,,,,,Discrete Mathematics
130,70,,,,,,Computer Architecture
131,57,,,,,,Machine Learning
133,65,-0.064,0.171,-0.064,0.171,Weak / None,Computer Networks
134,65,,,,,,Web Development
135,63,-0.084,-0.1,-0.084,-0.1,Weak / None,Data Science
136,57,,,,,,Operating Systems
137,63,,,,,,Computer Networks
138,57,,,,,,Algorithms
140,66,,,,,,Operating Systems
141,61,,,,,,Computer Networks
143,61,,,,,,Database Systems
145,51,,,,,,Web Development
146,64,,,,,,Operating Systems
147,71,,,,,,Data Science
149,69,,,,,,Web Development
150,65,,,,,,Cyber Security Fundamentals
151,71,,,,,,Software Engineering
152,58,,,,,,Operating Systems
153,59,,,,,,Algorithms
154,67,,,,,,Software Engineering
156,71,,,,,,Algorithms
157,69,,,,,,Mobile App Development
158,76,,,,,,Mobile App Development
159,66,-0.086,-0.104,-0.086,-0.104,Weak / None,Data Science
160,53,,,,,,Computer Architecture
162,71,,,,,,Cloud Computing
164,65,,,,,,Data Science
166,64,,,,,,Discrete Mathematics
167,69,,,,,,Operating Systems
168,70,,,,,,Web Development
169,68,,,,,,Cyber Security Fundamentals
170,66,,,,,,Data Science
171,67,-0.048,-0.086,-0.048,-0.086,Weak / None,Mobile App Development
173,64,,,,,,Mobile App Development
177,60,,,,,,Data Science
178,68,,,,,,Algorithms
179,59,,,,,,Data Science
180,74,-0.087,0.085,-0.087,0.085,Weak / None,Discrete Mathematics
181,65,,,,,,Operating Systems
182,64,,,,,,Data Structures
183,69,-0.073,-0.107,-0.073,-0.107,Weak / None,Computer Architecture
186,50,,,,,,Algorithms
187,61,,,,,,Operating Systems
188,58,,,,,,Web Development
189,69,,,,,,Artificial Intelligence
190,72,,,,,,Computer Architecture
191,59,-0.082,0.027,-0.082,0.027,Weak / None,Data Structures
192,72,,,,,,Computer Networks
193,44,,,,,,Operating Systems
194,68,,,,,,Algorithms
196,64,,,,,,Database Systems
197,52,,,,,,Computer Networks
198,72,,,,,,Machine Learning
200,68,,,,,,Algorithms
