CourseId,TotalStudents,TotalActivities,CompletionRate,AvgProgressPct,DropoutRate,CompletionStatus,Title
31,206,4,0.564,74.109,0.436,Medium (40-70%),Computer Architecture
44,39,1,0.564,71.718,0.436,Medium (40-70%),Database Systems
148,157,3,0.565,70.727,0.435,Medium (40-70%),Algorithms
75,53,1,0.566,69.151,0.434,Medium (40-70%),Data Science
61,83,2,0.566,69.386,0.434,Medium (40-70%),Mobile App Development
22,152,3,0.567,70.516,0.433,Medium (40-70%),Data Science
18,60,1,0.567,76.067,0.433,Medium (40-70%),Computer Networks
171,123,2,0.568,72.016,0.432,Medium (40-70%),Mobile App Development
185,51,1,0.569,67.784,0.431,Medium (40-70%),Data Science
130,93,2,0.57,72.591,0.43,Medium (40-70%),Computer Architecture
114,162,3,0.573,73.957,0.427,Medium (40-70%),Mobile App Development
33,227,5,0.573,73.895,0.427,Medium (40-70%),Data Science
54,47,1,0.574,78.532,0.426,Medium (40-70%),Artificial Intelligence
197,99,2,0.574,76.733,0.426,Medium (40-70%),Computer Networks
4,315,6,0.574,71.71,0.426,Medium (40-70%),Computer Networks
48,40,1,0.575,68.95,0.425,Medium (40-70%),Data Structures
187,59,1,0.576,70.136,0.424,Medium (40-70%),Operating Systems
181,327,8,0.576,72.3,0.424,Medium (40-70%),Operating Systems
45,184,4,0.577,68.831,0.423,Medium (40-70%),Discrete Mathematics
118,170,4,0.577,70.697,0.423,Medium (40-70%),Computer Networks
99,190,4,0.578,71.518,0.422,Medium (40-70%),Mobile App Development
86,106,2,0.578,72.431,0.422,Medium (40-70%),Database Systems
117,173,3,0.58,73.432,0.42,Medium (40-70%),Data Structures
87,196,4,0.58,72.249,0.42,Medium (40-70%),Web Development
67,180,4,0.583,72.545,0.417,Medium (40-70%),Operating Systems
175,148,3,0.584,72.74,0.416,Medium (40-70%),Discrete Mathematics
68,107,2,0.587,74.275,0.413,Medium (40-70%),Computer Networks
73,189,4,0.587,71.459,0.413,Medium (40-70%),Web Development
144,198,4,0.587,72.986,0.413,Medium (40-70%),Software Engineering
62,97,2,0.588,68.113,0.412,Medium (40-70%),Machine Learning
81,143,3,0.588,72.703,0.412,Medium (40-70%),Artificial Intelligence
98,85,2,0.588,69.353,0.412,Medium (40-70%),Machine Learning
153,112,2,0.588,71.781,0.412,Medium (40-70%),Algorithms
143,165,3,0.589,71.851,0.411,Medium (40-70%),Database Systems
27,155,3,0.59,71.677,0.41,Medium (40-70%),Cloud Computing
1,44,1,0.591,77.727,0.409,Medium (40-70%),Cyber Security Fundamentals
192,83,2,0.595,73.333,0.405,Medium (40-70%),Computer Networks
41,180,4,0.596,71.17,0.404,Medium (40-70%),Database Systems
124,52,1,0.596,72.577,0.404,Medium (40-70%),Discrete Mathematics
102,145,3,0.597,74.826,0.403,Medium (40-70%),Discrete Mathematics
180,234,5,0.598,71.16,0.402,Medium (40-70%),Discrete Mathematics
85,156,3,0.599,75.593,0.401,Medium (40-70%),Artificial Intelligence
146,283,6,0.599,73.44,0.401,Medium (40-70%),Operating Systems
151,149,3,0.599,72.954,0.401,Medium (40-70%),Software Engineering
154,103,2,0.6,74.61,0.4,Medium (40-70%),Software Engineering
159,192,4,0.6,70.54,0.4,Medium (40-70%),Data Science
116,193,4,0.602,74.075,0.398,Medium (40-70%),Data Structures
129,145,3,0.603,75.397,0.397,Medium (40-70%),Discrete Mathematics
173,203,4,0.603,75.139,0.397,Medium (40-70%),Mobile App Development
184,101,2,0.604,70.762,0.396,Medium (40-70%),Algorithms
106,95,2,0.604,73.01,0.396,Medium (40-70%),Software Engineering
186,51,1,0.608,72.176,0.392,Medium (40-70%),Algorithms
89,132,3,0.609,74.232,0.391,Medium (40-70%),Cyber Security Fundamentals
119,179,4,0.614,76.076,0.386,Medium (40-70%),Cyber Security Fundamentals
37,92,2,0.617,71.936,0.383,Medium (40-70%),Database Systems
49,47,1,0.617,77.489,0.383,Medium (40-70%),Data Structures
21,55,1,0.618,73.982,0.382,Medium (40-70%),Algorithms
25,55,1,0.618,75.364,0.382,Medium (40-70%),Cloud Computing
147,94,2,0.619,74.227,0.381,Medium (40-70%),Data Science
90,165,3,0.62,75.464,0.38,Medium (40-70%),Discrete Mathematics
178,48,1,0.625,81.896,0.375,Medium (40-70%),Algorithms
158,43,1,0.628,80.047,0.372,Medium (40-70%),Mobile App Development
109,43,1,0.628,75.86,0.372,Medium (40-70%),Artificial Intelligence
80,140,3,0.631,77.227,0.369,Medium (40-70%),Computer Architecture
189,51,1,0.647,72.49,0.353,Medium (40-70%),Artificial Intelligence
2,43,1,0.651,76.628,0.349,Medium (40-70%),Machine Learning
127,92,2,0.663,80.348,0.337,Medium (40-70%),Computer Architecture
105,110,2,0.664,79.755,0.336,Medium (40-70%),Computer Networks
170,51,1,0.667,75.745,0.333,Medium (40-70%),Data Science
179,51,1,0.686,83.608,0.314,Medium (40-70%),Data Science
71,40,1,0.7,82.5,0.3,Medium (40-70%),Algorithms
125,55,1,0.709,83.236,0.291,High (>70%),Operating Systems
