Id,QuestionId,OptionText,OptionTextAr,IsCorrect,SortOrder
2711,907,Sequential Query Language,خيار: Sequential Query Lan,0,1
10509,3519,K-Means,,1,1
13872,4666,False,خطأ,0,2
5409,1824,Simple Query Language,,0,3
8983,3003,An index key,,0,1
7994,2690,TCP,خيار: TCP,0,4
814,272,False,خطأ,1,2
4262,1429,Open Object Programming,خيار: Open Object Programm,0,4
8993,3006,True,صح,1,1
14233,4795,A key for encryption,,0,1
13435,4511,True,صح,1,1
11188,3748,Backing up data,,0,2
14764,4973,False,خطأ,1,2
474,158,Open Object Programming,خيار: Open Object Programm,0,4
5434,1832,A key for encryption,خيار: A key for encryption,0,2
7543,2529,16,خيار: 16,0,3
873,293,Public Key Cryptography,,1,1
7908,2661,Structured Query Language,,1,4
5208,1747,Naive Bayes,,0,4
14106,4749,A system crash,خيار: A system crash,0,4
952,320,Ordered Object Program,,0,4
12136,4078,Symmetric key,,0,2
10683,3573,Structured Query Language,خيار: Structured Query Lan,1,3
5855,1976,References a primary key in another table,خيار: References a primary,1,3
2907,970,Steganography,خيار: Steganography,0,1
13475,4525,True,صح,1,1
1042,349,O(1),,0,4
4007,1344,True,صح,1,1
1505,514,Network Layer,,1,1
11517,3861,Heap Sort,خيار: Heap Sort,0,1
9896,3312,Sequential Query Language,,0,4
11422,3829,Network Layer,خيار: Network Layer,1,2
10510,3519,Decision Tree,خيار: Decision Tree,0,2
5806,1960,Simple Query Language,,0,2
7042,2369,O(n),,0,4
12125,4074,Model underfits,,0,1
11473,3845,Public Key Cryptography,,1,3
2797,937,A memory overflow,,0,1
9063,3025,O(n²),خيار: O(n²),0,3
11725,3931,True,صح,1,1
14783,4979,O(1),,0,1
5570,1876,False,خطأ,1,2
449,152,References a primary key in another table,خيار: References a primary,1,3
5793,1957,O(log n),,1,1
2127,721,Queue,خيار: Queue,0,3
8053,2707,K-Means,,1,3
13466,4521,Model underfits,خيار: Model underfits,0,2
7298,2452,Reducing data redundancy,خيار: Reducing data redund,1,4
14990,5047,A CPU spike,خيار: A CPU spike,0,2
9697,3233,Indexing data,,0,3
7554,2533,A CPU spike,,0,2
2380,805,Object Output Process,,0,2
1650,562,Transport,,0,4
507,169,True,صح,0,1
7098,2389,SSH,,0,2
9476,3161,Queue,خيار: Queue,0,4
11659,3912,Application Programming Interface,,1,3
8264,2776,A composite key,خيار: A composite key,0,2
9308,3099,O(log n),,1,2
2676,898,Too few parameters,,0,2
9176,3062,Heap Sort,,0,2
15648,5270,O(log n),,1,2
6892,2318,Decision Tree,خيار: Decision Tree,0,4
4822,1620,Simple Query Language,,0,2
12213,4101,Too few parameters,,0,3
11092,3714,Model is too simple,,0,4
5931,2005,Encrypting data,خيار: Encrypting data,0,3
2910,970,Hashing,,0,4
11026,3692,Model is too simple,,0,4
1028,344,A composite key,,0,4
8988,3004,False,خطأ,0,2
726,243,Object Output Process,خيار: Object Output Proces,0,4
8335,2796,Merge Sort,خيار: Merge Sort,0,1
3516,1178,Model underfits,خيار: Model underfits,0,4
15304,5148,Transport,خيار: Transport,0,2
9918,3319,Session,خيار: Session,0,2
6924,2328,"Good on training, poor on test data","خيار: Good on training, po",1,4
297,102,An index key,خيار: An index key,0,1
10396,3480,Reducing data redundancy,خيار: Reducing data redund,1,2
4939,1657,Steganography,,0,3
10349,3462,Object Oriented Programming,,1,3
9060,3024,Transport,,0,4
12209,4100,SVM,,0,3
13035,4368,True,صح,1,1
1848,631,O(n²),,0,2
10092,3378,Encrypting data,خيار: Encrypting data,0,2
11398,3820,8,,1,4
10386,3477,Backing up data,خيار: Backing up data,0,2
13625,4580,Indexing data,خيار: Indexing data,0,1
9722,3242,O(n),خيار: O(n),0,2
14094,4744,False,خطأ,1,2
6677,2251,Network Layer,,1,3
5296,1775,Ordered Object Program,خيار: Ordered Object Progr,0,4
9173,3061,Automated Process Integrator,,0,3
12363,4153,True,صح,0,1
11553,3875,Session,,0,1
15460,5198,References a primary key in another table,خيار: References a primary,1,2
677,224,True,صح,1,1
5715,1930,Backing up data,خيار: Backing up data,0,3
4823,1620,Structured Query Language,خيار: Structured Query Lan,1,3
9270,3087,Ordered Object Program,خيار: Ordered Object Progr,0,4
11273,3777,Reducing data redundancy,,1,3
14353,4841,Model is too simple,خيار: Model is too simple,0,3
12305,4132,Tree,خيار: Tree,0,1
9929,3323,True,صح,1,1
9589,3197,Data Link,,0,1
6622,2235,Steganography,,0,2
13857,4662,Hashing,,0,3
14485,4879,Object Output Process,,0,3
5041,1694,Heap,,0,3
12025,4040,Steganography,,0,3
12346,4146,A system crash,خيار: A system crash,0,2
7349,2474,True,صح,1,1
2689,901,An index key,,0,3
7271,2443,Simple Query Language,,0,1
8583,2872,Object Output Process,,0,1
4075,1365,Too few parameters,,0,3
14632,4929,Hashing,,0,4
1370,465,False,خطأ,1,2
12793,4290,Bubble Sort,خيار: Bubble Sort,1,3
3229,1078,True,صح,1,1
10901,3652,Transport,,0,3
7116,2394,Model underfits,,0,4
8799,2943,Application Programming Interface,,1,3
9099,3039,Decision Tree,,0,1
512,170,Object Output Process,خيار: Object Output Proces,0,4
6413,2169,Decision Tree,,0,3
3236,1080,A CPU spike,خيار: A CPU spike,0,2
11250,3768,Object Oriented Programming,,1,4
6038,2042,A memory overflow,,0,4
7460,2504,Automated Process Integrator,,0,2
13128,4397,O(n),,0,2
2827,946,Decision Tree,,0,1
5780,1950,Bubble Sort,خيار: Bubble Sort,1,4
8667,2900,Indexing data,خيار: Indexing data,0,3
5455,1838,FTP,خيار: FTP,0,1
7919,2666,Model is too simple,,0,3
15404,5179,False,خطأ,1,2
10182,3407,False,خطأ,0,2
1053,355,Automated Process Integrator,,0,1
7398,2487,Transport,,0,4
10001,3346,Object Oriented Programming,,1,3
3523,1180,Object Output Process,,0,3
8994,3006,False,خطأ,0,2
8150,2739,Automated Process Integrator,خيار: Automated Process In,0,2
438,148,SSH,,0,4
14514,4892,A system crash,خيار: A system crash,0,4
2590,873,False,خطأ,1,2
4529,1521,Automated Process Integrator,,0,3
13683,4603,Merge Sort,,0,3
4779,1606,Too few parameters,,0,1
640,214,Application Process Interface,خيار: Application Process ,0,2
13154,4403,Indexing data,,0,4
9047,3021,HTTP,,1,3
10056,3363,Decision Tree,خيار: Decision Tree,0,2
7356,2476,O(log n),,1,2
6897,2320,True,صح,1,1
1590,542,Simple Query Language,خيار: Simple Query Languag,0,4
2667,896,Encrypting data,خيار: Encrypting data,0,1
5770,1947,A memory overflow,,0,4
3307,1108,Reducing data redundancy,خيار: Reducing data redund,1,3
10996,3683,Network Layer,,1,4
8535,2856,Ordered Object Program,,0,3
10337,3459,A key for encryption,,0,3
7589,2543,True,صح,0,1
11477,3846,Bubble Sort,,1,3
4553,1528,FTP,,0,1
11872,3981,Symmetric key,,0,4
8924,2984,Merge Sort,,0,2
6842,2304,HTTP,خيار: HTTP,1,4
8549,2860,True,صح,1,1
3947,1325,Data Link,خيار: Data Link,0,3
14667,4941,True,صح,1,1
2679,899,Decision Tree,خيار: Decision Tree,0,1
9111,3042,A memory overflow,,0,1
5502,1855,Merge Sort,,0,2
11895,3990,Model underfits,,0,1
9377,3124,True,صح,1,1
2289,776,Object Output Process,خيار: Object Output Proces,0,1
12913,4334,O(n²),خيار: O(n²),0,1
6563,2219,O(1),,0,1
2017,686,Two processes waiting for each other,خيار: Two processes waitin,1,3
13879,4669,Transport,,0,3
3306,1108,Backing up data,,0,2
11342,3799,Network Layer,خيار: Network Layer,1,4
10491,3514,O(1),,0,1
9504,3169,Too few parameters,خيار: Too few parameters,0,2
14943,5032,Naive Bayes,,0,3
4396,1480,Bubble Sort,خيار: Bubble Sort,1,4
15191,5111,True,صح,0,1
15513,5219,O(log n),,1,1
1326,451,"Good on training, poor on test data","خيار: Good on training, po",1,4
10947,3668,Queue,,0,3
5029,1689,Simple Query Language,خيار: Simple Query Languag,0,1
3627,1214,True,صح,1,1
4561,1531,6,,0,1
10511,3519,SVM,خيار: SVM,0,3
4982,1672,Automated Process Integrator,,0,4
6564,2219,O(log n),,1,2
14169,4772,O(1),خيار: O(1),0,1
9833,3288,Reducing data redundancy,,1,3
10992,3682,Transport,خيار: Transport,0,4
12295,4128,Object Oriented Programming,,1,3
3901,1308,6,,0,1
7056,2373,False,خطأ,1,2
5686,1920,Steganography,,0,4
11004,3686,SVM,خيار: SVM,0,2
5034,1690,False,خطأ,0,2
13390,4491,A memory overflow,خيار: A memory overflow,0,4
12255,4116,"Good on training, poor on test data","خيار: Good on training, po",1,1
7960,2680,False,خطأ,0,2
764,255,O(1),,0,2
6551,2215,Object Output Process,خيار: Object Output Proces,0,1
548,181,6,خيار: 6,0,4
8406,2820,K-Means,,1,2
11292,3783,Merge Sort,خيار: Merge Sort,0,2
2661,894,8,خيار: 8,1,3
3098,1034,Merge Sort,خيار: Merge Sort,0,2
10993,3683,Transport,,0,1
7989,2689,Hashing,خيار: Hashing,0,3
9694,3232,Ordered Object Program,,0,4
12051,4049,Bubble Sort,,1,3
10576,3540,Applied Program Index,,0,2
6262,2116,Quick Sort,خيار: Quick Sort,0,4
6834,2301,False,خطأ,1,2
12857,4315,Application Process Interface,خيار: Application Process ,0,1
15510,5216,False,خطأ,1,2
4471,1503,Merge Sort,خيار: Merge Sort,0,1
11094,3716,Ordered Object Program,خيار: Ordered Object Progr,0,2
3239,1082,Public Key Cryptography,,1,1
8564,2865,Structured Query Language,خيار: Structured Query Lan,1,2
14002,4713,"Good on training, poor on test data","خيار: Good on training, po",1,2
14828,4990,Heap,خيار: Heap,0,4
8554,2861,Naive Bayes,خيار: Naive Bayes,0,4
104,35,FTP,خيار: FTP,0,4
3865,1297,FTP,,0,1
14335,4834,A key for encryption,,0,3
12745,4276,Standard Query Logic,,0,1
578,192,False,خطأ,0,2
4688,1572,O(log n),,1,2
5519,1859,Standard Query Logic,خيار: Standard Query Logic,0,3
8749,2928,True,صح,1,1
918,309,False,خطأ,0,2
6273,2121,True,صح,0,1
2075,706,6,,0,3
9481,3163,An index key,خيار: An index key,0,3
63,22,Structured Query Language,خيار: Structured Query Lan,1,1
7331,2466,Structured Query Language,,1,1
9376,3123,False,خطأ,0,2
3830,1283,References a primary key in another table,,1,4
9049,3022,O(1),,0,1
560,184,Session,,0,4
8183,2749,6,خيار: 6,0,3
1295,441,An index key,خيار: An index key,0,3
9366,3120,16,,0,4
11753,3939,Standard Query Logic,,0,3
14542,4900,Standard Query Logic,,0,4
12946,4344,Quick Sort,خيار: Quick Sort,0,2
7074,2379,Too few parameters,,0,2
10620,3553,O(log n),,1,4
15346,5160,Application Process Interface,,0,4
5592,1884,Session,,0,2
14911,5024,Symmetric key,,0,3
4172,1403,FTP,,0,2
537,178,Open Object Programming,,0,3
5094,1710,Network Layer,,1,4
5254,1762,HTTP,,1,2
6365,2152,16,خيار: 16,0,1
13565,4559,16,خيار: 16,0,1
7213,2423,Encrypting data,خيار: Encrypting data,0,1
2815,943,9,خيار: 9,0,1
4552,1527,Symmetric key,خيار: Symmetric key,0,4
11283,3781,Data Link,,0,1
434,147,False,خطأ,1,2
7077,2380,True,صح,0,1
5618,1892,O(n),خيار: O(n),0,2
10753,3597,True,صح,0,1
2326,789,SSH,خيار: SSH,0,2
2691,902,Structured Query Language,خيار: Structured Query Lan,1,1
12403,4170,Session,,0,1
5364,1801,Heap Sort,,0,2
14371,4847,Merge Sort,,0,1
13661,4595,Session,خيار: Session,0,3
2453,827,Public Key Cryptography,خيار: Public Key Cryptogra,1,3
10096,3379,Indexing data,خيار: Indexing data,0,2
1930,657,Encrypting data,,0,4
59,20,True,صح,1,1
1944,661,Model underfits,خيار: Model underfits,0,2
8055,2708,Applied Program Index,,0,1
2706,905,Queue,,0,4
11732,3933,"Good on training, poor on test data",,1,4
9004,3009,Structured Query Language,خيار: Structured Query Lan,1,2
13019,4363,TCP,خيار: TCP,0,3
7580,2540,A key for encryption,خيار: A key for encryption,0,2
6988,2352,False,خطأ,0,2
15511,5218,True,صح,0,1
4895,1642,Decision Tree,,0,1
6455,2182,Decision Tree,,0,3
7171,2412,Tree,خيار: Tree,0,1
12258,4116,Model is too simple,,0,4
5720,1932,9,خيار: 9,0,2
1764,602,Model is too simple,خيار: Model is too simple,0,4
14305,4822,HTTP,خيار: HTTP,1,3
5559,1872,16,خيار: 16,0,1
2560,861,False,خطأ,0,2
5731,1936,True,صح,1,1
5454,1837,Naive Bayes,,0,4
13433,4509,True,صح,0,1
13744,4623,Public Key Cryptography,,1,4
11616,3896,Reducing data redundancy,خيار: Reducing data redund,1,2
7993,2690,SSH,,0,3
4814,1616,8,,1,2
4227,1418,True,صح,0,1
13737,4622,Transport,خيار: Transport,0,1
6188,2094,Stack,,1,4
3275,1094,True,صح,1,1
8996,3007,8,خيار: 8,1,2
7970,2684,Backing up data,,0,2
12926,4339,Data Link,خيار: Data Link,0,2
8489,2843,Standard Query Logic,,0,3
7249,2436,Tree,,0,3
13971,4702,Quick Sort,خيار: Quick Sort,0,1
84,29,Heap,,0,4
11801,3962,True,صح,0,1
2847,951,Bubble Sort,,1,3
13401,4497,Application Programming Interface,خيار: Application Programm,1,3
1647,562,Session,,0,1
1344,457,Session,,0,2
2092,711,TCP,,0,2
10423,3490,Tree,,0,1
4336,1456,Reducing data redundancy,,1,4
14717,4958,Tree,خيار: Tree,0,1
5621,1893,True,صح,0,1
1420,482,Ordered Object Program,خيار: Ordered Object Progr,0,2
10937,3665,Tree,,0,1
15564,5237,SSH,,0,2
9521,3173,Structured Query Language,خيار: Structured Query Lan,1,3
11030,3693,O(n²),خيار: O(n²),0,4
7828,2632,Queue,,0,4
11050,3700,SSH,,0,4
7162,2406,"Good on training, poor on test data",,1,4
5095,1711,FTP,,0,1
6831,2300,Steganography,خيار: Steganography,0,3
5487,1851,O(n²),خيار: O(n²),0,1
12440,4180,TCP,خيار: TCP,0,4
3349,1124,Queue,,0,3
3391,1136,Simple Query Language,,0,1
8939,2989,True,صح,0,1
690,229,Symmetric key,,0,4
5663,1912,True,صح,0,1
169,54,9,,0,3
1321,450,O(log n),خيار: O(log n),1,3
6642,2241,Symmetric key,,0,4
14775,4977,Quick Sort,خيار: Quick Sort,0,1
11894,3989,A system crash,خيار: A system crash,0,4
5514,1858,Structured Query Language,,1,2
9210,3070,O(1),,0,4
12096,4063,Indexing data,خيار: Indexing data,0,2
9343,3112,Steganography,خيار: Steganography,0,1
5928,2004,False,خطأ,0,2
5123,1720,Symmetric key,,0,3
3407,1143,Stack,خيار: Stack,1,3
13853,4661,Simple Query Language,خيار: Simple Query Languag,0,3
11909,3997,TCP,خيار: TCP,0,1
9311,3100,True,صح,1,1
2383,806,SSH,خيار: SSH,0,1
7821,2630,Sequential Query Language,خيار: Sequential Query Lan,0,1
715,241,Backing up data,خيار: Backing up data,0,1
11534,3867,A CPU spike,,0,4
2799,937,A CPU spike,,0,3
12104,4068,Two processes waiting for each other,,1,2
14519,4894,Applied Program Index,خيار: Applied Program Inde,0,3
14668,4941,False,خطأ,0,2
4932,1655,Naive Bayes,,0,4
7996,2691,False,خطأ,1,2
2779,930,Decision Tree,,0,1
8061,2712,An index key,,0,3
7028,2365,Heap,,0,2
14334,4834,References a primary key in another table,,1,2
9032,3017,Model underfits,,0,4
5878,1989,Quick Sort,,0,2
6465,2186,Network Layer,,1,1
13856,4662,Public Key Cryptography,خيار: Public Key Cryptogra,1,2
1220,412,False,خطأ,0,2
14367,4846,Sequential Query Language,خيار: Sequential Query Lan,0,1
1585,541,True,صح,0,1
9384,3126,Object Output Process,,0,2
3161,1056,Sequential Query Language,خيار: Sequential Query Lan,0,3
3717,1241,True,صح,1,1
8384,2812,Stack,خيار: Stack,1,2
3481,1167,Decision Tree,خيار: Decision Tree,0,3
9669,3225,Application Process Interface,خيار: Application Process ,0,1
376,127,SSH,خيار: SSH,0,4
9112,3042,Two processes waiting for each other,خيار: Two processes waitin,1,2
1090,369,False,خطأ,1,2
1002,336,Tree,,0,2
15444,5191,Steganography,خيار: Steganography,0,2
9717,3240,Public Key Cryptography,,1,3
914,308,Naive Bayes,,0,2
14526,4896,K-Means,,1,2
5598,1885,Application Process Interface,,0,4
1318,448,Indexing data,,0,4
1442,493,Session,خيار: Session,0,2
10690,3575,FTP,خيار: FTP,0,2
11758,3940,SVM,خيار: SVM,0,4
2664,895,Transport,,0,2
9432,3145,False,خطأ,1,2
10665,3567,Application Programming Interface,خيار: Application Programm,1,1
1105,374,O(log n),,1,3
10037,3358,Object Output Process,,0,3
6092,2061,O(n²),,0,2
2272,770,Too few parameters,,0,4
11110,3721,TCP,خيار: TCP,0,4
263,87,True,صح,0,1
6170,2089,Structured Query Language,خيار: Structured Query Lan,1,2
8969,2998,O(n²),خيار: O(n²),0,1
12701,4262,Object Output Process,خيار: Object Output Proces,0,3
3529,1182,O(log n),خيار: O(log n),1,3
233,77,16,خيار: 16,0,1
1849,631,O(log n),,1,3
8062,2712,A composite key,خيار: A composite key,0,4
9218,3072,Indexing data,,0,4
7796,2618,A CPU spike,,0,4
3630,1215,Decision Tree,,0,2
15139,5092,SVM,,0,1
9329,3108,O(n),,0,3
4975,1670,Applied Program Index,خيار: Applied Program Inde,0,3
10842,3631,Model is too simple,خيار: Model is too simple,0,4
7841,2639,Naive Bayes,,0,3
4093,1374,References a primary key in another table,,1,1
14393,4853,Sequential Query Language,خيار: Sequential Query Lan,0,3
5419,1828,Quick Sort,خيار: Quick Sort,0,1
11651,3910,Transport,خيار: Transport,0,1
10711,3581,An index key,خيار: An index key,0,3
13416,4502,Backing up data,,0,4
10018,3352,SVM,خيار: SVM,0,2
2801,938,Two processes waiting for each other,,1,1
14968,5040,Decision Tree,,0,4
12859,4315,Automated Process Integrator,خيار: Automated Process In,0,3
12333,4141,Indexing data,خيار: Indexing data,0,1
2668,896,Backing up data,خيار: Backing up data,0,2
6391,2161,True,صح,1,1
6815,2296,Backing up data,خيار: Backing up data,0,3
12605,4232,True,صح,1,1
3767,1265,Too few parameters,,0,3
5560,1872,9,,0,2
15314,5151,False,خطأ,1,2
8400,2817,FTP,خيار: FTP,0,4
11157,3737,Sequential Query Language,خيار: Sequential Query Lan,0,3
14840,4998,Application Process Interface,,0,4
8636,2889,False,خطأ,0,2
2250,763,Stack,خيار: Stack,1,4
8241,2770,A key for encryption,,0,3
334,111,Tree,خيار: Tree,0,2
12722,4269,Hashing,خيار: Hashing,0,4
1329,452,Session,خيار: Session,0,3
7779,2614,Merge Sort,خيار: Merge Sort,0,1
8948,2991,Standard Query Logic,,0,4
13425,4505,Object Oriented Programming,خيار: Object Oriented Prog,1,3
192,60,Backing up data,,0,4
13504,4537,Network Layer,خيار: Network Layer,1,4
2879,961,Public Key Cryptography,خيار: Public Key Cryptogra,1,1
14702,4953,SVM,,0,2
14933,5030,Heap,,0,1
12948,4344,Heap Sort,خيار: Heap Sort,0,4
2252,764,False,خطأ,1,2
2215,753,Heap,خيار: Heap,0,1
8087,2720,True,صح,1,1
3798,1274,Heap,,0,2
14273,4812,HTTP,,1,1
15172,5103,16,,0,2
3065,1022,TCP,خيار: TCP,0,1
7645,2565,True,صح,1,1
15287,5143,True,صح,1,1
4035,1353,O(n²),خيار: O(n²),0,3
2567,864,Tree,,0,3
12683,4256,Heap,,0,1
2324,788,FTP,,0,4
3238,1080,A memory overflow,,0,4
1388,471,O(n),,0,2
12911,4331,Sequential Query Language,,0,3
14547,4902,HTTP,,1,3
14604,4920,FTP,,0,4
9931,3324,Hashing,خيار: Hashing,0,1
5329,1786,True,صح,0,1
8154,2741,Encrypting data,خيار: Encrypting data,0,2
1890,645,SSH,خيار: SSH,0,4
9735,3245,Object Oriented Programming,خيار: Object Oriented Prog,1,3
14154,4767,O(n),,0,4
1955,664,Decision Tree,خيار: Decision Tree,0,1
7047,2371,Model underfits,,0,1
14299,4821,Symmetric key,,0,1
11321,3793,References a primary key in another table,,1,1
252,83,Steganography,,0,2
14304,4822,TCP,,0,2
600,201,False,خطأ,0,2
185,59,Symmetric key,,0,1
8372,2809,References a primary key in another table,,1,2
5818,1964,Object Output Process,,0,4
254,83,Symmetric key,,0,4
4997,1678,Heap,,0,3
76,25,Heap,,0,4
5096,1711,TCP,,0,2
6029,2040,Queue,,0,1
7140,2400,References a primary key in another table,خيار: References a primary,1,4
5368,1803,TCP,,0,2
4284,1436,HTTP,,1,4
15097,5080,Application Process Interface,,0,1
15278,5138,Data Link,خيار: Data Link,0,4
7022,2363,Model is too simple,خيار: Model is too simple,0,4
15352,5162,Quick Sort,,0,2
3609,1207,Hashing,,0,3
2964,987,False,خطأ,1,2
13246,4438,O(1),,0,4
9135,3048,Transport,خيار: Transport,0,1
2174,738,False,خطأ,1,2
557,184,Network Layer,,1,1
2329,790,A CPU spike,,0,1
10414,3487,Transport,خيار: Transport,0,4
6705,2262,True,صح,0,1
4891,1641,9,خيار: 9,0,1
3202,1070,Encrypting data,,0,4
538,178,Object Output Process,,0,4
4837,1626,SSH,خيار: SSH,0,3
6035,2042,A CPU spike,,0,1
13693,4607,True,صح,1,1
8806,2947,SSH,خيار: SSH,0,4
1021,342,Stack,خيار: Stack,1,1
13610,4574,Tree,,0,2
2466,832,Reducing data redundancy,,1,4
4956,1664,Public Key Cryptography,خيار: Public Key Cryptogra,1,4
4970,1669,Quick Sort,خيار: Quick Sort,0,2
1526,521,O(log n),,1,4
13926,4685,Two processes waiting for each other,,1,2
13488,4531,False,خطأ,0,2
15612,5257,Reducing data redundancy,خيار: Reducing data redund,1,2
10340,3460,Data Link,خيار: Data Link,0,2
10123,3388,An index key,,0,3
7442,2499,False,خطأ,0,2
11395,3820,16,خيار: 16,0,1
216,68,Quick Sort,,0,2
7619,2554,Bubble Sort,خيار: Bubble Sort,1,1
9083,3033,A composite key,,0,1
14690,4947,False,خطأ,0,2
2578,867,O(log n),,1,4
12135,4078,Public Key Cryptography,,1,1
7776,2613,References a primary key in another table,,1,2
6153,2082,Object Output Process,خيار: Object Output Proces,0,3
4282,1436,SSH,خيار: SSH,0,2
3772,1266,Application Process Interface,خيار: Application Process ,0,4
7039,2369,O(log n),,1,1
11792,3958,Model underfits,خيار: Model underfits,0,4
12056,4050,O(1),خيار: O(1),0,4
3112,1037,16,,0,4
4530,1521,Application Programming Interface,,1,4
3300,1104,Transport,خيار: Transport,0,4
3387,1135,A CPU spike,,0,1
7717,2596,O(n²),,0,1
518,172,False,خطأ,1,2
2348,795,Model is too simple,,0,2
12956,4346,A composite key,خيار: A composite key,0,4
10570,3538,A CPU spike,,0,4
12412,4173,False,خطأ,0,2
14184,4779,Sequential Query Language,,0,2
8369,2807,8,,1,3
4004,1342,Open Object Programming,,0,4
9621,3208,K-Means,خيار: K-Means,1,1
9081,3032,True,صح,0,1
10730,3588,Backing up data,,0,2
14877,5015,True,صح,1,1
2370,801,False,خطأ,1,2
6066,2052,False,خطأ,1,2
8366,2806,Reducing data redundancy,,1,4
10741,3593,Merge Sort,,0,1
6997,2356,Heap Sort,خيار: Heap Sort,0,1
15251,5129,True,صح,1,1
13631,4584,Data Link,خيار: Data Link,0,1
5182,1741,16,خيار: 16,0,2
12156,4083,Application Process Interface,خيار: Application Process ,0,2
94,32,O(1),,0,2
13446,4514,6,,0,4
6414,2169,Naive Bayes,خيار: Naive Bayes,0,4
6200,2097,Application Process Interface,خيار: Application Process ,0,4
877,295,A CPU spike,خيار: A CPU spike,0,1
14843,5000,Encrypting data,خيار: Encrypting data,0,3
9470,3160,Steganography,خيار: Steganography,0,2
10681,3573,Simple Query Language,خيار: Simple Query Languag,0,1
12055,4050,O(n),,0,3
3537,1184,Application Programming Interface,خيار: Application Programm,1,3
2153,730,Backing up data,,0,1
14124,4754,A memory overflow,,0,4
6911,2325,Data Link,خيار: Data Link,0,3
9975,3340,A memory overflow,خيار: A memory overflow,0,1
12994,4356,Model underfits,,0,2
5961,2014,True,صح,1,1
11220,3756,Public Key Cryptography,خيار: Public Key Cryptogra,1,4
2285,775,Transport,,0,1
11609,3894,Application Process Interface,,0,3
2437,823,Object Oriented Programming,خيار: Object Oriented Prog,1,1
5326,1783,O(n),خيار: O(n),0,4
4037,1354,HTTP,خيار: HTTP,1,1
9889,3309,Session,خيار: Session,0,3
2543,856,Stack,,1,3
14959,5038,Indexing data,,0,3
8898,2974,O(n²),خيار: O(n²),0,2
767,257,True,صح,1,1
8841,2960,O(log n),خيار: O(log n),1,1
13632,4584,Network Layer,,1,2
14012,4716,Object Output Process,خيار: Object Output Proces,0,4
2860,954,Transport,خيار: Transport,0,4
4399,1481,TCP,,0,3
1724,588,9,,0,2
6983,2351,Symmetric key,,0,1
5290,1774,O(n²),خيار: O(n²),0,2
9686,3230,Quick Sort,خيار: Quick Sort,0,2
11151,3734,True,صح,1,1
64,22,Simple Query Language,خيار: Simple Query Languag,0,2
9281,3092,HTTP,خيار: HTTP,1,1
14896,5020,Object Output Process,,0,2
6042,2043,TCP,خيار: TCP,0,4
10264,3435,Application Programming Interface,خيار: Application Programm,1,2
8391,2815,A key for encryption,,0,1
13958,4698,Symmetric key,,0,2
4854,1631,Tree,خيار: Tree,0,2
1266,431,False,خطأ,0,2
9617,3207,Transport,,0,1
2933,977,A composite key,خيار: A composite key,0,3
4272,1432,Model is too simple,خيار: Model is too simple,0,4
9178,3062,Quick Sort,خيار: Quick Sort,0,4
7002,2357,O(1),,0,2
12839,4310,Model is too simple,خيار: Model is too simple,0,3
12536,4209,False,خطأ,1,2
5000,1679,A memory overflow,,0,2
1484,507,SVM,,0,2
1732,590,K-Means,خيار: K-Means,1,2
6214,2102,9,خيار: 9,0,2
10135,3391,Quick Sort,,0,3
8843,2960,O(1),خيار: O(1),0,3
5482,1848,O(n²),,0,4
3872,1298,Applied Program Index,خيار: Applied Program Inde,0,4
