Id,QuizId,StudentId,AttemptNumber,StartedAt,SubmittedAt,Score,MaxScore,ScorePercent,Status,IsGraded,GradedById,GradedAt,TimeSpentSeconds,Score_WasNull,TimeSpentSeconds_WasNull,StartedAt_Hour,StartedAt_Weekday,StartedAt_Month,IsNightAttempt,TimeSpentMinutes,TimeSpent_Norm,PassRatePct,Passed,IsFirstAttempt,IsRetry
1571,726,1302,1,2023-09-09 08:20:19,,,20,,InProgress,0,-1.0,,348.0,1,0,8,5,9,0,5.8,0.051109139307897074,,0,1,0
57,1264,3841,1,2023-01-18 07:31:45,2023-01-18 08:08:08,,10,,Abandoned,0,-1.0,,2183.0,1,0,7,2,1,0,36.4,0.3767524401064774,,0,1,0
1605,776,2067,1,2025-08-06 05:55:50,,,100,,InProgress,0,3.0,,101.0,1,0,5,2,8,1,1.7,0.0072759538598047915,,0,1,0
5479,1858,4282,2,2022-07-23 20:45:25,2022-07-23 21:01:36,28.1,50,56.2,Completed,1,-1.0,2022-07-24 05:01:36,971.0,0,0,20,5,7,0,16.2,0.16166814551907718,56.2,1,0,1
5558,1500,2843,2,2023-09-04 19:40:07,2023-09-04 20:18:06,50.0,50,100.0,Completed,1,15.0,,2279.0,0,0,19,0,9,0,38.0,0.3937888198757764,100.0,1,0,1
4170,535,880,3,2022-11-09 04:45:30,2022-11-09 04:59:44,,25,,InProgress,0,1.0,2022-11-09 19:59:44,854.0,1,0,4,2,11,1,14.2,0.140905057675244,,0,0,1
9326,2056,1218,1,2023-05-10 09:05:15,,,100,,InProgress,0,12.0,,735.0,1,0,9,2,5,0,12.2,0.11978704525288375,,0,1,0
2443,893,1854,3,2025-08-18 03:27:16,2025-08-18 03:55:24,,10,,Abandoned,0,10.0,2025-08-20 00:55:24,1688.0,1,0,3,0,8,1,28.1,0.2889086069210293,,0,0,1
874,143,435,1,2023-04-10 13:32:50,,,50,,InProgress,0,9.0,,2785.0,1,0,13,0,4,0,46.4,0.48358473824312337,,0,1,0
3025,1150,4038,3,2024-02-27 14:01:27,2024-02-27 14:33:09,,50,,InProgress,0,-1.0,2024-02-27 15:33:09,1902.0,1,0,14,1,2,0,31.7,0.326885536823425,,0,0,1
4111,1151,4311,2,2024-12-31 08:08:31,2024-12-31 08:20:00,,25,,InProgress,0,14.0,2025-01-01 05:20:00,689.0,1,0,8,1,12,0,11.5,0.11162377994676131,,0,0,1
10119,954,3518,2,2025-02-27 03:37:04,,,10,,InProgress,0,-1.0,,745.0,1,0,3,3,2,1,12.4,0.12156166814551908,,0,0,1
5326,1841,4165,2,2022-10-18 01:26:04,2022-10-18 01:37:00,,50,,Abandoned,0,2.0,,656.0,1,0,1,1,10,1,10.9,0.10576752440106477,,0,0,1
1977,1732,1535,2,2024-04-06 04:14:10,2024-04-06 04:42:06,-5.0,-5,12.0,Completed,1,-1.0,2024-04-08 01:42:06,1676.0,0,0,4,5,4,1,27.9,0.2867790594498669,,0,0,1
3864,1508,1094,1,2024-11-19 15:40:19,2024-11-19 16:30:12,,50,,InProgress,0,10.0,2024-11-21 08:30:12,2993.0,1,0,15,1,11,0,49.9,0.5204968944099378,,0,1,0
5801,296,2764,1,2024-11-03 04:33:40,2024-11-03 04:48:14,,100,,Abandoned,0,-1.0,2024-11-05 01:48:14,874.0,1,0,4,6,11,1,14.6,0.14445430346051463,,0,1,0
8240,1789,3272,1,2022-11-29 16:14:05,2022-11-29 16:21:49,7.5,10,75.0,Completed,1,-1.0,,464.0,0,0,16,1,11,0,7.7,0.07169476486246673,75.0,1,1,0
8275,745,3655,1,2025-01-13 09:29:14,,,10,,InProgress,0,13.0,,998.0,1,0,9,0,1,0,16.6,0.16645962732919253,,0,1,0
8565,337,1896,1,2023-11-29 19:07:47,2023-11-29 19:33:12,,10,,Abandoned,0,13.0,2023-12-01 07:33:12,1525.0,1,0,19,2,11,0,25.4,0.2599822537710737,,0,1,0
7669,1344,3284,1,2022-09-04 00:15:32,2022-09-04 00:26:51,42.3,50,84.6,Completed,0,-1.0,2022-09-05 17:26:51,679.0,0,0,0,6,9,1,11.3,0.10984915705412601,84.6,1,1,0
2776,982,670,2,2022-06-03 07:27:06,2022-06-03 08:27:26,100.0,100,100.0,Completed,1,-1.0,,3620.0,0,0,7,4,6,0,60.3,0.6317657497781721,100.0,1,0,1
4632,122,4862,2,2022-06-17 09:11:48,2022-06-17 09:29:25,7.2,25,28.8,Completed,1,-1.0,2022-06-17 22:29:25,1057.0,0,0,9,4,6,0,17.6,0.1769299023957409,28.8,0,0,1
5291,909,1478,1,2023-02-24 14:11:02,2023-02-24 14:20:06,,100,,InProgress,0,10.0,,544.0,1,0,14,4,2,0,9.1,0.08589174800354923,,0,1,0
9443,1493,4824,1,2023-08-08 05:07:15,2023-08-08 05:19:19,,10,,InProgress,0,14.0,2023-08-09 11:19:19,724.0,1,0,5,1,8,1,12.1,0.1178349600709849,,0,1,0
395,389,1494,1,2023-03-25 02:34:14,2023-03-25 03:28:54,93.7,100,93.7,Completed,1,11.0,,3280.0,0,0,2,5,3,1,54.7,0.5714285714285714,93.7,1,1,0
3339,620,4693,1,2022-08-06 07:30:40,2022-08-06 08:09:24,,100,,Abandoned,0,5.0,2022-08-06 21:09:24,2324.0,1,0,7,5,8,0,38.7,0.4017746228926353,,0,1,0
3824,846,1255,2,2024-10-17 06:40:21,2024-10-17 07:35:57,4.4,10,44.0,Completed,1,-1.0,,3336.0,0,0,6,3,10,0,55.6,0.5813664596273291,44.0,0,0,1
5699,2212,3590,3,2024-03-02 15:26:39,2024-03-02 15:35:41,,-5,,Abandoned,0,13.0,,542.0,1,0,15,5,3,0,9.0,0.0855368234250222,,0,0,1
6016,2079,3241,2,2024-10-01 01:50:45,2024-10-01 03:06:46,9.9,20,49.5,Completed,1,7.0,,4561.0,0,0,1,1,10,1,76.0,0.7987577639751553,49.5,0,0,1
129,1811,3738,1,2023-12-31 04:10:43,2023-12-31 04:17:27,,20,,Abandoned,0,3.0,,404.0,1,0,4,6,12,1,6.7,0.06104702750665484,,0,1,0
2467,1042,4503,2,2022-12-10 17:59:27,2022-12-10 18:38:43,,20,,InProgress,0,3.0,2022-12-12 11:38:43,2356.0,1,0,17,5,12,0,39.3,0.4074534161490684,,0,0,1
6166,1789,1604,1,2023-07-03 21:24:56,2023-07-03 22:37:50,1.6,10,16.0,Completed,1,14.0,,4374.0,0,0,21,0,7,0,72.9,0.7655723158828749,16.0,0,1,0
6188,2114,1675,1,2022-08-20 20:35:40,2022-08-20 20:49:15,13.9,20,69.5,Completed,1,-1.0,,815.0,0,0,20,5,8,0,13.6,0.13398402839396628,69.5,1,1,0
3180,1732,3081,3,2023-12-14 20:09:01,2023-12-14 20:29:37,-5.0,-5,94.0,Completed,1,-1.0,2023-12-16 20:29:37,1236.0,0,0,20,3,12,0,20.6,0.20869565217391303,,1,0,1
10295,2212,3123,3,2022-08-19 17:40:36,2022-08-19 17:47:26,,-5,,InProgress,0,9.0,,410.0,1,0,17,4,8,0,6.8,0.062111801242236024,,0,0,1
2453,1885,1136,1,2025-08-17 21:26:19,2025-08-17 22:09:06,49.9,100,49.9,Completed,1,-1.0,,2567.0,0,0,21,6,8,0,42.8,0.44489795918367353,49.9,0,1,0
4471,1351,3826,1,2022-11-17 19:58:50,2022-11-17 20:17:13,1.1,10,11.0,Completed,0,-1.0,2022-11-18 17:17:13,1103.0,0,0,19,3,11,0,18.4,0.18509316770186335,11.0,0,1,0
10326,795,2852,2,2024-02-29 08:31:41,2024-02-29 08:36:19,,20,,Abandoned,0,12.0,2024-02-29 09:36:19,278.0,1,0,8,3,2,0,4.6,0.038686779059449866,,0,0,1
2533,577,291,1,2022-06-25 01:31:01,2022-06-25 01:41:14,16.3,20,81.5,Completed,0,-1.0,2022-06-26 00:41:14,613.0,0,0,1,5,6,1,10.2,0.09813664596273292,81.5,1,1,0
1112,1675,267,1,2025-11-12 12:21:27,2025-11-12 13:04:51,,25,,InProgress,0,13.0,,2604.0,1,0,12,2,11,0,43.4,0.4514640638864242,,0,1,0
9655,1669,110,1,2025-10-20 00:31:32,2025-10-20 00:50:23,57.8,100,57.8,Completed,0,3.0,2025-10-20 04:50:23,1131.0,0,0,0,0,10,1,18.8,0.19006211180124225,57.8,1,1,0
743,624,3591,1,2025-09-17 20:00:55,2025-09-17 20:05:08,9.9,50,19.8,Completed,0,6.0,,253.0,0,0,20,2,9,0,4.2,0.03425022182786158,19.8,0,1,0
6336,2155,894,2,2024-11-29 05:50:37,2024-11-29 06:05:23,51.8,100,51.8,Completed,0,-1.0,2024-11-30 15:05:23,886.0,0,0,5,4,11,1,14.8,0.14658385093167703,51.8,1,0,1
3995,565,2162,1,2024-11-27 18:31:59,2024-11-27 18:36:48,6.3,10,63.0,Completed,0,-1.0,2024-11-28 05:36:48,289.0,0,0,18,2,11,0,4.8,0.040638864241348716,63.0,1,1,0
4241,577,35,1,2025-12-07 20:05:27,2025-12-07 20:09:02,,20,,Abandoned,0,-1.0,,215.0,1,0,20,6,12,0,3.6,0.027506654835847383,,0,1,0
2811,537,1012,1,2023-04-07 07:32:47,2023-04-07 08:00:09,,50,,Abandoned,0,5.0,,1642.0,1,0,7,4,4,0,27.4,0.2807453416149069,,0,1,0
5741,537,3380,1,2023-04-05 14:36:21,2023-04-05 15:08:35,36.6,50,73.2,Completed,0,5.0,2023-04-07 03:08:35,1934.0,0,0,14,2,4,0,32.2,0.3325643300798581,73.2,1,1,0
8591,642,3430,1,2024-12-28 07:17:14,2024-12-28 07:30:37,46.0,50,92.0,Completed,1,-1.0,,803.0,0,0,7,5,12,0,13.4,0.1318544809228039,92.0,1,1,0
2800,1997,197,1,2023-05-04 23:22:17,2023-05-04 23:48:54,,100,,InProgress,0,-1.0,2023-05-06 03:48:54,1597.0,1,0,23,3,5,0,26.6,0.27275953859804797,,0,1,0
9888,1828,4885,1,2023-11-30 21:51:41,2023-11-30 22:56:36,4.3,100,4.3,Completed,0,-1.0,2023-12-02 16:56:36,3895.0,0,0,21,3,11,0,64.9,0.6805678793256433,4.3,0,1,0
2894,1048,1942,1,2025-11-30 12:49:03,2025-11-30 13:24:59,,25,,Abandoned,0,-1.0,2025-12-01 15:24:59,1131.0,1,1,12,6,11,0,18.8,0.19006211180124225,,0,1,0
10855,1499,1467,2,2024-03-19 17:08:56,2024-03-19 17:29:22,24.7,25,98.8,Completed,1,1.0,2024-03-20 06:29:22,1226.0,0,0,17,1,3,0,20.4,0.20692102928127773,98.8,1,0,1
4372,160,2052,1,2023-02-25 18:39:16,2023-02-25 18:50:51,8.9,20,44.5,Completed,1,8.0,2023-02-26 00:50:51,1131.0,0,1,18,5,2,0,18.8,0.19006211180124225,44.5,0,1,0
8880,350,2620,1,2023-01-27 07:16:42,2023-01-27 07:48:16,7.8,10,78.0,Completed,1,7.0,,1894.0,0,0,7,4,1,0,31.6,0.3254658385093168,78.0,1,1,0
4152,2124,4360,3,2024-11-01 22:01:33,2024-11-01 22:04:26,1.3,10,13.0,Completed,0,-1.0,,173.0,0,0,22,4,11,0,2.9,0.020053238686779058,13.0,0,0,1
9706,1080,203,1,2025-05-03 19:10:28,,,100,,InProgress,0,14.0,,1173.0,1,0,19,5,5,0,19.6,0.19751552795031055,,0,1,0
4009,43,3118,2,2023-10-20 13:45:11,2023-10-20 14:05:19,,100,,Abandoned,0,-1.0,2023-10-21 20:05:19,1208.0,1,0,13,4,10,0,20.1,0.20372670807453416,,0,0,1
3055,411,561,1,2023-01-31 16:56:12,2023-01-31 17:18:05,2.0,20,10.0,Completed,1,7.0,2023-02-02 15:18:05,1313.0,0,0,16,1,1,0,21.9,0.22236024844720498,10.0,0,1,0
626,510,1048,2,2024-11-11 13:46:28,2024-11-11 13:48:03,5.6,50,11.2,Completed,0,5.0,,95.0,0,0,13,0,11,0,1.6,0.0062111801242236,11.2,0,0,1
1392,1331,3728,2,2023-12-01 23:14:07,2023-12-01 23:28:34,,50,,Abandoned,0,6.0,,867.0,1,0,23,4,12,0,14.4,0.14321206743566992,,0,0,1
384,311,3696,1,2024-09-15 21:54:50,2024-09-15 22:07:42,5.6,10,56.0,Completed,1,1.0,,1131.0,0,1,21,6,9,0,18.8,0.19006211180124225,56.0,1,1,0
4047,982,3899,1,2025-12-23 06:01:07,2025-12-23 06:24:45,49.4,100,49.4,Completed,1,-1.0,,1418.0,0,0,6,1,12,0,23.6,0.2409937888198758,49.4,0,1,0
2418,2140,1565,1,2023-07-25 20:22:38,2023-07-25 20:31:04,7.5,10,75.0,Completed,0,4.0,,506.0,0,0,20,1,7,0,8.4,0.07914818101153506,75.0,1,1,0
3284,670,3895,1,2025-12-17 19:40:28,2025-12-17 19:47:31,47.9,100,47.9,Completed,1,-1.0,2025-12-19 05:47:31,423.0,0,0,19,2,12,0,7.0,0.06441881100266195,47.9,0,1,0
6640,1467,4338,1,2025-07-17 07:41:07,2025-07-17 08:05:28,33.6,50,67.2,Completed,1,-1.0,,1461.0,0,0,7,3,7,0,24.4,0.24862466725820762,67.2,1,1,0
3231,1656,4639,1,2024-07-19 15:06:24,2024-07-19 15:20:58,,10,,InProgress,0,-1.0,2024-07-21 01:20:58,874.0,1,0,15,4,7,0,14.6,0.14445430346051463,,0,1,0
2734,351,763,1,2024-10-27 20:07:09,2024-10-27 20:20:02,23.3,50,46.6,Completed,0,5.0,,773.0,0,0,20,6,10,0,12.9,0.12653061224489795,46.6,0,1,0
6613,1505,2046,2,2025-04-01 10:16:29,2025-04-01 10:24:19,,100,,Abandoned,0,-1.0,,470.0,1,0,10,1,4,0,7.8,0.07275953859804793,,0,0,1
8140,1932,4444,2,2023-06-06 16:41:21,2023-06-06 16:50:07,5.0,50,10.0,Completed,1,-1.0,,526.0,0,0,16,1,6,0,8.8,0.08269742679680567,10.0,0,0,1
5206,32,948,2,2024-03-19 20:05:48,,,50,,InProgress,0,-1.0,,4970.0,1,0,20,1,3,0,82.8,0.8713398402839396,,0,0,1
2039,1546,4235,1,2025-10-27 07:21:59,2025-10-27 08:07:21,5.1,10,51.0,Completed,0,15.0,2025-10-28 15:07:21,2722.0,0,0,7,0,10,0,45.4,0.4724046140195209,51.0,1,1,0
6937,846,3923,1,2023-01-15 06:58:46,2023-01-15 07:41:38,,10,,InProgress,0,3.0,2023-01-16 23:41:38,2572.0,1,0,6,6,1,0,42.9,0.4457852706299912,,0,1,0
2656,1499,4583,2,2026-01-04 17:08:22,2026-01-04 17:17:20,21.4,25,85.6,Completed,1,13.0,2026-01-06 00:17:20,538.0,0,0,17,6,1,0,9.0,0.08482697426796806,85.6,1,0,1
3316,982,1985,1,2025-08-05 22:38:54,2025-08-05 23:06:21,89.6,100,89.6,Completed,1,-1.0,,1647.0,0,0,22,1,8,0,27.4,0.28163265306122454,89.6,1,1,0
2028,1314,4506,1,2026-01-01 17:12:52,2026-01-01 17:56:24,3.6,50,7.2,Completed,1,5.0,2026-01-03 13:56:24,2612.0,0,0,17,3,1,0,43.5,0.45288376220053245,7.2,0,1,0
6117,1669,2139,1,2025-11-26 11:16:15,2025-11-26 11:38:42,57.3,100,57.3,Completed,1,3.0,,1347.0,0,0,11,2,11,0,22.4,0.22839396628216505,57.3,1,1,0
4390,1344,3702,2,2025-02-21 16:54:49,2025-02-21 17:13:47,43.5,50,87.0,Completed,0,1.0,2025-02-22 13:13:47,1138.0,0,0,16,4,2,0,19.0,0.19130434782608696,87.0,1,0,1
3466,2079,244,2,2022-12-01 15:00:28,2022-12-01 15:54:30,2.8,20,14.0,Completed,1,13.0,,3242.0,0,0,15,3,12,0,54.0,0.5646850044365572,14.0,0,0,1
6515,21,2995,1,2022-10-17 07:14:47,2022-10-17 07:21:13,64.5,100,64.5,Completed,1,-1.0,,386.0,0,0,7,0,10,0,6.4,0.05785270629991127,64.5,1,1,0
6948,1719,466,1,2023-01-17 18:04:47,2023-01-17 18:36:15,,50,,Abandoned,0,-1.0,2023-01-18 14:36:15,1888.0,1,0,18,1,1,0,31.5,0.3244010647737356,,0,1,0
1259,657,1768,1,2025-10-06 07:19:09,2025-10-06 08:07:58,5.6,25,22.4,Completed,0,8.0,,2929.0,0,0,7,0,10,0,48.8,0.5091393078970718,22.4,0,1,0
3114,1188,1606,2,2023-08-03 22:46:47,2023-08-03 23:18:07,,20,,InProgress,0,2.0,,1880.0,1,0,22,3,8,0,31.3,0.3229813664596274,,0,0,1
772,1665,1763,2,2024-01-29 16:16:14,2024-01-29 16:21:11,8.5,10,85.0,Completed,0,-1.0,,297.0,0,0,16,0,1,0,5.0,0.042058562555456966,85.0,1,0,1
9590,1142,3211,1,2024-04-30 09:21:22,2024-04-30 10:07:38,1.7,20,8.5,Completed,1,8.0,2024-05-02 03:07:38,2776.0,0,0,9,1,4,0,46.3,0.4819875776397516,8.5,0,1,0
633,1984,2788,1,2024-06-28 11:25:25,2024-06-28 11:58:50,6.9,25,27.6,Completed,0,8.0,2024-06-29 18:58:50,2005.0,0,0,11,4,6,0,33.4,0.3451641526175688,27.6,0,1,0
6850,1021,4051,2,2024-05-11 22:16:33,2024-05-11 23:02:10,,20,,Abandoned,0,6.0,2024-05-13 09:02:10,2737.0,1,0,22,5,5,0,45.6,0.47506654835847384,,0,0,1
4666,1936,2648,2,2024-11-11 17:47:07,2024-11-11 18:06:25,,25,,Abandoned,0,-1.0,,1158.0,1,0,17,0,11,0,19.3,0.1948535936113576,,0,0,1
10820,1508,3953,1,2026-01-16 23:52:32,2026-01-17 00:14:15,18.9,50,37.8,Completed,0,-1.0,,1303.0,0,0,23,4,1,0,21.7,0.22058562555456965,37.8,0,1,0
3576,887,4389,1,2025-11-20 20:23:37,2025-11-20 20:40:46,5.7,20,28.5,Completed,1,2.0,,1029.0,0,0,20,3,11,0,17.2,0.17196095829636202,28.5,0,1,0
2154,752,4315,1,2025-04-17 12:58:48,2025-04-17 13:37:41,,-5,,InProgress,0,6.0,,2333.0,1,0,12,3,4,0,38.9,0.4033717834960071,,0,1,0
7872,727,3852,1,2025-06-04 05:30:04,2025-06-04 06:47:24,12.0,25,48.0,Completed,1,2.0,2025-06-04 22:47:24,1131.0,0,1,5,2,6,1,18.8,0.19006211180124225,48.0,0,1,0
702,986,2270,1,2022-12-21 07:37:07,2022-12-21 08:01:32,,25,,InProgress,0,-1.0,,1465.0,1,0,7,2,12,0,24.4,0.24933451641526175,,0,1,0
9609,1653,2662,1,2023-06-15 05:21:05,2023-06-15 05:35:30,,50,,InProgress,0,9.0,2023-06-15 10:35:30,865.0,1,0,5,3,6,1,14.4,0.14285714285714285,,0,1,0
5135,1508,1307,1,2025-05-25 00:44:06,2025-05-25 00:54:04,,50,,Abandoned,0,6.0,,598.0,1,0,0,6,5,1,10.0,0.09547471162377996,,0,1,0
8776,1503,1574,1,2023-12-06 13:01:49,2023-12-06 13:24:20,6.6,10,66.0,Completed,1,6.0,2023-12-07 19:24:20,1351.0,0,0,13,2,12,0,22.5,0.22910381543921918,66.0,1,1,0
3956,87,3080,1,2022-10-01 22:07:39,2022-10-01 22:11:22,13.8,25,55.2,Completed,0,3.0,2022-10-02 21:11:22,223.0,0,0,22,5,10,0,3.7,0.028926353149955633,55.2,1,1,0
1813,1042,4651,2,2023-12-05 08:41:21,2023-12-05 08:55:28,10.8,20,54.0,Completed,1,15.0,2023-12-06 15:55:28,847.0,0,0,8,1,12,0,14.1,0.13966282165039928,54.0,1,0,1
3376,1677,1722,1,2024-03-12 19:34:36,2024-03-12 19:54:20,,10,,InProgress,0,8.0,2024-03-13 08:54:20,1184.0,1,0,19,1,3,0,19.7,0.1994676131322094,,0,1,0
5691,802,274,1,2025-12-26 14:50:00,2025-12-26 15:14:26,,25,,Abandoned,0,1.0,2025-12-26 17:14:26,1466.0,1,0,14,4,12,0,24.4,0.24951197870452527,,0,1,0
10324,1408,2564,1,2025-07-28 09:10:35,2025-07-28 09:25:27,,10,,InProgress,0,-1.0,2025-07-29 19:25:27,892.0,1,0,9,0,7,0,14.9,0.1476486246672582,,0,1,0
8212,887,2325,1,2022-08-11 11:40:02,2022-08-11 12:01:03,6.1,20,30.5,Completed,1,-1.0,2022-08-12 22:01:03,1261.0,0,0,11,3,8,0,21.0,0.21313220940550134,30.5,0,1,0
6371,1936,373,2,2023-12-11 20:58:23,2023-12-11 21:23:35,22.2,25,88.8,Completed,0,-1.0,2023-12-12 14:23:35,1512.0,0,0,20,0,12,0,25.2,0.2576752440106478,88.8,1,0,1
7305,2141,236,1,2023-06-25 00:21:00,2023-06-25 00:28:17,,10,,InProgress,0,-1.0,,437.0,1,0,0,6,6,1,7.3,0.06690328305235138,,0,1,0
10934,351,3679,1,2023-07-13 20:11:38,2023-07-13 20:12:42,,50,,InProgress,0,10.0,,64.0,1,0,20,3,7,0,1.1,0.0007098491570541252,,0,1,0
6070,537,3934,1,2024-10-26 23:33:13,2024-10-26 23:38:08,,50,,InProgress,0,2.0,2024-10-27 00:38:08,1131.0,1,1,23,5,10,0,18.8,0.19006211180124225,,0,1,0
2853,1095,744,1,2022-07-15 03:10:42,2022-07-15 03:25:00,23.5,50,47.0,Completed,0,1.0,2022-07-16 02:25:00,858.0,0,0,3,4,7,1,14.3,0.14161490683229813,47.0,0,1,0
5745,986,3380,1,2025-01-01 03:36:45,2025-01-01 03:58:25,20.2,25,80.8,Completed,1,-1.0,,1300.0,0,0,3,2,1,1,21.7,0.22005323868677906,80.8,1,1,0
8598,795,1809,1,2025-07-25 12:02:53,2025-07-25 12:46:30,,20,,InProgress,0,-1.0,2025-07-25 13:46:30,2617.0,1,0,12,4,7,0,43.6,0.4537710736468501,,0,1,0
4821,888,3192,3,2022-11-16 15:45:40,2022-11-16 16:09:56,,10,,InProgress,0,-1.0,2022-11-17 12:09:56,1456.0,1,0,15,2,11,0,24.3,0.24773735581188996,,0,0,1
4728,1008,3400,2,2024-12-07 12:51:07,2024-12-07 13:25:33,0.6,10,6.0,Completed,1,15.0,2024-12-07 15:25:33,1131.0,0,1,12,5,12,0,18.8,0.19006211180124225,6.0,0,0,1
3281,1036,1852,1,2025-11-29 12:25:56,2025-11-29 13:05:29,8.8,25,35.2,Completed,1,7.0,2025-12-01 05:05:29,2373.0,0,0,12,5,11,0,39.6,0.4104702750665484,35.2,0,1,0
4651,435,732,2,2023-07-24 14:00:36,2023-07-24 14:57:22,3.7,10,37.0,Completed,1,14.0,2023-07-24 22:57:22,3406.0,0,0,14,0,7,0,56.8,0.5937888198757764,37.0,0,0,1
3366,1891,2574,1,2023-07-17 12:46:39,2023-07-17 12:49:41,17.3,25,69.2,Completed,1,-1.0,,182.0,0,0,12,0,7,0,3.0,0.02165039929015084,69.2,1,1,0
9089,682,1180,1,2024-06-09 22:32:50,2024-06-09 22:50:04,5.6,20,28.0,Completed,0,-1.0,2024-06-10 18:50:04,1034.0,0,0,22,6,6,0,17.2,0.17284826974267967,28.0,0,1,0
4318,1189,201,2,2023-11-22 05:12:56,2023-11-22 05:27:23,1.7,25,6.8,Completed,0,6.0,2023-11-23 14:27:23,867.0,0,0,5,2,11,1,14.4,0.14321206743566992,6.8,0,0,1
10275,1042,2117,1,2022-07-29 12:22:23,2022-07-29 12:55:01,8.8,20,44.0,Completed,0,8.0,2022-07-30 02:55:01,1958.0,0,0,12,4,7,0,32.6,0.3368234250221828,44.0,0,1,0
6506,1500,2197,2,2022-09-28 12:54:31,2022-09-28 12:59:15,47.5,50,95.0,Completed,0,1.0,,284.0,0,0,12,2,9,0,4.7,0.03975155279503106,95.0,1,0,1
1254,1685,1768,3,2025-01-24 19:31:43,2025-01-24 20:02:45,4.7,10,47.0,Completed,1,10.0,2025-01-26 16:02:45,1862.0,0,0,19,4,1,0,31.0,0.3197870452528838,47.0,0,0,1
4042,328,3899,1,2025-09-24 14:04:42,2025-09-24 14:21:33,2.0,20,10.0,Completed,1,-1.0,,1011.0,0,0,14,2,9,0,16.8,0.16876663708961845,10.0,0,1,0
7419,2141,4573,1,2024-11-10 16:22:54,2024-11-10 16:41:00,7.6,10,76.0,Completed,1,12.0,,1131.0,0,1,16,6,11,0,18.8,0.19006211180124225,76.0,1,1,0
7880,1890,4166,1,2025-10-28 12:25:43,2025-10-28 12:48:57,,50,,Abandoned,0,7.0,2025-10-28 21:48:57,1394.0,1,0,12,1,10,0,23.2,0.23673469387755103,,0,1,0
6917,1389,3787,1,2022-08-30 12:34:54,2022-08-30 12:44:48,17.5,50,35.0,Completed,0,14.0,2022-09-01 03:44:48,594.0,0,0,12,1,8,0,9.9,0.09476486246672583,35.0,0,1,0
8968,1891,1468,1,2022-12-22 08:17:59,,,25,,InProgress,0,-1.0,,1635.0,1,0,8,3,12,0,27.2,0.27950310559006214,,0,1,0
5428,1841,1444,1,2024-08-04 05:53:51,2024-08-04 06:18:40,20.2,50,40.4,Completed,0,4.0,,1489.0,0,0,5,6,8,1,24.8,0.25359361135758657,40.4,0,1,0
10480,122,1850,1,2024-11-30 22:48:06,2024-11-30 22:54:00,,25,,Abandoned,0,14.0,,354.0,1,0,22,5,11,0,5.9,0.05217391304347826,,0,1,0
9958,595,4759,2,2025-11-08 16:21:29,,,100,,InProgress,0,6.0,,327.0,1,0,16,5,11,0,5.4,0.04738243123336291,,0,0,1
782,2192,2348,1,2025-04-23 19:21:08,2025-04-23 19:36:41,15.8,20,79.0,Completed,0,11.0,,933.0,0,0,19,2,4,0,15.6,0.15492457852706298,79.0,1,1,0
