CourseId,Title,DepartmentName,InstructorId,CreditHours,IsArchived
107,Software Engineering,Artificial Intelligence,12,2,False
108,Software Engineering,Computer Science,4,2,True
109,Artificial Intelligence,Computer Science,4,4,False
110,Software Engineering,Artificial Intelligence,6,2,True
111,Cyber Security Fundamentals,Artificial Intelligence,10,3,False
112,Operating Systems,Artificial Intelligence,8,1,True
113,Database Systems,Artificial Intelligence,13,4,False
114,Mobile App Development,Artificial Intelligence,1,4,True
115,Artificial Intelligence,Cyber Security,2,3,True
116,Data Structures,Artificial Intelligence,15,3,True
117,Data Structures,Artificial Intelligence,15,2,True
118,Computer Networks,Computer Science,3,2,False
119,Cyber Security Fundamentals,Computer Science,8,3,True
120,Data Science,Cyber Security,14,2,True
121,Mobile App Development,Computer Science,15,4,False
122,Mobile App Development,Artificial Intelligence,12,2,False
123,Cloud Computing,Computer Science,1,3,False
124,Discrete Mathematics,Artificial Intelligence,11,3,False
125,Operating Systems,Artificial Intelligence,15,4,True
126,Machine Learning,Artificial Intelligence,8,3,True
127,Computer Architecture,Computer Science,5,2,False
128,Artificial Intelligence,Artificial Intelligence,10,4,False
129,Discrete Mathematics,Computer Science,2,4,False
130,Computer Architecture,Artificial Intelligence,10,3,False
131,Machine Learning,Artificial Intelligence,12,3,True
132,Mobile App Development,Artificial Intelligence,13,2,True
133,Computer Networks,Artificial Intelligence,9,4,False
134,Web Development,Artificial Intelligence,2,2,True
135,Data Science,Artificial Intelligence,1,4,True
136,Operating Systems,Artificial Intelligence,5,1,True
137,Computer Networks,Computer Science,10,4,False
138,Algorithms,Computer Science,14,4,False
139,Artificial Intelligence,Artificial Intelligence,7,4,False
140,Operating Systems,Cyber Security,10,3,True
141,Computer Networks,Cyber Security,1,4,True
142,Algorithms,Artificial Intelligence,10,3,False
143,Database Systems,Computer Science,6,3,True
144,Software Engineering,Artificial Intelligence,10,2,True
145,Web Development,Artificial Intelligence,10,1,True
146,Operating Systems,Cyber Security,6,3,True
147,Data Science,Cyber Security,9,2,True
148,Algorithms,Artificial Intelligence,5,2,True
149,Web Development,Cyber Security,7,4,True
150,Cyber Security Fundamentals,Cyber Security,9,2,False
151,Software Engineering,Computer Science,12,3,False
152,Operating Systems,Computer Science,3,3,False
153,Algorithms,Artificial Intelligence,4,3,False
154,Software Engineering,Cyber Security,11,4,False
155,Data Structures,Artificial Intelligence,1,4,True
156,Algorithms,Cyber Security,1,4,True
157,Mobile App Development,Cyber Security,5,2,True
158,Mobile App Development,Artificial Intelligence,10,3,False
159,Data Science,Computer Science,11,6,True
160,Computer Architecture,Computer Science,11,4,False
161,Cyber Security Fundamentals,Artificial Intelligence,3,2,False
162,Cloud Computing,Computer Science,11,1,True
163,Data Science,Artificial Intelligence,3,3,True
164,Data Science,Artificial Intelligence,10,4,False
165,Computer Networks,Artificial Intelligence,9,3,True
166,Discrete Mathematics,Artificial Intelligence,2,1,True
167,Operating Systems,Cyber Security,9,1,True
168,Web Development,Cyber Security,10,2,True
169,Cyber Security Fundamentals,Computer Science,15,3,True
170,Data Science,Computer Science,5,4,True
171,Mobile App Development,Artificial Intelligence,11,2,True
172,Database Systems,Artificial Intelligence,10,3,False
173,Mobile App Development,Cyber Security,6,1,False
174,Web Development,Artificial Intelligence,14,2,False
175,Discrete Mathematics,Artificial Intelligence,7,4,True
176,Cyber Security Fundamentals,Artificial Intelligence,4,2,True
177,Data Science,Computer Science,10,1,False
178,Algorithms,Cyber Security,1,2,False
179,Data Science,Computer Science,10,2,False
180,Discrete Mathematics,Artificial Intelligence,15,2,True
181,Operating Systems,Artificial Intelligence,10,3,False
182,Data Structures,Cyber Security,12,1,False
183,Computer Architecture,Cyber Security,13,1,True
184,Algorithms,Artificial Intelligence,12,3,True
185,Data Science,Artificial Intelligence,14,2,True
186,Algorithms,Cyber Security,11,2,True
187,Operating Systems,Cyber Security,12,2,False
188,Web Development,Artificial Intelligence,1,3,False
189,Artificial Intelligence,Artificial Intelligence,10,3,False
190,Computer Architecture,Cyber Security,11,4,True
191,Data Structures,Artificial Intelligence,10,3,False
192,Computer Networks,Artificial Intelligence,11,3,False
193,Operating Systems,Cyber Security,14,1,True
194,Algorithms,Cyber Security,12,2,False
195,Computer Architecture,Artificial Intelligence,6,4,True
196,Database Systems,Artificial Intelligence,8,2,True
197,Computer Networks,Artificial Intelligence,6,2,False
198,Machine Learning,Cyber Security,13,4,True
199,Cloud Computing,Artificial Intelligence,6,4,True
200,Algorithms,Cyber Security,10,4,True
