Id,ActivityId,StudentId,Status,ProgressPercent,FirstAccessedAt,LastAccessedAt,TotalTimeSpentSeconds,CompletedAt,TotalTimeSpentSeconds_WasNull,LearningSpanDays,TotalTimeSpentMinutes,TimeSpent_Norm,ProgressPercent_Norm,IsCompleted,IsInProgress,Status_Enc
9539,1599,2582,Completed,100,2024-11-29 10:53:09,2025-02-21 10:53:09,2780.0,2025-02-21 10:53:09,1,84.0,46.3,0.3809523809523809,1.0,1,0,0
4869,598,1002,Completed,100,2025-09-25 03:31:04,2025-09-25 03:31:04,5263.0,2025-09-25 03:31:04,0,0.0,87.7,0.7287114845938375,1.0,1,0,0
13492,175,1118,Completed,100,2025-01-29 07:16:46,2025-02-08 07:16:46,2584.0,2025-02-08 07:16:46,0,10.0,43.1,0.353501400560224,1.0,1,0,0
5097,2143,2587,Completed,100,2023-07-22 22:37:43,2023-08-03 22:37:43,3631.0,2023-08-03 22:37:43,0,12.0,60.5,0.500140056022409,1.0,1,0,0
9087,1229,577,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
25294,205,2821,InProgress,68,2024-03-10 15:50:26,2024-03-28 15:50:26,769.0,,0,18.0,12.8,0.0992997198879551,0.68,0,1,1
9242,1274,3203,Completed,100,2026-01-30 07:58:47,,2643.0,2026-02-28 07:58:47,0,0.0,44.0,0.3617647058823529,1.0,1,0,0
20393,980,1956,Completed,100,2025-12-07 21:37:05,2026-01-30 21:37:05,4958.0,2026-01-30 21:37:05,0,54.0,82.6,0.6859943977591036,1.0,1,0,0
19211,879,536,Completed,100,2024-09-05 03:25:06,,4999.0,2024-09-19 03:25:06,0,0.0,83.3,0.6917366946778711,1.0,1,0,0
16437,1443,602,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
16333,385,2902,Completed,100,2023-09-01 01:59:52,2023-09-29 01:59:52,2780.0,2023-09-29 01:59:52,1,28.0,46.3,0.3809523809523809,1.0,1,0,0
19618,1303,433,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
7780,683,139,Completed,100,2025-09-03 00:35:35,2025-10-13 00:35:35,6771.0,2025-10-13 00:35:35,0,40.0,112.8,0.9399159663865546,1.0,1,0,0
24488,1905,2218,Completed,100,2024-01-17 08:40:38,2024-03-06 08:40:38,2005.0,2024-03-06 08:40:38,0,49.0,33.4,0.2724089635854341,1.0,1,0,0
25857,455,2535,InProgress,17,2022-10-12 18:32:55,2023-02-02 18:32:55,1451.0,,0,113.0,24.2,0.1948179271708683,0.17,0,1,1
24459,1162,204,InProgress,100,2025-09-26 03:20:11,2025-11-01 03:20:11,3192.0,,0,36.0,53.2,0.4386554621848739,1.0,0,1,1
8784,1548,1621,Completed,100,2023-04-19 10:42:57,2023-08-10 10:42:57,1244.0,2023-08-10 10:42:57,0,113.0,20.7,0.1658263305322128,1.0,1,0,0
13166,1359,4296,Completed,100,2025-02-16 12:00:39,2025-04-04 12:00:39,5545.0,2025-04-04 12:00:39,0,47.0,92.4,0.7682072829131652,1.0,1,0,0
4474,1311,1217,Completed,100,2025-02-13 00:25:32,2025-02-21 00:25:32,5240.0,2025-02-21 00:25:32,0,8.0,87.3,0.7254901960784313,1.0,1,0,0
17741,379,2489,Completed,100,2025-03-19 01:56:11,2025-06-21 01:56:11,4847.0,2025-06-21 01:56:11,0,94.0,80.8,0.6704481792717086,1.0,1,0,0
11057,73,3123,InProgress,70,2024-05-20 17:41:35,2024-08-15 17:41:35,335.0,,0,87.0,5.6,0.0385154061624649,0.7000000000000001,0,1,1
18159,648,4989,Completed,100,2022-12-14 04:23:19,2023-01-25 04:23:19,3245.0,2023-01-25 04:23:19,0,42.0,54.1,0.446078431372549,1.0,1,0,0
9592,2065,1635,Completed,100,2025-04-20 09:38:45,2025-07-05 09:38:45,2280.0,2025-07-05 09:38:45,0,76.0,38.0,0.3109243697478991,1.0,1,0,0
7157,925,3006,Completed,100,2024-04-08 10:01:25,,5698.0,2024-05-05 10:01:25,0,0.0,95.0,0.7896358543417367,1.0,1,0,0
4826,379,1025,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
6157,246,1577,InProgress,33,2024-09-23 10:25:21,2024-12-07 10:25:21,309.0,,0,75.0,5.2,0.0348739495798319,0.33,0,1,1
5172,1338,725,Completed,100,2024-05-30 14:50:51,,3677.0,2024-06-18 14:50:51,0,0.0,61.3,0.5065826330532213,1.0,1,0,0
12460,143,4091,Completed,100,2025-06-29 00:06:53,,5327.0,2025-07-27 00:06:53,0,0.0,88.8,0.7376750700280111,1.0,1,0,0
4757,1602,4755,Completed,100,2023-05-09 21:54:22,2023-07-23 21:54:22,5954.0,2023-07-23 21:54:22,0,75.0,99.2,0.8254901960784313,1.0,1,0,0
11284,240,4475,InProgress,100,2025-06-01 00:42:32,2025-07-31 00:42:32,3582.0,,0,60.0,59.7,0.4932773109243697,1.0,0,1,1
1273,1425,2640,InProgress,82,2023-10-07 04:18:05,2024-01-06 04:18:05,2234.0,,0,91.0,37.2,0.3044817927170868,0.8200000000000001,0,1,1
22106,439,1892,Completed,100,2023-02-25 11:21:12,,4756.0,2023-03-17 11:21:12,0,0.0,79.3,0.657703081232493,1.0,1,0,0
20725,1678,755,Completed,100,2024-06-08 09:05:43,2024-07-13 09:05:43,2834.0,2024-07-13 09:05:43,0,35.0,47.2,0.3885154061624649,1.0,1,0,0
5591,1596,2984,InProgress,87,2023-09-29 17:30:46,,2483.0,,0,0.0,41.4,0.3393557422969187,0.87,0,1,1
12147,824,2993,InProgress,88,2023-10-05 14:02:33,2023-12-11 14:02:33,1103.0,,0,67.0,18.4,0.146078431372549,0.88,0,1,1
4577,786,1772,Completed,100,2024-06-04 05:18:01,2024-07-11 05:18:01,625.0,2024-07-11 05:18:01,0,37.0,10.4,0.0791316526610644,1.0,1,0,0
1046,878,730,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
1128,1728,4825,Completed,100,2022-06-02 03:10:07,2022-09-19 03:10:07,2746.0,2022-09-19 03:10:07,0,109.0,45.8,0.3761904761904761,1.0,1,0,0
6439,2047,3016,InProgress,44,2025-02-28 06:23:42,2025-04-05 06:23:42,554.0,,0,36.0,9.2,0.069187675070028,0.44,0,1,1
15806,1388,1454,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
19857,1324,2572,Completed,100,2024-12-12 03:16:33,2025-03-09 03:16:33,3976.0,2025-03-09 03:16:33,0,87.0,66.3,0.5484593837535013,1.0,1,0,0
21380,539,4081,InProgress,33,2022-10-31 20:13:21,2023-02-23 20:13:21,2308.0,,0,115.0,38.5,0.3148459383753501,0.33,0,1,1
26526,183,3285,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
24320,213,4893,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
18481,346,3778,Completed,100,2022-08-01 06:42:47,2022-09-24 06:42:47,969.0,2022-09-24 06:42:47,0,54.0,16.2,0.1273109243697479,1.0,1,0,0
11878,1766,4792,Completed,100,2023-04-19 15:44:11,2023-06-02 15:44:11,1878.0,2023-06-02 15:44:11,0,44.0,31.3,0.2546218487394958,1.0,1,0,0
24873,1728,742,NotStarted,100,,,2780.0,,1,0.0,46.3,0.3809523809523809,1.0,0,0,2
14887,1375,3097,Completed,100,2023-10-16 13:22:30,2024-02-03 13:22:30,712.0,2024-02-03 13:22:30,0,110.0,11.9,0.0913165266106442,1.0,1,0,0
12774,1068,1929,Completed,100,2024-10-01 03:49:32,2025-01-15 03:49:32,2919.0,2025-01-15 03:49:32,0,106.0,48.6,0.4004201680672268,1.0,1,0,0
11847,156,1858,Completed,100,2024-05-20 02:52:46,2024-05-24 02:52:46,1078.0,2024-05-24 02:52:46,0,4.0,18.0,0.1425770308123249,1.0,1,0,0
19771,1925,808,Completed,100,2025-05-30 14:40:14,2025-08-19 14:40:14,4913.0,2025-08-19 14:40:14,0,81.0,81.9,0.6796918767507003,1.0,1,0,0
12389,1454,4118,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
26836,172,4931,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
647,1931,3989,Completed,100,2023-06-10 03:42:10,2023-06-17 03:42:10,3511.0,2023-06-17 03:42:10,0,7.0,58.5,0.4833333333333333,1.0,1,0,0
23201,1058,4908,Completed,100,2024-09-05 15:28:02,2024-12-22 15:28:02,1336.0,2024-12-22 15:28:02,0,108.0,22.3,0.1787114845938375,1.0,1,0,0
13158,562,4296,InProgress,70,2025-08-25 22:42:59,2025-11-08 22:42:59,2734.0,,0,75.0,45.6,0.3745098039215686,0.7000000000000001,0,1,1
2845,1017,1215,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
21021,1178,397,Completed,100,2023-03-01 19:41:03,2023-05-13 19:41:03,5236.0,2023-05-13 19:41:03,0,73.0,87.3,0.7249299719887955,1.0,1,0,0
1895,1599,3176,Completed,100,2024-07-08 11:39:54,2024-10-27 11:39:54,4771.0,2024-10-27 11:39:54,0,111.0,79.5,0.6598039215686274,1.0,1,0,0
13266,2070,2298,InProgress,55,2025-07-09 11:32:29,2025-10-17 11:32:29,3496.0,,0,100.0,58.3,0.4812324929971988,0.55,0,1,1
15479,105,149,InProgress,34,2023-08-19 18:44:51,2023-09-09 18:44:51,2171.0,,0,21.0,36.2,0.2956582633053221,0.34,0,1,1
6695,845,886,InProgress,26,2024-01-01 19:34:42,2024-02-03 19:34:42,446.0,,0,33.0,7.4,0.0540616246498599,0.26,0,1,1
9372,326,3305,InProgress,80,2023-09-12 03:17:57,2023-11-18 03:17:57,1256.0,,0,67.0,20.9,0.1675070028011204,0.8,0,1,1
23213,1281,1416,Completed,100,2025-11-01 08:01:44,2025-12-30 08:01:44,1863.0,2025-12-30 08:01:44,0,59.0,31.0,0.2525210084033613,1.0,1,0,0
22607,1230,4516,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
25115,2120,661,InProgress,73,2022-09-17 20:48:30,2022-10-25 20:48:30,1022.0,,0,38.0,17.0,0.1347338935574229,0.73,0,1,1
8513,2209,4866,Completed,100,2022-08-12 01:09:00,,3413.0,2022-08-21 01:09:00,0,0.0,56.9,0.4696078431372548,1.0,1,0,0
26298,2073,2982,Completed,100,2025-12-25 21:03:56,2025-12-25 21:03:56,5524.0,2025-12-25 21:03:56,0,0.0,92.1,0.765266106442577,1.0,1,0,0
24321,1262,4893,Completed,100,2023-11-26 02:10:28,2024-03-12 02:10:28,4255.0,2024-03-12 02:10:28,0,107.0,70.9,0.5875350140056023,1.0,1,0,0
441,1659,4478,Completed,100,2024-02-27 08:42:14,2024-05-25 08:42:14,2780.0,2024-05-25 08:42:14,1,88.0,46.3,0.3809523809523809,1.0,1,0,0
23119,781,4114,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
3042,1141,4349,InProgress,40,2025-07-01 11:51:19,2025-10-01 11:51:19,1571.0,,0,92.0,26.2,0.2116246498599439,0.4,0,1,1
21260,36,3249,Completed,100,2022-09-20 12:31:27,2022-12-13 12:31:27,886.0,2022-12-13 12:31:27,0,84.0,14.8,0.1156862745098039,1.0,1,0,0
13298,1053,1673,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
15377,1348,279,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
972,210,3175,InProgress,72,2024-11-30 23:09:53,2025-02-03 23:09:53,152.0,,0,65.0,2.5,0.0128851540616246,0.72,0,1,1
20589,1824,4541,InProgress,28,2024-10-13 05:46:49,2024-12-29 05:46:49,2636.0,,0,77.0,43.9,0.3607843137254901,0.28,0,1,1
6616,2143,2295,Completed,100,2024-02-25 05:57:54,2024-05-27 05:57:54,2579.0,2024-05-27 05:57:54,0,92.0,43.0,0.3528011204481792,1.0,1,0,0
19307,1476,2108,Completed,100,2024-08-04 19:10:19,2024-10-07 19:10:19,6472.0,2024-10-07 19:10:19,0,64.0,107.9,0.8980392156862744,1.0,1,0,0
14961,1263,2668,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
1032,27,2558,InProgress,29,2024-06-03 17:44:39,2024-09-22 17:44:39,1210.0,,0,111.0,20.2,0.1610644257703081,0.29,0,1,1
14274,2071,277,Completed,100,2026-01-18 08:47:16,2026-03-01 08:47:16,4774.0,2026-03-01 08:47:16,0,42.0,79.6,0.6602240896358543,1.0,1,0,0
25723,1870,1584,Completed,100,2023-01-16 17:04:04,2023-02-12 17:04:04,6777.0,2023-02-12 17:04:04,0,27.0,113.0,0.9407563025210084,1.0,1,0,0
7686,1909,3322,Completed,100,2024-08-19 17:43:13,,2958.0,2024-09-12 17:43:13,0,0.0,49.3,0.4058823529411764,1.0,1,0,0
17981,1516,2936,Completed,100,2024-10-24 23:25:42,2025-01-24 23:25:42,2780.0,2025-01-24 23:25:42,1,92.0,46.3,0.3809523809523809,1.0,1,0,0
12153,1090,2993,InProgress,16,2025-08-25 17:07:36,2025-10-07 17:07:36,2862.0,,0,43.0,47.7,0.3924369747899159,0.16,0,1,1
17172,1215,4981,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
12303,220,496,Completed,100,2024-11-21 09:49:30,2025-02-25 09:49:30,422.0,2025-02-25 09:49:30,0,96.0,7.0,0.0507002801120448,1.0,1,0,0
8543,1097,2234,Completed,100,2022-08-26 17:45:30,2022-10-30 17:45:30,6851.0,2022-10-30 17:45:30,0,65.0,114.2,0.9511204481792715,1.0,1,0,0
8548,1875,2234,Completed,100,2022-12-20 10:38:25,2023-02-09 10:38:25,6532.0,2023-02-09 10:38:25,0,51.0,108.9,0.9064425770308124,1.0,1,0,0
7235,1107,4362,Completed,100,2023-05-01 02:32:20,2023-08-07 02:32:20,3042.0,2023-08-07 02:32:20,0,98.0,50.7,0.4176470588235293,1.0,1,0,0
13354,668,2859,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
4298,2106,1336,Completed,100,2023-11-17 06:30:59,,4664.0,2023-11-27 06:30:59,0,0.0,77.7,0.6448179271708683,1.0,1,0,0
19011,169,3772,Completed,100,2025-05-18 13:58:36,2025-05-25 13:58:36,4868.0,2025-05-25 13:58:36,0,7.0,81.1,0.6733893557422969,1.0,1,0,0
1085,1958,4363,Completed,100,2022-10-05 23:10:22,,3194.0,2022-10-27 23:10:22,0,0.0,53.2,0.4389355742296918,1.0,1,0,0
22820,1792,2832,Completed,100,2023-06-22 13:01:46,2023-09-02 13:01:46,2269.0,2023-09-02 13:01:46,0,72.0,37.8,0.3093837535014005,1.0,1,0,0
18400,1462,1444,Completed,100,2023-04-26 10:53:57,2023-05-31 10:53:57,2570.0,2023-05-31 10:53:57,0,35.0,42.8,0.3515406162464985,1.0,1,0,0
12646,1099,3896,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
9445,1096,848,Completed,100,2022-09-18 23:55:36,2023-01-15 23:55:36,2194.0,2023-01-15 23:55:36,0,119.0,36.6,0.2988795518207282,1.0,1,0,0
26131,444,849,Completed,100,2022-07-28 04:33:22,2022-09-11 04:33:22,6820.0,2022-09-11 04:33:22,0,45.0,113.7,0.9467787114845938,1.0,1,0,0
7031,1432,1406,Completed,100,2025-03-13 14:42:07,2025-07-08 14:42:07,825.0,2025-07-08 14:42:07,0,117.0,13.8,0.1071428571428571,1.0,1,0,0
10053,635,899,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
19583,1169,3170,Completed,100,2024-12-28 05:49:44,2025-03-19 05:49:44,4908.0,2025-03-19 05:49:44,0,81.0,81.8,0.6789915966386555,1.0,1,0,0
26252,2142,2034,Completed,100,2024-10-06 02:38:56,2025-01-09 02:38:56,7115.0,2025-01-09 02:38:56,0,95.0,118.6,0.988095238095238,1.0,1,0,0
895,1281,1256,Completed,100,2025-03-05 00:33:47,2025-06-22 00:33:47,5758.0,2025-06-22 00:33:47,0,109.0,96.0,0.7980392156862745,1.0,1,0,0
20168,635,3897,Completed,100,2025-07-03 00:42:15,2025-08-08 00:42:15,6845.0,2025-08-08 00:42:15,0,36.0,114.1,0.950280112044818,1.0,1,0,0
7220,1941,4381,Completed,100,2025-09-22 15:52:58,,1285.0,2025-10-16 15:52:58,0,0.0,21.4,0.1715686274509804,1.0,1,0,0
21309,983,2905,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
7545,1962,1636,Completed,100,2024-03-31 19:39:17,2024-06-28 19:39:17,4034.0,2024-06-28 19:39:17,0,89.0,67.2,0.5565826330532213,1.0,1,0,0
3336,327,3441,InProgress,42,2023-12-18 14:05:46,2024-01-26 14:05:46,1862.0,,0,39.0,31.0,0.2523809523809523,0.42,0,1,1
25059,2096,3948,Completed,100,2022-12-07 19:31:19,2023-01-30 19:31:19,486.0,2023-01-30 19:31:19,0,54.0,8.1,0.0596638655462184,1.0,1,0,0
17281,1798,1325,Completed,100,2023-10-27 13:45:03,2024-02-07 13:45:03,4901.0,2024-02-07 13:45:03,0,103.0,81.7,0.6780112044817928,1.0,1,0,0
11274,1899,4475,InProgress,81,2025-05-11 19:39:33,2025-07-23 19:39:33,1561.0,,0,73.0,26.0,0.2102240896358543,0.81,0,1,1
2015,1432,983,Completed,100,2022-08-09 07:43:01,2022-10-05 07:43:01,3829.0,2022-10-05 07:43:01,0,57.0,63.8,0.5278711484593838,1.0,1,0,0
25283,370,438,InProgress,35,2024-01-31 07:28:36,2024-02-26 07:28:36,114.0,,0,26.0,1.9,0.007563025210084,0.35,0,1,1
10286,721,3044,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
19159,183,533,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
3237,900,1655,Completed,100,2022-11-08 20:28:56,2022-11-30 20:28:56,3399.0,2022-11-30 20:28:56,0,22.0,56.6,0.4676470588235293,1.0,1,0,0
16805,1178,2815,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
20858,346,3280,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
20508,1047,2547,Completed,100,2024-05-23 03:15:05,2024-08-04 03:15:05,860.0,2024-08-04 03:15:05,0,73.0,14.3,0.1120448179271708,1.0,1,0,0
4317,1892,1593,Completed,100,2025-02-14 21:32:35,2025-03-25 21:32:35,5966.0,2025-03-25 21:32:35,0,39.0,99.4,0.8271708683473389,1.0,1,0,0
24145,462,4938,Completed,100,2025-08-14 04:32:46,2025-12-10 04:32:46,2780.0,2025-12-10 04:32:46,1,118.0,46.3,0.3809523809523809,1.0,1,0,0
23398,1844,4074,Completed,100,2024-03-29 17:29:58,2024-06-12 17:29:58,6774.0,2024-06-12 17:29:58,0,75.0,112.9,0.9403361344537816,1.0,1,0,0
19536,445,4833,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
5579,1850,1210,Completed,100,2022-06-03 10:42:54,2022-06-15 10:42:54,6371.0,2022-06-15 10:42:54,0,12.0,106.2,0.8838935574229692,1.0,1,0,0
372,352,1725,Completed,100,2023-10-09 21:34:06,2023-10-15 21:34:06,987.0,2023-10-15 21:34:06,0,6.0,16.4,0.1298319327731092,1.0,1,0,0
2642,1136,2433,InProgress,34,2025-10-07 08:34:09,2025-10-19 08:34:09,2780.0,,1,12.0,46.3,0.3809523809523809,0.34,0,1,1
2421,1306,986,Completed,100,2023-01-28 01:03:59,2023-04-27 01:03:59,6095.0,2023-04-27 01:03:59,0,89.0,101.6,0.8452380952380952,1.0,1,0,0
23263,439,3248,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
6055,1850,3600,Completed,100,2024-01-08 15:38:54,2024-01-17 15:38:54,6634.0,2024-01-17 15:38:54,0,9.0,110.6,0.9207282913165266,1.0,1,0,0
6212,1143,4584,Completed,100,2023-09-27 04:31:24,2023-10-27 04:31:24,3244.0,2023-10-27 04:31:24,0,30.0,54.1,0.44593837535014,1.0,1,0,0
18754,781,3271,Completed,100,2024-09-17 03:58:44,2024-12-24 03:58:44,369.0,2024-12-24 03:58:44,0,98.0,6.2,0.0432773109243697,1.0,1,0,0
5129,235,4871,Completed,100,2024-12-03 14:32:56,2025-01-17 14:32:56,582.0,2025-01-17 14:32:56,0,45.0,9.7,0.0731092436974789,1.0,1,0,0
1715,1796,1857,NotStarted,0,,,2780.0,,1,0.0,46.3,0.3809523809523809,0.0,0,0,2
22663,187,4406,Completed,100,2025-09-28 10:20:56,2026-01-24 10:20:56,5354.0,2026-01-24 10:20:56,0,118.0,89.2,0.7414565826330533,1.0,1,0,0
