StudentId,DepartmentId,DepartmentName,YearId,SquadronId,TotalCreditLoad
3498,1,Computer Science,4,5,8
588,1,Computer Science,1,2,10
4248,1,Computer Science,2,5,9
2230,1,Computer Science,1,1,8
1185,1,Computer Science,2,4,0
4733,1,Computer Science,1,2,0
2894,2,Artificial Intelligence,2,3,0
2266,1,Computer Science,1,1,8
2288,2,Artificial Intelligence,3,1,0
3708,1,Computer Science,4,5,6
4456,1,Computer Science,1,2,5
4971,3,Cyber Security,1,5,0
2226,2,Artificial Intelligence,1,5,12
2660,3,Cyber Security,1,5,3
3793,1,Computer Science,4,3,8
4869,1,Computer Science,1,3,11
3800,1,Computer Science,1,1,3
968,1,Computer Science,1,4,0
2973,1,Computer Science,4,4,3
1096,1,Computer Science,3,3,6
1826,3,Cyber Security,3,2,9
2436,2,Artificial Intelligence,1,5,8
862,1,Computer Science,1,4,3
4700,1,Computer Science,3,4,12
1698,2,Artificial Intelligence,4,1,6
1967,2,Artificial Intelligence,3,2,3
1078,1,Computer Science,2,4,10
3730,1,Computer Science,4,1,1
2390,1,Computer Science,2,5,7
2538,2,Artificial Intelligence,1,2,29
4429,2,Artificial Intelligence,3,3,13
3577,3,Cyber Security,4,2,6
3189,2,Artificial Intelligence,2,1,2
1570,1,Computer Science,3,1,4
4973,1,Computer Science,1,5,15
117,2,Artificial Intelligence,2,3,9
494,2,Artificial Intelligence,1,4,2
3779,2,Artificial Intelligence,1,2,3
4064,1,Computer Science,2,5,9
1823,1,Computer Science,1,1,0
1905,2,Artificial Intelligence,1,5,0
255,1,Computer Science,3,2,13
818,2,Artificial Intelligence,1,3,2
2362,2,Artificial Intelligence,1,4,2
3437,1,Computer Science,2,5,7
3184,2,Artificial Intelligence,3,5,9
1478,2,Artificial Intelligence,2,5,5
4325,1,Computer Science,3,5,3
724,1,Computer Science,1,1,5
2228,2,Artificial Intelligence,3,4,9
706,3,Cyber Security,1,5,10
536,2,Artificial Intelligence,2,2,5
1708,1,Computer Science,4,5,0
702,2,Artificial Intelligence,1,2,4
3644,2,Artificial Intelligence,2,5,7
4644,2,Artificial Intelligence,2,5,6
4128,3,Cyber Security,4,4,2
3433,1,Computer Science,1,3,2
520,1,Computer Science,2,1,15
175,1,Computer Science,4,2,7
4085,1,Computer Science,1,4,7
3569,1,Computer Science,3,1,4
4318,1,Computer Science,1,4,13
4622,1,Computer Science,2,1,11
4576,2,Artificial Intelligence,2,5,3
2198,1,Computer Science,1,3,3
3652,2,Artificial Intelligence,2,4,4
3898,1,Computer Science,1,3,4
1511,1,Computer Science,1,3,5
3702,2,Artificial Intelligence,1,5,2
826,1,Computer Science,1,4,17
3028,3,Cyber Security,4,5,0
2078,3,Cyber Security,4,3,6
1416,1,Computer Science,1,2,8
495,2,Artificial Intelligence,2,2,11
4336,1,Computer Science,1,4,6
1863,3,Cyber Security,3,5,0
2715,2,Artificial Intelligence,3,5,3
3809,1,Computer Science,3,4,3
1787,1,Computer Science,4,3,7
285,1,Computer Science,3,4,4
4675,1,Computer Science,3,4,1
2110,3,Cyber Security,1,1,13
4745,3,Cyber Security,4,1,5
3134,1,Computer Science,2,3,3
2257,1,Computer Science,4,2,2
3284,1,Computer Science,3,5,10
1446,3,Cyber Security,1,5,8
2,1,Computer Science,3,2,6
3525,1,Computer Science,2,2,4
4537,1,Computer Science,3,3,8
2391,1,Computer Science,2,1,5
1380,1,Computer Science,3,5,9
4481,1,Computer Science,1,1,0
3496,1,Computer Science,1,1,7
4158,1,Computer Science,3,1,0
2644,1,Computer Science,1,4,0
1636,1,Computer Science,3,5,3
2656,3,Cyber Security,4,3,1
546,1,Computer Science,1,3,8
415,1,Computer Science,2,1,3
920,3,Cyber Security,4,4,9
1525,1,Computer Science,1,2,3
3431,2,Artificial Intelligence,2,5,0
2255,2,Artificial Intelligence,2,5,5
254,1,Computer Science,1,2,4
219,1,Computer Science,3,1,3
3021,2,Artificial Intelligence,2,4,6
347,2,Artificial Intelligence,2,5,6
3663,1,Computer Science,2,2,5
3902,1,Computer Science,1,3,6
1864,1,Computer Science,3,1,0
3846,2,Artificial Intelligence,2,3,1
4589,3,Cyber Security,1,3,8
273,1,Computer Science,3,1,15
231,1,Computer Science,1,3,4
4245,1,Computer Science,4,5,4
1230,1,Computer Science,1,1,2
3769,1,Computer Science,2,4,0
1821,1,Computer Science,1,4,11
897,1,Computer Science,2,1,12
197,1,Computer Science,1,4,0
129,2,Artificial Intelligence,1,5,4
1881,2,Artificial Intelligence,1,1,2
3803,1,Computer Science,1,2,8
3137,1,Computer Science,3,5,4
3731,2,Artificial Intelligence,2,1,3
4647,2,Artificial Intelligence,1,2,2
1151,2,Artificial Intelligence,2,2,0
1100,1,Computer Science,2,1,2
3147,2,Artificial Intelligence,4,1,14
4846,3,Cyber Security,1,3,11
1653,2,Artificial Intelligence,2,4,1
2647,1,Computer Science,4,5,11
2624,1,Computer Science,2,2,9
675,1,Computer Science,1,3,2
2302,2,Artificial Intelligence,3,5,9
801,2,Artificial Intelligence,2,2,2
435,1,Computer Science,2,1,6
18,1,Computer Science,2,2,0
4057,2,Artificial Intelligence,1,4,23
1991,3,Cyber Security,1,5,6
1997,1,Computer Science,4,2,1
2994,1,Computer Science,3,2,0
4560,3,Cyber Security,1,5,3
2610,2,Artificial Intelligence,3,1,3
1999,3,Cyber Security,1,4,7
4261,1,Computer Science,2,3,6
509,1,Computer Science,1,2,8
3002,2,Artificial Intelligence,3,5,4
3571,1,Computer Science,2,1,6
2563,1,Computer Science,3,3,2
778,2,Artificial Intelligence,1,5,5
802,2,Artificial Intelligence,2,5,2
1915,2,Artificial Intelligence,3,4,0
4899,1,Computer Science,3,5,4
1243,2,Artificial Intelligence,3,2,1
3574,3,Cyber Security,4,5,2
2503,1,Computer Science,1,1,7
1937,2,Artificial Intelligence,2,5,5
4529,3,Cyber Security,1,2,14
4196,3,Cyber Security,2,1,4
31,1,Computer Science,4,3,2
541,2,Artificial Intelligence,3,3,3
2384,1,Computer Science,2,3,3
3170,1,Computer Science,2,4,0
4094,2,Artificial Intelligence,3,1,1
2849,3,Cyber Security,1,2,6
2181,1,Computer Science,1,5,0
1056,2,Artificial Intelligence,3,2,4
1985,2,Artificial Intelligence,3,3,3
4505,1,Computer Science,3,5,3
4937,3,Cyber Security,3,2,0
1541,2,Artificial Intelligence,4,1,4
4476,3,Cyber Security,1,3,10
768,1,Computer Science,2,3,6
3949,1,Computer Science,3,1,15
3507,1,Computer Science,4,5,8
3446,2,Artificial Intelligence,4,3,13
4093,1,Computer Science,2,5,3
745,2,Artificial Intelligence,1,5,13
3072,1,Computer Science,3,2,5
2491,1,Computer Science,4,2,0
2008,3,Cyber Security,1,1,3
1048,2,Artificial Intelligence,2,2,4
1594,2,Artificial Intelligence,2,2,0
2564,1,Computer Science,3,5,0
2118,1,Computer Science,3,2,3
4223,3,Cyber Security,3,2,1
339,1,Computer Science,2,5,9
3392,3,Cyber Security,1,2,9
4654,1,Computer Science,4,4,7
1729,1,Computer Science,2,4,0
3201,2,Artificial Intelligence,1,2,13
3448,2,Artificial Intelligence,2,2,3
2988,2,Artificial Intelligence,3,2,11
1669,1,Computer Science,1,2,14
3258,1,Computer Science,1,5,0
406,1,Computer Science,2,2,3
648,2,Artificial Intelligence,4,4,5
4994,1,Computer Science,4,4,0
4246,1,Computer Science,1,3,4
4635,1,Computer Science,1,3,0
4843,1,Computer Science,3,2,5
3311,3,Cyber Security,1,2,14
4274,1,Computer Science,3,3,4
4312,1,Computer Science,2,5,0
4928,1,Computer Science,2,2,6
3450,2,Artificial Intelligence,1,4,2
3976,2,Artificial Intelligence,3,5,12
3836,1,Computer Science,2,3,3
4347,2,Artificial Intelligence,1,3,4
4185,2,Artificial Intelligence,2,3,7
4570,1,Computer Science,2,3,1
2888,1,Computer Science,1,4,0
3603,1,Computer Science,1,2,8
4139,1,Computer Science,1,4,10
85,1,Computer Science,4,4,9
670,1,Computer Science,3,3,0
2031,1,Computer Science,2,3,6
4769,1,Computer Science,1,1,2
896,1,Computer Science,1,5,3
1944,1,Computer Science,3,5,5
2034,1,Computer Science,4,5,14
699,1,Computer Science,4,4,0
2856,1,Computer Science,2,1,0
4352,1,Computer Science,1,1,2
737,1,Computer Science,1,5,1
2918,2,Artificial Intelligence,2,4,2
3890,1,Computer Science,4,5,10
178,1,Computer Science,1,2,11
3091,1,Computer Science,1,2,1
2733,1,Computer Science,1,4,0
2963,3,Cyber Security,2,1,4
3707,1,Computer Science,3,4,11
4816,1,Computer Science,3,4,6
1123,2,Artificial Intelligence,4,4,0
105,3,Cyber Security,1,4,4
690,1,Computer Science,1,5,7
1848,1,Computer Science,1,1,6
4707,1,Computer Science,4,2,2
1712,1,Computer Science,1,2,0
3676,1,Computer Science,4,2,1
2006,1,Computer Science,2,4,2
3562,2,Artificial Intelligence,2,3,5
1377,1,Computer Science,3,4,0
4471,1,Computer Science,4,3,1
2680,1,Computer Science,3,5,0
2901,1,Computer Science,2,4,7
4668,2,Artificial Intelligence,2,5,4
3459,1,Computer Science,1,2,7
4826,1,Computer Science,1,5,12
4042,1,Computer Science,2,5,9
2652,1,Computer Science,3,5,0
2375,1,Computer Science,2,3,0
99,2,Artificial Intelligence,2,1,4
3868,1,Computer Science,3,4,20
333,1,Computer Science,3,2,0
3990,1,Computer Science,2,1,5
3954,1,Computer Science,2,5,7
2108,1,Computer Science,1,4,5
1941,2,Artificial Intelligence,1,5,6
5000,1,Computer Science,1,4,6
3156,1,Computer Science,2,3,15
1199,1,Computer Science,1,4,3
1443,1,Computer Science,2,5,12
3274,3,Cyber Security,1,2,15
2321,1,Computer Science,2,4,8
2209,1,Computer Science,4,4,3
337,1,Computer Science,1,4,3
4583,1,Computer Science,4,2,0
1462,2,Artificial Intelligence,1,3,2
4005,1,Computer Science,2,1,13
2741,2,Artificial Intelligence,3,1,8
2539,3,Cyber Security,1,5,26
2648,2,Artificial Intelligence,1,5,10
3830,3,Cyber Security,2,4,10
712,1,Computer Science,1,1,6
2171,2,Artificial Intelligence,4,5,8
1812,2,Artificial Intelligence,1,3,6
3146,1,Computer Science,2,3,2
1310,1,Computer Science,1,5,4
4813,1,Computer Science,2,2,13
2363,1,Computer Science,1,2,3
4379,2,Artificial Intelligence,1,4,14
2740,1,Computer Science,1,5,5
1038,1,Computer Science,2,1,0
4390,2,Artificial Intelligence,1,1,5
4721,1,Computer Science,3,5,4
3654,1,Computer Science,4,2,5
2905,2,Artificial Intelligence,3,5,9
483,2,Artificial Intelligence,1,5,0
3939,3,Cyber Security,3,5,0
4796,2,Artificial Intelligence,1,5,5
3025,2,Artificial Intelligence,1,5,7
411,1,Computer Science,2,5,3
907,3,Cyber Security,4,1,10
28,1,Computer Science,3,1,8
1741,1,Computer Science,1,5,22
1405,2,Artificial Intelligence,1,5,0
1644,2,Artificial Intelligence,1,5,8
4951,2,Artificial Intelligence,1,3,8
391,3,Cyber Security,1,4,3
2425,2,Artificial Intelligence,4,5,0
2060,1,Computer Science,1,2,11
3449,3,Cyber Security,1,5,0
96,1,Computer Science,1,4,2
549,3,Cyber Security,1,2,8
1003,1,Computer Science,1,5,6
1664,1,Computer Science,2,4,6
3307,1,Computer Science,3,5,8
1122,1,Computer Science,1,5,9
4199,2,Artificial Intelligence,3,4,9
2068,2,Artificial Intelligence,1,5,0
1356,3,Cyber Security,1,4,5
909,1,Computer Science,4,3,8
3524,2,Artificial Intelligence,2,1,11
2583,2,Artificial Intelligence,4,1,12
2877,1,Computer Science,2,5,29
4295,3,Cyber Security,3,4,6
2392,1,Computer Science,2,2,0
4773,1,Computer Science,1,4,2
3638,2,Artificial Intelligence,3,5,18
4047,1,Computer Science,4,5,0
3100,1,Computer Science,3,4,4
2846,3,Cyber Security,4,1,3
1040,1,Computer Science,1,2,0
4207,1,Computer Science,4,3,15
3833,1,Computer Science,1,4,5
2575,1,Computer Science,1,4,5
4232,1,Computer Science,2,5,10
654,1,Computer Science,4,2,5
1595,1,Computer Science,1,1,2
4987,1,Computer Science,4,5,1
3617,2,Artificial Intelligence,1,2,5
2189,3,Cyber Security,2,5,10
4160,2,Artificial Intelligence,3,3,1
2024,1,Computer Science,2,2,2
272,1,Computer Science,1,3,6
2708,2,Artificial Intelligence,2,3,3
3429,3,Cyber Security,1,1,4
1296,1,Computer Science,3,5,16
2423,1,Computer Science,4,5,13
2365,1,Computer Science,2,3,4
4775,1,Computer Science,1,4,9
2486,3,Cyber Security,2,3,2
3346,1,Computer Science,3,3,7
306,1,Computer Science,4,5,5
2714,2,Artificial Intelligence,1,1,11
3309,2,Artificial Intelligence,3,5,3
1845,1,Computer Science,3,4,16
2814,1,Computer Science,2,1,5
4662,1,Computer Science,1,4,14
4547,1,Computer Science,3,2,2
1537,1,Computer Science,2,3,14
4681,3,Cyber Security,1,4,6
4181,3,Cyber Security,1,3,4
3579,1,Computer Science,1,5,6
763,1,Computer Science,3,4,4
1547,1,Computer Science,2,4,4
1996,2,Artificial Intelligence,1,2,3
644,3,Cyber Security,2,5,10
965,2,Artificial Intelligence,4,3,4
2870,2,Artificial Intelligence,4,1,8
4121,1,Computer Science,3,2,3
994,1,Computer Science,1,5,9
3036,2,Artificial Intelligence,4,1,5
3014,1,Computer Science,1,3,4
4075,2,Artificial Intelligence,2,1,9
128,1,Computer Science,2,5,0
2281,1,Computer Science,2,2,0
2845,1,Computer Science,2,3,10
2264,2,Artificial Intelligence,1,5,5
4540,2,Artificial Intelligence,1,5,6
867,3,Cyber Security,3,2,0
1214,1,Computer Science,2,5,3
3300,1,Computer Science,4,5,9
62,3,Cyber Security,1,2,2
1372,1,Computer Science,4,5,8
1497,1,Computer Science,3,3,9
2276,1,Computer Science,4,3,0
1160,2,Artificial Intelligence,2,5,0
3837,1,Computer Science,3,2,3
642,1,Computer Science,2,3,5
3454,2,Artificial Intelligence,1,5,6
2970,1,Computer Science,4,1,8
2447,1,Computer Science,1,1,2
2837,1,Computer Science,1,4,11
1184,1,Computer Science,1,5,7
4028,1,Computer Science,2,3,8
2258,1,Computer Science,1,3,2
853,1,Computer Science,1,5,5
3863,1,Computer Science,2,4,14
4913,2,Artificial Intelligence,2,3,9
543,1,Computer Science,1,5,3
4926,3,Cyber Security,2,3,7
2675,1,Computer Science,1,4,4
57,1,Computer Science,2,5,9
4073,1,Computer Science,1,1,3
845,1,Computer Science,2,1,11
3969,1,Computer Science,1,5,7
4776,1,Computer Science,1,4,4
1502,2,Artificial Intelligence,2,4,3
1224,1,Computer Science,1,5,2
742,2,Artificial Intelligence,1,4,8
176,1,Computer Science,3,2,7
781,1,Computer Science,1,1,7
530,3,Cyber Security,2,3,5
1550,1,Computer Science,1,5,8
2254,3,Cyber Security,4,5,3
1137,1,Computer Science,1,2,1
1397,1,Computer Science,1,4,0
3191,2,Artificial Intelligence,2,5,0
1583,2,Artificial Intelligence,1,5,0
3119,2,Artificial Intelligence,1,3,4
4253,1,Computer Science,3,2,0
534,1,Computer Science,1,3,6
1476,2,Artificial Intelligence,1,2,10
3187,1,Computer Science,4,5,11
4847,3,Cyber Security,1,5,10
1648,1,Computer Science,1,2,20
3801,2,Artificial Intelligence,1,5,9
4140,2,Artificial Intelligence,1,2,3
2282,1,Computer Science,2,2,8
2398,1,Computer Science,1,4,4
318,1,Computer Science,2,1,2
838,1,Computer Science,3,3,2
3488,1,Computer Science,3,4,2
4354,1,Computer Science,3,4,0
3716,1,Computer Science,3,4,8
1734,3,Cyber Security,2,3,10
1240,1,Computer Science,2,1,8
1617,1,Computer Science,1,3,1
3782,1,Computer Science,1,4,1
4198,3,Cyber Security,1,2,6
3203,2,Artificial Intelligence,3,5,4
4341,3,Cyber Security,3,3,3
3851,2,Artificial Intelligence,2,4,0
4525,2,Artificial Intelligence,3,1,3
2611,1,Computer Science,1,3,4
2018,1,Computer Science,3,3,8
3096,1,Computer Science,2,1,4
2125,1,Computer Science,2,4,6
2693,2,Artificial Intelligence,1,5,3
861,1,Computer Science,2,4,1
205,1,Computer Science,1,2,12
366,1,Computer Science,2,5,7
3355,1,Computer Science,2,5,17
4656,3,Cyber Security,2,5,8
2311,3,Cyber Security,1,5,0
664,3,Cyber Security,1,4,12
3414,2,Artificial Intelligence,3,1,7
872,1,Computer Science,4,2,0
3811,1,Computer Science,1,3,6
4370,1,Computer Science,2,3,8
753,1,Computer Science,1,4,0
2216,1,Computer Science,1,2,4
3149,1,Computer Science,1,3,7
3008,1,Computer Science,1,5,3
1128,2,Artificial Intelligence,2,5,4
629,1,Computer Science,2,1,13
2256,2,Artificial Intelligence,2,1,3
517,1,Computer Science,1,4,12
145,1,Computer Science,2,5,0
2474,1,Computer Science,2,1,7
4110,1,Computer Science,1,2,0
2674,1,Computer Science,2,3,7
4765,2,Artificial Intelligence,1,5,3
754,1,Computer Science,2,3,5
866,1,Computer Science,2,3,3
1365,3,Cyber Security,4,2,6
3835,1,Computer Science,2,1,3
4143,1,Computer Science,1,2,4
287,1,Computer Science,2,5,6
794,1,Computer Science,4,4,4
3876,1,Computer Science,1,5,9
397,1,Computer Science,3,2,3
1689,1,Computer Science,4,4,0
4917,1,Computer Science,3,3,4
4600,3,Cyber Security,1,5,11
3998,1,Computer Science,1,5,6
3352,3,Cyber Security,3,5,0
3047,2,Artificial Intelligence,4,4,5
1448,2,Artificial Intelligence,2,5,15
820,3,Cyber Security,1,4,2
4660,1,Computer Science,1,3,4
4132,2,Artificial Intelligence,1,3,5
2866,1,Computer Science,4,2,4
1988,3,Cyber Security,1,4,3
4403,2,Artificial Intelligence,2,1,0
475,2,Artificial Intelligence,3,5,0
2442,2,Artificial Intelligence,1,4,6
358,1,Computer Science,4,5,3
1799,1,Computer Science,3,4,4
2041,1,Computer Science,3,4,13
3345,1,Computer Science,2,5,7
889,1,Computer Science,1,1,6
2841,1,Computer Science,4,5,4
3090,1,Computer Science,1,1,4
1317,1,Computer Science,2,5,4
1779,2,Artificial Intelligence,3,2,7
4417,1,Computer Science,1,5,0
1657,1,Computer Science,4,3,6
952,1,Computer Science,2,2,2
1681,1,Computer Science,1,3,0
3059,1,Computer Science,1,1,9
1348,3,Cyber Security,3,1,3
2214,2,Artificial Intelligence,3,2,4
508,1,Computer Science,1,5,9
3084,1,Computer Science,4,2,0
1337,3,Cyber Security,2,2,6
482,2,Artificial Intelligence,4,5,8
1757,1,Computer Science,3,2,1
3252,3,Cyber Security,2,2,16
4159,1,Computer Science,1,5,0
4377,1,Computer Science,2,5,26
2833,2,Artificial Intelligence,3,1,9
3348,1,Computer Science,2,1,4
3660,1,Computer Science,2,5,4
3408,1,Computer Science,1,5,4
199,2,Artificial Intelligence,4,5,11
1301,2,Artificial Intelligence,1,2,6
3244,2,Artificial Intelligence,1,1,0
1396,2,Artificial Intelligence,3,3,12
816,1,Computer Science,4,3,4
631,1,Computer Science,1,3,13
3511,1,Computer Science,1,1,2
1,1,Computer Science,1,1,4
3514,1,Computer Science,1,4,7
1392,3,Cyber Security,3,3,7
3729,1,Computer Science,1,2,14
4737,1,Computer Science,2,4,14
3379,1,Computer Science,1,4,5
1736,1,Computer Science,4,2,11
468,1,Computer Science,1,2,10
3988,1,Computer Science,2,3,11
65,3,Cyber Security,2,2,17
1808,1,Computer Science,2,3,6
10,2,Artificial Intelligence,1,4,3
439,1,Computer Science,2,4,8
4078,1,Computer Science,4,1,8
4462,2,Artificial Intelligence,3,1,0
136,1,Computer Science,1,1,0
3979,1,Computer Science,1,1,8
2720,1,Computer Science,3,4,10
2804,1,Computer Science,2,4,1
947,2,Artificial Intelligence,1,2,4
4144,2,Artificial Intelligence,4,5,9
209,2,Artificial Intelligence,2,5,7
2046,3,Cyber Security,2,4,7
1079,1,Computer Science,1,5,2
2862,1,Computer Science,2,5,5
3541,1,Computer Science,1,4,4
2297,1,Computer Science,1,1,4
484,2,Artificial Intelligence,4,5,5
4423,3,Cyber Security,1,5,13
1323,1,Computer Science,1,3,12
3618,2,Artificial Intelligence,2,2,4
2040,1,Computer Science,3,2,7
1481,2,Artificial Intelligence,3,5,0
3503,2,Artificial Intelligence,1,1,3
1406,2,Artificial Intelligence,1,5,2
4663,2,Artificial Intelligence,4,4,2
842,1,Computer Science,2,4,15
1196,3,Cyber Security,3,2,3
1507,3,Cyber Security,1,3,1
514,3,Cyber Security,2,3,7
1704,3,Cyber Security,2,1,13
3013,1,Computer Science,3,1,12
3267,1,Computer Science,4,5,6
1208,3,Cyber Security,3,4,3
832,2,Artificial Intelligence,3,5,12
1963,1,Computer Science,1,4,8
410,1,Computer Science,1,4,0
2939,1,Computer Science,3,2,10
4369,1,Computer Science,1,1,4
4877,1,Computer Science,4,5,14
1719,1,Computer Science,1,5,9
1927,2,Artificial Intelligence,2,4,4
2549,3,Cyber Security,1,1,1
3331,1,Computer Science,3,5,0
1825,2,Artificial Intelligence,3,3,4
2106,1,Computer Science,2,5,3
3334,1,Computer Science,2,3,5
987,1,Computer Science,1,4,6
2829,1,Computer Science,4,3,3
3925,1,Computer Science,2,1,11
1788,2,Artificial Intelligence,1,4,0
2653,1,Computer Science,1,1,0
653,1,Computer Science,1,1,6
1198,1,Computer Science,2,3,6
1118,3,Cyber Security,1,1,5
4197,1,Computer Science,1,2,12
1106,1,Computer Science,1,3,6
590,2,Artificial Intelligence,1,1,8
1373,1,Computer Science,3,1,3
1590,1,Computer Science,2,3,14
4539,2,Artificial Intelligence,2,1,8
414,3,Cyber Security,1,4,7
2422,1,Computer Science,3,2,4
2427,1,Computer Science,3,2,4
1849,3,Cyber Security,3,4,3
2359,1,Computer Science,2,1,4
937,1,Computer Science,1,3,17
2812,1,Computer Science,2,5,0
4104,3,Cyber Security,4,2,4
2428,2,Artificial Intelligence,3,5,3
1580,3,Cyber Security,4,3,8
1340,2,Artificial Intelligence,1,5,1
3778,1,Computer Science,3,3,0
4889,1,Computer Science,2,5,7
4408,1,Computer Science,2,4,5
2144,1,Computer Science,1,4,6
755,2,Artificial Intelligence,2,1,11
1264,2,Artificial Intelligence,1,4,3
4319,1,Computer Science,3,5,4
1474,1,Computer Science,2,5,11
554,2,Artificial Intelligence,2,3,10
3567,1,Computer Science,4,4,8
1322,1,Computer Science,4,5,7
4314,2,Artificial Intelligence,1,2,18
198,2,Artificial Intelligence,2,2,4
1074,2,Artificial Intelligence,2,1,7
788,2,Artificial Intelligence,3,4,2
4975,1,Computer Science,1,2,15
4572,1,Computer Science,4,5,7
3666,1,Computer Science,4,1,3
3602,1,Computer Science,1,2,14
3886,1,Computer Science,1,4,9
2396,1,Computer Science,1,4,7
3375,2,Artificial Intelligence,3,2,6
3841,3,Cyber Security,4,4,13
3651,2,Artificial Intelligence,1,4,7
1538,1,Computer Science,1,3,3
733,2,Artificial Intelligence,1,5,1
1900,1,Computer Science,3,1,0
3017,1,Computer Science,1,5,3
3816,1,Computer Science,1,4,3
4606,2,Artificial Intelligence,1,2,4
3670,2,Artificial Intelligence,1,4,11
4512,1,Computer Science,3,2,7
3931,2,Artificial Intelligence,3,3,14
2431,1,Computer Science,1,2,3
596,1,Computer Science,2,1,9
1138,1,Computer Science,2,5,10
2751,2,Artificial Intelligence,3,2,0
3520,1,Computer Science,1,4,7
4021,1,Computer Science,2,4,14
3812,3,Cyber Security,1,5,11
4819,1,Computer Science,2,1,3
93,1,Computer Science,3,1,3
2895,3,Cyber Security,4,2,4
4728,1,Computer Science,2,5,14
